ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-04-02,Other Agencies and Independent Organizations,GS,"Construction Analysts (Loss Verifiers)
Needed Immediately By applying for this position with SBA&#39;s Office of Disaster Assistance, you can enjoy challenging but satisfying work and join a highly motivated and diverse team that helps families and businesses rebuild their lives after a disaster. You will serve as a Construction Analyst for the Small Business Administration (SBA), Office of Disaster Assistance (ODA), Damage Verification Center - DVC in Herndon, Virginia. This position provides fully qualified and trained SBA Construction Analysts who respond to disaster emergencies, often with 48 hours or less, throughout the United States and its territories. Territories include, but are not limited to: American Samoa, Guam, Marina Islands and Federated States of Micronesia. You will conduct on-site damage assessments to personal, real and business property that resulted from a declared disaster by the President or SBA. You will determine the extent of the damage, estimate the cost of repairs or replacement of damaged properties, and work primarily in disaster affected areas. Note: Salaries are shown at the base rate and locality pay will be added based on the duty station.",52329.0000,35359.0000,"Excepted Service - Temporary NTE 6 months, but may be extended.",Small Business Administration,Per Year,2018-04-02,DVC-HH-01-2017,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-10-02,Construction Analyst,"Qualifying experience includes: Working for a construction company building or repairing homes, businesses, or other building structures, performing duties such as framing walls/drywall, rewiring houses, laying flooring, etc.; Estimating quantity of materials and costs for constructing or repairing homes and/or businesses. This type of experience could be gained in the real estate, insurance, or construction industry; or Other experience that demonstrates the applicant possesses the knowledge, skill and ability to perform the duties of this position.",https://www.usajobs.gov:443/GetJob/ViewDetails/480904700
2017-12-25,Legislative Branch,HS,"The Financial Analyst is a senior level position with responsibilities for strategizing, planning, and coordinating with Financial Counseling work teams in an efficient and economic basis in the performance of all accounting and operational functions related to AP. Works with department leadership in determining objectives for the Accounts Payable related functions within the department, which align with the needs of the business units and vendor-to-payment strategies. Participates in/direct process improvement projects. Conducts review meetings with key business stakeholders to discuss potential process improvements and customer solutions initiatives. Provides upper management with analytical data related to AP performance objectives.",94158.0,74726.0,Permanent,House of Representatives,Per Year,2017-12-25,FIN-010-17,"Washington DC, District of Columbia",2017-12-11,Financial Analyst,Highly qualified candidates will be evaluated based on a structured interview.,https://www.usajobs.gov:443/GetJob/ViewDetails/486450900
2017-12-26,Department of the Air Force,GS,"This MANAGEMENT ANALYST position, is located in the Maintenance Group of an Air National Guard (ANG) flying Wing and is part of the CA 129 RQW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",77692.0000,59760.0000,Indefinite,Air National Guard Units (Title 32/Title 5),Per Year,2017-12-26,CA-10083999-AF-17-728A,"Moffett Field, California",2017-12-04,MANAGEMENT ANALYST,"General Experience: Experience, education, or training in administrative, professional, investigative, technical or other responsible work which demonstrates analytical ability and a practical and theoretical knowledge of the functions, processes and principles of management. Experience using computer and automation systems. MANAGEMENT ANALYST, GS-0343-9:Must have at least 24 months experience which has provided a working knowledge of the National Guard organizational structures, functions, procedures, and techniques. Experience analyzing, interpreting and developing policies and procedures of local management. Your qualifications will be evaluated on the following competencies:
Attention to DetailInformation ManagementInterpersonal SkillsReasoning",https://www.usajobs.gov:443/GetJob/ViewDetails/485805800
2017-12-26,Department of the Navy,GG,Serve as a Management Analyst at the GG-13 grade level performing a wide range of strategic management activities that extend to the entire organization and external agencies and includes Contracting Officer&#39;s Representative (COR)/Alternate COR and program coordination duties and responsibilities for the Office of Naval Intelligence (ONI) Hopper Information Services Center (HISC) for both classified and unclassified IT Support contract efforts.,123234.0000,94796.0000,Permanent,"U.S. Atlantic Fleet, Commander in Chief",Per Year,2017-12-26,DE-10100363-18-DWP,"National Maritime Intelligence Center, Maryland",2017-12-19,MANAGEMENT ANALYST,"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. Your resume must demonstrate at least one year of specialized experience at or equivalent to the GG/GS-12 grade level or pay band in the Federal service or equivalent experience in the private or public sector performing following duties such as: 1) Performing a wide range of strategic management activities that extend to the entire organization and external agencies that includes program coordination; 2) Developing and maintaining strategic plans in accordance with organizational requirements; 3) Developing policies to govern contracting for information systems management and defining current and future business needs; 4) Providing policy guidance to IT management staff and customers; 5) Conducting audits of IT programs and projects with the use of analytical tools; 6) Reporting analysis findings to senior managers. This is a Management Analyst position and requires an understanding of FAR and DFAR disciplines. Additional qualification information can be found from the following Office of Personnel Management website: http://www.opm.gov/qualifications/Standards/group-stds/gs-admin.asp. http://archive.opm.gov/qualifications/Standards/IORs/gs0300/0343.htm Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.",https://www.usajobs.gov:443/GetJob/ViewDetails/486994700
2017-12-31,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 5 EXCEPTED SERVICE POSITION. This National Guard position is for a Budget Analyst, Position Description Number T5154000 and is part of the VA J3, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team!",66457.0000,51118.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-31,VA-10101228-AR-NG-17-T5-066,"Sandston, Virginia",2017-12-15,Budget Analyst,"GENERAL EXPERIENCE: The candidate must be eligible for entry into the position&#39;s financial management certification career program based on the position&#39;s GS-grade before final approval and appointment is processed. Candidate must have at least three months of basic finance budget training or competencies that provided knowledge of financial principles and procedures. The candidate must have some understanding of the basic principles and concepts of the National Guard financial budget business program requirements. As a condition of continued employment, dependent on the position&#39;s certification level and contingent on the employee&#39;s GS-grade, the employee must complete the higher financial management certification within 24 months of appointment to the position. SPECIALIZED EXPERIENCE: A candidate must have at least 12 months of finance budget experiences and competencies that provided knowledge of financial principles and procedures. Candidate must have a good understanding of the basic principles and concepts of the National Guard financial budget business program requirements. A candidate must have experiences and training that demonstrate the abilities to follow directions, to read, retain, and understand a variety of instructions, regulations, policies and procedures. As a condition of continued employment in the GS-0560-09 position, dependent on the position&#39;s certification level and contingent on the employee&#39;s military rank, the employee must complete the higher financial management certification within 24 months of appointment to the position.",https://www.usajobs.gov:443/GetJob/ViewDetails/486820400
2018-01-08,National Aeronautics and Space Administration,GS,"The Information Technology and Communications Directorate, Resources and Business Management Office (Code 703) is seeking a highly skilled individual to serve as the Resources Analyst for Goddard Space Flight Center (GSFC), supporting the GSFC Financial Management programs. As identical vacancies are identified, additional selections may be made.",78270.0,49765.0,Permanent,Goddard Space Flight Center,Per Year,2018-01-08,GS18D0063,"Wallops Island, Virginia",2017-12-20,Resources Analyst,"Applicant must have one year of specialized experience equivalent to the next lower grade, which has equipped the applicant with the particular competencies needed to successfully perform the duties of the position described above.For the GS-9, you must have one year of specialized experience equivalent to a GS-7 grade level, which has equipped you with the particular competencies needed to successfully perform the duties of the position described above. Specialized experience is applying general accounting, internal controls and cost accounting practices to resolve budgetary and accounting matters for programs and/or projects; formulating and/or executing and tracking commitments, obligation and costs in support of programs and/or institutional projects; and execution and/or analysis of budget data using Systems, Applications & Processes (SAP) and Business Objects.ORApplicants may substitute the following education for the specialized experience requirements: Two full years of progressively higher level graduate education or master's or equivalent graduate degree.ORApplicants may qualify based on a combination of the experience and education requirements described above.For the GS-11, you must have one year of specialized experience equivalent to a GS-9 grade level, which has equipped you with the particular competencies needed to successfully perform the duties of the position described above. Specialized experience is preparing annual budget formulation documents; formulating and/or executing and tracking commitments, obligation and costs in support of programs; consolidating financial data for reporting purposes and execution and/or analysis of budget data (using tools such as SAP, Business Objects, Funds Control System, Integrated Workforce and Personnel Planning, Operating Accounts, etc.); and reviewing, verifying, and analyzing standard cost data for consistency with financial and program objectives.ORApplicants may substitute the following education for the specialized experience requirement: A Ph.D. or equivalent doctoral degree in a related field, or 3 full years of progressively higher level graduate education leading to such a degree, or LL.M., if related.ORApplicants may qualify based on a combination of the experience and education requirements described above.",https://www.usajobs.gov:443/GetJob/ViewDetails/487037800
2017-12-27,Department of the Army,GS,"This SUPPLY SYSTEMS ANALYST position, is located in the Property Management Branch, Supply and Services Division, United States Property and Fiscal Office (USP&FO) and is part of the CA JFHQ Logistics, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",69803.0000,53692.0000,Indefinite,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-27,CA-10089113-AR-17-742,"Sacramento, California",2017-12-06,SUPPLY SYSTEMS ANALYST,"General Experience: Experience, education, or training which has provided the applicant with a general knowledge of one or more aspects of the supply field. Experience using computer and automation systems. SUPPLY SYSTEMS ANALYST, GS-2003- 9: Must have at least 24 months experience, education, or training dealing with cost estimates, budgets or funding management. Experience conducting extensive searches for required information; reconstruct records for complex supply transactions; and/or provide supply operations support. Your qualifications will be evaluated on the following competencies:
Ability To Lead Or SuperviseData and Content ManagementJudgement and Decision MakingTechnical Competence",https://www.usajobs.gov:443/GetJob/ViewDetails/486005700
2018-01-05,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
This position serves as a Program analyst, who works under the general supervision of the Program Management Branch Chief, who provides overall objectives to be achieved. The incumbent exercises judgment and develops recommendations for solutions to significant management problems, referring controversial or policy setting matters to supervisor.
Management may select at either the GS-07/09/11 levels. Position has non-competitive promotion potential to the GS-11 level if selected at a lower grade. (NOTE: Position is also being announced to Status Candidates under Announcement Number SWGR174683924168 Who May Apply: US Citizens",78270.0000,40648.0000,Permanent,U.S. Army Corps of Engineers,Per Year,2018-01-05,SWGR174683924194D,"Vicksburg, Mississippi",2017-12-22,Program Analyst,"In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. To qualify at the GS-07 Level:
Specialized Experience: One year of specialized experience which includes 1) knowledge of financial and/or budgetary principles; or 2) Knowledge of data content and output options for a variety of administrative and/or technical program applications, such as the Corps of Engineers Financial Management System (CEFMS) and Microsoft Excel.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05). OR Education: One full year of graduate level education in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position. OR Superior Academic Achievement: Successful completion of all the requirements for a bachelor&#39;s degree with Superior Academic Achievement. In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as that identified in Education above. Superior Academic Achievement is based on: (1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR (2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR (3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/). OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages. To Qualify at the GS-09 Level:
Specialized Experience: One year of specialized experience which includes 1) Experience formulating plans for the continuous day-to-day gathering of project and program data or 2) Experience assisting with budget program schedules or Government Cost projections or 3) Experience coordinating the review or preparation of annual project cost estimates. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07). OR Education: Master&#39;s or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree or LL.B. or J.D. if unrelated in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position. OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages. To Qualify at the GS-11 Level:
Specialized Experience: One year of specialized experience which includes 1) Experience preparing budget submissions, 2) Experience monitoring execution of a project, and/or 3) Experience analyzing primavera documents (P2). . This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-09). OR Education: Ph.D or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to such a degree or LL.M. [remove LL.M., if unrelated] in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as: [insert applicable field(s) of study]. OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the second year (total graduate semester hours minus 36) by 18. Add the two percentages. You will be evaluated on the basis of your level of competency in the following areas:
CommunicationsComputer SkillsFinancial ManagementProgram ManagementProject Management",https://www.usajobs.gov:443/GetJob/ViewDetails/487287500
2017-12-28,Department of Defense,GS,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD)&#160;agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.&#160;&#160;",78270.0,49765.0,Term NTE 3 Years,Defense Logistics Agency,Per Year,2017-12-28,DLAJ8DispSvcs-18-2027347-DE,"Battle Creek, Michigan",2017-12-19,Business Analyst,"To qualify for a Business Analyst, your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular knowledge, skills, and abilities (KSA's) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To qualify at the GS-09 level, applicants must possess one year of specialized experience equivalent to the GS-07 level or equivalent under other pay systems in the Federal service, military, or private sector. To qualify at the GS-11 level, applicants must possess one year of specialized experience equivalent to the GS-09 level or equivalent under other pay systems in the Federal service, military or private sector. Creditable specialized experience includes: GS-9: Serving as a budget facilitator ensuring the budget meets the requirements of their organization; identifying valuation changes and coordinating with the appropriate financial analyst(s) to ensure appropriate actions are taken to research substantial changes in inventory values; applying pricing rules and ensures they comply with the overall pricing methodology that has been established by higher level authorities. GS-11: Serving as a primary budget facilitator ensuring the budget meets the requirements of their organization or functional area; identifying valuation discrepancies and changes and coordinates with the appropriate financial analyst(s) to ensure appropriate actions are taken to investigate and resolve changes in inventory values; applying pricing rules and ensures they comply with the overall pricing methodology that has been established by higher level authorities; analyzing financial performance results and financial/business performance.B. Education Substitution: Such education must demonstrate the knowledge, skills, and abilities necessary to do the work. Education must be from a college or university accredited by an organization approved by the U.S. Department of Education. See http://ope.ed.gov/accreditation/Search.aspx. If using education to meet basic qualifications, YOU MUST SUBMIT A TRANSCRIPT as supplemental documentation. To qualify based on education in lieu of specialized experience, you must possess: GS-09 -A successfully completed master's degree or equivalent graduate degree OR 2 full years of progressively higher level graduate education leading to such a degree, or LLB. or J.D., if related. GS-11 - PH.D. or Equivalent Doctoral Degree or 3 full years of progressively higher level graduate education leading to a PH.D. OR equivalent doctoral degree.C. Combination: Combinations of successfully completed post-high school education and experience may be used to meet total qualification requirements for grade levels GS-9 and GS-11, and may be computed by first determining the applicant's total qualifying experience as a percentage of the experience required for the grade level; then determining the applicant's education as a percentage of the education required for the grade level; and then adding the two percentages. The total percentages must equal at least 100 percent to qualify an applicant for that grade level. Only graduate education in excess of the amount required for the next lower grade level may be used to qualify applicants for positions at grades GS-09 and GS-11. Your qualifications will be evaluated
on the basis of your level of competency (knowledge, skills and abilities) in
the following areas:Knowledge of the policies, precedents, regulations, and guidelines sufficient to contribute to the overall evaluation of business performance.Knowledge and understanding of budgetary methods, practices, procedures, and regulations.Comprehensive knowledge of appropriation law and of the sources, types, and methods of funding for assigned budgets.Ability to communicate orally and in writing.",https://www.usajobs.gov:443/GetJob/ViewDetails/486874400
2018-01-15,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a MANAGEMENT ANALYST, Position Description Number D2377000 and is part of the 105TH AW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",73784.0000,56754.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-15,NY-10088321-AF-18-071,"Stewart AFB, New York",2017-12-14,MANAGEMENT ANALYST,"GENERAL EXPERIENCE: Experience, education, or training in administrative, professional, investigative, technical or other responsible work which demonstrates analytical ability and a practical and theoretical knowledge of the functions, processes and principles of management. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 24 months experience which has provided a working knowledge of the National Guard organizational structures, functions, procedures, and techniques. Experience analyzing, interpreting and developing policies and procedures of local management.",https://www.usajobs.gov:443/GetJob/ViewDetails/486734000
