ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-31,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.",95000.0,80000.0,Permanent,U.S. Marine Corps,Per Year,2018-01-31,29479,"Quantico, Virginia",2017-12-20,Programmer Analyst-Business Intelligence NF4,"Bachelor&rsquo;s degree in Information Technology, Computer Science or a related field appropriate to the work of position AND three years of progressively technical experience in working with Business Intelligence or Decision Support solutions as a technical resource that demonstrates knowledge of software design principles, methods, approaches, and procedures to design, develop, optimize and integrate system components, OR an appropriate combination of education and experience that demonstrates possession of knowledge and skill equivalent to that gained in the above, OR appropriate experience that demonstrates that the applicant has acquired the knowledge, skills, and abilities equivalent to that gained in the above.Knowledge of pertinent government requirements and database management principles such as data structures, data modeling and data warehousing to design, debug and maintain software applications that meet technical and functional requirements. Skill to design and develop efficient and effective applications through use of reusable components, and ensure applications comply with requirements and are consistent with current and planned infrastructure and data environments. Strong understanding of relational database management systems and states of data presented in various data repositories. Strong working knowledge of SQL, UNIX, and Windows. Experience with Oracle RDBMS, Oracle Warehouse Builder, Oracle Data Integrator, Oracle PL/SQL and Cognos Analytics 10/11 to include Framework Manager is preferred. Good understanding of Business Intelligence tools like MicroStrategy and Tableau with Junior developer skills preferred. Knowledge and experience with design, development and testing metadata models is required. Working knowledge and experience applying BI solutions to business activities to include but not limited to: Finance, Procurement, Retail, Human Resources, Construction is preferred.	Creative with a clear record of innovation and &ldquo;doing more with less.&rdquo;	Polished and sophisticated programmer/analyst with strong presence. Assertive, but not aggressive or arrogant style.	Commitment to excellence and continuous improvement; proactively seeks feedback.	Self-motivated, self-disciplined, self-assured, and performance driven.	Proactive, passionate and driven; perseveres and overcomes obstacles.	Team player who works collaboratively toward common goals and objectives.	Must be able to work independently and manage multiple task assignments",https://www.usajobs.gov:443/GetJob/ViewDetails/487184900
2017-12-27,Department of the Army,NH,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
The USAASC is a Direct Reporting Unit (DRU) supporting the Army&#39;s acquisition mission through superior personnel development systems and management support capabilities, enabling the most effective and efficient equipping of the Nation&#39;s forces while maintaining an internal culture of constant organizational improvement. Additionally, the DRU provides oversight for the execution of the force protection mission by the PEOs, subject matter expertise and analytical support to various DoD elements, and acquisition career management support to the acquisition workforce. In addition to the 7 core Army values, we operate under 6 organizational principals that represent the highest priorities and deeply held driving forces grounded in our values:
-Build open and honest relationships with communication
-Pursue growth and learning
-Customer success
-Culture of ownership
-People First, Mission Always
-Openness to change and innovation Because of the partnership with Corvias Military Housing, Department of Army civilian employees now have an option to rent family housing and enjoy the benefits of living on-post at Aberdeen Proving Ground, MD. There are various floor plans available. Selection is on a first-come first-served basis. If you are interested in this housing option, please contact the Corvias Military Housing Leasing and Relocation Center at 877-276-6659. This position is being filled under the Expedited Hiring Authority (EHA) for Defense Acquisition Workforce Positions in accordance with 10 USC &#167;1705(g) Who May Apply: US Citizens",123234.0000,79720.0000,Permanent,U.S. Army Acquisition Support Center,Per Year,2017-12-27,NEAS174827350230,"Arlington County, Virginia",2017-12-13,Procurement Systems Analyst,"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Specialized experience is defined as: (1) Performing data mining on electronic business and contracting systems such as Virtual Contracting Enterprise (VCE), Federal Procurement Data System-Next Generation, or Business Intelligence Systems to extract data to provide expert advice to management and senior Leadership; and (2) Prepare and analyze data to justify and facilitate recommendations made to senior leadership, and (3) Preparing replies for request for information which includes Congressional Inquiries, request to clarify information from Higher headquarters, and subordinate organizations alike. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service NH-03 or GS-13 equivalent. You will be evaluated on the basis of your level of competency in the following areas:
Contracting/ProcurementData ManagementOral Communication",https://www.usajobs.gov:443/GetJob/ViewDetails/486512900
2017-12-26,Department of the Army,GS,"Looking for a great place to work? The U.S. Army Corps of Engineers is one of the best! In 2016, USACE ranked number two of government large-agency subcomponents! As rated by their employees, USACE supervisors strongly support employee development and opportunities to demonstrate leadership skills, while also maintaining an optimal work/life balance. The Corps offers a team-inspiring and collaborative work environment; providing challenging and rewarding careers across a variety of disciplines. Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
The U.S. Army Engineer Institute for Water Resources (IWR) was formed to provide forward-looking analysis and research in developing planning methodologies to aid the Civil Works program. IWR is a field operating activity under the supervision of the Director for Civil Works, U.S. Army Corps of Engineers (USACE). IWR fulfills its mission by supporting the Civil Works Directorate and USACE Major Subordinate Commands (MSCs) and District offices by providing: (a) analysis of emerging water resources trends and issues, (b) state-of-the-art planning and hydrologic engineering methods, models and training, and (c) national data management of results-oriented program and project information across Civil Works business lines. The Institute is the USACE center of expertise for integrated water resources management, focusing on planning analysis and hydrologic engineering and on the collection, management and dissemination of Civil Works and navigation information, including the nation&#39;s waterborne commerce data. It also serves as the Corps Center of Expertise (COE) for collaborative planning and environmental conflict resolution. This position will be filled on a permanent basis. Who May Apply: US Citizens",145629.0000,112021.0000,Permanent,U.S. Army Corps of Engineers,Per Year,2017-12-26,NCFL174423000103D,"Alexandria, Virginia",2017-12-13,Program Manager,"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience. Experience Required: To qualify based on your experience, your resume must describe at least one year of specialized experience which prepared you to do the work in this job. Specialized experience is defined as working with Civil Works mission lines to include Navigation, National Flood Risk Management, Hydropower, Recreation, & Regulatory; advising on Applied Information Sciences (AIS) policy; budgetary data; agency performance data; continent scale geospatial data; geospatial data & navigation data analysis; budget analysis; program management; contract management; enterprise geographic information system; developing and managing project budget and schedules; analyzing large data sets to assure compliance with data standards & data quality; developing detailed reports; Civil Works Business Intelligence (CWBI); Geographic Information System (GIS). This definition of specialized experience is typical of work performed at the next lower grade/level position in the Federal service (GS-13). You will be evaluated on the basis of your level of competency in the following areas:
Administration and ManagementDatabase Management SystemsGeographical SciencesOrganizational Performance AnalysisProject Management",https://www.usajobs.gov:443/GetJob/ViewDetails/486577200
2018-01-03,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.",100000.0,85000.0,Permanent,U.S. Marine Corps,Per Year,2018-01-03,29228,"Quantico, Virginia",2017-12-04,Data Architect NF4,"Bachelor&rsquo;s degree in Engineering, Computer Science, Information Technology or a related field appropriate to the work of position and three years of progressive experience as a Data Architect and Data Analyst with architectural knowledge of establishing and implementing BI environments and hands on expert level expertise in designing, developing and testing Business Intelligence systems or an appropriate combination of education and experience that demonstrates possession of knowledge and skill equivalent to that gained in the above, or appropriate experience that demonstrates that the applicant has acquired the knowledge, skills, and abilities equivalent to that gained in the above. Comprehensive knowledge of SQL, cardinality, levels of granularity, normalized vs. denormalized, database and tool optimization techniques and other such reporting data architecture best practices is required. Knowledge and experience in implementing a data warehouse is required. Ability to outline the architecture and understand the benefits of data warehousing. Preferred skills include:	Use of Cognos Framework Manager, Report Studio, and Query Studio;	High level proficiency and experience with ETL tools such Oracle Warehouse Builder (OWB) , Oracle Data Integrator (ODI) and Informatica;	Experience with Data Modelling tools such as ERWIN;	Experience with Master Data Management tools;	Experience with Microsoft SQL Server tools such SSIS; and	Exposure to Cloud Technologies preferred.As an authorized and privileged user of Department of Defense Information Systems must possess or receive Information Assurance awareness by completing the Security+ Certification as a condition of access within six months of employment, and thereafter must complete annual Information Assurance awareness training.",https://www.usajobs.gov:443/GetJob/ViewDetails/485768400
2018-10-02,Other Agencies and Independent Organizations,GS,"Position Information
***OPEN UNTIL FILLED: This announcement will be open until the position is filled. Cut off points are scheduled in two-week increments. After each cut-off point, all compliant applications received during the previous two weeks will be reviewed for considerations*** This is an opportunity for: An internal candidate to fill a GS-15 cadre position.
A Federal Government employee to serve on a two-year reimbursable detail assignment in the ODNI. The detail assignment may be extended an additional year if all parties agree.Who May Apply Current GS employees at the same grade or one grade lower than the advertised position grade may apply. Former members of the Peace Corps may be considered for ODNI employment only if five full years have elapsed since separation from the Peace Corps.
For a cadre assignment: Current ODNI cadre.
Current ODNI Staff Reserve Employees. (A staff reserve employee who currently occupies this position may not apply.) For a detailee assignment: Current Federal Government employees.Salary Determination
The ODNI uses a rank-in-person system in which rank is attached to the individual. A selected ODNI candidate or other Federal Government candidate will be assigned to the position at the employee&#39;s current GS grade and salary.
A current Federal Government employee, selected for a detail, will be assigned to the position at his or her current grade and salary.Component Mission PARTNER ENGAGEMENT COMPONENT MISSION The mission of the Office of the Assistant Director of National Intelligence for Partner Engagement (ADNI/PE) is to ""Advance partnerships and responsible intelligence and information sharing to enhance decision-making"" while we lead and effectively manage a diverse and highly skilled workforce; strengthen partnerships to enable integration, promote mutual understanding, and support accountability; promote interoperable capabilities to drive intelligence and information sharing while protecting privacy, civil liberties, and civil rights; optimize intelligence and information sharing to identify and address threats and opportunities; and develop and implement repeatable business practices to support PE decision making and achieve mission performance.",161900.0000,112021.0000,Detail,Office of the Director of National Intelligence,Per Year,2018-10-02,16105-DE-10058697-18-JM,"Montgomery County, Maryland",2017-10-03,ISE Planning and Governance Officer,"Mandatory and Educational Requirements Expert knowledge of strategy development and associated performance metrics development. Expert knowledge of ISE&#39;s strategic plans and priorities. Expert knowledge of the mission, charter, roles, and responsibilities of the ISE. Expert ability to identify emerging trends and strategic issues as well as the ability to assess the influence of these trends and issues on the effectiveness of information sharing programs.",https://www.usajobs.gov:443/GetJob/ViewDetails/481123800
2017-12-28,Department of Homeland Security,GS,"The Department of Homeland Security (DHS) is calling on those who want to help protect American interests and secure our Nation. DHS Components work collectively to prevent terrorism; secure borders and our transportation systems; protect the President and other dignitaries; enforce and administer immigration laws; safeguard cyberspace; and ensure resilience to disasters. We achieve these vital missions through a diverse workforce spanning hundreds of occupations. Make an impact; join DHS. This position is located in the Department of Homeland Security (DHS), Office of Intelligence and Analysis (I&A). The Primary purpose of this position is to promote understanding of threats through intelligence analysis, gather information and intelligence pertinent to homeland security, share the information necessary for action, and manage intelligence for the Homeland Security Enterprise. Promotion Potential: This position is being filled at the full performance level. This is a permanent appointment in the Excepted Service and will be filled on a full-time permanent basis. Employees hired under an Excepted Service appointment may be required to serve a two (2) year trial period.
This position does not confer non-competitive conversion to the competitive service. Acceptance of an excepted service appointment from applicants in the competitive service will require a written statement of understanding when voluntarily leaving the competitive service. Veteran&#39;s preference requirements do not apply to Title 50 appointment authority. All DHS-HQ announcements have a 5 business day open period due to the number of applications received. Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including Presidential Memoranda, Executive Orders, Interpretive U. S. Office of Management and Budget (OMB) and U. S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.",161900.0000,131767.0000,Permanent,DHS Headquarters,Per Year,2017-12-28,DE-10091590-18-IA,"Washington DC, District of Columbia",2017-12-21,Intelligence Research Specialist,"Specialized Experience:
To qualify for a GS-15 level (starting salary is $131,767) position, you must possess at least one year of specialized experience, equivalent to the GS-14 level that has equipped you with the particular knowledge, skills and abilities to successfully perform the duties of the position. This experience is defined as performing duties that involve providing intelligence information and analysis to help keep the Homeland safe, secure, and resilient. This experience is also defined as conducting and leading unclassified and classified all-source intelligence analysis on cyber threats to inform customers and guide their policies and operations. Examples of this include:
- Leading all-source (unclassified and classified) finished cyber intelligence assessments that demonstrate innovative approaches to evaluating information, technical cyber expertise and structured analytic techniques, provide estimate analysis and implications using limited information, identify reliable indicators of future activity, and adhere to the highest level of Intelligence Community Directive 203 analytic tradecraft standards;
- Preparing and conducting all-source cyber intelligence briefings to provide senior decision makers and technical and nontechnical customers with a critical understanding of the cyber threat;
- Establishing cyber threat intelligence partnerships and collaborations with analytic counterparts throughout the IC, and with federal, state, local, or private sector stakeholders. Substitution of education in lieu of specialized experience may not be used for this grade level. Note: Current Federal employees on a developmental career ladder position under the same series as this announcement: If selected and you advance to the next higher grade level prior to establishment of an entry on duty date, you may be hired at the higher grade level and continue the career ladder progression identified in this announcement. All qualifications and eligibility requirements must be met by the closing date of the announcement.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487119600
2018-01-02,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position: This position is located at the U.S. Army Communications-Electronics Command (CECOM) Software Engineering Center (SEC), Intelligence, Electronic Warfare, and Sensors (IEW&S) Directorate, headquartered at Aberdeen Proving Ground, Maryland, is one of the most experienced and comprehensive support centers within the DOD. SEC provides the software expertise needed to support command, control, communications, computers, intelligence, surveillance and reconnaissance, (C4ISR) as well as logistics, business and enterprise systems in the modern digital environment. From initial concept, to development, testing, fielding and sustainment, SEC engineers are ready to ensure your software systems fully support your operational requirements. Because of the partnership with Corvias Military Housing, Department of Army civilian employees now have an option to rent family housing and enjoy the benefits of living on-post at Aberdeen Proving Ground, MD. There are various floor plans available. Selection is on a first come first-served basis. If you are interested in this housing option, please contact the Corvias Military Housing Leasing and Relocation Center at 877-276-6659. This position is being filled under the Expedited Hiring Authority for Defense Acquisition Workforce Positions in accordance with 10 USC 1705 (g) Who May Apply: US Citizens",123234.0000,94796.0000,Permanent,U.S. Army Communications Electronics Command,Per Year,2018-01-02,NEAG174974752765EA,"Aberdeen Proving Ground, Maryland",2017-12-22,Interdisciplinary Computer Engineer/ Computer Scientist,"In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Basic Education Requirement for the Computer Engineer GS-0854 Series: Degree: professional engineering. To be acceptable, the curriculum must: (1) be in a school of engineering with at least one curriculum accredited by the Accreditation Board for Engineering and Technology (ABET) as a professional engineering curriculum; or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR Combination of education and experience -- college-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying professional engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: Professional registration -- Current registration as a professional engineer by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board&#39;s eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. Written Test-- Evidence of having successfully passed the Engineer-in-Training (EIT) examination, or the written test required for professional registration, which is administered by the Boards of Engineering Examiners in the various States, the District of Columbia, Guam, and Puerto Rico. Applicants who have passed the EIT examination and have completed all the requirements for either (a) a bachelor&#39;s degree in engineering technology (BET) from an accredited college of university that included 60 semester hours of courses in the physical, mathematical, and engineering sciences, or (b) a BET from a program accredited by the Accreditation Board for Engineering and Technology (ABET) may be rated eligible for certain engineering positions at GS-5. Eligibility is limited to positions that are within or closely related to the specialty field of the engineering technology program. Applicants for positions that involve highly technical research, development, or similar functions requiring an advanced level of competence in basic science must meet the basic requirements in paragraph A. Because of the diversity in kind and quality of BET programs, graduates of other BET programs are required to complete at least 1 year of additional education or highly technical work experience of such nature as to provide reasonable assurance of the possession of the knowledge, skills, and abilities required for professional engineering competence. The adequacy of this background must be demonstrated by passing the EIT examination. Specified academic courses -- Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and in engineering that included the courses specified in the basic requirements. The courses must be fully acceptable toward meeting the requirements of a professional engineering curriculum as described in paragraph A. Related curriculum -- Successful completion of a curriculum leading to a bachelor&#39;s degree in engineering technology or in an appropriate professional field, e.g., physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. (The above examples of related curricula are not all-inclusive.) Basic Education Requirement for the Computer Scientist GS-1550: Bachelor&#39;s degree in computer science or bachelor&#39;s degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus. All academic degrees and course work must be from accredited or pre-accredited institutions. To qualify based on your experience, your resume must describe at least one year of experience which prepared you to do the work in this job. Specialized experience at the GS-13 grade level is defined as one year of specialized experience at the GS-12 grade level or equivalent in the Federal service which includes work that involves assessing the performance of existing systems and determining the need for hardware/software upgrades and the criticality of software/firmware and hardware problems associated with computer driven instrumentation and data collection systems. You will be evaluated on the basis of your level of competency in the following areas:
Oral CommunicationSystems EngineeringThreat and Vulnerability Assessment",https://www.usajobs.gov:443/GetJob/ViewDetails/487239400
2018-10-04,Other Agencies and Independent Organizations,SL,"Position Information ***OPEN UNTIL FILLED: This announcement will be open until the position is filled. Cut off points are scheduled in two-week increments. After each cut-off point, all compliant applications received during the previous two weeks will be reviewed for considerations*** This is an opportunity for: An internal candidate to fill a SNIS Professional Tier 1 cadre position. An external candidate to fill a SNIS Professional Tier 1 Staff Reserve position. A Federal Government employee to serve on a two-year reimbursable detail assignment in the ODNI. The detail assignment may be extended an additional year if all parties agree.Who May Apply Current Federal Government employees. Only Senior Service (SNIS, SES, SIS, DISES, DISEL) candidates may apply. GS employees may not apply. Former members of the Peace Corps may be considered for ODNI employment only if five full years have elapsed since separation from the Peace Corps. For a cadre assignment: Current ODNI cadre. For a detailee assignment: Current Federal Government employees. Only Senior Service (SNIS, SES, SIS, DISES, DISEL) candidates may apply. GS employees may not apply. For a Staff Reserve assignment (a time limited appointment generally set at three years, and not to exceed five years): Relocation Expenses: Permanent Change of Station (PCS) relocation expenses is authorized. Job Interview Travel: Candidates from outside the Washington, D.C., area may be selected for a telephone, teleconference, or in-person interview. If selected for an in-person interview, any travel or lodging will be at the government&#39;s expense. Component Mission: PARTNER ENGAGEMENT COMPONENT MISSION The mission of the Office of the Assistant Director of National Intelligence for Partner Engagement (ADNI/PE) is to ""Advance partnerships and responsible intelligence and information sharing to enhance decision-making"" while we lead and effectively manage a diverse and highly skilled workforce; strengthen partnerships to enable integration, promote mutual understanding, and support accountability; promote interoperable capabilities to drive intelligence and information sharing while protecting privacy, civil liberties, and civil rights; optimize intelligence and information sharing to identify and address threats and opportunities; and develop and implement repeatable business practices to support PE decision making and achieve mission performance.",0.0000,0.0000,Detail,Office of the Director of National Intelligence,Per Year,2018-10-04,16725-DE-10060220-18-JM,"Montgomery County, Maryland",2017-10-05,16725 - Deputy Program Manager for Mission Programs - SNIS Professional Tier 1,"Mandatory and Educational Requirements Mastery knowledge of and experience with Federal, state, local, tribal, private sector, and international counterterrorism, law enforcement, homeland security, and public safety agencies, organizations, professional associations, programs, policies, and practices particularly related to information sharing issues, needs, challenges, opportunities, and solutions. Excellent interpersonal, organizational, and management skills to conceptualize and effectively lead complex ISE projects with limited supervision, ability to work with and represent the organization when views differ among agencies, and ability to work effectively independently and in a team or collaborative environment Excellent communication skills, including ability to communicate effectively with people at all levels of leadership and all levels of expertise from inside and outside the USG. Superior ability to give effective oral presentations, and to otherwise represent the ISE across the Intelligence, Defense, foreign affairs, Law Enforcement, and Homeland Security communities. Superior executive leadership skill in strategically planning, managing, and directing the efforts of large-scale government organizations",https://www.usajobs.gov:443/GetJob/ViewDetails/481743200
2018-01-04,Department of the Navy,GS,"The Navy&#39;s Office of the General Counsel (OGC) has over 140 locations around the world. To view Department of the Navy&#39;s Office of the General Counsel (OGC) current attorney vacancies please go to the OGC website at: http://www.secnav.navy.mil/OGC/Lists/Vacancies2/Front.aspx. Please note that the OGC website lists all available attorney positions. All questions regarding vacancy announcements should be directed to the point of contact listed for the specific vacancy. OGC consists of approximately 750 civilian attorneys, 25 uniformed Navy JAGs and Marine Corps Judge Advocates, and over 200 support staff located in 140 offices throughout the United States and overseas. These positions range from GS-11 to GS-15. Approximately 300 civilian attorneys are located in Washington D.C.. The Office of the General Counsel of the Navy provides legal advice to the Secretary of the Navy, the Under Secretary of the Navy, the Assistant Secretaries of the Navy and their staffs, and the multiple components of the Department, to include the Navy and the Marine Corps, in the obligation of an annual budget of over $160 billion and the management of over 900,000 service members and civilians. . Civilian Navy OGC attorneys help clients address legal concerns in virtually every area of the law related to business, including government contracts, public employment ethics, environmental concerns, personal and real property law, personnel law, fiscal issues, intellectual property law, litigation, legislation, cyber and intelligence law.",160300.0000,64650.0000,Multiple Appointment Types,Secretary of the Navy/Assistant for Administration (DON/AA),Per Year,2018-01-04,DON0905-LTA,"Washington Navy Yard, District of Columbia",2017-01-05,Attorney,"The Office of Personnel Management (OPM) has not issued qualification standards for attorney positions. However, OGC sets minimum qualifications for attorney positions and sets forth these qualifications in each vacancy announcement. The successful candidate: Must be a U.S. citizen Graduated with a J.D. or LL.B from a law school accredited by the American Bar Association An active member in good standing of the bar of the highest court of a State, U.S. Commonwealth, U.S. territory, or the District of Columbia Admitted to practice before a state or federal court Must obtain and maintain a Secret security clearance Patent Attorneys must be members of the U.S. Patent and Trademark Organization A secret or top secret security clearance is a requirement of a position with OGC. Failure to obtain and maintain the required level of clearance may result in the withdrawal of a position offer or removal. If you possess a security clearance, please indicate the level and termination date in your resume.",https://www.usajobs.gov:443/GetJob/ViewDetails/434612600
2017-12-29,Department of the Treasury,GS,"The Director, Operations and Personnel, within the Office of Intelligence and Analysis (OIA) supports strategic direction of OIA, including its mission to support the formulation of policy and the execution of Treasury authorities by providing expert analysis and intelligence production on the full range of economic, political and security issues. The Director of OSI supports the strategic direction of OIA by providing oversight of strategic management, budget and performance, acquisition technical representation, intelligence oversight, intelligence policy, and strategic relationships. The Director of OSI will provide advice and assistance on sensitive and critical matters pertaining to prioritization, program direction, and general leadership on issues critical to OIA's mission.Pursuant to 50 USC &#167; 3024 (v), and with concurrence and consultation with the Director of National Intelligence and the Director of the Office of Personnel Management, this position is being established in the excepted service as an element of the intelligence community within the Department of the Treasury.",161900.0,131767.0,Full-time,"Treasury, Departmental Offices",Per Year,2017-12-29,18-DO-47-X,"Washington DC, District of Columbia",2017-12-21,"Director, Operations and Personnel","You must meet the following requirements by the closing date of this announcement.Specialized experience: For the GS-15, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-14 grade level in the Federal service. Specialized experience for this position includes ALL of the following: &#8226; Serving as a management liaison with senior human resources personnel within the immediate organization; AND&#8226; Providing management advisory assistance to high-level (Director- and SES-level) managers on areas including program direction, budget and performance, succession planning, resource management/prioritization and/or intelligence policy oversight; AND&#8226; Developing an organization's strategic workforce plan, monitoring and assessing its performance and providing recommendations for improvement.",https://www.usajobs.gov:443/GetJob/ViewDetails/487147300
