ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-05,Department of the Air Force,NH,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen,Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do.",134776.0000,88136.0000,Permanent,Air Combat Command,Per Year,2018-01-05,AFPC-10092047-077495-OPM,"Holloman AFB, New Mexico",2017-12-19,FLIGHT TEST PILOT,"In order to qualify, you must meet the Minimum Eligibility Requirements, Minimum Flight Hour Requirements, and the Medical Requirement described below. Your resume must clearly describe your relevant experience. Minimum Eligibility Requirements:Possess a current Commercial Pilot Certificate or the appropriate military rating. Note: You must submit documentation of your current certificate and/or rating. AND Possess the Federal Aviation Administration (FAA) Flight Instructor Certificate or the military equivalent rating. The pilot certificate must include rating(s) in flying airplanes and/or helicopters. Note: You must submit documentation of your current certificate and/or rating. Minimum Flight Hour Requirements:Possess a total flight time of 1500 hours as a pilot in command or copilot in an aircraft of any weight or category. Note: You must submit documentation of your flight time. Minimum Flight Hour Requirements: Possess 250 hours as a pilot in command. Only flight hours acquired as pilot in command are creditable. Note: You must submit documentation of your flight time. AND Possess 75 hours of night flying. Note: You must submit documentation of your flight time. AND Possess a minimum of 500 hours of instructor time in a fixed-wing aircraft? At least 250 hours must have involved instrument instruction. Note: You must submit documentation of your flight time. Medical Requirement: Possess a current first or second-class medical certificate in accordance with FAA regulations. Note: You must submit your certificate. For more information on these qualification standards, please visit the United States Office of Personnel Management&#39;s website at http://www.opm.gov/qualifications PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience",https://www.usajobs.gov:443/GetJob/ViewDetails/486682500
2018-01-03,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen,Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do.",126045.0000,96959.0000,05/31/2021,Air Combat Command,Per Year,2018-01-03,AFPC-10093601-056823-OPM,"Moody AFB, Georgia",2017-12-19,AIRPLANE FLIGHT INSTRUCTOR,"In order to qualify, you must meet the Minimum Eligibility Requirements, Minimum Flight Hour Requirements, and the Medical Requirement described below. Your resume must clearly describe your relevant experience. Minimum Eligibility Requirements:Possess a current Commercial Pilot Certificate or the appropriate military rating. Note: You must submit documentation of your current certificate and/or rating. AND Possess the Federal Aviation Administration (FAA) Flight Instructor Certificate or the military equivalent rating. The pilot certificate must include rating(s) in flying airplanes and/or helicopters. Note: You must submit documentation of your current certificate and/or rating. Minimum Flight Hour Requirements:Possess a total flight time of 1500 hours as a pilot in command or copilot in an aircraft of any weight or category. Note: You must submit documentation of your flight time. Minimum Flight Hour Requirements: Possess 250 hours as a pilot in command. Only flight hours acquired as pilot in command are creditable. Note: You must submit documentation of your flight time. AND Possess 75 hours of night flying. Note: You must submit documentation of your flight time. AND Possess a minimum of 500 hours of instructor time in a fixed-wing aircraft? At least 250 hours must have involved instrument instruction. Note: You must submit documentation of your flight time. Medical Requirement: Possess a current first or second-class medical certificate in accordance with FAA regulations. Note: You must submit your certificate. For more information on these qualification standards, please visit the United States Office of Personnel Management&#39;s website at http://www.opm.gov/qualifications PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience",https://www.usajobs.gov:443/GetJob/ViewDetails/486765900
2018-01-05,Department of the Air Force,GP,"The mission of the United States Air Force is to fly, fight and win?in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. Applications will be accepted from United States citizens (U.S. citizenship required at time of application). Males born after 12-31-59 must be registered or exempt from Selective Service. For additional information, click here. For information on veteran&#39;s preference click here Military Spouse Preference (MSP): Click here for specific program requirements. To request MSP hiring preference, you must submit the following documents: Application or resume; Statement requesting MSP; and Copy of military sponsor&#39;s PCS orders 90-DAY COMPETITIVE CERTIFICATE: This vacancy announcement may be used to fill like vacancies for 90-days from the closing date. Applicants may be referred for consideration as/if additional vacancies occur during this period.",262000.0000,120000.0000,Permanent,Air Combat Command,Per Year,2018-01-05,AFPCDEO-10100746-940406-MM,"Nellis AFB, Nevada",2017-12-19,PHYSICIAN (INTERNAL MEDICINE),"In order to qualify, you must meet the education and/or experience requirements described below. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Basic Qualification Requirement:
Degree: Doctor of Medicine or Doctor of Osteopathy from a school in the United States or Canada approved by a recognized accredited body in the year of the applicant&#39;s graduation OR a Doctor of Medicine or equivalent degree from a foreign medical school that provided education and medical knowledge substantially equivalent to accredited schools in the United States. (Such equivalency is demonstrated by permanent certification by the Educational Commission for Foreign Medical Graduates (ECFMG) (or a fifth pathway certificate for Americans who completed premedical education in the United States and graduate education in a foreign country). (Submit copies of official transcripts). Licensure: Applicant must possess a current, active, full, and unrestricted license or registration as a Physician from a State, the District of Columbia, the Commonwealth of Puerto Rico, or a territory of the United States. (Submit copies of Licensure) Graduate Training: Subsequent to obtaining a Doctor of Medicine or Doctor of Osteopathic Medicine degree, a candidate must have had at least 1 year of supervised experience providing direct service in a clinical setting, i.e., a 1-year internship or the first year of a residency program in a hospital or an institution accredited for such training. For purposes of this standard, graduate training programs include only those internship, residency, and fellowship programs that are approved by accrediting bodies recognized within the United States or Canada. Descriptions of such programs are described below. An internship program involves broadly based clinical practice in which physicians acquire experience in treating a variety of medical problems under supervision (e.g., internal medicine, surgery, general practice, obstetrics-gynecology, and pediatrics). Such programs are in hospitals or other institutions accredited for internship training by a recognized body of the Accreditation Council for Graduate Medical Education (ACGME). A residency program involves training in a specialized field of medicine in a hospital or an institution accredited for training in the specialty by a recognized body of the American Medical Association, (AMA) or Accreditation Council for Graduate Medical Education (ACGME). A fellowship program involves advanced training (beyond residency training) in a given medical specialty in either a clinical or research setting in a hospital or an institution accredited in the United States for such training. Additional Qualification Requirement:
Applicant must possess five years of graduate training in the specialty of the position to be filled or equivalent experience and training. Click on the following link to view occupational requirements for this position:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0600/medical-officer-series-0602/ KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas: Knowledge of professional Internal Medicine practices, principles, and theories to carry full responsibility for medical care of a wide range of adult illnesses and injuries in the inpatient and outpatient setting. Knowledge of clinical decision making principles, population base management strategies, and principles of disease management through the use of clinical path guidelines and the community resource/referral system. Skill in performing diagnostic and therapeutic procedures such as phlebotomy, lumbar puncture, endotracheal intubation, intraosseous and intravenous infusion, thoracentesis, central venous catheter placement, arterial line placement, arthrocentesis, paracentesis, needle thoractormy, removal of minor skin lesions such as warts and skin tags, etc. as specified by the credential and privilege list. Skill in the evaluation, diagnosis, and treatment of a wide variety of diseases and medical conditions to include but not limited to: diabetes, hypertension, cardiovascular disease, asthma, arthritis, cancer, extremity injuries, and psychiatric/psychological disorders. Ability to guide, train, and mentor paraprofessionals, clinical nurses, and ancillary support staff. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486923400
2018-01-05,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen,Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do.",78861.0000,60665.0000,Permanent,Air Combat Command,Per Year,2018-01-05,AFPC-10097801-945832-OPM,"Nellis AFB, Nevada",2017-12-20,INFECTION PREVENTIONIST,"In order to qualify, you must meet the education and/or experience requirements described below. Your resume must clearly describe your relevant experience. If qualifying based on education, a copy of your unofficial transcripts must be provided with your application. Basic Education Requirement: Have a bachelor&#39;s or graduate higher level degree in an academic field related to the medical field, health sciences or allied sciences appropriate to the work of the position. This degree must be from an educational program from an accrediting body recognized by the U.S. Department of Education at the time the degree was obtained. AND: Additional Requirement: A. Have at least one year of specialized experience equivalent to the GS-09 level or higher, or the equivalent in other pay systems. This experience may also have been obtained in the private sector, but it must demonstrate that it is comparable to the GS grade indicated. Specialized experience includes: (1) Conducting infection prevention and control inspections according to current regulatory guidance. (2) Revising local infection prevention and control policies and procedures in accordance with national guidelines and local, state, and federal regulations. (3) Collecting surveillance data from patient care areas. (4) Developing risk assessment plans for new construction or renovation projects. (5) Applying theoretical and conceptual models from health education to plan effective programs and improve program delivery. OR
B. Have successfully completed 3 years of progressively higher level graduate education leading to a Ph.D. degree or equivalent doctoral degree in an academic field related to the health sciences or allied sciences appropriate to the work of the position. This education provided me with the knowledge, skills, and abilities necessary to do the work, and it was obtained from an accredited business, technical school, junior college, college, or university. OR C. Have a combination of the experience described in ""A"" and the education described in ""B."" To compute this quantity, first determine your graduate education as a percentage of the education required (only graduate education beyond your first 36 hours is qualifying); then, determine your qualifying specialized experience as a percentage of the experience required. Add the two percentages. The total percentage must equal at least 100% to qualify. For more information on these qualification standards, please visit the United States Office of Personnel Management&#39;s website at http://www.opm.gov/qualifications PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience",https://www.usajobs.gov:443/GetJob/ViewDetails/486978200
2018-01-05,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win&hellip;in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. Applications will be accepted from United States citizens (U.S. citizenship required at time of application). Males born after 12-31-59 must be registered or exempt from Selective Service. For additional information, click here. For information on veteran&#39;s preference click here Military Spouse Preference (MSP): Click here for specific program requirements. To request MSP hiring preference, you must submit the following documents: Application or resume; Statement requesting MSP; and Copy of military sponsor&#39;s PCS orders 90-DAY COMPETITIVE CERTIFICATE: This vacancy announcement may be used to fill like vacancies for 90-days from the closing date. Applicants may be referred for consideration as/if additional vacancies occur during this period.",84446.0000,64961.0000,Permanent,Air Combat Command,Per Year,2018-01-05,AFPCDEO-10104297-873690-YMH,"Beale AFB, California",2017-12-21,MECHANICAL ENGINEER,"In order to qualify, you must meet the education and/or experience requirements described below. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. QUALIFICATION REQUIREMENTS:
Degree: Professional Engineering. To be acceptable, the curriculum must: (1) be in a school of engineering with at least one curriculum accredited by the Accreditation Board for Engineering and Technology (ABET) as a professional engineering curriculum; or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics. OR Combination of education and experience: College-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying professional engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following: 1. Professional Registration: Current registration as a professional engineer by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board&#39;s eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions. OR 2. Written Test: Evidence of having successfully passed the Engineer-in-Training (EIT) examination, or the written test required for professional registration, which is administered by the Boards of Engineering Examiners in the various States, the District of Columbia, Guam, and Puerto Rico. OR 3. Specified Academic Courses: Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and in engineering that included the courses specified in the basic requirements. The courses must be fully acceptable toward meeting the requirements of a professional engineering curriculum. OR 4. Related Curriculum: Successful completion of a curriculum leading to a bachelor&#39;s degree in engineering technology or in an appropriate professional field, e.g., physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least one year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. IN ADDITION TO MEETING THE BASIC REQUIREMENTS ABOVE, APPLICANTS MUST ALSO MEET THE QUALIFICATION REQUIREMENTS LISTED BELOW: SPECIALIZED EXPERIENCE: One year of experience equivalent to the GS-09 grade level which has equipped the applicant with the particular knowledge, skills, and abilities to perform successfully the duties of the position. Specialized experience is experience which may have been gained while performing design work for new construction, renovations and improvements to real property facilities, including utility systems such as heating, ventilation and air conditioning (HVAC); water and sewage (plumbing); fire suppression, control and alarm systems which may interface with other engineering specializations. OR EDUCATION: Three full years of progressively higher level graduate education in a field related to the position being filled OR Ph.D. or equivalent doctoral degree, if related. KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas: Knowledge of mechanical engineering concepts, principles, practices and familiarity with other engineering disciplines and architecture. Knowledge of automated data processing concepts, systems capabilities, and economic usage to effectively accomplish assigned functions. Knowledge of engineering and construction standards, methods, practices and techniques, materials and equipment to determine compliance with federal, state and local codes and regulations. Ability to analyze, interpret and apply rules, regulations and procedures in a variety of situations and recommend timely and economical solutions. Ability to communicate effectively both orally and in writing and maintain good working relations. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487193900
2018-01-05,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen,Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do.",78270.0000,60210.0000,09/30/2018,Air Combat Command,Per Year,2018-01-05,AFPC-10094139-090158-OPM,"Offutt AFB, Nebraska",2017-12-21,INFECTION PREVENTIONIST,"In order to qualify, you must meet the education and/or experience requirements described below. Your resume must clearly describe your relevant experience. If qualifying based on education, a copy of your unofficial transcripts must be provided with your application. Basic Education Requirement: A bachelor&#39;s or graduate higher level degree in an academic field related to the medical field, health sciences or allied sciences appropriate to the work of the position. This degree must be from an educational program from an accrediting body recognized by the U.S. Department of Education at the time the degree was obtained. AND, Additional Requirement:
At least one year of specialized experience equivalent to the GS-09 level or higher, or the equivalent in other pay systems. This experience may also have been obtained in the private sector, but it must demonstrate that it is comparable to the GS grade indicated. Specialized experience includes: (1) Conducting infection prevention and control inspections according to current regulatory guidance. (2) Revising local infection prevention and control policies and procedures in accordance with national guidelines and local, state, and federal regulations. (3) Collecting surveillance data from patient care areas. (4) Developing risk assessment plans for new construction or renovation projects. (5) Applying theoretical and conceptual models from health education to plan effective programs and improve program delivery. OR, Successfully completed 3 years of progressively higher level graduate education leading to a Ph.D. degree or equivalent doctoral degree in an academic field related to the health sciences or allied sciences appropriate to the work of the position. This education provided me with the knowledge, skills, and abilities necessary to do the work, and it was obtained from an accredited business, technical school, junior college, college, or university. OR, Have a combination of the experience described in ""A"" and the education described in ""B."" To compute this quantity, first determine your graduate education as a percentage of the education required (only graduate education beyond your first 36 hours is qualifying); then, determine your qualifying specialized experience as a percentage of the experience required. Add the two percentages. The total percentage must equal at least 100% to qualify. For more information on these qualification standards, please visit the United States Office of Personnel Management&#39;s website at http://www.opm.gov/qualifications PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment.You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487212000
2017-12-26,Department of Defense,WL,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD) agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.",29.25,25.05,Permanent,Defense Logistics Agency,Per Hour,2017-12-26,DLALndMartm-18-2026955-DE,"Portsmouth Naval Shipyard, Maine",2017-12-13,WOOD WORKER LEADER,"To qualify for a Wood Worker Leader, your resume and supporting documentation must support: Applicants will be rated in accordance with the Office of Personnel Management Qualification Standard for Trades and Labor Occupations. Although a specific length of time and experience is not required, you must meet any screen-out element listed, and show through experience and training that you possess the quality level of knowledge and skill necessary to perform the duties at the level for which you are applying. Emphasis is placed on how you gained the quality of experience, not necessarily the length of time, and that you have the required ability or potential to perform the job.Applicants who do not meet the screen-out element (SOE) will be eliminated from further competition.Your qualifications will be evaluated on the basis of your level of competency (knowledge, skills and abilities) in the following job elements: Ability to lead or supervise workers and projectsKnowledge of equipment assembly, installation, repair, materials, etc.Ability to interpret instructions, specifications, etc. (includes blueprinting reading) Skill in measurement and layoutAbility to use and maintain tools and equipment",https://www.usajobs.gov:443/GetJob/ViewDetails/486563100
2017-12-26,Department of Defense,GS,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD) agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.",57113.0,43930.0,Permanent,Defense Logistics Agency,Per Year,2017-12-26,DLALndMartm-18-2027040-DE,"Bremerton, Washington",2017-12-15,Purchasing Agent,"To qualify for a Purchasing Agent, your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position, and is directly in or related to this position. To qualify at the GS-07 level, applicants must possess one year of specialized experience equivalent to the GS-06 level or equivalent under other pay systems in the Federal service, military or private sector. Creditable specialized experience includes: Negotiating for price reductions or other remedies; monitoring vendor performance through contacts and reviewing of progress reports; purchasing commercial supplies and services through competitive open market procedures or through orders against established contracts and consolidating orders to meet minimum ordering quantities under Federal Supply Schedules.Your qualifications will be evaluated on the basis of your level of competency (knowledge, skills and abilities) in thefollowing areas:Ability to interpret and apply purchasing laws, regulations and policies.Knowledge of small purchase procedures and methods.Ability to communicate orally.Ability to communicate in writing.",https://www.usajobs.gov:443/GetJob/ViewDetails/486799300
2017-12-26,Department of Defense,GS,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD) agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.",63243.0,48651.0,Permanent,Defense Logistics Agency,Per Year,2017-12-26,DLALndMartm-18-2027123-DE,"Bremerton, Washington",2017-12-15,Supervisory Purchasing Agent,"To qualify for a Supervisory Purchasing Agent, your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position, and is directly in or related to this position. To qualify at the GS-08 level, applicants must possess one year of specialized experience equivalent to the GS-07 level or equivalent under other pay systems in the Federal service, military or private sector. Creditable specialized experience includes: Review of purchase requisitions to ensure that requirements meet purchase card criteria and all required approvals are obtained prior to assignment to cardholder; distribute workload ensuring equal distribution; assure timely and accurate cardholder statement of account reconciliation, reviews and processes completed in a timely manner; assist cardholders with complex problem solving, dispute resolutions with vendor and bank card personnel and provide guidance and training to purchase card holders.Your qualifications will be evaluated on the basis of your level of competency (knowledge, skills and abilities) in thefollowing areas: Knowledge of the Government Purchase Card program procedures.Knowledge of Federal and DoD acquisition laws, regulations and policies. Ability to communicate.Knowledge of the following supervisory/managerial competencies: professionalism, leadership, teamwork, oral and written communication, strategic focus, responsibility and accountability, innovation and initiative, customer service and resource stewardship.",https://www.usajobs.gov:443/GetJob/ViewDetails/486801900
2017-12-28,Department of Defense,GS,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD)&#160;agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.&#160;&#160;",78270.0,49765.0,Term NTE 3 Years,Defense Logistics Agency,Per Year,2017-12-28,DLAJ8DispSvcs-18-2027347-DE,"Battle Creek, Michigan",2017-12-19,Business Analyst,"To qualify for a Business Analyst, your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular knowledge, skills, and abilities (KSA's) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To qualify at the GS-09 level, applicants must possess one year of specialized experience equivalent to the GS-07 level or equivalent under other pay systems in the Federal service, military, or private sector. To qualify at the GS-11 level, applicants must possess one year of specialized experience equivalent to the GS-09 level or equivalent under other pay systems in the Federal service, military or private sector. Creditable specialized experience includes: GS-9: Serving as a budget facilitator ensuring the budget meets the requirements of their organization; identifying valuation changes and coordinating with the appropriate financial analyst(s) to ensure appropriate actions are taken to research substantial changes in inventory values; applying pricing rules and ensures they comply with the overall pricing methodology that has been established by higher level authorities. GS-11: Serving as a primary budget facilitator ensuring the budget meets the requirements of their organization or functional area; identifying valuation discrepancies and changes and coordinates with the appropriate financial analyst(s) to ensure appropriate actions are taken to investigate and resolve changes in inventory values; applying pricing rules and ensures they comply with the overall pricing methodology that has been established by higher level authorities; analyzing financial performance results and financial/business performance.B. Education Substitution: Such education must demonstrate the knowledge, skills, and abilities necessary to do the work. Education must be from a college or university accredited by an organization approved by the U.S. Department of Education. See http://ope.ed.gov/accreditation/Search.aspx. If using education to meet basic qualifications, YOU MUST SUBMIT A TRANSCRIPT as supplemental documentation. To qualify based on education in lieu of specialized experience, you must possess: GS-09 -A successfully completed master's degree or equivalent graduate degree OR 2 full years of progressively higher level graduate education leading to such a degree, or LLB. or J.D., if related. GS-11 - PH.D. or Equivalent Doctoral Degree or 3 full years of progressively higher level graduate education leading to a PH.D. OR equivalent doctoral degree.C. Combination: Combinations of successfully completed post-high school education and experience may be used to meet total qualification requirements for grade levels GS-9 and GS-11, and may be computed by first determining the applicant's total qualifying experience as a percentage of the experience required for the grade level; then determining the applicant's education as a percentage of the education required for the grade level; and then adding the two percentages. The total percentages must equal at least 100 percent to qualify an applicant for that grade level. Only graduate education in excess of the amount required for the next lower grade level may be used to qualify applicants for positions at grades GS-09 and GS-11. Your qualifications will be evaluated
on the basis of your level of competency (knowledge, skills and abilities) in
the following areas:Knowledge of the policies, precedents, regulations, and guidelines sufficient to contribute to the overall evaluation of business performance.Knowledge and understanding of budgetary methods, practices, procedures, and regulations.Comprehensive knowledge of appropriation law and of the sources, types, and methods of funding for assigned budgets.Ability to communicate orally and in writing.",https://www.usajobs.gov:443/GetJob/ViewDetails/486874400
