ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-09-30,Department of Agriculture,GS,"The Agricultural Research Service (ARS) is the United States Department of Agricultures chief scientific research agency and one of the worlds premiere scientific organizations. ARS Postdoctoral Research Associates are hired to supplement a lead scientist's research on agricultural problems of high national priority affecting American agriculture.This is an Excepted Service, time-limitedappointmentwith an initial duration of 13 months.
U.S. citizens, permanent residents who meet certain eligibility requirements and non-citizens who meet certain eligibility requirements.
Additional information on the employment of non-citizens can be found at: http://www.afm.ars.usda.gov/hrd/EmployForeignNationals/index.htm.**ANNOUNCEMENT IS OPEN UNTIL FILLED OR SEPTEMBER30, 2018**",78270.0,60210.0,Temporary,Agricultural Research Service,Per Year,2018-09-30,RA-18-001-L,"Madison, Wisconsin",2017-10-27,Research Biologist (Computational)/Microbiologist (Research Associate),"This position requires a Ph.D inComputational Biology, Microbiology, or a related field of study that has equipped the applicant with the necessary knowledge, skills and abilities to perform the duties and responsibilities of the position. Knowledge of a programming language such as Perl, Python, C, C++, R or Java as well as a knowledge of statistical modeling is desirable.Applicants must meet basic Office of Personnel Management (OPM) Qualification Standard's requirements (found in links below)for one of the scientific disciplines necessary to perform the duties and responsibilities of the position. Qualification Standards for General Natural Resources Management and Biological Sciences Series, 0401 https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0400/general-natural-resources-management-and-biological-sciences-series-0401/Qualification Standards for Microbiology Series, 0403https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0400/microbiology-series-0403/This position has a positive education requirement. You must submit a copy of your academic transcripts OR a list of college courses with credit hours, dates completed, and grades received to verify education when applying for this position. If this information is not provided, your education may not be appropriately evaluated and you may lose consideration for this position. If you are selected for this position, you will have to provide an official copy of your transcripts prior to entering on duty. Application materials will not be returned.",https://www.usajobs.gov:443/GetJob/ViewDetails/483040800
2017-12-26,Department of Commerce,ZP,"This position will conduct research on firebrand ignition including large-scale experiments and computational modeling where our division is currently trying to extend our building fire models into the wildland arena. An emphasis will be placed on the ignition of building material fuel beds from the accumulation of firebrands because the ignition of structures from burning, airborne firebrands causes so much damage in wildland-urban interface fires.Are you ready to explore your future with NIST?Your application package may be shared with other selecting officials at NIST with opportunities like the one you are applying to. Additional selections may be made through this vacancy.",103639.0,66510.0,Term not to exceed two years.,National Institute of Standards and Technology,Per Year,2017-12-26,NISTEL-2018-0005,"Gaithersburg, Maryland",2017-12-18,Mechanical Engineer ZP-0830-III (GS-11/12 equivalent),"Basic Requirement: Degree: professional engineering. To be acceptable, the curriculum must: (1) be in a school of engineering with at least one curriculum accredited by the Accreditation Board for Engineering and Technology (ABET) as a professional engineering curriculum; or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics.ORCombination of education and experience - college-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying professional engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following:Professional registration - Current registration as a professional engineer by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions.Written Test - Evidence of having successfully passed the Engineer-in-Training (EIT) examination, or the written test required for professional registration, which is administered by the Boards of Engineering Examiners in the various States, the District of Columbia, Guam, and Puerto Rico.Applicants who have passed the EIT examination and have completed all the requirements for either (a) a bachelor's degree in engineering technology (BET) from an accredited college of university that included 60 semester hours of courses in the physical, mathematical, and engineering sciences, or (b) a BET from a program accredited by the Accreditation Board for Engineering and Technology (ABET) may be rated eligible for certain engineering positions at GS-5. Eligibility is limited to positions that are within or closely related to the specialty field of the engineering technology program. Applicants for positions that involve highly technical research, development, or similar functions requiring an advanced level of competence in basic science must meet the basic requirements in paragraph A.Because of the diversity in kind and quality of BET programs, graduates of other BET programs are required to complete at least 1 year of additional education or highly technical work experience of such nature as to provide reasonable assurance of the possession of the knowledge, skills, and abilities required for professional engineering competence. The adequacy of this background must be demonstrated by passing the EIT examination.Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and in engineering that included the courses specified in the basic requirements. The courses must be fully acceptable toward meeting the requirements of a professional engineering curriculum as described in paragraph A.Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in engineering technology or in an appropriate professional field, e.g., physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. (The above examples of related curricula are not all-inclusive.) IN ADDITION TO THE BASIC REQUIREMENT: Applicant must possess one year (52 weeks) of Specialized Experience equivalent to the GS-10 grade level in the federal service (ZP-II for NIST employees). Specialized experience is defined as experience in conducting combustion experiments including heat and mass transfer, gas-phase combustion chemistry and model development. Experience using a gas chromatograph/mass spectrometer and interpreting results. ORMaster&#8217;s or equivalent graduate degreeORA combination of education and experience.Qualification requirements in the vacancy announcement are based on the U.S. Office of Personnel Management (OPM) Qualification Standards Handbook, which contains Federal qualification standards. This handbook is available on the OPM website located at http:///www.opm.gov/qualifications.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486781600
2018-01-02,National Aeronautics and Space Administration,GS,"As a technical lead in the Revolutionary Aviation Technologies Branch (RATB), Research Directorate, you will conduct low to high technology readiness levels (TRL) research and development directed toward the scientific understanding and engineering application of technologies applicable to advanced aeronautical flight systems. The mission of the RATB is to identify, research, and develop innovative technologies and methodologies that will revolutionize the performance and capabilities of future air vehicles. To accomplish this, the branch: 1) investigates and matures high-risk, high-payoff technologies by conducting experimental and computational research; 2) develops, performs, assesses, and applies advanced experimental and computational methods; and 3) conducts multidisciplinary systems analysis studies to identify critical enabling technologies and to determine the system-level benefits of these emerging technologies. This position entails leading a multidisciplinary team that conducts innovative and multidisciplinary research in a fast-paced and challenging environment. To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.Selectee must be able to obtain and maintain a Top Secret/SCI Clearance.",155073.0,119285.0,Permanent,Langley Research Center,Per Year,2018-01-02,LA18D0008,"Hampton, Virginia",2017-12-19,"Research Aerospace Engineer, AST Aerospace Flight Systems","Applicant must have one year of specialized experience equivalent to the next lower grade, which has equipped the applicant with the particular competencies needed to successfully perform the duties of the position described above. Specialized experience includes: broad multidisciplinary research experience spanning the aeronautical, mechanical, electrical/electronic, and materials engineering disciplines, with effective technical leadership, project planning, project management, and contractor technical management; and involvement in the design and development of new and innovative aeronautical flight technologies that resulted in major performance improvements in advanced aerospace systems. Applicants are encouraged to provide information documenting contributions, impact, and stature.",https://www.usajobs.gov:443/GetJob/ViewDetails/486951700
2018-05-19,Department of Defense,IA,"JOB DESCRIPTION: R&D Scientists apply the scientific method in one or more disciplines (e.g., Photogrammetry, Geodesy, Computer Science, Mathematics, Image Science, Human Terrain Analysis) to advance Geospatial Science and enhance Agency tradecraft. They conduct and develop novel scientific research projects and facilitate interdisciplinary collaboration to further scientific inquiry and application. They provide technical guidance and oversight, report results, and advise management on new and evolving technology. They address a variety of complex data-related analytical problems by applying quantitative and qualitative analytic methods.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-19,20180514,"Springfield, Virginia",2017-11-27,R&D Scientist,"EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Mathematics, Physical Science, or a related discipline that includes 24 semester (36 quarter) hours in Science, Mathematics and/or a related Engineering Science. Such coursework includes, but is not limited to, Astronomy, Cartography, Chemistry, Computer Science, Dynamics, Electrical Engineering, Geodesy, Geography, Geology, Geophysics, Geospatial Information Systems, Mathematics, Orbital Mechanics, Photogrammetry, Physics, Remote Sensing, or Surveying. Although not mandatory, coursework in differential and integral calculus is preferred. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of college education in any areas listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals to 4 years.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 3:
1) Research experience evidenced by previous, documented efforts.
2) Demonstrated communication skills and an ability to independently coordinate programs and projects in areas of science and research related to geospatial intelligence functions. 3) Experience briefing scientific research and communicating results to a range of stakeholders
Authorship of technical articles accepted by peer-reviewed scientific journals.
4) Experience developing research proposals, executing research plans, and collaborating with other scientists.
5) Experience in demonstrating the quality, complexity and significance of research outputs through sound evaluation and analysis of results. 6) Ph.D. degree desired, but a minimum of a Bachelor's or a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry. 7) Knowledge of NGA, its multidisciplinary tradecraft, mission, and the interrelationships of the Intelligence Community with Federal Agencies as well as Academia and Industry. Pay Band 4:
1) Demonstrated subject matter expertise on topics in your technical domain(s), incorporating this expertise into research projects. 2) Documented experience monitoring technical personal and programs.
3) Experience briefing scientific research and communicating results to a range of stakeholders.
4) Ph.D. degree desired, but a minimum of a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry.
5) Experience developing and leading research proposals, executing research plans, and collaborating as appropriate with other scientists.
6) Experience demonstrating the quality, complexity and significance of research outputs through sound evaluation and analysis of results.
7) Demonstrated research skills and experience as evidenced by previous, documented efforts, citations of work and publications in peer-reviewed journals, and receipt of patents and/or awards in a STEM related topic.
8) Knowledge of NGA, its multidisciplinary tradecraft, mission, and the interrelationships of the Intelligence Community with Federal Agencies as well as Academia and Industry. 9) Ability to handle a wide range of complex tasks and non-routine situations.",https://www.usajobs.gov:443/GetJob/ViewDetails/485103700
2018-03-03,Department of Defense,IA,"JOB DESCRIPTION: R&D Scientists apply the scientific method in one or more disciplines (e.g., Photogrammetry, Geodesy, Computer Science, Mathematics, Image Science, Human Terrain Analysis) to advance Geospatial Science and enhance Agency tradecraft. They conduct and develop novel scientific research projects and facilitate interdisciplinary collaboration to further scientific inquiry and application. They provide technical guidance and oversight, report results, and advise management on new and evolving technology. They address a variety of complex data-related analytical problems by applying quantitative and qualitative analytic methods.",161900.0,131767.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-03-03,20180553,"Springfield, Virginia",2017-12-18,R&D Scientist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Mathematics, Physical Science, or a related discipline that includes 24 semester (36 quarter) hours in Science, Mathematics and/or a related Engineering Science. Such coursework includes, but is not limited to, Astronomy, Cartography, Chemistry, Computer Science, Dynamics, Electrical Engineering, Geodesy, Geography, Geology, Geophysics, Geospatial Information Systems, Mathematics, Orbital Mechanics, Photogrammetry, Physics, Remote Sensing, or Surveying. Although not mandatory, coursework in differential and integral calculus is preferred. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of college education in any areas listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals to 4 years.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1. Demonstrated research skills and experience as evidenced by previous, documented efforts, citations of work and publications in peer-reviewed journals, and receipt of patents and/or awards in a STEM related topic;
2. Demonstrated knowledge and background in Research and Development policies, structure, and interrelationships of the Intelligence Community and other Federal Agencies as well as Academia and Industry;
3. Demonstrated ability to administer, coordinate and direct programs and projects in the multiple areas of science and research related to geospatial intelligence functions; 4. Documented experience managing and monitoring technical personal and programs;
5. Experience briefing scientific research and communicating results to a range of stakeholders;
6. Ph.D. degree desired, but a minimum of a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry; 7. Knowledge of NGA, its multidisciplinary tradecraft, mission, organizations, and partners and knowledge of the organizations, processes, programs, and policies of the DoD and the National Intelligence Community.",https://www.usajobs.gov:443/GetJob/ViewDetails/486895000
2018-01-08,National Aeronautics and Space Administration,GS,"THIS ANNOUNCEMENT HAS BEEN EXTENDED DUE TO SYSTEM MAINTENANCE ON 1/5/18. This position serves as a Research Structural Materials Engineer in the Advanced Materials and Processing Branch within the Research Directorate. The branch's work includes applied research involving design, development, and evaluation of aerospace materials such as metals, intermetallics, polymers, nano-structural materials and composites, processing of materials, computational materials modeling and simulation, and characterization of these materials to determine their suitability for aerospace applications.Position may be filled at either the GS-12 or GS-13 level. The full performance level for this position is GS-13. If selected at the lower level, you may be non-competitively promoted to the next grade when qualified and recommended by management. Identification of promotion potential in this position does not constitute a commitment or an obligation on the part of management to promote the employee. Promotion will depend upon administrative approval and the continuing need for the actual assignment and performance of the higher level duties.To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.",111560.0,72168.0,Permanent,Langley Research Center,Per Year,2018-01-08,LA18D0001,"Hampton, Virginia",2017-12-05,"Research Materials Engineer, AST - Structural Materials  ","Applicant must have one year of specialized experience equivalent to the next lower grade, which has equipped the applicant with the particular competencies needed to successfully perform the duties of the position described above.GS-12: Experience in material science and engineering to resolve novel or obscure problems in multifunctional composite materials; extend and modify composite materials processing techniques.GS-13: Demonstrated specialized experience and knowledge in understanding of mechanical engineering, material science, composite defects, cure processing and parameters, and process modeling for future utilization in smart manufacturing. Experience and knowledge of time/temperature/phase characteristics for epoxy cure processes and methods/software used for prediction of epoxy characteristics during cure.",https://www.usajobs.gov:443/GetJob/ViewDetails/485784300
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science graduate/professional degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer graduate/professional students robust responsibilities and experiences that enhance their potential careers. Over the course of the year long program, graduate/professional students work along DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program is a year long program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least one year to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10088085-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,2018 Student Honors Business Program - Data Science (Graduate),"All qualification requirements must be met by the closing date of this announcement. Graduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Data Science Business Program.
- Must have received your undergraduate degree as of June 30, 2018.
- Must be accepted and/or enrolled in a graduate/professional degree program as of September 30, 2018.
- Must be enrolled as a degree-seeking graduate or Ph.D. (professional) student
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485516300
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science undergraduate degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer undergraduate students robust responsibilities and experiences that enhance their potential careers. Over the course of the summer program, undergraduate students will work alongside DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program for undergraduate students is a six (6) month program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least six (6) months to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10086540-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,Summer/Fall 2018 Student Honors Business Program - Data Science (Undergraduate),"All qualification requirements must be met by the closing date of this announcement. Undergraduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Business Program. - Must be a sophomore, junior, or senior student as of June 30, 2018.
- Must be enrolled as a degree-seeking undergraduate student
- Must be taking at least half-time academic course load
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485527800
2018-01-08,National Aeronautics and Space Administration,GS,"Note: This position is also being announced under Merit Promotion procedures to current and formerFederal employees along with special non-competitive hiring authorities. If you wish to be considered underMerit Promotion procedures, you MUST apply under the announcement AF18C0014.This position is located in the Aerostructures Branch within the Research and Engineering Directorate. You will be conducting static structures experimental (ground and flight-test) and analysis of air-breathing aircraft structures to determine their behavior in atmospheric environments. You may also be conducting research on advanced structural concepts and analyzing airframe modifications; or monitoring contractors engaged in this work. The following major duty areas comprise tasks and duties directly related to AST-Structural Mechanics work, NCC 715-50, as described in the AST Definition for that specialty level. The specialty knowledge described in the definition is needed to perform the duties of this job in addition to the knowledge described below.To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.",125706.0,81319.0,Permanent,Armstrong Flight Research Center,Per Year,2018-01-08,AF18D0007,"Edwards AFB, California",2017-12-18,Aerospace Engineer,"Applicant must have one year of specialized experience equivalent to the next lower grade, which has equipped the applicant with the particular competencies needed to successfully perform the duties of the position described above.To qualify for the GS 12 level, you must have one year of specialized experience at the GS 11 level. Examples of specialized experience at the GS 11 level should include testing, checkout, and preparation of systems, hardware or vehicles in the area of static structures. Supported in developing test plans, conducting risk and safety analyses, coordinated ground tests, flight tests, and static structures and stress analyses. Assisted in planning and conducting experimental studies involving several engineering disciplines that result in new design guidelines. To qualify for the GS 13 level, you must have one year of specialized experience at the GS 12 level. Examples of specialized experience at the GS 12 level should include testing, checkout, and preparation of systems, hardware or vehicles in the area of static structures. Developing test plans, conducting risk and safety analyses, conducting ground tests, flight tests, and static structures and stress analyses. Planning and conducting experimental studies involving several engineering disciplines that result in new design guidelines.Resumes will also be reviewed for the following competencies: Structural Design and Development Engineering; Structural Test Engineering; Instrumentation Systems; Analytical and Computational Methods; Structural Integration Engineering",https://www.usajobs.gov:443/GetJob/ViewDetails/486538300
2018-03-31,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. For EHA Positions:
These positions are being filled under Expedited Hiring Authority (EHA) for Defense Acquisition Workforce Positions and Health Care Occupations. The Secretary of the Air Force has delegated authority by the Office Of the Secretary of Defense to directly appoint individuals to select defense acquisition workforce positions, or &#39;EHA Acquisition,&#39; pursuant to the Defense Acquisition Workforce Improvement Act (DAWIA) and certain health care occupations, or &#39;EHA Medical.&#39; Positions are located Air Force-Wide. Positions may be filled as permanent or term with a full-time or part-time work schedule. Pay will vary by geographic location. For Direct Hire Positions:
This is a Direct Hire Public Notice, under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. This Public Notice is to gather applications which may or may not result in a referral or selection. This Public Notice may be used to fill positions in other equivalent pay systems (i.e., NH, NJ, NK). Please read this Public Notice in its entirety prior to submitting your application for consideration. Additional Information:
This announcement may be used to fill one or more vacancies.
Duties and responsibilities vary and may increase according to grade level.
This public notice may be used to fill target grades.",155073.0000,40684.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-03-31,AFPC-ACQDHA-10086311-1529,"Edwards AFB, California|Wright-Patterson AFB, Ohio|Fort Sam Houston, Texas",2017-12-01,Mathematical Statistics Series,"BASIC REQUIREMENTS:
A degree that included 24 semester hours of mathematics and statistics, of which at least 12 semester hours were in mathematics and 6 semester hours were in statistics.
OR
A combination of education and experience, at least 24 semester hours of mathematics and statistics, including at least 12 hours in mathematics and 6 hours in statistics. SPECIALIZED EXPERIENCE: GS-07: Successfully completed 1 year of specialized experience at the GS-05 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized experience includes sampling, collecting, computing, and analyzing statistical data, and applying known statistical techniques to data such as measurement of central tendency, dispersion, skewness, sampling error, simple and multiple correlation, analysis of variance, and tests of significance. GS-09: Successfully completed 1 year of specialized experience at the GS-07 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized includes knowledge of theory and methods of professional mathematical statistics including the calculus of probability, sampling theory, theory of design of experiments, systematic methods of curve fitting, set theory, matrices, logic, math history, etc. to include ANOVA (or similar software), regression (linear, nonlinear and multiple), distributions (chi-squared, F, t, gamma, etc.) and significance testing. GS-11: Successfully completed 1 year of specialized experience at the GS-09 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized experience includes professional knowledge in making mathematical studies assessing the ability of the organization to meet the user requirements setting up criteria to determine when the network is approaching saturation. GS-12: Successfully completed 1 year of specialized experience at the GS-11 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized experience includes knowledge of metrics to insure the accuracy of the measurements and to effectively evaluate their precision and validity. GS-13: Successfully completed 1 year of specialized experience at the GS-12 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized experience includes extracting& organizing raw cost data under general direction from the team leader, conducting basic mathematical analysis of programs information, & assisting in the collection, developmental and implementation of cost related information. GS-14: Successfully completed 1 year of specialized experience at the GS-13 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized experience includes a broad range of operations research analysis assignments entailing unique problems, creativity, innovative use of techniques, advanced approaches, and/or new technologies. Utilizes scientific inquiry independent development of mathematical models and computer programs to evaluate, interpret, & analyze progress implementation diversity priorities identified in the Air Force Diversity Strategic Roadmap. GS-15: Successfully completed 1 year of specialized experience at the GS-14 grade level or equivalent under other pay systems in the Federal service. Examples of creditable specialized experience includes applying scientific and analytical techniques to define, quantify, and evaluate feasibility of assigned projects, proposals, reports, studies or problems. A consultant and Air Force level technical expert to senior subject matter specialists and/or agency official program operations. Click on the following link to view education and/or experience requirements for this position:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-PROF Click on the following link to view occupational requirements for this position:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/1500/mathematical-statistics-series-1529/ KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas: Professional knowledge in making mathematical studies assessing the ability of the organization to meet the users requirements setting up criteria to determine when the network is approaching saturation in coordination with the supervisor. Knowledge of theory and methods of professional mathematical statistics including the calculus of probability, sampling theory of design of experiments, systematic methods of curve fitting, set theory, matrices, logic, math history, etc. to include ANOVA (or similar software), regression (linear, nonlinear and multiple), distributions (Chi-squared, F, t, gamma, etc.) and significance testing. Knowledge of routine metrics to insure the accuracy of the measurements and to effectively evaluate their precision and validity. Skill in preparing studies to evaluate the impact of the loading with projected budget levels. Ability to successfully manipulate computers and software in order to perform the analysis of satellite launches, collision avoidance and Satellite Vehicles with conjunction assessments maneuvers and Radio Frequency Interference analysis including Government ""standard"" software office suite tools for word processing, development and editing of briefing charts analysis. Ability to participate on study teams and originate new ideas, projects and methodologies and write technical reports on finding of statistical investigations. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/485564000
