ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-04,Other Agencies and Independent Organizations,GS,"This position is part of the MILITARY OPERATIONS BRANCH, National Archives and Records Administration. As a DATA TRANSCRIBER, you will serve as a data entry clerk operating a personal computer to transcribe data in a prescribed format for use in connection with the National Personnel Record Center&#39;s (NPRC) Case Management Review System (CMRS) and the automated NPRC Registry system. Whether you are new to the Federal Government or an experienced professional seeking a career change, you can make history at the National Archives. Our dedicated staff works across a variety of career fields to safeguard the records of the Federal Government - more than 10 billion of them. Visit our Employee Gallery at www.archives.gov/careers to see the kinds of dynamic projects our staff are undertaking. If you want a career where you can see the difference your work makes, then join the National Archives! For more information, visit: http://archives.gov/",38414.0000,29553.0000,Permanent,National Archives and Records Administration,Per Year,2018-01-04,JD10102260CJD,"Spanish Lake, Missouri",2017-12-20,DATA TRANSCRIBER,"BASIC QUALIFICATIONS
This position has a proficiency requirement. In addition to meeting experience or education requirements, applicants for these positions must show possession of the following skills, as appropriate. Applicants may meet these requirements by passing the appropriate performance test, presenting a certificate of proficiency from a school or other organization authorized to issue such certificates by the Office of Personnel Management local office, or by self-certifying their proficiency. Performance test results and certificates of proficiency are acceptable for 3 years. Data Transcriber, GS-2/4; and (Data Transcription) (any grade): Skill in operating an alphanumeric data transcribing machine, or 20 words per minute typing speed for GS-2 transcription duties or 25 words per minute typing speed for GS-3 and GS-4 transcription duties. *NOTE - Words per minute are based on a 5 minute sample with three or fewer errors. AND GENERAL EXPERIENCE: Applicants must have a minimum of one year of specialized experience at a level of difficulty and responsibility comparable to the next lower grade or comparable pay band in the Federal service, or equivalent experience in the private sector. One year of general experience equivalent to the GS-03 grade level in the Federal service or equivalent experience in the private sector operating data transcribing equipment to transcribe oral and written instructions; source documents that contain diverse formats, and coding and program controls; and identifying the cause of discrepancies and making appropriate corrections. OR Education: Four years of education above high school. This education must have been obtained in an accredited business, secretarial or technical school, junior college, college or university. OR Combination of Experience & Education: You may use a combination of your college education and experience to meet the total experience requirements of the GS-04 level. One year of full-time academic study is defined as 30 semester hours, 45 quarter hours, or the equivalent in a college or university, or at least 20 hours of classroom instruction per week for approximately 36 weeks in a business, secretarial, or technical school. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487038100
2018-03-05,Department of the Treasury,GS,"The U.S. Department of the Treasury has a distinguished history dating back to the founding of our nation. As the steward of U.S. economic and financial systems, Treasury is a major and influential leader in today's global economy. We have over 100,000 employees across the country and around the world. Come Join the Department of the Treasury and Invest in Tomorrow.WHAT DOES A DATA TRANSCRIBER DO? The Data Transcriber performs a vital role in the Service's ability to process thousands of tax returns each year. In this position, you will be responsible for examining incoming returns, perfecting them to ensure compliance with the required format, and finally processing the return using the systems and applications that you will be trained to operate. This process ultimately converts millions of paper documents, including a variety of taxpayer prepared returns and related schedules, federal tax forms, and other taxpayer information, to tape.WHAT IS THE Wage &amp; Investment (W&amp;I) DIVISION: The Wage &amp; Investment Division (W&amp;I) serves about 122 million taxpayers who file upwards of 94 million returns each year. Key W&amp;I objectives are to provide high-quality taxpayer assistance, and to enable taxpayers to transact and communicate electronically to file their returns, make payments and receive assistance. W&amp;I partners with private organizations to provide assistance to such disadvantaged groups as elderly and low-income taxpayers.Positions are located in 3651 S. IH-35 in Austin, Texas.The anticipated start date is January/February and March 2018This is a roster (inventory) announcement that will be used to fill positions through April 30, 2018. We are projecting approximately 447 vacancies may be filled during the life of this roster. Applicants must apply and be eligible by 11:59 pm Eastern Time (ET) at the close of each of the following cutoff dates to be considered: 10/20/2017, 12/15/17, 01/22/18 and 03/05/18. Applicants may also update their applications by the cut off dates listed.",18.43,11.57,Career/Career Conditional Appointment,Internal Revenue Service,Per Hour,2018-03-05,17CW7-WIX0068-0356-2-4-KM,"Austin, Texas",2017-09-18,DATA TRANSCRIBER *SEASONAL*,"You must meet the following requirements by the closing date of this announcement:Applicants must be at least 18 years of age or older, or at least 16 years of age or older, and meet one of the following: (1) have graduated from high school or have a certificate equivalent to graduating from high school; (2) have completed a formal vocational training program; or (3) have a statement from school authorities agreeing with the decision to pursue employment rather than continuing your education. BASIC REQUIREMENTSGS-2 LEVEL: High school diploma or equivalent. OR Three (3) months of full time general experience. This experience should be progressively responsible clerical, office or other work that indicates ability to acquire the competencies necessary to perform the duties of this position. This may be paid or non-paid experience.GS-GS-3 LEVEL: Six (6) months of general clerical related experience. The experience could have been progressively responsible clerical, office or other work that indicates ability to acquire the particular competencies needed to perform the duties of this position. This may be paid or non-paid experience. OR Completion of an intensive, specialized course of study of less than 1 year. Courses may have been obtained through a business or technical school, or military training program, and should include up to 40 hours per week of instruction for at least 3 months duration. The course must have been designed specifically as career preparation for the work of the position being filled. OR One (1) year of education above the high school level in any field of study obtained from an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.GS-4 LEVEL: One (1) year or twelve (12 months) of general experience equivalent to the next lower grade (GS-03) in the Federal government. General experience - Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. OR Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.- The experience may have been gained in the public sector, private sector or VolunteerService. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",https://www.usajobs.gov:443/GetJob/ViewDetails/479786000
2017-12-27,Department of the Treasury,GS,"The U.S. Department of the Treasury has a distinguished history dating back to the founding of our nation. As the steward of U.S. economic and financial systems, Treasury is a major and influential leader in today's global economy. We have over 100,000 employees across the country and around the world. Come Join the Department of the Treasury and Invest in Tomorrow.WHAT DOES A DATA TRANSCRIBER DO? The Data Transcriber performs a vital role in the Service's ability to process thousands of tax returns each year. In this position, you will be responsible for examining incoming returns, perfecting them to ensure compliance with the required format, and finally processing the return using the systems and applications that you will be trained to operate. This process ultimately converts millions of paper documents, including a variety of taxpayer prepared returns and related schedules, federal tax forms, and other taxpayer information, to tape.WHAT IS THE WAGE &amp; INVESTMENT DIVISION:The Wage &amp; Investment Division (W&amp;I) serves about 122 million taxpayers who file upwards of 94 million returns each year. Key W&amp;I objectives are to provide high-quality taxpayer assistance, and to enable taxpayers to transact and communicate electronically to file their returns, make payments and receive assistance. W&amp;I partners with private organizations to provide assistance to such disadvantaged groups as elderly and low-income taxpayers.Positions are located in Covington, KY.The anticipated start date is March 2018.Temporary appointment with a Seasonal - Full Time work schedule. May work up to 6 (six) months or more in a calendar year. Initial appointment is NTE 1 year. This appointment can be extended.",18.99,14.61,"Temporary Not to Exceed 1 year, may be extended. Will not be made permanent.",Internal Revenue Service,Per Hour,2017-12-27,18CE5-WIX0030-0356-04-TR,"Covington, Kentucky",2017-12-12,Data Transcriber  **TEMPORARY NTE 1 YEAR**,"You must meet the following requirements by the closing date of this announcement:Applicants must be at least 18 years of age or older, or at least 16 years of age or older, and meet one of the following: (1) have graduated from high school or have a certificate equivalent to graduating from high school; (2) have completed a formal vocational training program; or (3) have a statement from school authorities agreeing with the decision to pursue employment rather than continuing your education. GS-4 LEVEL: One (1) year or twelve (12 months) of general experience equivalent to the next lower grade (GS-03) in the Federal government. General experience - Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. OR Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.- The experience may have been gained in the public sector, private sector or VolunteerService. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",https://www.usajobs.gov:443/GetJob/ViewDetails/486429100
2018-03-05,Department of the Treasury,GS,"The U.S. Department of the Treasury has a distinguished history dating back to the founding of our nation. As the steward of U.S. economic and financial systems, Treasury is a major and influential leader in today's global economy. We have over 100,000 employees across the country and around the world. Come Join the Department of the Treasury and Invest in Tomorrow.WHAT DOES A DATA TRANSCRIBER DO? The Data Transcriber performs a vital role in the Service's ability to process thousands of tax returns each year. In this position, you will be responsible for examining incoming returns, perfecting them to ensure compliance with the required format, and finally processing the return using the systems and applications that you will be trained to operate. This process ultimately converts millions of paper documents, including a variety of taxpayer prepared returns and related schedules, federal tax forms, and other taxpayer information, to tape.WHAT IS THE Wage &amp; Investment (W&amp;I) DIVISION: The Wage &amp; Investment Division (W&amp;I) serves about 122 million taxpayers who file upwards of 94 million returns each year. Key W&amp;I objectives are to provide high-quality taxpayer assistance, and to enable taxpayers to transact and communicate electronically to file their returns, make payments and receive assistance. W&amp;I partners with private organizations to provide assistance to such disadvantaged groups as elderly and low-income taxpayers.Positions are located in 3651 S. IH-35 in Austin, Texas.The anticipated start date is January/February and March 2018This is a roster (inventory) announcement that will be used to fill positions through April 30, 2018. We are projecting approximately 120 vacancies may be filled during the life of this roster. Applicants must apply and be eligible by 11:59 pm Eastern Time (ET) at the close of each of the following cutoff dates to be considered: 10/20/2017, 12/15/17, 01/22/18 and 03/05/18. Applicants may also update their applications by the cut off dates listed.Temporary Appointment with a Seasonal - Part Time work schedule. May work up to 6 months or more in a calendar year &#8211; initial appointment is NTE 1 year. This appointment can be extended",18.43,11.57,"Temporary Not To Exceed 1 year, maybe extended. Will not become permanent.",Internal Revenue Service,Per Hour,2018-03-05,17CW7-WIX0069-0356-2-4-KM,"Austin, Texas",2017-09-18,DATA TRANSCRIBER - *Part Time TEMPORARY Not To Exceed 1 Year*,"You must meet the following requirements by the closing date of this announcement:Applicants must be at least 18 years of age or older, or at least 16 years of age or older, and meet one of the following: (1) have graduated from high school or have a certificate equivalent to graduating from high school; (2) have completed a formal vocational training program; or (3) have a statement from school authorities agreeing with the decision to pursue employment rather than continuing your education. BASIC REQUIREMENTSGS-2 LEVEL: High school diploma or equivalent. OR Three (3) months of full time general experience. This experience should be progressively responsible clerical, office or other work that indicates ability to acquire the competencies necessary to perform the duties of this position. This may be paid or non-paid experience.GS-GS-3 LEVEL: Six (6) months of general clerical related experience. The experience could have been progressively responsible clerical, office or other work that indicates ability to acquire the particular competencies needed to perform the duties of this position. This may be paid or non-paid experience. OR Completion of an intensive, specialized course of study of less than 1 year. Courses may have been obtained through a business or technical school, or military training program, and should include up to 40 hours per week of instruction for at least 3 months duration. The course must have been designed specifically as career preparation for the work of the position being filled. OR One (1) year of education above the high school level in any field of study obtained from an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.GS-4 LEVEL: One (1) year or twelve (12 months) of general experience equivalent to the next lower grade (GS-03) in the Federal government. General experience - Progressively responsible clerical, office, or other work that indicates ability to acquire the particular competencies needed to perform the duties of the position to be filled. This may be paid or non-paid experience. OR Two (2) years of education above the high school level (education may have been obtained in an accredited junior college, college, university, business, secretarial or technical school. OR A combination of education and experience equivalent to that described above.- The experience may have been gained in the public sector, private sector or VolunteerService. One year of experience refers to full-time work; part-time work is considered on a prorated basis.- To ensure full credit for your work experience, please indicate dates of employment by month/year, and indicate number of hours worked per week, on your resume.",https://www.usajobs.gov:443/GetJob/ViewDetails/479787800
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Engineers develop, construct, test, and maintain architectures such as databases and large-scale data processing systems. They clean, prepare, and optimize data for consumption through the design and construction of massive reservoirs for big data. They solve problems associated with database access and integration and unstructured data sets to provide clean, usable data for customers and IT counterparts. These engineers serve as integrators between data architects, data scientists, and other data consumers. They apply knowledge of scripting tools, programming languages, standards, and software packages to build the data pipelines that enable faster, better, data-informed decision-making within the Agency.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180083,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Engineer,"1) Education: Computer Science, Applied Mathematics, Management Information Systems, Engineering, Physical Sciences, or any other technology related field;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Analysts apply tools and algorithms to identify trends and patterns in data. They communicate with stakeholders and conduct research to develop an understanding of relevant programs and requirements. These analysts identify and collect data from various sources, evaluate the data to ensure that they meet analytic needs, and prepare the data for analysis. They also select, apply, and assess analytic models and techniques, and review and verify the results. They prepare reports and briefings and consult with stakeholders to communicate findings.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180080,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Analyst,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480934900
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Data Science) develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180101,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Data Science),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Geospatial Data Stewardship) manage the generation, approval, and population of data within NGA's geospatial databases, ensuring that they can be used to satisfy customer requirements. They have read/write access to relevant databases and make qualitative decisions about the data. They have a wide range of product/data knowledge and understand the capabilities and limitations of the relevant systems to support the extraction, analysis, and finishing of in-house, co-production, commodity, and contract data.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180111,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Geospatial Data Stewardship),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Cartography, Computer Science, Geology, Geography, Geomatics, GIS, Physical Science, Urban and Regional Planning, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935500
2018-01-03,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.",100000.0,85000.0,Permanent,U.S. Marine Corps,Per Year,2018-01-03,29228,"Quantico, Virginia",2017-12-04,Data Architect NF4,"Bachelor&rsquo;s degree in Engineering, Computer Science, Information Technology or a related field appropriate to the work of position and three years of progressive experience as a Data Architect and Data Analyst with architectural knowledge of establishing and implementing BI environments and hands on expert level expertise in designing, developing and testing Business Intelligence systems or an appropriate combination of education and experience that demonstrates possession of knowledge and skill equivalent to that gained in the above, or appropriate experience that demonstrates that the applicant has acquired the knowledge, skills, and abilities equivalent to that gained in the above. Comprehensive knowledge of SQL, cardinality, levels of granularity, normalized vs. denormalized, database and tool optimization techniques and other such reporting data architecture best practices is required. Knowledge and experience in implementing a data warehouse is required. Ability to outline the architecture and understand the benefits of data warehousing. Preferred skills include:	Use of Cognos Framework Manager, Report Studio, and Query Studio;	High level proficiency and experience with ETL tools such Oracle Warehouse Builder (OWB) , Oracle Data Integrator (ODI) and Informatica;	Experience with Data Modelling tools such as ERWIN;	Experience with Master Data Management tools;	Experience with Microsoft SQL Server tools such SSIS; and	Exposure to Cloud Technologies preferred.As an authorized and privileged user of Department of Defense Information Systems must possess or receive Information Assurance awareness by completing the Security+ Certification as a condition of access within six months of employment, and thereafter must complete annual Information Assurance awareness training.",https://www.usajobs.gov:443/GetJob/ViewDetails/485768400
2017-12-29,Department of Veterans Affairs,GS,"The Birmingham Veterans Affairs Medical Center (BVAMC) is an integral part of the Medical community that provides acute, tertiary, medical, and surgical care to Veterans of Alabama. The Medical Center provides care to a veteran population of 420,000 in Alabama and treats approximately 57,000 unique veterans annually. The medical center serves as a referral center for this area with 138 operating beds with care provided in almost all medical and surgical specialties and subspecialties.
Birmingham, AL is located in the heart of the Southeastern United States and is a progressive center for medical research, banking, music, technology, art, engineering, and higher education. For more information go to http://www.vacareers.va.gov/. VA encourages persons with disabilities to apply.The Department of Veterans Affairs provides reasonable accommodations to applicants with disabilities. If you need a reasonable accommodation for any part of the application and hiring process, please notify this facility's Human Resources Management Office at (205) 933-8101 ext. 4597. The decision on the type of reasonable accommodation to be granted will be made on a case-by-case basis.",93821.0,72168.0,Agency Employees Only,Department of Veterans Affairs - Agency Wide,Per Year,2017-12-29,OB-18-RMo-2025948-A&OS-INT,"Birmingham, Alabama",2017-12-08,PROGRAM ANALYST (Data Manager),"To qualify for this position, applicants must meet all requirements by the closing date of this announcement Friday, December 29, 2017. Time-in-grade: Applicants who are current Federal employees and have held a GS grade any time in the past 52 weeks must also meet time-in-grade requirements.
Specialized Experience:Examples of specialized experience would typically include, but are not limited to:Applicants must have One (1) full year (52 weeks) of specialized experience equivalent to at least the next lower grade level (GS-11) in the normal line of progression for the occupation in the organization. Examples of specialized experience would typically include, but are not limited to:1)Knowledge of data analysis techniques, 2) Ability to analyze and assess program development &amp; organizational effectiveness, 3) Knowledge of management analysis principles &amp; techniques, 4) Ability to communicate orally &amp; in writing, and, 5)Ability to access, abstract and combine data to support decision-making. There is no educational substitution for the GS-12 level.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/485709800
