ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Analysts apply tools and algorithms to identify trends and patterns in data. They communicate with stakeholders and conduct research to develop an understanding of relevant programs and requirements. These analysts identify and collect data from various sources, evaluate the data to ensure that they meet analytic needs, and prepare the data for analysis. They also select, apply, and assess analytic models and techniques, and review and verify the results. They prepare reports and briefings and consult with stakeholders to communicate findings.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180080,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Analyst,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480934900
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Data Science) develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180101,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Data Science),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935400
2017-12-29,Department of Veterans Affairs,GS,"The Birmingham Veterans Affairs Medical Center (BVAMC) is an integral part of the Medical community that provides acute, tertiary, medical, and surgical care to Veterans of Alabama. The Medical Center provides care to a veteran population of 420,000 in Alabama and treats approximately 57,000 unique veterans annually. The medical center serves as a referral center for this area with 138 operating beds with care provided in almost all medical and surgical specialties and subspecialties.
Birmingham, AL is located in the heart of the Southeastern United States and is a progressive center for medical research, banking, music, technology, art, engineering, and higher education. For more information go to http://www.vacareers.va.gov/. VA encourages persons with disabilities to apply.The Department of Veterans Affairs provides reasonable accommodations to applicants with disabilities. If you need a reasonable accommodation for any part of the application and hiring process, please notify this facility's Human Resources Management Office at (205) 933-8101 ext. 4597. The decision on the type of reasonable accommodation to be granted will be made on a case-by-case basis.",93821.0,72168.0,Agency Employees Only,Department of Veterans Affairs - Agency Wide,Per Year,2017-12-29,OB-18-RMo-2025948-A&OS-INT,"Birmingham, Alabama",2017-12-08,PROGRAM ANALYST (Data Manager),"To qualify for this position, applicants must meet all requirements by the closing date of this announcement Friday, December 29, 2017. Time-in-grade: Applicants who are current Federal employees and have held a GS grade any time in the past 52 weeks must also meet time-in-grade requirements.
Specialized Experience:Examples of specialized experience would typically include, but are not limited to:Applicants must have One (1) full year (52 weeks) of specialized experience equivalent to at least the next lower grade level (GS-11) in the normal line of progression for the occupation in the organization. Examples of specialized experience would typically include, but are not limited to:1)Knowledge of data analysis techniques, 2) Ability to analyze and assess program development &amp; organizational effectiveness, 3) Knowledge of management analysis principles &amp; techniques, 4) Ability to communicate orally &amp; in writing, and, 5)Ability to access, abstract and combine data to support decision-making. There is no educational substitution for the GS-12 level.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/485709800
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Geospatial Data Stewardship) manage the generation, approval, and population of data within NGA's geospatial databases, ensuring that they can be used to satisfy customer requirements. They have read/write access to relevant databases and make qualitative decisions about the data. They have a wide range of product/data knowledge and understand the capabilities and limitations of the relevant systems to support the extraction, analysis, and finishing of in-house, co-production, commodity, and contract data.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180111,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Geospatial Data Stewardship),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Cartography, Computer Science, Geology, Geography, Geomatics, GIS, Physical Science, Urban and Regional Planning, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935500
2018-01-02,Department of Defense,NH,"This position is part of the Under Secretary of Defense for AT and L. As a Operations Research Analyst, this position is located in: Mission: The Director, Acquisition Resources and Analysis (ARA) provides resource management, integrated analytical support on acquisition resources and long-range investment planning issues; timely access to accurate, authoritative and reliable data supporting acquisition reporting; as well as oversight, analysis, and decision-making in execution of the Defense Acquisition System. Identifies and defines current and long range acquisition planning issues where useful precedents do not exist, and provides detailed analysis and extensive interaction within OSD, the Joint Staff, the Military Departments, and other government agencies. The Director, ARA also serves as the Executive Secretary to the Defense Acquisition Board; oversees the Defense Acquisition Executive System (DAES); manages AT&L&#39;s participation in the Planning, Programming, Budgeting and Execution System (PPBE); and is responsible for the timely and accurate submission to Congress of Selected Acquisition Reports and Unit Cost Reports for Major Defense Acquisition Programs.",161900.0000,112021.0000,Permanent,Office of the Secretary of Defense,Per Year,2018-01-02,DE-10104222-18-YD,"Pentagon, Arlington, Virginia",2017-12-22,Operations Research Analyst,"This position has an education requirement - Applicants must possess Degree: in operations research; or at least 24 semester hours in a combination of operations research, mathematics, probability, statistics, mathematical logic, science, or subject-matter courses requiring substantial competence in college-level mathematics or statistics. At least 3 of the 24 semester hours must have been in calculus. You may qualify at the NH-4 level, if you fulfill the following qualification requirement: One year of specialized experience equivalent to the NH-3/GS-13 grade level in the Federal service or equivalent private or public sector experience that demonstrates expert knowledge of conducting operations research, economic analysis, and resource management using acceptable methods and principles in support of Federal acquisition programs; experience executing budgetary policies and procedures in compliance with Planning, Programming, Budgeting, and Execution (PPBE); experience applying software tools for database management, data-wrangling, and data visualization. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487360900
2017-12-25,Legislative Branch,HS,"The Financial Analyst is a senior level position with responsibilities for strategizing, planning, and coordinating with Financial Counseling work teams in an efficient and economic basis in the performance of all accounting and operational functions related to AP. Works with department leadership in determining objectives for the Accounts Payable related functions within the department, which align with the needs of the business units and vendor-to-payment strategies. Participates in/direct process improvement projects. Conducts review meetings with key business stakeholders to discuss potential process improvements and customer solutions initiatives. Provides upper management with analytical data related to AP performance objectives.",94158.0,74726.0,Permanent,House of Representatives,Per Year,2017-12-25,FIN-010-17,"Washington DC, District of Columbia",2017-12-11,Financial Analyst,Highly qualified candidates will be evaluated based on a structured interview.,https://www.usajobs.gov:443/GetJob/ViewDetails/486450900
2018-03-31,General Services Administration,GS,"GSA Employment Opportunities: This posting will be used to identify non-competitive eligibles for Management Analyst, Program Analyst, Program &amp; Management Analyst in the Washington DC area. The promotion potential may vary depending upon the position for which an applicant is considered.Work in this field includes, but is not limited to: research and investigation of new and improved business and management practices which included the following: assisting in conducting studies of statistical, descriptive, or evaluative information, materials, and data; assisting in the preparation and delivery of briefings to management and/or senior staff employees on study findings and recommendations; and interpretation and application of acquisition regulations and principles.GSA has been repeatedly named as one of the 'Best Places to Work' in the Federal Government'. LEARN MORE about why you should choose GSA.You will have access to many benefits including: Health insurance (choose from a wide range of plans)Life insurance coverage with several optionsSick leave and vacation time, including 10 paid holidays per yearThrift Savings Plan (similar to a 401(k) plan)Flexible work schedules and teleworkTransit and child care subsidiesTraining and developmentFlexible spending accountsLong-term care insuranceTraining and development",103639.0,44941.0,Permanent,General Services Administration - Agency Wide,Per Year,2018-03-31,1812002KEPC,"District of Columbia, District of Columbia",2017-12-06,"Management Analyst, Program Analyst, Program & Management Analyst (Promotion potential may vary by position.)","NOTE: For each job on your resume, provide:the exact dates you held each job (from month/year to month/year)number of hours per week you worked (if part time). If you have volunteered your service through a National Service program (e.g., Peace Corps, Americorps), we encourage you to apply and include this experience on your resume.For a brief video on How to Create a Federal Resume, click here. GS-7 Level - The GS-7 salary range starts at $44,941 per year. Generally, first time appointees to Federal civilian service have their salary set at the beginning rate of the grade for which they are selected; unless prior approval has been received to adjust the salary based on superior qualifications of the applicant. Salary will be based upon the location where you are selected.Specialized Experience:Applicants must have one year of specialized experience equivalent to the GS-5 level in the Federal Service. Specialized experience is experience gathering data and applying analytical and evaluative techniques to identify and resolve issues/problems relating to business and management practices and procedures, organizational structure, and/or work processes; compiling and presenting data orally and/or in writing; and interpreting and applying regulations and/or policies. OREducation: Applicants must have one of the following:Completed at least one full year of graduate level education (18 semester hours or the equivalent); OR Completed all the requirements for a Bachelor`s degree from an accredited college or university plus meet the Superior Academic Achievement provision. Superior Academic Achievement (SAA) at the baccalaureate level is fully qualifying at the GS-7 level. For information on what constitutes SSA, refer to Section 4-F at the following OPM Website: General PoliciesCombination of Education &amp; Specialized Experience: Applicants must have a combination of graduate level education (beyond the Bachelor's Degree) and specialized experience (as described above) that together meet the qualification requirements of this position.GS-9 Level - The GS-9 salary range starts at $54,972 per year. Generally, first time appointees to Federal civilian service have their salary set at the beginning rate of the grade for which they are selected; unless prior approval has been received to adjust the salary based on superior qualifications of the applicant. Salary will be based upon the location where you are selected.Specialized Experience:Applicants must have one year of specialized experience equivalent to the GS-7 level in the Federal Service. Specialized experience is experience in research and investigation of new and improved business and management practices which included the following: assisting in conducting studies of statistical, descriptive, or evaluative information, materials, and data; assisting in the preparation and delivery of briefings to management and/or senior staff employees on study findings and recommendations; and interpretation and application of acquisition regulations and principles. OREducation: Applicants must have a Master's or equivalent graduate degree such as LL.B. or J.D., or 2 academic years of progressively higher level graduate education in a related field. ORCombination of Education &amp; Specialized Experience: Applicants must have a combination of graduate level education (beyond the Bachelor's Degree) and specialized experience (as described above) that together meet the qualification requirements of this position. GS-11 Level - The GS-11 salary range starts at $65,510 per year. Generally, first time appointees to Federal civilian service have their salary set at the beginning rate of the grade for which they are selected; unless prior approval has been received to adjust the salary based on superior qualifications of the applicant. Salary will be based upon the location where you are selected.Specialized Experience: Applicants must have one year of specialized experience equivalent to the GS-9 level in the Federal Service. Specialized experience is experience analyzing and evaluating the effectiveness of programs to improve business and management practices. Such experience includes the following: conducting routine studies of statistical, descriptive, or evaluative information, materials, and data; preparing and delivering briefings to management and/or senior staff employees on study findings and recommendations; analyzing financial data such as billing issues or financial reports, analyzing and reviewing procurement activities, and interpretation and application of acquisition regulations and principles. OREducation: a Ph.D. or equivalent doctoral degree; or 3 full years of progressively higher level graduate education leading to such a degree; or LL.M., if related.. ORCombination of Education &amp; Specialized Experience: a combination of graduate level education (beyond the Bachelor's Degree) and specialized experience (as described above) that together meet the qualification requirements of this position.GS-12 Level - The GS-12 salary range starts at $79,720 per year. Generally, first time appointees to Federal civilian service have their salary set at the beginning rate of the grade for which they are selected; unless prior approval has been received to adjust the salary based on superior qualifications of the applicant. Salary will be based upon the location where you are selected.Specialized Experience: Applicants must have one year of specialized experience equivalent to the GS-11 level in the Federal Service. Specialized experience is experience managing, analyzing and evaluating the effectiveness of programs to improve business and management practices. Such experience includes the following: conducting routine studies of statistical, descriptive, or evaluative information, materials, and data; preparing and delivering briefings to senior staff employees on study findings and recommendations; analyzing financial data such as billing issues and/or financial reports, analyzing and reviewing procurement activities, and interpretation and application of acquisition regulations and principles.",https://www.usajobs.gov:443/GetJob/ViewDetails/486576400
2018-01-31,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.",95000.0,80000.0,Permanent,U.S. Marine Corps,Per Year,2018-01-31,29479,"Quantico, Virginia",2017-12-20,Programmer Analyst-Business Intelligence NF4,"Bachelor&rsquo;s degree in Information Technology, Computer Science or a related field appropriate to the work of position AND three years of progressively technical experience in working with Business Intelligence or Decision Support solutions as a technical resource that demonstrates knowledge of software design principles, methods, approaches, and procedures to design, develop, optimize and integrate system components, OR an appropriate combination of education and experience that demonstrates possession of knowledge and skill equivalent to that gained in the above, OR appropriate experience that demonstrates that the applicant has acquired the knowledge, skills, and abilities equivalent to that gained in the above.Knowledge of pertinent government requirements and database management principles such as data structures, data modeling and data warehousing to design, debug and maintain software applications that meet technical and functional requirements. Skill to design and develop efficient and effective applications through use of reusable components, and ensure applications comply with requirements and are consistent with current and planned infrastructure and data environments. Strong understanding of relational database management systems and states of data presented in various data repositories. Strong working knowledge of SQL, UNIX, and Windows. Experience with Oracle RDBMS, Oracle Warehouse Builder, Oracle Data Integrator, Oracle PL/SQL and Cognos Analytics 10/11 to include Framework Manager is preferred. Good understanding of Business Intelligence tools like MicroStrategy and Tableau with Junior developer skills preferred. Knowledge and experience with design, development and testing metadata models is required. Working knowledge and experience applying BI solutions to business activities to include but not limited to: Finance, Procurement, Retail, Human Resources, Construction is preferred.	Creative with a clear record of innovation and &ldquo;doing more with less.&rdquo;	Polished and sophisticated programmer/analyst with strong presence. Assertive, but not aggressive or arrogant style.	Commitment to excellence and continuous improvement; proactively seeks feedback.	Self-motivated, self-disciplined, self-assured, and performance driven.	Proactive, passionate and driven; perseveres and overcomes obstacles.	Team player who works collaboratively toward common goals and objectives.	Must be able to work independently and manage multiple task assignments",https://www.usajobs.gov:443/GetJob/ViewDetails/487184900
2017-12-28,Department of Agriculture,GS,"This position located within the Market and Trade Economics Division (MTED), Agricultural Policy and Modeling Branch (APM). MTED conducts research on U.S. and global economic factors affecting markets for agricultural products. The program supplies information and analysis for decisions by USDA policy and program officials, other Executive Branch decision makers, and Congress and its staff. APM provides an integrated and comprehensive view of the global agricultural economy and its relationship to U.S. agriculture, and provides decision-makers with data, projections, and analyses. APM develops models and analytical frameworks designed to respond to agricultural and policy issues relevant to U.S. competitiveness.You will serve as an Agricultural Economist working in the area of data management, computer programming, and modeling analyst for the USDA Baseline. You will work directly with the Baseline Coordinators to assure effective delivery of timely, high quality products and analysis to the Office of the Secretary and other Departmental Officials. You will be responsible for providing authoritative technical analysis and managing and updating large datasets covering agricultural data for multiple countries and commodities. You will be responsible for linking these datasets to models of the agricultural sectors for multiple countries to produce long-run projections for the farm sector that cover agricultural commodities, agricultural trade, and aggregate indicators for the sector. You will also be responsible for managing, updating, and writing sophisticated computer programs that are used to produce the projections.",123234.0,94796.0,Permanent,Economic Research Service,Per Year,2017-12-28,ERS-S18N-0001,"Washington DC, District of Columbia",2017-12-14,Agricultural Economist,"Applicants must meet all qualifications and eligibility requirements by the closing date of the announcement including the following specialized experience and/or education, as identified by grade level.
In order to be found minimally qualified, you must meet the following education requirement, specialized experience requirement, AND selective placement factor.Basic Requirements: A. Degree: economics, that included at least 21 semester hours in economics and 3 semester hours in statistics, accounting, or calculus. OR B. Combination of education and experience: courses equivalent to a major in economics, as shown in A above, plus appropriate experience or additional education. Specialized Experience: GS-13:Qualifying experience for the GS-13 level includes one year of specialized experience comparable to GS-12 which is directly related to the work of this position and which has equipped the applicant with the knowledge, skills, and abilities to perform successfully the duties of the position. For this position, specialized experience is experience directing the design and implementation of a study of a complex program or initiative using economics, operations research, management science, statistics, or decision science methods and having been responsible for all stages of at least one technical, applied research study which includes project planning, conceptualization, implementation, and write-up of results.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.Selective Placement Factor: Experience writing computer programs using at least one of the following programming languages: C/C++/C#, Python, Java, Fortran, R, MATLAB, or GAUSS in order to perform numerical computations.",https://www.usajobs.gov:443/GetJob/ViewDetails/486607800
2017-12-29,Department of Agriculture,GS,"If selected for the: Resource&amp; Rural Economics Division(RRED), you will improve data acquisition and processing forthe farm business and farm household income forecast; or you will have responsibility for coordinating an annual field-level survey of farm production practices, input use, and costs. You will assist other economists with research studies and synthesize current data and research for a broad stakeholder audience. Market&amp; Trade Economics Division (MTED), you will serve as a situation and outlook analyst. You will assist in the creation and dissemination of Situation and Outlook newsletters and annual yearbooks; perform analytical assignments that maintain and support the ERS market outlook program while advancing an understanding of crop and livestock markets; and review economic and industry-related literature to support economic analysis of market issues. Food Economics Division (FED), you will work with a senior economist on economic analyses of USDA food assistance programs that utilize large program administrative data files and national surveys. You will also assist in preparation of data visualizations, literature reviews, and drafting sections of research reports.IMPORTANT INFORMATION CONCERNING OPEN CONTINUOUS ANNOUNCEMENTS This open continuous announcement will be used to fill vacancieswithin multiple divisions.
To receive consideration, applicants must submit complete applications prior to the established cut-off date(s). An initialcut-off will take place October 6, 2017 to begin initial applicant consideration.Additional cut-off dates will occur every 30 calendar days thereafterthrough December 29, 2017. Candidates for the position who submit a completed application by 11:59 PM Eastern Time on October 6, 2017, will be reviewed and referred if found eligible and qualified. This announcement will remain open until the closing date indicated; however, those who apply after the cut-off date will be considered for referral to the hiring manager only if additional vacancies occur and/or the initial referral list is exhausted. Applicants must recertify (i.e. update/resubmit their application through USAJobs) every 30 calendar days from date of application/certification to continue to receive consideration for the position(s). Applicants who fail to do so will not be reviewed and referred and be dropped from consideration.",71467.0,54972.0,Permanent,Economic Research Service,Per Year,2017-12-29,ERS-S17N-0018,"Washington DC, District of Columbia",2017-09-18,Agricultural Economist,"Applicants must meet all qualifications and eligibility requirements by the closing date of the announcement including the following specialized experience and/or education, as identified by grade level.
In order to be found minimally qualified, you must meet both the following basic education requirement AND the specialized experience requirement.BASIC REQUIREMENTS: A full 4-year course of study in an accredited college or university leading to a bachelors or higher degree in Economics, that included at least 21 semester hours in economics and 3 semester hours in statistics, accounting, calculus.ORCombination of education and experience: courses equivalent to a major in economics, as shown above, plus appropriate experience or additional education.Specialized Experience GS-09:One year of specialized experience comparable to GS-07 which is directly related to the work of this position and which has equipped the applicant with the competencies to perform successfully the duties of the position. For this position, specialized experience is experience in gathering, analyzing, and presenting complex technical economic information using software and statistical methods and preparing analytical reports on agricultural economic issues.OR 2 years of progressively higher level graduate education leading to a master&rsquo;s degree, or a master&rsquo;s degree or equivalent graduate.ORCombination of education and experience.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/479698800
