ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-03,Other Agencies and Independent Organizations,CG,"Additional selections may be made from this vacancy announcement to fill identical vacancies that occur subsequent to this announcement.This position is located in the Division of Information Technology, Enterprise Technology Branch, Enterprise Information Management Section, of the Federal Deposit Insurance Corporation and provides support in the areas of overseeing a database operations team.",236815.0,142071.0,"Permanent, Full-Time",Federal Deposit Insurance Corporation,Per Year,2018-01-03,2017-HQD-1112,"Washington DC, District of Columbia",2017-12-20,LEAD IT SPECIALIST,"Qualifying experience may be obtained in the private or public sector. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g. Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic, religious spiritual; community; student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Additional qualifications information can be found here.You must have Information Technology (IT)-related experience which demonstrates proficiency in each of the following competencies:&#8226; Attention to Detail - Is thorough when performing work and conscientious about attending to detail.&#8226; Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.&#8226; Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.&#8226; Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.Applicants must have one year of specialized experience equivalent to the CG/GS 14 grade level leading database operations and engineering for Oracle, SQL Server and DB2, 24 hour x 7 day database operations, directing enterprise database engineering and operational services; partnering with teams to optimize operations, develop solutions, and upgrade and maintain database infrastructure; managing database projects and service requests, allocating resources, and monitoring contractor performance and proposals and coordinating security audit responses.There is no substitution of education for the experience for this position.Applicants eligible for ICTAP (Interagency Career Transition Assistance Program) must achieve a score of 80 ""well qualified"" for this position. For more information, click here.",https://www.usajobs.gov:443/GetJob/ViewDetails/487188400
2017-12-29,Department of the Air Force,GS,"To achieve that mission, the Air Force has a goal of 2% of the workforce made up of individuals with targeted disabilities and 12% with disabilities. Schedule A, 5 CFR 213.3102(u), for hiring people with severe physical disabilities, psychiatric disabilities, and intellectual disabilities. This excepted authority is used to appoint persons with severe physical disabilities, psychiatric disabilities, and intellectual disabilities. Such individuals may qualify for conversion to permanent status after two years of satisfactory service. Severe physical disabilities include but are not limited to blindness, deafness, paralysis, missing limbs, epilepsy, dwarfism, and more. These positionsare being filled under Schedule A Hiring Authority. Positions are located at Tinker Air Force Base, Oklahoma. Positions will be filled as an Excepted Appointment with a full-time or part-time work schedule. Pay will vary by position, pay scale, series and grade. Please read this Public Notice in its entirety prior to submitting your application for consideration.This Public Notice may be used to fill positions in other equivalent pay systems, i.e., AcqDemo (pay scales are found at OPM.gov). NOTE: New appointment shall be made at the minimum rate of the appropriate grade unless regulatory guidance permits otherwise.All positions, dependent upon grade levels beingfilled, mayrequire some level of related experience or education.",111560.0,21316.0,Multiple Appointment Types,Air Force Materiel Command,Per Year,2017-12-29,AFMC-1983312-SCHED A-9V-MS,"Tinker AFB, Oklahoma",2017-07-05,Schedule A - Persons With Disabilities (SEA Program),"To view qualification requirements for all series,click on
the following link: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/ KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your
qualifications will be evaluated on the basis of your level of knowledge,
skills, abilities and/or competencies as related to thepay plan, series and gradeof the position being filled. Final qualifications determination will be assessed based on OPM Classification Standards, General Schedule Qualifications Standards and/or Wage Grade Job Element Standards (or equivalent pay scale).EDUCATION: Some positions may require""Basic Education"" depending on the series and grade level of the position. If you are applying to positions based on your education or a combination of education and experience, your transcripts are also required at the time of application for consideration.The DETAILED description of your work experience in yourpersonal resume must clearly demonstrate that you have gained and currently possess the knowledge, skills, and abilities to satisfactorily perform the duties of the position being filled.When qualifying based on education and/or training, all transcripts and/or certifications must be submitted at the time of application. PART-TIME OR UNPAID EXPERIENCE: Credit will
be given for appropriate unpaid and or part-time work. You must clearly
identify the duties and responsibilities in each position held and the total
number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience,
including volunteer work done through National Service Programs (i.e., Peace
Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic;
religious; spiritual; community; student and social). Volunteer work helps build critical
competencies, knowledge and skills that can provide valuable training and
experience that translates directly to paid employment. You will receive credit for all qualifying
experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/473705400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Engineers develop, construct, test, and maintain architectures such as databases and large-scale data processing systems. They clean, prepare, and optimize data for consumption through the design and construction of massive reservoirs for big data. They solve problems associated with database access and integration and unstructured data sets to provide clean, usable data for customers and IT counterparts. These engineers serve as integrators between data architects, data scientists, and other data consumers. They apply knowledge of scripting tools, programming languages, standards, and software packages to build the data pipelines that enable faster, better, data-informed decision-making within the Agency.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180083,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Engineer,"1) Education: Computer Science, Applied Mathematics, Management Information Systems, Engineering, Physical Sciences, or any other technology related field;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935200
2018-01-05,Department of the Navy,NF,"The purpose of this position is to serve as a point of contact for information and perform clerical and administrative tasks in support of CYP, which includes Child Development Centers (CDC), Child Development Homes (CDH), School Age Care (SAC) and Youth Programs (YP), Resource and Referral (R&amp;R) Program, and the US Department of Agriculture (USDA) Food Program.",15.89,12.23,Regular,"Commander, Navy Installations",Per Hour,2018-01-05,EUR18064,"Naples, Italy",2017-12-22,CYP Operations Clerk,"NOTE: RESUMES WILL NOT BE CONSIDERED QUALIFIED UNLESS A SIGNED DECLARATION OF FEDERAL EMPLOYMENT (OF-306) IS ATTACHED. QUALIFICATIONS REQUIREMENTS: High school graduate or equivalent AND 2 years of administrative experience. Knowledge of administrative support functions, practices and procedures and general office automation software in order to accomplish various work assignments.",https://www.usajobs.gov:443/GetJob/ViewDetails/486654200
2018-01-22,Other Agencies and Independent Organizations,NF,"The Appalachian Regional Commission (ARC) is a regional economic development agency that represents a unique partnership between the Federal and State governments. ARC&#39;s mission is to be a strategic partner and advocate for sustainable community and economic development in Appalachia. This position is responsible for maintaining the business grant management system (ARCnet) of the agency. The primary and critical work of this position is to work collaboratively with the System Administrator on the design and development ARCNET then lead the preparation and implementation of code enhancements to the ARCnet. The position is involved in all work that involves the design, documentation, development, modification, testing, installation, implementation, and support of new or existing applications software. The position reports to the IT Program Manager and works collaboratively with the System Administrator. ARC is located in the vibrant Dupont Circle area, offers a competitive compensation/benefits package, and provides a dynamic career opportunity to lead and develop our database strategy.",123234.0000,94796.0000,Permanent,Appalachian Regional Commission,Per Year,2018-01-22,DE-10105158-18-CB,"Washington DC, District of Columbia",2017-12-21,Programmer/Software Engineer,"Knowledge of and skill in applying applications software development principles and methods sufficient to participate in the design, development, testing, and implementation of new or modified applications software.
Knowledge and experience working in an Agile Environment Technologies C# - Expert-level implementation skills with C# and the .NET platform. SCM - Strong experience working with an SCM tool like Team Foundation Server, Subversion or Git. ASP.NET - Strong implementation skills with ASP.NET including experience with building custom controls and developing with the ASP.NET MVC framework. Database - Strong experience with Microsoft LINQ or ADO.NET. Must be highly proficient in SQL preferably across multiple databases. Expert in SQL Sever Integration Services (SSIS) Web - Strong experience building modern web applications using frameworks like jQuery, jQuery UI, and Bootstrap. General - Comfortable in more than one programming language with a strong understanding of fundamental web/internet technologies. Customer Service - Works with clients and customers to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations.
Verbal Communication - Expresses information to individuals or groups effectively, taking into account the audience and nature of the information; makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations to complex and multi-faceted problems.
Ability to understand and translate ARC&#39;s business needs into technology solutions.
Ability to work independently, with minimal guidance.
Skill in evaluating one&#39;s own technical work.
Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
Skill in prioritizing tasks to meet work demands.
Ability to work in an unstructured environment.
Skill in dealing with various personalities.
Ability to work under pressure.
Ability to obtain a Public Trust background investigation.",https://www.usajobs.gov:443/GetJob/ViewDetails/487299700
2017-12-26,Legislative Branch,CP,"The United States Capitol Police (USCP) is a CALEA nationally-accredited, federal law enforcement agency. The USCP safeguards the Congress, Members of Congress, employees, visitors, and Congressional buildings and grounds from crime, disruption, and terrorism. We protect and secure Congress so it can fulfill its constitutional and legislative responsibilities in a safe, secure and open environment. We protect the legislative process, the symbol of our democracy, the people who carry out the process, and the millions of visitors who travel here to see democracy in action. We also protect everyone who visits the Capitol, who can see first-hand how we work to represent the best of America&#39;s spirit and diversity. As a Department, we are a microcosm of America, representational of many races, colors, religions, national origins, political affiliations, sexual orientations, and ages. Our workforce is comprised of employees from nearly all 50 states and the U.S. territories. We embrace and celebrate a diverse workforce, and we believe inclusion makes our workplace stronger and respecting each individual as a person and as a professional is essential. We act on the world stage every day of the year as a model in security, urban crime prevention, dignitary protection, specialty response capabilities, and homeland security. As ambassadors of the Congress, we are often the first face that visitors and employees encounter, and we leave a lasting impression that is reflective of the Legislative Branch and its role in America&#39;s democracy. This position is located in the Systems Operations Section, Physical Security Division, Security Services Bureau. The Security Services Bureau is responsible for the installation and maintenance of security systems at the Capitol Complex that are used to protect property and national security information for the Legislative Branch. The System Operations Section (SOS) administers, maintains, and ensures the integrity of the overall security network for the Capitol Complex. SOS ensures the integrity of the databases of the alarm, access control, and camera systems in the Capitol Complex. SOS coordinates with the Architect of the Capitol, Members and staff, USCP administrative personnel, and security custodians to facilitate access to secured areas, and retrieves, reviews, and archives selected videos for law enforcement purposes.",114979.0000,78581.0000,Permanent,U.S. Capitol Police,Per Year,2017-12-26,USCP-18-10073413-YL,"Washington DC, District of Columbia",2017-12-12,Physical Security Specialist (Security/Data Management),"For the Physical Security Specialist, CP-0080-8: You must possess at least one year (52 weeks) of qualifying experience and/or education equivalent to the
CP-7 /GS-9. Specialized experience for this position is defined as monitoring the use of networks; adjusting configurations and designing and implementing logical system enhancements; planning and coordinating the maintenance, upgrade, and support of servers; monitoring the performance of all types of electronic and physical security systems to ensure optimum performance.
Or
B. master&#39;s or equivalent graduate degree.
Or
C. 2 full years of progressively higher level graduate education leading to such a degree.
OR
D. LL.B. or J.D., if related.
OR
E. A combination of specialized experience as described in A and graduate level education as described in B that, when combined, equals 100% of the total requirement. For the Physical Security Specialist, CP-0080-09: You must possess at least one year (52 weeks) of specialized experience and/or education equivalent to the CP-8/GS-10. Specialized experience for this position is defined as reviewing and adapting available guidelines and procedures used in the design, development, and maintenance of a database system specific to physical security systems; developing, monitoring, and maintain database management systems (DBMS) environments and objects; supporting physical security systems; performing preliminary analysis of security system controls.
Or
B. Ph.D. or equivalent doctoral degree;
Or
C. 3 full years of progressively higher level graduate education leading to such a degree;
Or
D. LL.M., if related;
Or
E. A combination of specialized experience and graduate level education as described, when combined, equals 100% of the total requirement. NOTE: If you are qualifying based on education, you must submit an unofficial transcript prior to the closing date of this announcement. (Information on Qualification & Education are located at the following link: https://www.opm.gov/policy-data-oversight/classification-qualifications)",https://www.usajobs.gov:443/GetJob/ViewDetails/486472100
2018-01-03,Department of the Army,NF,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army.
This position is located at the Fort Riley Auto Skills Center serving our Soldiers, retirees, dependents, reservists, National Guard, DOL and DOD Civilians. They offer a wide range of services including 15-suspension lift bays, a complete tool room, paint booth, state of the art engine rebuild and machine shop and much more.
The Area of Consideration for this vacancy announcement is US Citizens and Non-Citizens. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.)",14.0000,11.0000,Permanent,Army Installation Management Command,Per Hour,2018-01-03,SWNAFEM1710103279,"Fort Riley, Kansas",2017-12-20,"Automation Clerk, NF-02","1. Knowledge of word processing software to produce a wide range of documents requiring use of advances software functions to enhance productivity or meet needs of complex formats.
2. Knowledge of office automation equipment and software to use several type of software with different applications.
Applicants meeting highly preferred criteria will be referred to management first. Highly preferred criteria is defined as possessing at least six months experience performing complex clerical support using database management software, and creating and revising spreadsheets.
This experience must be clearly stated on your resume to be qualified and considered as highly preferred.",https://www.usajobs.gov:443/GetJob/ViewDetails/487063100
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Bathymetrists receive, analyze, and deconflict U.S. and foreign bathymetric data for use by the Intelligence Community (IC) and external customers. They populate and maintain data and metadata in the bathymetry database, ensuring the accuracy of metadata pertaining to collection source platforms and depth recording devices. They also provide customers with conflated and corrected mission-specific data.",71724.0,40956.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180484,"Saint Louis, Missouri",2017-11-29,Bathymetrist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1) Experience performing data manipulation, feature extraction, and attribution of bathymetric data independently;
2) Experience taking acquired Bathymetric/Hydrographic materials and Maritime safety source information; and evaluate it for updating existing navigational products;
3) Experience utilizing GIS knowledge and skills to evaluate and release Bathymetric data for existing navigational products also mission specific data sets and graphics tailored to specific customer needs;
4) Experience work independently or in a team environment in support of mission requirements and success. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Geography, Geology, Hydrography, Hydrology, Marine Sciences, Oceanography, Physical Science, Remote Sensing, or a related discipline, or, a Bachelor's degree with 30 semester hours of coursework in the above disciplines. Designation as an American Congress on Surveying and Mapping-The Hydrographic Society of America (ACSM-THSOA) Certified Hydrographer is highly desired. -OR- B. Combination of Education and Experience: A minimum of 30 semester (45 quarter) hours of coursework in any area list in option A, plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of experience in the disciplines of Hydrography or Bathymetry that includes marine surveying, the use of current GIS tools, methods of research and analysis, application of hydrographic or bathymetric principles, or work related to the disciplines listed above.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) IHO Cat B or higher certification with Maritime navigation experience using NGA related products;
2) Experience coordinating with customers and providers of bathymetric source data to develop clear, realistic product and service requests.
3) Experience creating bathymetrically enhanced geospatial graphical displays and textual reports;
4) Experience merging geospatial data and maritime safety information;
5) Experience utilize critical thinking and problem solving skills to recommend process and tool improvement methodologies.",https://www.usajobs.gov:443/GetJob/ViewDetails/485504000
2018-03-03,Department of Defense,IA,"JOB DESCRIPTION: Bathymetrists receive, analyze, and deconflict U.S. and foreign bathymetric data for use by the Intelligence Community (IC) and external customers. They populate and maintain data and metadata in the bathymetry database, ensuring the accuracy of metadata pertaining to collection source platforms and depth recording devices. They also provide customers with conflated and corrected mission-specific data.",78703.0,40956.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-03-03,20180512,"Saint Louis, Missouri|Springfield, Virginia",2017-12-18,Bathymetrist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1) Experience performing data manipulation, feature extraction, and attribution of bathymetric data independently;
2) Experience taking acquired Bathymetric/Hydrographic materials and Maritime safety source information; and evaluate it for updating existing navigational products;
3) Experience utilizing GIS knowledge and skills to evaluate and release Bathymetric data for existing navigational products also mission specific data sets and graphics tailored to specific customer needs;
4) Experience work independently or in a team environment in support of mission requirements and success. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Geography, Geology, Hydrography, Hydrology, Marine Sciences, Oceanography, Physical Science, Remote Sensing, or a related discipline, or, a Bachelor's degree with 30 semester hours of coursework in the above disciplines. Designation as an American Congress on Surveying and Mapping-The Hydrographic Society of America (ACSM-THSOA) Certified Hydrographer is highly desired. -OR- B. Combination of Education and Experience: A minimum of 30 semester (45 quarter) hours of coursework in any area list in option A, plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of experience in the disciplines of Hydrography or Bathymetry that includes marine surveying, the use of current GIS tools, methods of research and analysis, application of hydrographic or bathymetric principles, or work related to the disciplines listed above. PHYSICAL REQUIREMENT: Distinguish principal colors and shades/hues of principal colors; Near visual acuity of 20/20 or better with or without corrective lenses; Far visual acuity of 20/60 or better binocular with or without corrective lenses.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) IHO Cat B or higher certification with Maritime navigation experience using NGA related products;
2) Experience coordinating with customers and providers of bathymetric source data to develop clear, realistic product and service requests.
3) Experience creating bathymetrically enhanced geospatial graphical displays and textual reports;
4) Experience merging geospatial data and maritime safety information;
5) Experience utilizing critical thinking and problem solving skills to recommend process and tool improvement methodologies.",https://www.usajobs.gov:443/GetJob/ViewDetails/486894700
2018-01-31,Department of the Navy,GP,"In this position you provide services for the Robert E. Mitchell Center (REMC) and Naval Aerospace Medical Institute (NAMI). You will spend 60% of your time in clinic duties with direct patient care for both facilities, 30% of time performing and documenting research for REMC, and 10% on management functions in support of REMC. The Robert E. Mitchell Center for Prisoner of War Studies is a special program of the Navy Medicine Operational Training Command (NMOTC). As such the center provides follow up evaluations of repatriated prisoners of war (RPOW) from Vietnam, Desert Storm, and Operation Iraqi Freedom, to study the mental and physical effects of captivity and to address the findings&#39; applicability to current military operations. A unique institution, it singularly holds the longitudinal database of the long term effects of repatriated POWs and its Comparison Group. The purpose of the Naval Aerospace Medical Institute is to support Navy and Marine Corps aviation units through expert aeromedical consultation, services development, and application of aeromedical standards and training of aeromedical personnel for operational assignments. To view more about our facility, please click here: https://www.med.navy.mil/sites/nmotc/Pages/default.aspx This announcement is being used to recruit qualified individuals, under the Office of Personnel Management (OPM) Direct Hire Authority, authorized by 5 United States Code (U.S.C.), Section 3304 and 5 Code of Federal Regulations (CFR) Part 337, Subpart B. The Rule of Three, Veteran&#39;s Preference and traditional rating and ranking of applicants do not apply to the Direct Hire process. For more information on OPM Direct-Hire Authority, please review this link: http://www.opm.gov/DirectHire/factsheet.asp. APPLY NOW! This job opportunity announcement has a first cut-off date of 10/18/2017. Applications received by 11:59 PM Eastern Standard Time (EST) on the cut-off date of 10/18/2017 will receive first consideration for this vacancy. Candidates who apply after may be referred on a periodic basis depending on staffing needs.",264000.0000,101967.0000,Permanent,Naval Medical Command,Per Year,2018-01-31,DE-10056967-17-JP,"Naval Air Station Pensacola , Florida",2017-10-05,PHYSICIAN (AEROSPACE MEDICINE),"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. Applicants must meet the following Basic Requirements of the Office of Personnel Management (OPM) Qualifications Standards Manual: Applicants must possess: DEGREE: Doctor of Medicine or Doctor of Osteopathy from a school in the United States or Canada approved by a recognized accrediting body in the year of the applicant&#39;s graduation. If your Doctor of Medicine or equivalent degree is from a foreign medical school that provided education and medical knowledge substantially equivalent to accredited schools in the United States, you must have a permanent certification by the Educational Commission for Foreign Medical Graduates (ECFMG), a Fifth Pathway Certificate for Americans who completed premedical education in the United States and graduated education in a foreign country, or successfully completed the U.S. Medical Licensing Examination. LICENSING: Active, permanent, full, unrestricted physician license to practice medicine in any state, District of Columbia, the Commonwealth of Puerto Rico, or a territory of the United States. RESIDENCY: 5 years of residency training or equivalent experience and training in Family Medicine, Internal Medicine or Aerospace Medicine (e.g., 3 yrs. Residency &amp; 2 years fellowship, experience or other training). Your resume must reflect you have a sufficient level of expertise in Family Medicine, Internal Medicine or Aerospace Medicine to perform the core privileges of this position. This experience/training will include examining patients, determining diagnosis and developing treatment plans; providing training and education to residents; and performing and documenting medical research. Applicants must also be able to satisfy clinical privileges requirements which, in addition to the above, includes the following: Completion of a residency program in the specialty approved by the American specialty board or AOA, board certification, or board eligible. Current clinical competence (e.g., privileged to independently practice as a Physician within the past 2 years, actively practiced within the past 2 years by having encountered a sufficient number of clinical cases to represent a broad spectrum of the privileges required). No health status contraindications to granting clinical privileges. Board certification is desired but not required. Selective Placement Factors: This position requires medical experience with the unique characteristics of physical and psychological trauma inflicted on prisoners of war, and experience with the unique occupational stressors of the aviation environment. Please provide the dates (i.e. month and year of start and end date) of employment, position title, and name of employer(s) in which you have gained this experience. This position requires possession of Basic Life Support (BLS) Certification. Failure to possess both factors WILL result in an ineligible rating. Possession of the factors must be verifiable via your resume or support documents. Additional qualification information can be found from the following Office of Personnel Management website:
http://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0600/medical-officer-series-0602",https://www.usajobs.gov:443/GetJob/ViewDetails/480958700
