ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Data Science) develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180101,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Data Science),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935400
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science graduate/professional degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer graduate/professional students robust responsibilities and experiences that enhance their potential careers. Over the course of the year long program, graduate/professional students work along DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program is a year long program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least one year to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10088085-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,2018 Student Honors Business Program - Data Science (Graduate),"All qualification requirements must be met by the closing date of this announcement. Graduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Data Science Business Program.
- Must have received your undergraduate degree as of June 30, 2018.
- Must be accepted and/or enrolled in a graduate/professional degree program as of September 30, 2018.
- Must be enrolled as a degree-seeking graduate or Ph.D. (professional) student
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485516300
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science undergraduate degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer undergraduate students robust responsibilities and experiences that enhance their potential careers. Over the course of the summer program, undergraduate students will work alongside DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program for undergraduate students is a six (6) month program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least six (6) months to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10086540-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,Summer/Fall 2018 Student Honors Business Program - Data Science (Undergraduate),"All qualification requirements must be met by the closing date of this announcement. Undergraduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Business Program. - Must be a sophomore, junior, or senior student as of June 30, 2018.
- Must be enrolled as a degree-seeking undergraduate student
- Must be taking at least half-time academic course load
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485527800
2018-05-19,Department of Defense,IA,"JOB DESCRIPTION: R&D Scientists apply the scientific method in one or more disciplines (e.g., Photogrammetry, Geodesy, Computer Science, Mathematics, Image Science, Human Terrain Analysis) to advance Geospatial Science and enhance Agency tradecraft. They conduct and develop novel scientific research projects and facilitate interdisciplinary collaboration to further scientific inquiry and application. They provide technical guidance and oversight, report results, and advise management on new and evolving technology. They address a variety of complex data-related analytical problems by applying quantitative and qualitative analytic methods.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-19,20180514,"Springfield, Virginia",2017-11-27,R&D Scientist,"EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Mathematics, Physical Science, or a related discipline that includes 24 semester (36 quarter) hours in Science, Mathematics and/or a related Engineering Science. Such coursework includes, but is not limited to, Astronomy, Cartography, Chemistry, Computer Science, Dynamics, Electrical Engineering, Geodesy, Geography, Geology, Geophysics, Geospatial Information Systems, Mathematics, Orbital Mechanics, Photogrammetry, Physics, Remote Sensing, or Surveying. Although not mandatory, coursework in differential and integral calculus is preferred. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of college education in any areas listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals to 4 years.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 3:
1) Research experience evidenced by previous, documented efforts.
2) Demonstrated communication skills and an ability to independently coordinate programs and projects in areas of science and research related to geospatial intelligence functions. 3) Experience briefing scientific research and communicating results to a range of stakeholders
Authorship of technical articles accepted by peer-reviewed scientific journals.
4) Experience developing research proposals, executing research plans, and collaborating with other scientists.
5) Experience in demonstrating the quality, complexity and significance of research outputs through sound evaluation and analysis of results. 6) Ph.D. degree desired, but a minimum of a Bachelor's or a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry. 7) Knowledge of NGA, its multidisciplinary tradecraft, mission, and the interrelationships of the Intelligence Community with Federal Agencies as well as Academia and Industry. Pay Band 4:
1) Demonstrated subject matter expertise on topics in your technical domain(s), incorporating this expertise into research projects. 2) Documented experience monitoring technical personal and programs.
3) Experience briefing scientific research and communicating results to a range of stakeholders.
4) Ph.D. degree desired, but a minimum of a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry.
5) Experience developing and leading research proposals, executing research plans, and collaborating as appropriate with other scientists.
6) Experience demonstrating the quality, complexity and significance of research outputs through sound evaluation and analysis of results.
7) Demonstrated research skills and experience as evidenced by previous, documented efforts, citations of work and publications in peer-reviewed journals, and receipt of patents and/or awards in a STEM related topic.
8) Knowledge of NGA, its multidisciplinary tradecraft, mission, and the interrelationships of the Intelligence Community with Federal Agencies as well as Academia and Industry. 9) Ability to handle a wide range of complex tasks and non-routine situations.",https://www.usajobs.gov:443/GetJob/ViewDetails/485103700
2018-03-03,Department of Defense,IA,"JOB DESCRIPTION: R&D Scientists apply the scientific method in one or more disciplines (e.g., Photogrammetry, Geodesy, Computer Science, Mathematics, Image Science, Human Terrain Analysis) to advance Geospatial Science and enhance Agency tradecraft. They conduct and develop novel scientific research projects and facilitate interdisciplinary collaboration to further scientific inquiry and application. They provide technical guidance and oversight, report results, and advise management on new and evolving technology. They address a variety of complex data-related analytical problems by applying quantitative and qualitative analytic methods.",161900.0,131767.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-03-03,20180553,"Springfield, Virginia",2017-12-18,R&D Scientist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Mathematics, Physical Science, or a related discipline that includes 24 semester (36 quarter) hours in Science, Mathematics and/or a related Engineering Science. Such coursework includes, but is not limited to, Astronomy, Cartography, Chemistry, Computer Science, Dynamics, Electrical Engineering, Geodesy, Geography, Geology, Geophysics, Geospatial Information Systems, Mathematics, Orbital Mechanics, Photogrammetry, Physics, Remote Sensing, or Surveying. Although not mandatory, coursework in differential and integral calculus is preferred. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of college education in any areas listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals to 4 years.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1. Demonstrated research skills and experience as evidenced by previous, documented efforts, citations of work and publications in peer-reviewed journals, and receipt of patents and/or awards in a STEM related topic;
2. Demonstrated knowledge and background in Research and Development policies, structure, and interrelationships of the Intelligence Community and other Federal Agencies as well as Academia and Industry;
3. Demonstrated ability to administer, coordinate and direct programs and projects in the multiple areas of science and research related to geospatial intelligence functions; 4. Documented experience managing and monitoring technical personal and programs;
5. Experience briefing scientific research and communicating results to a range of stakeholders;
6. Ph.D. degree desired, but a minimum of a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry; 7. Knowledge of NGA, its multidisciplinary tradecraft, mission, organizations, and partners and knowledge of the organizations, processes, programs, and policies of the DoD and the National Intelligence Community.",https://www.usajobs.gov:443/GetJob/ViewDetails/486895000
2017-12-29,Department of Agriculture,GS,"If selected for the: Resource&amp; Rural Economics Division(RRED), you will improve data acquisition and processing forthe farm business and farm household income forecast; or you will have responsibility for coordinating an annual field-level survey of farm production practices, input use, and costs. You will assist other economists with research studies and synthesize current data and research for a broad stakeholder audience. Market&amp; Trade Economics Division (MTED), you will serve as a situation and outlook analyst. You will assist in the creation and dissemination of Situation and Outlook newsletters and annual yearbooks; perform analytical assignments that maintain and support the ERS market outlook program while advancing an understanding of crop and livestock markets; and review economic and industry-related literature to support economic analysis of market issues. Food Economics Division (FED), you will work with a senior economist on economic analyses of USDA food assistance programs that utilize large program administrative data files and national surveys. You will also assist in preparation of data visualizations, literature reviews, and drafting sections of research reports.IMPORTANT INFORMATION CONCERNING OPEN CONTINUOUS ANNOUNCEMENTS This open continuous announcement will be used to fill vacancieswithin multiple divisions.
To receive consideration, applicants must submit complete applications prior to the established cut-off date(s). An initialcut-off will take place October 6, 2017 to begin initial applicant consideration.Additional cut-off dates will occur every 30 calendar days thereafterthrough December 29, 2017. Candidates for the position who submit a completed application by 11:59 PM Eastern Time on October 6, 2017, will be reviewed and referred if found eligible and qualified. This announcement will remain open until the closing date indicated; however, those who apply after the cut-off date will be considered for referral to the hiring manager only if additional vacancies occur and/or the initial referral list is exhausted. Applicants must recertify (i.e. update/resubmit their application through USAJobs) every 30 calendar days from date of application/certification to continue to receive consideration for the position(s). Applicants who fail to do so will not be reviewed and referred and be dropped from consideration.",71467.0,54972.0,Permanent,Economic Research Service,Per Year,2017-12-29,ERS-S17N-0018,"Washington DC, District of Columbia",2017-09-18,Agricultural Economist,"Applicants must meet all qualifications and eligibility requirements by the closing date of the announcement including the following specialized experience and/or education, as identified by grade level.
In order to be found minimally qualified, you must meet both the following basic education requirement AND the specialized experience requirement.BASIC REQUIREMENTS: A full 4-year course of study in an accredited college or university leading to a bachelors or higher degree in Economics, that included at least 21 semester hours in economics and 3 semester hours in statistics, accounting, calculus.ORCombination of education and experience: courses equivalent to a major in economics, as shown above, plus appropriate experience or additional education.Specialized Experience GS-09:One year of specialized experience comparable to GS-07 which is directly related to the work of this position and which has equipped the applicant with the competencies to perform successfully the duties of the position. For this position, specialized experience is experience in gathering, analyzing, and presenting complex technical economic information using software and statistical methods and preparing analytical reports on agricultural economic issues.OR 2 years of progressively higher level graduate education leading to a master&rsquo;s degree, or a master&rsquo;s degree or equivalent graduate.ORCombination of education and experience.
Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/479698800
2018-05-12,Department of Defense,IA,"JOB DESCRIPTION: Geospatial Analysts create, analyze, and interpret spatial data to support U.S. military and policymaker interests. They apply knowledge of geographic information science and technology, statistics, spatial thinking, remote sensing, intelligence issues, and the social and physical sciences to characterize events, discover relationships and trends, and produce geospatial intelligence. These analysts also conduct multi-INT research, conduct descriptive and predictive analyses, populate and exploit intelligence databases, and produce and disseminate intelligence products.",78703.0,35359.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-12,20180501,"Bolling AFB, District of Columbia|Suitland, Maryland|Arnold, Missouri|Saint Louis, Missouri|Wright-Patterson AFB, Ohio|Charlottesville, Virginia|McLean, Virginia",2017-11-13,Geospatial Analyst,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1.Demonstrated experience with research and analysis preferably geospatial analysis, including use of critical thinking skills and/or data analytics designed to address international problems of national concern.
2.Strong communication and interpersonal skills, including the demonstrated ability to develop and present briefing to meet the need of various audiences.
3.Experience cultivating professional working relationships and working collaboratively to develop and leverage a network of peers and mission partners across different organizations.
4.Familiarity with technical skills, such as scripting and coding, programming, data mining and analytics, data visualization, statistical analysis, algorithm development, data science, imagery analysis, or computational thinking.
5.Working knowledge of geospatial information systems. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Cartography, Geography, Geographic Information Systems, Physical Science, Applied Mathematics, Statistics, Computer Science, or a related discipline or a Bachelor's degree in any discipline with a certificate in GIS from an accredited university. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of coursework in GIS, spatial analysis, or any area listed in option A plus additional experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of significant applied experience in a geospatial analysis field that includes the use of current GIS tools, methods of research and analysis, application of cartographic principles, and work related to the fields listed above. PHYSICAL REQUIREMENT: Distinguish principal colors and shades/hues of principal colors; Near visual acuity of 20/20 or better with or without corrective lenses; Stereopsis ability; Far visual acuity of 20/30 or better binocular with or without corrective lenses DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1.Demonstrated ability to produce high quality written reports and or analytical products within scheduled timelines that meet customer needs.
2.Demonstrated experience with Geospatial Intelligence and/or intelligence processes, especially those in Geospatial intelligence organizations.
3.Proficiency with geospatial modeling, data management, analysis processes, imagery analysis and geospatial information systems.
4.Proven usage of statistical analysis for detailed analytics, code development and its application for automating processes.",https://www.usajobs.gov:443/GetJob/ViewDetails/484276500
2017-12-29,Other Agencies and Independent Organizations,IS,"This is the position of Astronomer (MPC Post-doctoral Fellowship) at the Minor Planet Center (MPC). The MPC is the internationally recognized processing center and archive for minor planet and comet position observations. The MPC, located at the Harvard-Smithsonian Center for Astrophysics, is tasked with identifying candidate near Earth asteroids from all data reported to the MPC, as well as with supporting asteroid survey programs, for example, through services for identifying known asteroids and predicting their positions, and NASA&#8217;s Planetary Defense Coordination Office through notification of potential impacts from initial orbit determination.The purpose of the position is to conduct a program of research in astronomy relating to the Solar System&#8217;s minor planets and/or to develop novel software tools to improve the Minor Planet Center's processing, communication or outreach offerings.The MPC is inviting applications for the first cohort of the Minor Planet Center Postdoctoral Fellowships. We seek individuals who will develop and carry out independent research in astronomy, planetary science, data-science or algorithmic/database development, and whose research will also contribute to the MPC&#8217;s mission. Interested applicants should submit a competitive proposal of no more than 4-pages in length (including any figures), outlining their proposed research or development work and the additional documents found under the section titled How to Apply.",103337.0,66317.0,Not To Exceed Two Years,Smithsonian Institution ,Per Year,2017-12-29,17-72,"Cambridge, Massachusetts",2017-09-29,Astronomer (MPC Post-Doctoral Fellowship),"Basic Requirements:A. Degree: in one or a combination of astronomy, physics, mathematics, space science, or electronics. The course work must have included differential and integral calculus and 12 semester hours in astronomy and/or physics. ORB. Combination of education and experience -- at least 30 semester hours of courses equivalent to a major in any combination of astronomy, space science, physics, mathematics, and electronics, with required course work as shown in A above, plus appropriate experience or additional education.In addition to meeting the basic entry qualification requirements, applicants must have specialized experience and/or directly related education in the amounts shown below: Grade 11:a) Master's or equivalent graduate degree orb) 1 year of specialized experience equivalent to the grade 09 that should demonstrate the experience and ability to conduct either (i) research into the dynamics of Solar System objects; (ii) the development and deployment of code to analyse large data sets; or(iii) the development and deployment of novel software tools for the communication and/or visualization of large data sets. OR c) A combination of successfully completed graduate level education and experience equivalent to the above. Grade 12a) Ph.D. degree or equivalent graduate degree; orb) 1 year of specialized experience equivalent to the grade 11 that should demonstrate the experience and ability to conduct either (i) research into the dynamics of Solar System objects; (ii) the development and deployment of code to analyse large data sets; or (iii) the development and deployment of novel software tools for the communication and/or visualization of large data sets.ORc) A combination of successfully completed graduate level education and experience equivalent to the above.",https://www.usajobs.gov:443/GetJob/ViewDetails/480855700
2017-12-28,Department of the Interior,GS,"Are you a Geographer looking for a position in the Federal workforce? Do you have a passion for compiling and analyzing data? Do you want to be part of an important aspect of the Federal Government, helping with exciting and groundbreaking incentives? If you answered ""yes"" to these questions, then this is the job for you! Come join the USGS and start doing the job you've always dreamed of!Why Is It Great To Work For The USGS?Embark on an exciting future! From the peaks of the highest mountains to the depths of the deepest seas, the U.S. Geological Survey has career opportunities that make a difference in both the lives of others and in the environment. Would you like to join the more than 10,000 scientists, technicians, and support staff of the USGS who are working in more than 400 locations throughout the United States? Apply today! As the Nation's largest water, earth, and biological science and civilian mapping agency, the U.S. Geological Survey (USGS) collects, monitors, analyzes, and provides scientific understanding about natural resource conditions, issues, and problems. The diversity of our scientific expertise enables us to carry out large-scale, multi-disciplinary investigations and provide impartial, timely, and relevant scientific information to resource managers, planners, and other customers related to: the health of our ecosystems and environment; natural hazards that threaten us; natural resources we rely on, and; the impact of climate and land-use changes. For more information about the USGS please visit http://www.usgs.govWhat General Information Do I Need To Know About This Position? This is a term appointment for which all qualified applicants with or without Federal status may apply and be considered. Appointment to this position, however, will not convey permanent status in the Federal service and will be for a period not to exceed 13 months with possible extensions up to a total of 4 years without further competition.Salary: $49,765 (Step 01) to $64,697 (Step 10); NOTE: First time hires to the Federal Government are typically hired at the Step 01.",64697.0,49765.0,Full-Time,Geological Survey,Per Year,2017-12-28,DEN-2018-0084,"Flagstaff, Arizona",2017-12-21,Geographer - GS-0150-09 (DEU-TERM-DG),"For information on basic qualifications, which includes information on whether you may substitute education for specialized experience, please click on the following: https://www2.usgs.gov/humancapital/sw/quals/0150.html.If you are qualifying based on specialized experience, you must meet the requirements listed below: GS-09:BASIC EDUCATION REQUIREMENT: Applicants must meet A or B below to satisfy the basic education requirement for Geographer, all grade levels.Degree in geography; or related physical or social science such as geology, meteorology, economics, statistics, sociology, anthropology, political science, history, cartography, computer science, urban studies, or planning that included at least 24 semester hours in geography or related fields.A combination of education and experience-- courses equivalent to a major in geography, or a related field that included at least 24 semesters hours in geography or related fields, as shown in ""A"" above, plus appropriate experience and/or additional education. The education or combined education and experience must be comparable in type, scope and thoroughness to that acquired through successful completion of a 4-year course of study as described in ""A"" above. (CLICK HERE FOR DETAILS ON HOW TO COMBINE EDUCATION AND EXPERIENCE)In addition to the basic education requirement as stated above, applicants must meet one of the following to qualify for the GS-09 level:**Master's or equivalent graduate degree in geography or other directly related field of study or 2 years of progressively higher-level graduate education (36 semester hours, 54 quarter hours or the equivalent) leading to a master's degree in geography or other directly related field of study if it provided the knowledge, skills and abilities necessary to do the work of the position to be filled.**OR one year of appropriate professional experience in geography that is equivalent to at least the GS-07 level in the Federal service.Examples of such experience could include compiling and evaluating basic geographical facts from a variety of specified sources, ascertaining discrepancies in data, and presenting geographical information from specified maps, charts, and other source materials in the most useful format. This level of work would have involved following established procedures or detailed instructions and would have required a familiarity with a variety of basic geographic tools and sources.You must meet all qualification and eligibility requirements for the position by the closing date of the announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/487216300
2017-12-29,Department of Defense,GS,"This position is part of the Defense Threat Reduction Agency, Defense Threat Reduction Agency. At the Defense Threat Reduction Agency we work as One Team in support of our mission: Safeguarding the United States and its allies from global weapons of mass destruction threats by integrating, synchronizing, and providing expertise, technologies, and capabilities. We have an inclusive work environment that promotes a highly-qualified and diverse workforce capable of meeting the demands of such a critical mission. Whether your career is in an administrative support staff position or in a professional/technical area such as science, engineering, accounting or program management, DTRA offers a unique opportunity to join an innovative team of professionals dedicated to making the world safer. If you&#39;re ready to be entrusted with helping to safeguard the United States and its allies, DTRA offers a rewarding career with competitive salaries,
comprehensive benefits and many professional development opportunities. We are seeking a candidate with a strong academic background in nuclear science or nuclear engineering, such as might be attained via a Ph.D. degree program, and past experience in radiological/nuclear (R/N) detection. The candidate should be able to analyze R/N threats and related detection problems in order to provide operational, scientific and policy solutions to the Contingency and Exercises Department and supported units. The candidate&#39;s background in R/N detection development and detection theory should accompany the ability to effectively communicate and instruct both technical and non-technical audiences, from the individual to the senior official level, in conducting effective R/N search operations. The prospective candidate should have experience in the interpretation of both detection and spectroscopic R/N data, and the operational recommendations that would accompany data analysis and interpretation.",114333.0000,87949.0000,Permanent,Defense Threat Reduction Agency,Per Year,2017-12-29,DTRA-18-10087699-DE,"Pearl City, Hawaii",2017-12-01,Physical Scientist,"You may qualify at the GS-13, if you fulfill the following qualifications: A. One year of specialized experience equivalent to the GS-12 grade level in the Federal service: Utilize field radiological/nuclear (R/N) detection and detectors (with knowledge of their capabilities) during scenarios for WMD response training, exercises, and real world events; Calculate the effects of radiation shielding and associated doses; Interpret radiological data and spectra; Utilize experience with nuclear weapons design and associated technology in support of Combatant Command and/or other federal departments/agencies emergency response events; Participate in radiological/nuclear (R/N) response operations. This position has a Basic Education Requirement.
Basic Requirement: B. Degree: physical science, engineering, or mathematics that included 24 semester hours in physical science and/or related engineering science such as mechanics, dynamics, properties of materials, and electronics; OR Combination of education and experience -- education equivalent to one of the majors shown in A above that included at least 24 semester
hours in physical science and/or related engineering science, plus appropriate experience or additional education. Completed formal course work in nuclear chemistry, nuclear/sub-atomic physics or nuclear engineering is preferred but not required. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/485654900
