ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-02-19,Other Agencies and Independent Organizations,IS,"The software development team of the Chandra X-ray Data System has an opening for a UI/UX IT Specialist with computer graphics and visualization experience to join our team in Cambridge, MA. The talented developer will work to develop/modernize the User Interface/User Experience of new and legacy visualization software. The employee we seek will work to understand the user's needs, advocate that vision to the software team, and design, develop, and maintain software that delivers innovation and seamlessly integrates with the existing system. We offer a challenging environment working in partnership with scientists, data system operations, and an existing software development team, to bring Chandra data products and analysis tools to the astronomical community at large.",122875.0,66317.0,Trust Fund Indefinite. This is not a federal position,Smithsonian Institution ,Per Year,2018-02-19,17-69,"Cambridge, Massachusetts",2017-09-22,IT Specialist (Applications Software),"For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below.1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.AND Candidates for grade 11 must possess minimum of one year of specialized experience equivalent to at least the grade 9 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as knowledge of Python, C/C++, Java and Unix based operating systems; knowledge of and the ability to configure distributed version control systems (e.g., Git, Conda, Clearcase); knowledge of and the ability to utilize modern programming practices and standards (e.g., UML, Design patterns); knowledge and ability to utilize package management and support tools (e.g., Atlassian products such as Jira, Confluence); knowledge of web and cloud enabled technologies. Candidates for grade 12 must possess a minimum of one year of specialized experience equivalent to at least the grade 11 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; knowledge and proficient ability to configure distributed version control systems; knowledge and proficient ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure. Candidates for grade 13 must possess a minimum of one year of specialized experience equivalent to at least the grade 12 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; proficient knowledge and ability to configure distributed version control systems; proficient knowledge and ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure; knowledge of web and cloud enabled technologies. OREducation:All academic degrees and coursework must be from accredited or pre-accredited institutions. Undergraduate or Graduate Education: Degree in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks. Grade 11: Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree.",https://www.usajobs.gov:443/GetJob/ViewDetails/480245700
2017-12-29,Other Agencies and Independent Organizations,IS,"This is the position of Astronomer (MPC Post-doctoral Fellowship) at the Minor Planet Center (MPC). The MPC is the internationally recognized processing center and archive for minor planet and comet position observations. The MPC, located at the Harvard-Smithsonian Center for Astrophysics, is tasked with identifying candidate near Earth asteroids from all data reported to the MPC, as well as with supporting asteroid survey programs, for example, through services for identifying known asteroids and predicting their positions, and NASA&#8217;s Planetary Defense Coordination Office through notification of potential impacts from initial orbit determination.The purpose of the position is to conduct a program of research in astronomy relating to the Solar System&#8217;s minor planets and/or to develop novel software tools to improve the Minor Planet Center's processing, communication or outreach offerings.The MPC is inviting applications for the first cohort of the Minor Planet Center Postdoctoral Fellowships. We seek individuals who will develop and carry out independent research in astronomy, planetary science, data-science or algorithmic/database development, and whose research will also contribute to the MPC&#8217;s mission. Interested applicants should submit a competitive proposal of no more than 4-pages in length (including any figures), outlining their proposed research or development work and the additional documents found under the section titled How to Apply.",103337.0,66317.0,Not To Exceed Two Years,Smithsonian Institution ,Per Year,2017-12-29,17-72,"Cambridge, Massachusetts",2017-09-29,Astronomer (MPC Post-Doctoral Fellowship),"Basic Requirements:A. Degree: in one or a combination of astronomy, physics, mathematics, space science, or electronics. The course work must have included differential and integral calculus and 12 semester hours in astronomy and/or physics. ORB. Combination of education and experience -- at least 30 semester hours of courses equivalent to a major in any combination of astronomy, space science, physics, mathematics, and electronics, with required course work as shown in A above, plus appropriate experience or additional education.In addition to meeting the basic entry qualification requirements, applicants must have specialized experience and/or directly related education in the amounts shown below: Grade 11:a) Master's or equivalent graduate degree orb) 1 year of specialized experience equivalent to the grade 09 that should demonstrate the experience and ability to conduct either (i) research into the dynamics of Solar System objects; (ii) the development and deployment of code to analyse large data sets; or(iii) the development and deployment of novel software tools for the communication and/or visualization of large data sets. OR c) A combination of successfully completed graduate level education and experience equivalent to the above. Grade 12a) Ph.D. degree or equivalent graduate degree; orb) 1 year of specialized experience equivalent to the grade 11 that should demonstrate the experience and ability to conduct either (i) research into the dynamics of Solar System objects; (ii) the development and deployment of code to analyse large data sets; or (iii) the development and deployment of novel software tools for the communication and/or visualization of large data sets.ORc) A combination of successfully completed graduate level education and experience equivalent to the above.",https://www.usajobs.gov:443/GetJob/ViewDetails/480855700
2018-01-01,Department of Homeland Security,AD,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.This is a 4-year temporary appointment in the Excepted service, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process. This position is located on a Type II, Regional Incident Management Assistance Team (IMAT) and starts at a salary of $77,693 to $88,153; however based on performance, the maximum salary possible over the 4-year appointment is $120,102. Apply for this exciting opportunity to become a member of the Region 3 IMAT team within FEMA.EMERGENCY ASSIGNMENT: IMAT employees are subject to a 24-hour on call work schedules in the event of an emergency and be willing to be relocated to emergency sites with little notice. The teams deploy as soon as notified to respond and are on the scene within 12 hours. Once on scene, the teams operate and function under intense physical and mental stress until the response mission is accomplished. This service will require irregular and/or long working hours which may be under austere environments that include living and working in temporary facilities such as tents, warehouses, or other expediently established facilities, significant damage to critical infrastructure that prevents ready access to potable water (other than for drinking), other than basic medical care, and other routinely available services. Work may include duties other than those specified in the employee&#8217;s official position description to include performance of manual labor to support the establishment of team facilitates, subsistence of team members, and distribution of commodities to incident survivors; and may involve some physical exertion including activities such as long periods of standing; walking over rough, uneven, or rocky surfaces; recurring bending, stooping, stretching, reaching, or similar activities; carrying and lifting of moderately heavy items (up to 50 pounds).",88153.0,77693.0,Temporary - Not to Exceed 4 Years,Federal Emergency Management Agency,Per Year,2018-01-01,FEMA-18-JEF-184726-IMAT,"Philadelphia, Pennsylvania",2017-12-20,Supervisory Emergency Management Specialist (Planning Section Chief),"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/487180800
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Engineers develop, construct, test, and maintain architectures such as databases and large-scale data processing systems. They clean, prepare, and optimize data for consumption through the design and construction of massive reservoirs for big data. They solve problems associated with database access and integration and unstructured data sets to provide clean, usable data for customers and IT counterparts. These engineers serve as integrators between data architects, data scientists, and other data consumers. They apply knowledge of scripting tools, programming languages, standards, and software packages to build the data pipelines that enable faster, better, data-informed decision-making within the Agency.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180083,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Engineer,"1) Education: Computer Science, Applied Mathematics, Management Information Systems, Engineering, Physical Sciences, or any other technology related field;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Analysts apply tools and algorithms to identify trends and patterns in data. They communicate with stakeholders and conduct research to develop an understanding of relevant programs and requirements. These analysts identify and collect data from various sources, evaluate the data to ensure that they meet analytic needs, and prepare the data for analysis. They also select, apply, and assess analytic models and techniques, and review and verify the results. They prepare reports and briefings and consult with stakeholders to communicate findings.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180080,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Analyst,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480934900
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Data Science) develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180101,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Data Science),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Geospatial Data Stewardship) manage the generation, approval, and population of data within NGA's geospatial databases, ensuring that they can be used to satisfy customer requirements. They have read/write access to relevant databases and make qualitative decisions about the data. They have a wide range of product/data knowledge and understand the capabilities and limitations of the relevant systems to support the extraction, analysis, and finishing of in-house, co-production, commodity, and contract data.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180111,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Geospatial Data Stewardship),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Cartography, Computer Science, Geology, Geography, Geomatics, GIS, Physical Science, Urban and Regional Planning, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935500
2018-01-02,Department of Defense,NH,"This position is part of the Under Secretary of Defense for AT and L. As a Operations Research Analyst, this position is located in: Mission: The Director, Acquisition Resources and Analysis (ARA) provides resource management, integrated analytical support on acquisition resources and long-range investment planning issues; timely access to accurate, authoritative and reliable data supporting acquisition reporting; as well as oversight, analysis, and decision-making in execution of the Defense Acquisition System. Identifies and defines current and long range acquisition planning issues where useful precedents do not exist, and provides detailed analysis and extensive interaction within OSD, the Joint Staff, the Military Departments, and other government agencies. The Director, ARA also serves as the Executive Secretary to the Defense Acquisition Board; oversees the Defense Acquisition Executive System (DAES); manages AT&L&#39;s participation in the Planning, Programming, Budgeting and Execution System (PPBE); and is responsible for the timely and accurate submission to Congress of Selected Acquisition Reports and Unit Cost Reports for Major Defense Acquisition Programs.",161900.0000,112021.0000,Permanent,Office of the Secretary of Defense,Per Year,2018-01-02,DE-10104222-18-YD,"Pentagon, Arlington, Virginia",2017-12-22,Operations Research Analyst,"This position has an education requirement - Applicants must possess Degree: in operations research; or at least 24 semester hours in a combination of operations research, mathematics, probability, statistics, mathematical logic, science, or subject-matter courses requiring substantial competence in college-level mathematics or statistics. At least 3 of the 24 semester hours must have been in calculus. You may qualify at the NH-4 level, if you fulfill the following qualification requirement: One year of specialized experience equivalent to the NH-3/GS-13 grade level in the Federal service or equivalent private or public sector experience that demonstrates expert knowledge of conducting operations research, economic analysis, and resource management using acceptable methods and principles in support of Federal acquisition programs; experience executing budgetary policies and procedures in compliance with Planning, Programming, Budgeting, and Execution (PPBE); experience applying software tools for database management, data-wrangling, and data visualization. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487360900
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science graduate/professional degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer graduate/professional students robust responsibilities and experiences that enhance their potential careers. Over the course of the year long program, graduate/professional students work along DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program is a year long program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least one year to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10088085-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,2018 Student Honors Business Program - Data Science (Graduate),"All qualification requirements must be met by the closing date of this announcement. Graduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Data Science Business Program.
- Must have received your undergraduate degree as of June 30, 2018.
- Must be accepted and/or enrolled in a graduate/professional degree program as of September 30, 2018.
- Must be enrolled as a degree-seeking graduate or Ph.D. (professional) student
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485516300
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science undergraduate degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer undergraduate students robust responsibilities and experiences that enhance their potential careers. Over the course of the summer program, undergraduate students will work alongside DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program for undergraduate students is a six (6) month program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least six (6) months to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10086540-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,Summer/Fall 2018 Student Honors Business Program - Data Science (Undergraduate),"All qualification requirements must be met by the closing date of this announcement. Undergraduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Business Program. - Must be a sophomore, junior, or senior student as of June 30, 2018.
- Must be enrolled as a degree-seeking undergraduate student
- Must be taking at least half-time academic course load
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485527800
