ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-29,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The ideal candidate for this position will have a strong work ethic and ability to prioritize deliverables and follow through in a timely manner, along with excellent written and verbal communication skills and knowledge of emergency management directives, policies and procedures. This position starts at a salary of $79,720 (GS-12). Apply for this exciting opportunity to become a member of the Office of Response and Recovery, Field Operations Directorate, Workforce Management Division within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",103639.0,79720.0,Permanent,Federal Emergency Management Agency,Per Year,2017-12-29,FEMA-18-LB-189220-DE,"Round Hill, Virginia",2017-12-22,Emergency Management Specialist,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487415200
2017-12-26,Department of Homeland Security,IC,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.In this position, the Emergency Management Specialist (Recovery) will assist and support survivors suffering injury or damages resulting from natural or man-made disasters. In addition, you will assist in executing emergency recovery program operations, and ensuring functional responsibilities are carried out under the authority of the Stafford Act, as amended. This position starts at a salary of $53,735 (IC-09).Apply for this exciting opportunity to become a member of the Region 10 team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. This is a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.",69859.0,53735.0,Temporary - Not to Exceed 2 Years,Federal Emergency Management Agency,Per Year,2017-12-26,FEMA-18-TDS-191691-CORE,"Bothell, Washington",2017-12-21,Emergency Management Specialist (Recovery),"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/487311000
2017-12-26,Department of Homeland Security,IC,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.In this position, the Emergency Management Specialist will perform emergency management work including managing, and coordinating with other entities the recovery efforts from intentional and/or unintentional crises, disasters, other humanitarian emergencies, hazards, or natural and manmade/technological incidents. This position starts at a salary of $60,367 (IC-11) and $72,356 (IC-12).Apply for this exciting opportunity to become a member of the Region 6 team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. This is a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.",94066.0,60367.0,Temporary - Not to Exceed 2 Years,Federal Emergency Management Agency,Per Year,2017-12-26,FEMA-18-TDS-195397-CORE,"Santa Fe, New Mexico",2017-12-18,Emergency Management Specialist,"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/486899400
2018-01-02,Department of Homeland Security,IC,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The primary purpose of this position is to perform emergency management work including managing, and coordinating with other entities the mitigation from intentional and/or unintentional crises, disasters, other humanitarian emergencies, hazards, or natural and manmade/technological (chemical, biologocal, radiological, nuclear, high-yield explosives) incidents. The intended purpose of this position description is to serve as an Emergency Management Specialist performing mitigation program work involving risk analysis, risk reduction, and risk insurance.This position starts at a salary of $53,030 (IC-09), $58,399 (IC-11), or $76,903 (IC-12).Apply for this exciting opportunity to become a member of the Risk Analysis team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. This is a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.",99977.0,53030.0,Temporary - Not to Exceed 2 Years,Federal Emergency Management Agency,Per Year,2018-01-02,FEMA-18-JS-196608-CORE,"Denton, Texas",2017-12-22,CORE Emergency Management Specialist (Mitigation),"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/487363900
2018-01-01,Department of Homeland Security,AD,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.This is a 4-year temporary appointment in the Excepted service, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process. This position is located on a Type II, Regional Incident Management Assistance Team (IMAT) and starts at a salary of $77,693 to $88,153; however based on performance, the maximum salary possible over the 4-year appointment is $120,102. Apply for this exciting opportunity to become a member of the Region 3 IMAT team within FEMA.EMERGENCY ASSIGNMENT: IMAT employees are subject to a 24-hour on call work schedules in the event of an emergency and be willing to be relocated to emergency sites with little notice. The teams deploy as soon as notified to respond and are on the scene within 12 hours. Once on scene, the teams operate and function under intense physical and mental stress until the response mission is accomplished. This service will require irregular and/or long working hours which may be under austere environments that include living and working in temporary facilities such as tents, warehouses, or other expediently established facilities, significant damage to critical infrastructure that prevents ready access to potable water (other than for drinking), other than basic medical care, and other routinely available services. Work may include duties other than those specified in the employee&#8217;s official position description to include performance of manual labor to support the establishment of team facilitates, subsistence of team members, and distribution of commodities to incident survivors; and may involve some physical exertion including activities such as long periods of standing; walking over rough, uneven, or rocky surfaces; recurring bending, stooping, stretching, reaching, or similar activities; carrying and lifting of moderately heavy items (up to 50 pounds).",88153.0,77693.0,Temporary - Not to Exceed 4 Years,Federal Emergency Management Agency,Per Year,2018-01-01,FEMA-18-JEF-184726-IMAT,"Philadelphia, Pennsylvania",2017-12-20,Supervisory Emergency Management Specialist (Planning Section Chief),"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/487180800
2018-02-02,Department of the Air Force,GS,"This is a Washington Air National Guard Title 32 Excepted Service Bargaining Unit Technician position: EMERGENCY MANAGEMENT SPECIALIST
Location: 248 CEF, Camp Murray, WA
Appointment Type: Indefinite
Advertised as: Enlisted
This announcement may be used to fill one or more vacancies. *This is an indefinite position. If an individual employed in the excepted civil service accepts this position, he/she will receive an indefinite appointment. If a Reduction-In-Force occurs the indefinite appointee will have no reemployment rights to his/her former position or any other position. If funding level and employee manning levels permit, incumbent may be converted to permanent technician status without further competition. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! For information about joining the Air National Guard please call 1-800-TO-GO-ANG NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the Washington Air National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard at the required military grade listed if the position is open Nationwide.",69859.0000,53735.0000,Indefinite - Excepted Service,Air National Guard Units (Title 32/Title 5),Per Year,2018-02-02,WA-10100304-AF-17-209,"Camp Murray, Washington",2017-12-20,EMERGENCY MANAGEMENT SPECIALIST,"GENERAL EXPERIENCE: Experience in preparing, planning, training, educating, and equipping personnel and installation leaders on ways to prepare for, prevent, respond to, maintain mission capability and recover from threat events. Emergency management work also includes occupant emergency planning, crisis management, continuity of operations and government, mission assurance, and resiliency activities. SPECIALIZED EXPERIENCE: GS-09 level must have 24 months of experience in preparing and briefing emergency management plans. Ability to speak distinctly. Knowledgeable in personnel activations and deployments. knowledge of readiness status reports. Knowledge of readiness status reports. Competent in writing, designing, formatting, publishing, and presenting specific EM program assigned work to peers and immediate supervisors at workshops or special committee meetings. Knowledge is mandatory in the Emergency Management (EM), Chemical Biological Radiological Nuclear (CBRN), and Hazardous Material (HAZMAT) emergency response, logistics, and training programs. Working experiences and skills in developing, managing, and executing the EM programs that ensured all military, civilian and contract personnel were trained and equipped to support home station and worldwide contingency operations. Knowledge is mandatory of the characteristics and effects of peacetime WMD and wartime conventional and CBRN weapons; detection and identification of CBRN contamination; threat analysis; passive defense measures; principles of contamination control; related technical information, policies, procedures, techniques, and equipment; and EM and contingency planning, training, operations, equipment supply procedures, directives, and policies. May have practical
experience in a supervisory or management position in a government related public safety field or equivalent private industry position. The work requires knowledge of emergency management and related directives, policies, regulations, procedures, and methods; and the collaboration and fostering of relationships between Federal, State, Tribal, and local governments, non-governmental organizations (NGOs), and the private sector, and their response mechanisms and authorities.",https://www.usajobs.gov:443/GetJob/ViewDetails/487170400
2017-12-27,Department of Homeland Security,ES,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The Federal Disaster Recovery Coordinator (FDRC) will lead and coordinate the timely delivery of all Federal Disaster Recovery assistance to support the commonwealth, local governments and affected communities in the aftermath of Hurricane Maria in Puerto Rico.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is a Limited Term Senior Executive Service (SES) position for a three year period. A Limited Term SES is appointed under a nonrenewable appointment for a term of three years or less to an SES position the duties of which will expire at the end of such term.",187000.0,124406.0,Permanent,Federal Emergency Management Agency,Per Year,2017-12-27,FEMA-17-KH-FDRCPR-SES,"San Juan, Puerto Rico",2017-11-24,Federal Disaster Recovery Coordinator,"As a basic requirement for entry into the Senior Executive Service (SES), you must clearly articulate and describe within your resume evidence of progressively responsible supervisory, managerial, or professional experience which involved management of a program or organization of significant scope and complexity. The experience must have been sufficiently responsible to show clearly your ability to perform the duties of this position and meet the mandatory Technical Qualifications and Executive Core Qualifications listed below.You are REQUIRED to submit a resume that specifically speaks to your experience with the mandatory Technical Qualifications (TQs) outlined below:TECHNICAL QUALIFICATIONS (TQs) &#8211; MANDATORY1. Comprehensive knowledge of the Federal Governments response and recovery programs and experience in implementing and developing response and recovery programs at the Federal, State Tribal, Territorial, or local level(s).2. Broad knowledge of the Federal Government's disaster recovery authorities and how these authorities compliment and support State, Tribal, Territorial, and/or Local governments during disaster recovery operations.3. Experience leading, facilitating collaboration, and building partnerships during post-incident operations within one or more supporting functions of disaster recovery. Applicants are strongly encouraged to submit a comprehensive narrative statement addressing the TQs outlined above. The narrative should address each TQ and demonstrate the specialized experience and technical competence that would indicate successful performance in this position. Narratives MUST NOT EXCEED 6 PAGES TOTAL.EXECUTIVE CORE QUALIFICATIONS (ECQs): Below are descriptions of the ECQs that must be clearly evident in your resume.ECQ 1 - LEADING CHANGE: This core qualification involves the ability to bring about strategic change, both within and outside the organization, to meet organizational goals. Inherent to this ECQ is the ability to establish an organizational vision and to implement it in a continuously changing environment. Leadership Competencies: Creativity and Innovation, External Awareness, Flexibility, Resilience, Strategic Thinking, VisionECQ 2 - LEADING PEOPLE: This core qualification involves the ability to lead people toward meeting the organization's vision, mission, and goals. Inherent to this ECQ is the ability to provide an inclusive workplace that fosters the development of others, facilitates cooperation and teamwork, and supports constructive resolution of conflicts. Leadership Competencies: Conflict Management, Leveraging Diversity, Developing Others, Team BuildingECQ 3 - RESULTS DRIVEN: This core qualification involves the ability to meet organizational goals and customer expectations. Inherent to this ECQ is the ability to make decisions that produce high-quality results by applying technical knowledge, analyzing problems, and calculating risks. Leadership Competencies: Accountability, Customer, Decisiveness, Entrepreneurship, Problem Solving, Technical CredibilityECQ 4 - BUSINESS ACUMEN: This core qualification involves the ability to manage human, financial, and information resources strategically. Leadership Competencies: Financial Management, Human Capital Management, Technology ManagementECQ 5 - BUILDING COALITIONS: This core qualification involves the ability to build coalitions internally and with other Federal agencies, State and local governments, nonprofit and private sector organizations, foreign governments, or international organizations to achieve common goals. Leadership Competencies: Partnering, Political Savvy, Influencing/NegotiatingAdditional information about the SES and Executive Core Qualifications can be found on the Office of Personnel Management (OPM) SES Website.You are strongly encouraged to review OPMs Guide to SES Qualifications for specific examples and guidance on writing effective ECQ narrative statements and executive resumes.Fluency in Spanish is a plus, but not required for this position. Please indicate on your resume if you are bilingual.",https://www.usajobs.gov:443/GetJob/ViewDetails/485161800
2018-11-09,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Materiel Command,Per Year,2018-11-09,AFMC-10068846-DHA-GS0089-SP,"Eglin AFB, Florida|Eglin AFB, Florida|Eglin AFB, Florida",2017-11-10,Emergency Management - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying.",https://www.usajobs.gov:443/GetJob/ViewDetails/482562400
2018-11-09,Department of the Air Force,NH,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Materiel Command,Per Year,2018-11-09,AFMC-10075536-DHA-NH0089-JL,"Edwards AFB, California|Arnold AFB, Tennessee",2017-11-10,Emergency Management Specialist - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483449800
2017-12-30,Department of Veterans Affairs,VN,"This is an open continuous announcement. We accept applications for this occupation on an ongoing basis; qualified applicants will be considered as vacancies become available. Applicants will be referred to selecting official on a continual basis until all vacancies are filled OR until the closing date of this announcement. Applicants need not re-apply once the application is referred to the selecting official.VA encourages persons with disabilities to apply. The health related positions in VA are covered by Title 38, and are not covered by the Schedule A excepted appointment authority.",96278.0,50886.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-30,OE-17-KLS-1987936-BU,"Columbia, South Carolina",2017-07-15,Registered Nurse - Emergency Department,"BASIC REQUIREMENTS: U.S. citizenship. Non-citizens may be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy.Graduate of a school of professional nursing approved by the appropriate State-accrediting agency and accredited by one of the following accrediting bodies at the time the program was completed by the applicant: The Accreditation Commission for Education in Nursing (ACEN) or The Commission on Collegiate Nursing Education (CCNE). In cases of graduates of foreign schools of professional nursing, possession of current, full, active and unrestricted registration will meet the requirement of graduation from an approved school of professional nursing.The completion of coursework equivalent to a nursing degree in a MSN Bridge Program that qualifies for professional nursing registration constitutes the completion of an approved course of study of professional nursing. Students should submit the certificate of professional nursing to sit for the NCLEX to the VA along with a copy of the MSN transcript. (Reference VA Handbook 5005, Appendix G6)Current, full, active, and unrestricted registration as a graduate professional nurse in a State, Territory or Commonwealth (i.e., Puerto Rico) of the United States, or the District of Columbia. Grade Determinations: The following criteria must be met in determining the grade assignment of candidates, and if appropriate, the level within a grade:Nurse I Level I - An Associate Degree (ADN) or Diploma in Nursing, with no additional nursing practice/experience required.Nurse I Level II - An ADN or Diploma in Nursing and approximately 1 year of nursing practice/experience; OR an ADN or Diploma in Nursing and a bachelor's degree in a related field with no additional nursing practice/experience; OR a Bachelor&#146;s of Science in Nursing (BSN) with no additional nursing practice/experience.Nurse I Level III - An ADN or Diploma in Nursing and approximately 2-3 years of nursing practice/experience; OR an ADN or Diploma in Nursing and a Bachelor&#146;s degree in a related field and approximately 1-2 years of nursing practice/experience; OR a BSN with approximately 1-2 years of nursing practice/experience; OR a Master's degree in nursing (MSN) or related field with a BSN and no additional nursing practice/experience.Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor&#146;s degree in a related field and approximately 2-3 year&#146;s of nursing practice/experience; OR a Master's degree in nursing or related field with a BSN and approximately 1-2 year&#146;s of nursing practice/experience; OR a Doctoral degree in nursing or meets basic requirements for appointment and has doctoral degree in a related field with no additional nursing practice/experience required.Nurse III - Master's degree in nursing or related field with BSN and approximately 2-3 year&#146;s of nursing practice/experience; OR a Doctoral degree in nursing or related field and approximately 2-3 year&#146;s of nursing practice/experience.Experience refers to paid and unpaid experience, including
volunteer work done through National Service programs (e.g., Peace Corps,
AmeriCorps) and other organizations (e.g., professional; philanthropic;
religions; spiritual; community; student; social). Volunteer work helps build critical
competencies, knowledge, and skills and can provide valuable training and
experience that translates directly to paid employment. You will receive credit for all qualifying
experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/474566500
