ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-02-06,Department of the Air Force,WG,"After you submit your application, return to your USAJOBS account to check the status of your application. Status updates are available on your profile dashboard. Your application will be reviewed to make sure you're eligible and meet the qualifications for the position. If qualifications are met, your application will be referred to the hiring official and your status will be updated to ""Referred"" on your profile dashboard. All other applicants (not being considered) will receive a ""Not Referred"" status.This position is located at the 149th FW, Kelly AFB, San Antonio, TX. The purpose of this position is to act as the crew chief with responsibility for directing the total maintenance effort on individually assigned aircraft.Appointment Factor(s):This is an Excepted Service position that requires active membership in a compatible military assignment in the Texas Air National Guard (TXANG) and wear of the military uniform. Applicants must be a current member of the National Guard or be on Active Duty and be eligible and willing for immediate transfer to the TXANG. If you are not sure you are eligible for TXANG membership,please contact a TXANG recruiter at 1-800-529-4776 before applying for this position.Areas of Consideration:Current Active Duty Air Force and Air National Guard Members Nationwide. This includes:All current members of the National Guard andAll Active Duty Air members eligible for immediate membership in the TXANG.Incentives: Acceptance of a military Federal technician position may result in termination and / or repayment of military incentives. Please check your contract and contact your servicing Education Services (Incentives) office or the Recruiting/Retention office.Rank Spread:E3 (A1C) - E5 (SSgt)Remarks: Shift work may be required.Position may be converted to Permanent at a later date without further competition.This is a Bargaining Unit position.The Texas National Guard is an Equal Opportunity employer.Veterans preference is not applicable in this agency.",27.51,23.59,Indefinite,Air National Guard Units (Title 32),Per Hour,2018-02-06,149-17-49,"Kelly AFB, Texas",2017-02-21,Aircraft Mechanic (Flightline),"Specialized Experience RequiredTo qualify at the WG-12grade level your resume must include relevant experience with beginning and ending dates of employment/experience reflecting at least 18 months experience or training installing, adjusting, aligning, troubleshooting and functionally testing the various major and minor mechanical and pneudraulic systems on an aircraft during overhaul or modification. Experience coordinating the work of other mechanics, and scheduling maintenance to ensure completion of critical actions and optimum workflow. Must have the ability to instruct lower graded mechanics, military and other personnel in the disassembly and re-assembly of crash damaged engines, transmissions, gearboxes, hydraulic components, and fuel controls sufficient for the exhibit to be returned to its shipping container.",https://www.usajobs.gov:443/GetJob/ViewDetails/463886800
2018-08-13,Judicial Branch,GS,"This position is open until filled. The first cutoff date for review of applications will be September 11, 2017. ABOUT THE COMMISSION:
The United States Sentencing Commission is an independent federal agency in the Judicial Branch of government consisting of seven members appointed by the President and confirmed by the Senate and two non-voting ex-officio members. The agency staff consists of approximately 100 employees. The Commission develops and revises guidelines for federal district court judges to consider in sentencing offenders convicted of federal crimes. The Commission monitors and evaluates the use of the guidelines, conducts research and education programs on guideline application and sentencing matters generally, produces sentencing-related reports, and recommends improvements in federal sentencing practices and policies. Additional information about the Commission can be accessed via the Commission&#39;s website at http://www.ussc.gov. ABOUT THE OFFICE OF RESEARCH AND DATA (ORD):
ORD is the largest unit in the Commission, with approximately 45 employees. ORD staff collect data from sentencing documents which are submitted electronically by federal courts around the country. ORD staff provide statistical analyses to the Commissioners about the nature and extent of federal crime, the people who commit those crimes, and how the federal sentencing guidelines are applied in criminal cases. ORD&#39;s analyses are a key part of the Commission&#39;s decision-making process about changes to the guidelines. ORD analyses are also used in various publicly available publications such as the Sourcebook of Federal Sentencing Statistics, Quarterly Sentencing Updates, Quick Facts, and various reports to Congress.",123234.0000,66510.0000,Permanent,U. S. Sentencing Commission,Per Year,2018-08-13,17-14,"Washington DC, District of Columbia",2017-08-14,Research Associate - Programmer,"MANDATORY QUALIFICATION REQUIREMENTS:
Applicants must have an undergraduate degree in criminology, criminal justice, sociology, or a closely related empirical social science from an accredited university or college as well as satisfactory completion of course work in statistics and/or methodology. Applicants must have a minimum of three years of SAS computer programming experience while working in a professional work environment as either an intern or a paid employee. Applicants must also have experience in the following areas: SAS programming experience must include working with manipulating and analyzing quantitative data in data steps such as subset datafiles, creating collapsed or dummy variables, utilizing IF/THEN statements and DO-loops, finding means/medians, and writing macros. Experience with data quality control and/or data cleaning. Experience creating tables and charts in SAS, Work, PowerPoint, and Excel, and using formulas in Excel. Experience matching or merging datafiles. Applicants must have at least one year of specialized experience equivalent to the next lower level of the grade for which they are applying. For example, to qualify for the GS-13, one year of specialized experience must have been at the GS-12 level or equivalent. PREFERRED QUALIFICATIONS:
Preference will be given to applicants with the following areas of experience: Experience with using SAS macros to fill output data from SAS into pre-formatted Excel spreadsheets using Dynamic Data Exchange (DDE). Experience analyzing federal criminal justice data and/or familiarity with the federal sentencing guidelines. Experience reading Oracle data into SAS. Experience using ARRAY function. Experience using SAS procedures to create data reports, graphs, and maps (e.g., experience with the following SAS procedures PROC REPORT, TABULATE, GMAP, SGPLOT, and/or SAS ODS). A Master&#39;s degree in criminology, criminal justice, sociology, or a related empirical social science from an accredited university or college.",https://www.usajobs.gov:443/GetJob/ViewDetails/476978400
2018-07-24,Department of Veterans Affairs,GS,"For more information on the &#147;Who may apply&#148; eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document.",47598.0,36611.0,Agency Employees Only,"Veterans Affairs, Veterans Health Administration",Per Year,2018-07-24,DH-VA-17-1992047-MP,"San Antonio, Texas",2017-07-25,Civilian Pay Technician (Direct Hire),"Required Experience: Examples of specialized
experience would typically include, but are not limited to: providing knowledge
of principles and procedures of pay systems to include general schedule, wage
grade and Title 38; provide customer service in person, on the phone and via
email; coding in the automated payroll systems to enter data and correct errors
in pay actions; work independently and make professional judgments with a set
of rules, regulations, and practices relating to pay; knowledge of programs
used to process payroll actions; perform audits and audit timekeepers' timecard
record; generate and review Pay and Leave reports; calculate formulas in excel;
analyze personnel transaction data, and use multiple automated systems. There is no educational substitution for the GS-06 level.Experience refers
to paid and unpaid experience, including volunteer work done through National
Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g.,
professional; philanthropic; religions; spiritual; community; student;
social). Volunteer work helps build critical
competencies, knowledge, and skills and can provide valuable training and
experience that translates directly to paid employment. You will receive credit for all qualifying
experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/475357100
2018-01-22,Judicial Branch,CL,"WHO MAY BE CONSIDERED: Please see Minimum Qualifications in Job Announcement for details:
http://www.hid.uscourts.gov/files/employment57/VA%2018-02%20Operations%20Support%20Clerk.pdf The Operations Support Clerk is the initial contact for the general public, litigants and the bar with the Clerk&#39;s Office. The Operations Support Clerk performs document intake, mail handling, filing, scanning, data entry, cashiering, and customer service functions within the Clerk&#39;s Office under the direction of the Operations Supervisor. The position interacts extensively with the public, chambers and court staff, attorneys, and representative of government agencies on a daily basis. Please see link for more details:
http://www.hid.uscourts.gov/files/employment57/VA%2018-02%20Operations%20Support%20Clerk.pdf KEY REQUIREMENTS:
http://www.hid.uscourts.gov/files/employment57/VA%2018-02%20Operations%20Support%20Clerk.pdf",66865.0000,41102.0000,Excepted,U.S. Courts,Per Year,2018-01-22,2018-02,"Honolulu, Hawaii",2017-12-14,Operations Support Clerk,"To qualify for the position, candidates must have a high school diploma or equivalent, and at least two (2) years of general experience which provided the candidate with progressively responsible clerical, office or other work experience that indicates the possession of, or the ability to acquire, the particular knowledge and skills needed to perform the duties of the position. Education above the high school level may be substituted for required general experience on the basis of one academic year (30 semester or 45 quarter hours) equals one year of general experience. Promotional potential to CL-25 after one year of specialized experience at CL-24 and successful performance of Operations Support Clerk duties at CL-24 as evaluated by the Operations Supervisor (subject to funding).",https://www.usajobs.gov:443/GetJob/ViewDetails/486751200
2018-01-18,Department of the Army,WG,"DUTY: Bear true faith and allegiance to the state and nation; cultivate an environment for all to excel; prepare mentally, physically and spiritually to deploy at home and abroad. HONOR: Hold the public trust in the highest regard; exceed standards and expectations; act with understanding, innovation, resourcefulness, flexibility and urgency. Do all you can, where you are, with what you have and always place the welfare of those you lead first. TEXAS: Embrace the courageous spirit of our people, history and culture. This position is apart of the TX G4 and is located at CSMS 1, Saginaw, TX. The purpose is to oversee one or more product lines, a segment of a large warehouse, or serve as the senior employee in a smaller warehouse or supply facility. Appointment Factor(s): This is an Excepted Service position that requires active membership in a compatible military assignment in the Texas Army National Guard and wear of the military uniform. Applicants who are not currently employed with the agency are not eligible for this position. Areas of Consideration: In-Service/Onboard only. This includes: All currently employed full-time permanent, indefinite and temporary personnel of the Texas Army National Guard. Remarks: Incentives: Acceptance of a military Federal technician position may result in termination and / or repayment of military incentives. Please check your contract and contact your servicing Education Services (Incentives) office. Compressed Work Schedule: 4-10 TUES through FRI 0630-1700 Texas National Guard Job Opportunities",22.8400,19.4600,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-18,TX-10094468-AR,"Saginaw, Texas",2017-12-19,MATERIALS HANDLER,"Specialized Experience Required:
To qualify at the WG-06 grade level, your resume must include relevant experience with beginning and ending dates of employment/experience reflecting 9 months experience or training in receiving, packaging, and preparation for shipment. Experience in compiling reports, overall warehouse planning, documentation requirements, and accepted warehousing methods, procedures and techniques. Experience in setting up and rotating storage locations considering factors such as life expectancy, available space, product turnover, etc.",https://www.usajobs.gov:443/GetJob/ViewDetails/487006200
2018-01-01,Department of Transportation,GS,"PLEASE NOTE: THIS VACANCY IS LIMITED TO THE FIRST 100 APPLICATIONS RECEIVED AND WILL CLOSE AT MIDNIGHT ON THE CLOSING DATE OR AT MIDNIGHT ON THE DAY WE RECEIVE THE 100TH APPLICATION, WHICHEVER COMES FIRST.This position is in the Travel Monitoring and Surveys Division, Office of Highway Policy Information. The Division is responsible for the collection, interpretation, evaluation, analysis, publication, and dissemination of data and information concerning travel and traffic characteristics.You will serve as FHWA&#8217;s technical expert in both collecting and analyzing national vehicle travel and personal travel data and deciphering travel patterns and trends geospatially and temporarily in order to meet policy development and implementation needs. You will also be responsible for multivariant statistical analysis and modeling covering travel demand, travel need, passenger and freight origin destination, highway network, congestion, level of service, travel behavior data, vehicle, fuel consumption, licensed driver data, and safety data. The ideal candidate for this position is a senior level Transportation Specialist who is experienced in both traffic and travel behavior data collection and processing and is proficient and familiar with data analysis software such as the Statistical Analysis System (SAS), Tableau, TransCAD, EXCEL, and other business intelligent software.PLEASE NOTE: This vacancy may be used to fill similar positions within 60 days for these locations.",145629.0,94796.0,Permanent,Federal Highway Administration,Per Year,2018-01-01,FHWA.HPL-2018-0002,"Washington DC, District of Columbia",2017-12-22,Transportation Specialist - GS - 2101 -  13/14 (Open to U.S. Citizens),"To meet the minimum qualifications for this position, you must meet either the specialized experience qualifications for the grade at which you are requesting consideration.To qualify for the GS-13, you must have at least one year of specialized experience equal or equivalent to the following: Experience in conducting independent highway transportation data relationship and effects evaluation and analysis using business intelligent (BI) software.To qualify for the GS-14 (in addition to the GS-13), you must have at least one year of specialized experience equal or equivalent to the following: Experience in both vehicle and personal travel data collection and processing methods and approaches. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.For additional information about applying to Federal positions, please click on the following link: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-policies/#url=e4Applicants must meet all qualification requirements by the closing date of this announcement",https://www.usajobs.gov:443/GetJob/ViewDetails/487436400
2018-11-28,Department of the Air Force,WS,"TEXAS MILITARY DEPARTMENT DUTY: Bear true faith and allegiance to the state and nation; cultivate an environment for all to excel; prepare mentally, physically and spiritually to deploy at home and abroad.
HONOR: Hold the public trust in the highest regard; exceed standards and expectations; act with understanding, innovation, resourcefulness, flexibility and urgency. Do all you can, where you are, with what you have and always place the welfare of those you lead first.
TEXAS: Embrace the courageous spirit of our people, history and culture. This position is located at the 149th MAI SQ, Kelly AFB, San Antonio, Texas. The purpose of this position is to supervise employees who install, modify, overhaul, maintain, troubleshoot, repair, align, calibrate, and rebuild multi-system avionics complexes consisting of multiple completely integrated electronic avionics systems where the complex accomplishes a number of major functions. Appointment Factors: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Area of Consideration: In-State Only. This includes: All currently employed full-time permanent, indefinite, and temporary personnel of the Texas Air National Guard All current members of the Texas Air National Guard. Incentives: Acceptance of a military Federal technician position may result in termination and / or repayment of military incentives. Please check your contract and contact your servicing Education Services (Incentives) office or the Recruiting/Retention office. Remarks: Announcement is open until filled, not to exceed one year. Applicants will be referred after 30 days unless otherwise requested by the selecting unit but no sooner than 10 days after opening. The Texas National Guard is an Equal Opportunity employer. Veterans&#39; preference is not applicable to this position.",36.7300,31.4700,Permanent,Air National Guard Units (Title 32/Title 5),Per Hour,2018-11-28,TX-10065117-AF,"Kelly AFB, Texas",2017-11-29,Electronic Integrated Systems Mechanic Supervisor,"Specialized Experience:
To qualify at the WS-13 grade level, your resume must include relevant experience with beginning and ending dates of employment/experience reflecting 36 months in the following: working experiences in performing, training and/or supervising assigned integrated systems repair and maintenance work operations; working and training experiences in the maintenance, repair, and modification of integrated multi-complex avionics systems; and skilled in planning tasks for subordinate workers and expanded knowledge in using the equipment, facilities and materials.",https://www.usajobs.gov:443/GetJob/ViewDetails/485129300
2017-12-28,Department of the Army,GS,"DUTY: Bear true faith and allegiance to the state and nation; cultivate an environment for all to excel; prepare mentally, physically and spiritually to deploy at home and abroad. HONOR: Hold the public trust in the highest regard; exceed standards and expectations; act with understanding, innovation, resourcefulness, flexibility and urgency. Do all you can, where you are, with what you have and always place the welfare of those you lead first. TEXAS: Embrace the courageous spirit of our people, history and culture. This National Guard position is for a SUPPLY TECHNICIAN D1600000 and is part of the TX G6 and is located at Camp Mabry, Austin, Texas. The purpose of this position is to monitor and maintain accountability of all accountable property equipment and components within the organization. Appointment Factor(s): This is an Excepted Service position that requires active membership in a compatible military assignment in the Texas Army National Guard and wear of the military uniform. Applicants who are not currently a member of the Texas Army National Guard must be eligible for immediate membership and employment in the Texas Army National Guard. If you are not sure you are eligible for military membership, please visit or contact a Texas Army National Guard recruiter before applying for this position. Areas of Consideration: Nationwide Excepted. This includes: All currently employed full-time permanent, indefinite and temporary personnel of the Texas Army National Guard. All current members of the Texas Army National Guard and individuals eligible for membership in the Texas Army National Guard. Incentives: Acceptance of a military Federal technician position may result in termination and / or repayment of military incentives. Please check your contract and contact your servicing Education Services (Incentives) office or the Recruiting/Retention office. Texas National Guard Job Opportunities",53311.0000,41006.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-28,TX-10097789-AR,"Camp Mabry, Texas",2017-12-13,SUPPLY TECHNICIAN,"Specialized Experience Required To qualify at the GS-07 grade level your resume must include relevant experience with beginning and ending dates of employment/experience reflecting at least 12 months experience, education, or training which demonstrates a thorough knowledge of governing supply regulations, policies, procedures, and instructions applicable to the specific assignment. Experience conducting extensive searches for required information; reconstructing records for complex supply transactions; and/or provide supply operations support for activities involving specialized or unique supplies, equipment, or parts. Experience performing routine aspects of supply work based on practical knowledge of standard procedures, where assignments include individual case problems related to a limited segment in one of the major areas of supply management.",https://www.usajobs.gov:443/GetJob/ViewDetails/486623000
2018-01-16,Department of the Army,WG,"TEXAS MILITARY DEPARTMENT DUTY: Bear true faith and allegiance to the state and nation; cultivate an environment for all to excel; prepare mentally, physically and spiritually to deploy at home and abroad. HONOR: Hold the public trust in the highest regard; exceed standards and expectations; act with understanding, innovation, resourcefulness, flexibility and urgency. Do all you can, where you are, with what you have and always place the welfare of those you lead first. TEXAS: Embrace the courageous spirit of our people, history and culture. This position is located in the Aviation Life Support function, ARNG Aviation Support Facility, Dallas, Texas. The purpose of this position is to provide control, inspection and certification, testing, evaluation and maintenance or overhaul of Aviation Life Support Equipment (ALSE). Appointment Factor(s): This is an excepted service position that requires active membership in a compatible military assignment in the Texas Army National Guard and wear of the military uniform. Applicants who are not currently a member of the Texas Army National Guard must be eligible for immediate membership and employment in the Texas Army National Guard. AREAS OF CONSIDERATION: Nationwide Excepted. This includes: All currently employed full-time permanent personnel of the Texas Army National Guard. All current members of the Texas Army National Guard and individuals eligible for membership in the Texas Army National Guard. Incentives: Acceptance of a military Federal technician position may result in termination and / or repayment of military incentives. Please check your contract and contact your servicing Education Services (Incentives) office or the Recruiting/Retention office. Remarks: Enlisted: E-1 to E-7/SFC This is a Bargaining Unit position. The Texas National Guard is an Equal Opportunity employer. Veterans preference is not applicable in this position. Texas National Guard Job Opportunities",29.1400,24.9500,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-16,TX-10096124-AR,"Grand Prairie, Texas",2017-12-15,AIRCRAFT SURVIVAL FLIGHT EQUIPMENT REPAIRER,"Specialized Experience Required: To qualify at the WG-10 grade level, your resume must include relevant experience with beginning and ending dates of employment/experience reflecting 18 months experience or training which has demonstrated knowledge of aviation life support equipment. Experience reading and interpreting military manuals. Experience in supply procedures and property accountability. Experience collecting information and presenting it to various sized groups. Experience in planning a functional shop maintenance program is essential.",https://www.usajobs.gov:443/GetJob/ViewDetails/486671500
2018-01-16,Department of the Army,WG,"TEXAS MILITARY DEPARTMENT DUTY: Bear true faith and allegiance to the state and nation; cultivate an environment for all to excel; prepare mentally, physically and spiritually to deploy at home and abroad. HONOR: Hold the public trust in the highest regard; exceed standards and expectations; act with understanding, innovation, resourcefulness, flexibility and urgency. Do all you can, where you are, with what you have and always place the welfare of those you lead first. TEXAS: Embrace the courageous spirit of our people, history and culture. This position is located in the Logistics function of an ARNG Army Aviation Support Facility (DAASF), Dallas, Texas. The purpose of this position is to act as the Aircraft Mechanic (Crew Chief) with responsibility for managing the operational readiness of one or more aircraft, and proficiency training of supported aviation unit personnel. Appointment Factor(s): This is an excepted service position that requires active membership in a compatible military assignment in the Texas Army National Guard and wear of the military uniform. Applicants who are not currently a member of the Texas Army National Guard must be eligible for immediate membership and employment in the Texas Army National Guard. AREAS OF CONSIDERATION: Nationwide Excepted. This includes: All currently employed full-time permanent personnel of the Texas Army National Guard. All current members of the Texas Army National Guard and individuals eligible for membership in the Texas Army National Guard. Incentives: Acceptance of a military Federal technician position may result in termination and / or repayment of military incentives. Please check your contract and contact your servicing Education Services (Incentives) office or the Recruiting/Retention office. Rank Spread: Enlisted: E-1 to E-7/SFC Remarks: Must have maintenance experience in CH-47 Chinook aircraft. This is a Bargaining Unit position. The Texas National Guard is an Equal Opportunity employer. Veterans preference is not applicable in this agency. Texas National Guard Job Opportunities",32.0100,27.3200,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-16,TX-10096120-AR,"Dallas, Texas",2017-12-15,AIRCRAFT MECHANIC,"Specialized Experience Required: To qualify at the WG-12 grade level, your resume must include relevant experience with beginning and ending dates of employment/experience reflecting at least 18 months experience or training in installing, adjusting, aligning, trouble-shooting, and functionally testing the various major and minor mechanical and pneudraulic systems on an aircraft during overhaul or modification. Experience coordinating the work of other mechanics, and scheduling maintenance to ensure completion of critical actions and optimum workflow. Must have the ability to instruct lower graded mechanics, military and other personnel in the disassembly and re-assembly of crash damaged engines, transmissions, gearboxes, hydraulic components, and fuel controls sufficient for the exhibit to be returned to its shipping container.",https://www.usajobs.gov:443/GetJob/ViewDetails/486673900
