ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-27,Department of Homeland Security,GS,"**BEFORE YOU APPLY, PLEASE READ THE ENTIRE JOB OPPORTUNITY ANNOUNCEMENT and VIEW THE COMMON DEFINITIONS OF TERMS USED**Do you desire to protect American interests and secure our Nation while building a meaningful and rewarding career? If so, the Department of Homeland Security (DHS) is calling. DHS components work collectively to prevent terrorism, secure borders, enforce and administer immigration laws, safeguard cyberspace and ensure resilience to disasters. The vitality and magnitude of this mission is achieved by a diverse workforce spanning hundreds of occupations. Make an impact; join DHS.&#8220;We Train Those Who Protect Our Homeland.&#8221; The Federal Law Enforcement Training Centers (FLETC) is a unique inter-agency organization that prepares the next generation of law enforcement officers to meet the Nation's most pressing security challenges. To learn more about the FLETC&#8217;s vital Homeland Security Mission, please click here.The position is located in the Enforcement Operations Division (EOD), Office of Training Operations (OTO), Glynco Training Directorate (GTD), located in Glynco, GA. You will serve as a field and classroom instructor in assigned Enforcement Operations course areas of law enforcement.Additional selections may be made from this announcement within the same geographical area.Applying to this announcement certifies that you give permission for DHS to share your application with others in DHS for similar positions.Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.",93821.0,72168.0,Work schedule is full-time.,Federal Law Enforcement Training Centers,Per Year,2017-12-27,FLETC-GTD-2018-0014,"Glynco, Georgia",2017-12-20,Law Enforcement Specialist (Enforcement Operations Instructor),"The qualification requirements listed below must be met by the closing date of this announcement. In order to be considered for this position applicants must:A. Possess experience as a sworn law enforcement officer or agent with full arrest authority in the prevention, detection, apprehension, detention and /or investigation of felony and/or misdemeanor violations of Federal, state, local, tribal, or military criminal laws. -OR- B. Held a federal civilian position in the 1801 occupational series.-AND-In addition to the above, you must possess at least one year of specialized experience equivalent to at least the GS-11 level in the Federal service performing law enforcement duties that require you to carry and qualify with a firearm, make arrests, develop reasonable suspicion/probable cause to conduct frisks and searches incident to arrest, experience in the training and evaluation of officers in the proper application of use of force techniques, radio communications, patrol skills and operational planning, vehicle searches, report writing, surveillance, law enforcement tactical techniques, archeological resource protection act, and/or active shooter response. -OR- At least one year of specialized experience equivalent to at least the GS-11 level in the Federal service instructing, developing and evaluating basic law enforcement training curriculum in the field of tactics, practical application of use of force, land management, and law enforcement officer operational and patrol techniques.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487166700
2017-12-26,Department of Defense,GS,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD) agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.",57113.0,43930.0,Permanent,Defense Logistics Agency,Per Year,2017-12-26,DLALndMartm-18-2027040-DE,"Bremerton, Washington",2017-12-15,Purchasing Agent,"To qualify for a Purchasing Agent, your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position, and is directly in or related to this position. To qualify at the GS-07 level, applicants must possess one year of specialized experience equivalent to the GS-06 level or equivalent under other pay systems in the Federal service, military or private sector. Creditable specialized experience includes: Negotiating for price reductions or other remedies; monitoring vendor performance through contacts and reviewing of progress reports; purchasing commercial supplies and services through competitive open market procedures or through orders against established contracts and consolidating orders to meet minimum ordering quantities under Federal Supply Schedules.Your qualifications will be evaluated on the basis of your level of competency (knowledge, skills and abilities) in thefollowing areas:Ability to interpret and apply purchasing laws, regulations and policies.Knowledge of small purchase procedures and methods.Ability to communicate orally.Ability to communicate in writing.",https://www.usajobs.gov:443/GetJob/ViewDetails/486799300
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,TI-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Law Enforcement or Military Veteran,"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463469600
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,EI-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Education Background,"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463484100
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,FI-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Accounting/Finance Background,"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463484600
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,ST-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Science/Technology/Engineering/Math (STEM),"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463485000
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,LI-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Linguist/Foreign Language Specialists,"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463485800
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1 .",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,CI-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Legal/Criminal Investigation Background,"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463486300
2017-12-26,Department of Defense,GS,"The Defense Logistics Agency (DLA) is a U.S. Department of Defense (DoD) agency. DLA provides worldwide logistics support for the missions of the Military Departments and the Unified Combatant Commands under conditions of peace and war. It also provides logistics support to other DoD Components and certain Federal agencies, foreign governments, international organizations, and others as authorized.",63243.0,48651.0,Permanent,Defense Logistics Agency,Per Year,2017-12-26,DLALndMartm-18-2027123-DE,"Bremerton, Washington",2017-12-15,Supervisory Purchasing Agent,"To qualify for a Supervisory Purchasing Agent, your resume and supporting documentation must support: A. Specialized Experience: One year of specialized experience that equipped you with the particular competencies to successfully perform the duties of the position, and is directly in or related to this position. To qualify at the GS-08 level, applicants must possess one year of specialized experience equivalent to the GS-07 level or equivalent under other pay systems in the Federal service, military or private sector. Creditable specialized experience includes: Review of purchase requisitions to ensure that requirements meet purchase card criteria and all required approvals are obtained prior to assignment to cardholder; distribute workload ensuring equal distribution; assure timely and accurate cardholder statement of account reconciliation, reviews and processes completed in a timely manner; assist cardholders with complex problem solving, dispute resolutions with vendor and bank card personnel and provide guidance and training to purchase card holders.Your qualifications will be evaluated on the basis of your level of competency (knowledge, skills and abilities) in thefollowing areas: Knowledge of the Government Purchase Card program procedures.Knowledge of Federal and DoD acquisition laws, regulations and policies. Ability to communicate.Knowledge of the following supervisory/managerial competencies: professionalism, leadership, teamwork, oral and written communication, strategic focus, responsibility and accountability, innovation and initiative, customer service and resource stewardship.",https://www.usajobs.gov:443/GetJob/ViewDetails/486801900
2017-12-29,Department of Veterans Affairs,GS,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? The incumbent for this position may be eligible to apply for the Education Debt Reduction Program. Please contact Human Resources at this medical center and speak with the Education Debt Reduction Program Coordinator for additional information.",89262.0000,54206.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-29,CBDT-10061456-18-JLi,"East Orange, New Jersey",2017-10-13,Occupational Therapist,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Education. Graduation from a degree program in occupational therapy approved by the Accreditation Council for Occupational therapy Education (ACOTE) or predecessor organizations to include an internship (supervised field work experience required by the educational institution). The ACOTE is the only accreditation agency recognized by the United States Department of Education (USDE) and the Council for Higher Education Accreditation (CHEA). Foreign Education. Foreign graduates of occupational therapy programs meet the requirements if they have a current, full, active and unrestricted license/certification/registration/trademark. Possession of written documentation that the individual has passed the entry-level certification examination for OTs which is administered by the National Board for Certification in Occupational Therapy (NBCOT). License/Registration/Certification. The OT must hold a full, current and unrestricted state license, registration or certification as required by state statute. Certification/Examination. Possession of written documentation that the individual has passed the entry level certification examination for OTs which is administered by the National Board for Certification in Occupational Therapy (NBCOT). Preferred Experience: Certified in Physical Agent Modalities (PAMs). Experience in outpatient and inpatient rehabilitation. Experience in rehab of post-operative and chronic upper extremity conditions. Grade Determinations:
For GS-9: Experience: At 1 year of post-graduate progressively responsible experience equivalent to the next lower grade level
OR
Education: Two full years of progressively higher level graduate education in a field related to the practice of occupational therapy OR Master&#39;s Degree in Occupational Therapy OR a closely related field accredited by ACOTE. For GS-11: Education and Experience. In addition to meeting the basic requirements, completion of one year of progressively complex experience and a broader scope of experience equivalent to the next lower grade (GS-9) directly related to the position being filled
OR
Education: 3 years of progressively higher level graduate education leading to a degree in occupational therapy or a directly related field.
Demonstrated KSAOs. In addition to the basic requirements, individuals assigned as GS-11 OTs must demonstrate all of the following KSAOs:
- Knowledge of advanced occupational therapy techniques to perform functions associated within the occupational therapy scope of practice.
- Ability to communicate orally and in writing.
- Ability to adapt assessment tools and treatment to the complexity of the diagnosis or disabilities and demonstrate the clinical reasoning necessary to identify the need for further in depth specific assessment of function and utilization of non-standard methods and techniques.
- Knowledge of principles and techniques in the occupational therapy assessment and treatment of occupational, cognitive, and psychological functional deficits.
- Ability to interact with patients, families, and other health care providers.
- Ability to facilitate and instruct in-service and clinical training programs.
- Knowledge and ability to apply all health and safety regulations to minimize and mitigate risks in the provision of patient care and environmental maintenance.
References: See VA Handbook 5005, Part II, Appendix G14 dated March 28, 2014. The full performance level of this vacancy is GS-11. The actual grade at which an applicant may be selected for this vacancy is in the range of GS-7 to GS-11.",https://www.usajobs.gov:443/GetJob/ViewDetails/481677900
