ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-11-09,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Materiel Command,Per Year,2018-11-09,AFMC-10074735-DHA-GS2131-ML,"Edwards AFB, California|Eglin AFB, Florida|Eglin AFB, Florida|Eglin AFB, Florida",2017-11-10,Freight Rate - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying.",https://www.usajobs.gov:443/GetJob/ViewDetails/483322500
2018-11-09,Department of the Air Force,NK,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",61922.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10077618-DHA-NK2131-ML,"Edwards AFB, California",2017-11-10,Freight Rater - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483773300
2018-01-01,Department of Transportation,GS,"PLEASE NOTE: THIS VACANCY IS LIMITED TO THE FIRST 100 APPLICATIONS RECEIVED AND WILL CLOSE AT MIDNIGHT ON THE CLOSING DATE OR AT MIDNIGHT ON THE DAY WE RECEIVE THE 100TH APPLICATION, WHICHEVER COMES FIRST.This position is in the Travel Monitoring and Surveys Division, Office of Highway Policy Information. The Division is responsible for the collection, interpretation, evaluation, analysis, publication, and dissemination of data and information concerning travel and traffic characteristics.You will serve as FHWA&#8217;s technical expert in both collecting and analyzing national vehicle travel and personal travel data and deciphering travel patterns and trends geospatially and temporarily in order to meet policy development and implementation needs. You will also be responsible for multivariant statistical analysis and modeling covering travel demand, travel need, passenger and freight origin destination, highway network, congestion, level of service, travel behavior data, vehicle, fuel consumption, licensed driver data, and safety data. The ideal candidate for this position is a senior level Transportation Specialist who is experienced in both traffic and travel behavior data collection and processing and is proficient and familiar with data analysis software such as the Statistical Analysis System (SAS), Tableau, TransCAD, EXCEL, and other business intelligent software.PLEASE NOTE: This vacancy may be used to fill similar positions within 60 days for these locations.",145629.0,94796.0,Permanent,Federal Highway Administration,Per Year,2018-01-01,FHWA.HPL-2018-0002,"Washington DC, District of Columbia",2017-12-22,Transportation Specialist - GS - 2101 -  13/14 (Open to U.S. Citizens),"To meet the minimum qualifications for this position, you must meet either the specialized experience qualifications for the grade at which you are requesting consideration.To qualify for the GS-13, you must have at least one year of specialized experience equal or equivalent to the following: Experience in conducting independent highway transportation data relationship and effects evaluation and analysis using business intelligent (BI) software.To qualify for the GS-14 (in addition to the GS-13), you must have at least one year of specialized experience equal or equivalent to the following: Experience in both vehicle and personal travel data collection and processing methods and approaches. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.For additional information about applying to Federal positions, please click on the following link: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-policies/#url=e4Applicants must meet all qualification requirements by the closing date of this announcement",https://www.usajobs.gov:443/GetJob/ViewDetails/487436400
2018-01-02,Other Agencies and Independent Organizations,GS,"NTSB: Independently Advancing Transportation Safety The National Transportation Safety Board (NTSB) is an independent U.S. Federal agency responsible for investigating significant accidents in the various modes of transportation-aviation, railroad, highway, marine, and pipeline. The NTSB determines the probable cause of each accident investigated and issues safety recommendations to prevent future accidents. This position is located in the Railroad Division, Office of Railroad, Pipeline, and Hazardous Materials Investigations (RPH), National Transportation Safety Board (NTSB). Incumbent serves as an investigator-in-charge (IIC) with recognized expertise in railroad operations, railroad accident investigations, and railroad safety. Incumbent is responsible for organizing, managing and coordinating the investigation of major railroad transportation accidents and developing and presenting reports with safety recommendations for adoption by the Board. The National Transportation Safety Board does not discriminate on the basis of race, color, religion, sex (including pregnancy and gender identity), national origin, political affiliation, sexual orientation, marital status, disability, genetic information, age, membership in an employee organization, retaliation, parental status, military service, or other non-merit factor. Providing this information is voluntary and has no impact on the recruitment or hiring process. This information will be used to determine if our equal employment opportunity efforts are reaching all segments of the population, consistent with Federal equal employment opportunity laws.",145629.0000,112021.0000,Permanent,National Transportation Safety Board,Per Year,2018-01-02,RPH-DE-10096642-18-BS,"Washington DC, District of Columbia",2017-12-21,Railroad Accident Investigator,"One or more years of specialized experience with railroad or railroad transit equivalent to the GS-13 in the Federal Service. Specialized experience is defined as writing reports of railroad accident investigations and/or studies of railroad safety, presenting on reports of railroad accident issues; expertise in one railroad investigative area (operations, mechanical, signal, or track); experience organizing a major project such as a hearing, symposium, research experiment; and must have applied that knowledge in a written report; and experience independently conducting railroad transportation accident investigations. In addition, this position has requirements which must be met prior to employment.
Knowledge and demonstrated experience in the areas of railroad track construction and/or maintenance and inspection regulations in a freight and/or commuter railroad environment, or knowledge and demonstrated experience in track construction and/or maintenance.",https://www.usajobs.gov:443/GetJob/ViewDetails/487256800
2018-01-05,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a FLIGHT SERVICES SPECIALIST, Position Description Number ?D1458000 and is part of the 190th Air Refueling Wing, Kansas Air National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",64995.0000,49994.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-05,KS-10093198-AF-17-231,"Forbes AFB, Kansas",2017-12-05,FLIGHT SERVICES SPECIALIST,"GENERAL EXPERIENCE: Experience, education, or training interpreting, explaining, and/or applying a variety of regulations and procedures. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 24 months experience, education, or training in arranging or procuring transportation for personnel, cargo or freight. Experience in pre and post auditing of freight bills, bills of lading, and personnel transportation vouchers. Experience coordinating and negotiating with organizations/personnel both orally and in writing to resolve differences/problems.",https://www.usajobs.gov:443/GetJob/ViewDetails/485894500
2018-01-01,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a AIR BATTLE MANAGER (INSTRUCTOR), Position Description Number D2350000 and is part of the, Theatre Air Control System directly subordinate to the Air Operations Center, Air National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",93821.0000,72168.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-01,GA-10090602-AF-18-035,"Hunter AFB, Georgia",2017-11-30,AIR BATTLE MANAGER (INSTRUCTOR),"GENERAL EXPERIENCE: Must possess experience or education interpreting, explaining, and/or applying a variety of regulations and procedures. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 36 months specialized experience or education arranging or procuring transportation for personnel, cargo or freight. Experience in non-routine pre and post auditing of freight bills, bills of lading, and personnel transportation vouchers. Experience coordinating and negotiating with organizations/personnel both orally and in writing to resolve differences/problems. *For positions requiring supervisory functions; experience which included responsibility for the supervision and management of personnel.",https://www.usajobs.gov:443/GetJob/ViewDetails/485524900
2017-12-27,Department of the Air Force,GS,"This AVIATION RESOURCE MANAGEMENT SPECIALIST position, is located in the Air Operations Division of an Air National Guard Aviation Wing and is part of the CA 163 ATKW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",72901.0000,56075.0000,Excepted Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2017-12-27,CA-10093727-AF-18-019,"March AFB, California",2017-12-06,AVIATION RESOURCE MANAGEMENT SPECIALIST,"General Experience: Experience, education, or training interpreting, explaining, and/or applying a variety of regulations and procedures; experience using computer and automation systems. AVIATION RESOURCE MANAGEMENT SPECIALIST, GS-2101-9: Must have at least 24 months experience, education, or training in arranging or procuring transportation for personnel, cargo or freight; experience in pre and post auditing of freight bills, bills of lading, and personnel transportation vouchers; experience coordinating and negotiating with organizations/personnel both orally and in writing to resolve differences/problems. Your qualifications will be evaluated on the following competencies:
Customer ServiceInformation ManagementProblem SolvingWriting",https://www.usajobs.gov:443/GetJob/ViewDetails/486079300
2017-12-24,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. PERMANENT or INDEFINITE Tenure will be determined at management&#39;s discretion This National Guard position is for a Flight Operations Specialist, Position Description Number D0671000 and is part of the VA AASF, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. One of these positions is being advertised as an indefinite appointment and applicant selected may be released at any time, and advised of his/her rights and benefits to which entitled. In the event a permanent employee is accepted for this indefinite position, there will be a change in their tenure from permanent to indefinite. Indefinite appointments may be made permanent at a later date without competition. WHO CAN APPLY: GROUP I - All qualified Male/Female Enlisted Personnel (E2/PVT - E9/SMG) or Warrant Officers (W1/WO1 - W5/CW5), currently employed (permanent) in the Virginia Army National Guard Military Technician Program. GROUP II - All qualified Virginia Army National Guard Male/Female Enlisted Personnel (E2/PVT - E9/SMG) or Warrant Officers (W1/WO1 - W5/CW5), regardless of employment status (Traditional, Military Technician or AGR). To be considered as a Group II applicant, proof of appointment/enlistment in the Virginia National Guard must be attached if the appointment/enlistment occurred within 60 days prior to, or during, the advertisement period.",60163.0000,46282.0000,Indefinite,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-24,VA-10095858-AR-17-264,"Sandston, Virginia",2017-12-08,Flight Operations Specialist,"GENERAL EXPERIENCE: Experience, education, or training interpreting, explaining, and/or applying basic rules, regulations, policies, and procedures of a transportation program. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 18 months experience, education, or training arranging and interpreting directives and regulations governing transportation of personnel, cargo or freight. Experience applying directives and regulations governing transportation of personnel, cargo or freight. Experience verifying legal entitlements or official authorizations for travel, securing from carriers guides and timetables, information regarding schedules, fares, and availability of space accommodations. Experience planning and organizing the work of others.",https://www.usajobs.gov:443/GetJob/ViewDetails/486292000
2018-01-07,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. Area of Consideration
AREA I: All dual status permanent excepted technicians in the Montana Army National Guard.
AREA II: All qualified members of the Montana Army National Guard to include temporary and indefinite employees. Bargaining Unit
Selecting Official: LTC Oleson This National Guard position is for a Flight Operations Specialist, Position Description Number D0671000, and is part of the Montana Army National Guard. (A copy of the Position Description (PD) can be obtained from HRO upon applicant&#39;s request.) The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",58570.0000,45056.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-07,MT-10105538-AR-18-222,"Helena, Montana",2017-12-23,Flight Operations Specialist,"GENERAL EXPERIENCE: Must possess experience, education, or training interpreting, explaining, and/or applying basic rules, regulations, policies, and procedures of a transportation program. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must possess at least 18 months experience, education, or training arranging and interpreting directives and regulations governing transportation of personnel, cargo or freight. Experience applying directives and regulations governing transportation of personnel, cargo or freight. Experience verifying legal entitlements or official authorizations for travel, securing from carriers guides and timetables, information regarding schedules, fares, and availability of space accommodations. Experience planning and organizing the work of others.",https://www.usajobs.gov:443/GetJob/ViewDetails/487334500
2018-01-18,Department of Transportation,GS,"This position is located in the Office of Assistant Secretary for Transportation Policy, Office of Transportation Policy, Office of the Chief Economist and is responsible for recommending overall surface transportation policy initiatives to the Secretary. The office coordinates multi-modal initiatives and processes, seeking innovative and more effective and efficient ways to meet America's future transportation infrastructure needs. The Office of Transportation Policy also reviews all proposed DOT rulemakings, legislation, testimony and reports to Congress and is responsible for reviewing economic analyses of air safety regulations, reviewing airport infrastructure programs, and planning air freight policies.Ideal Candidate: OST is seeking a seasoned professional with experience leading a team tasked with examining economic policy and potential impact on transportation programs. The incumbent will serve as a senior advisor to executives in the Office of the Undersecretary of Transportation and throughout the Department.This position is located in the New DOT building, which sits directly across the street from the metro and blocks away from the New National&#8217;s Baseball stadium. PLEASE NOTE: This vacancy may be used to fill similar positions within 60 days for this location.",161900.0,131767.0,Permanent,Office of the Secretary of Transportation,Per Year,2018-01-18,OST.P-2018-0002,"Washington DC, District of Columbia",2017-12-20,Supervisory Economist - GS - 0110 -15 (Open to All U.S. Citizens),"To meet the minimum qualifications for this position, you must (1) meet the Education Requirement for the series, (2) provide a copy of transcripts for verification, AND (3) meet the experience qualifications for the grade at which you are requesting consideration.To qualify for the GS-15, you must have at least one year of specialized experience equal or equivalent to the following:Experience independently developing, formulating, and guiding analyses of infrastructure investment and finance, industry structure and performance, or regulations and enforcement in transportation, safety, environment, trade, or related fields utilizing econometric, statistical, and economic models, methods, and techniques.Experience assessing, preparing, and presenting economic analyses of public policy alternatives to assist policy decision makers or equivalent decision makers as a regular and recurring part of your employment. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. For additional information about applying to Federal positions, please click on the following link: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-policies/#url=e4Applicants must meet all qualification requirements by the closing date of this announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/487082200
