ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-02-15,Other Agencies and Independent Organizations,ES,"This amends the announcement to extend the closing date to 02/15/2018.Please DO NOT USE the APPLY ONLINE BUTTON when applying for this announcement. Your application material should be sent to the email address indicated in the How To Apply section below.Become a part of our mission to maintain and strengthen the vitality of the US science and engineering enterprise. For nearly 70 years, the National Science Foundation (NSF) has remained the premier Federal agency supporting basic research at the frontiers of discovery across all fields, as well as science and engineering education at all levels.The Senior Executive Service (SES) covers managerial positions above GS-15 in the Federal Service. Persons appointed to the SES are eligible for health benefits, life insurance, social security, Federal retirement and thrift savings plan coverage, and participate in the Federal leave system. Career appointees are eligible for bonuses based on performance in addition to base pay. Competitive status is not required, veteran's preference does not apply and there are no grade restrictions. New appointees to the SES are required to serve a one-year probationary period.Final selection of career appointees requires the approval of the U.S. Office of Personnel Management (OPM). OPM approval will be based on the selectee's background in the following five executive core qualification areas: (1) Leading Change, (2) Leading People, (3) Results Driven Leadership, (4) Business Acumen, and (5) Building Coalitions. These areas are incorporated in the five executive/managerial requirements for the position. Information about the leadership requirements for SES-level positions is available on the OPM website.This position may also be filled on a one-to-three year Senior Executive Service (SES) Limited Term Appointment or on an Intergovernmental Personnel Act (IPA) assignment basis. Under the provisions of the IPA, assignees remain on the payroll of his/her home institution and the institution continues to administer pay and benefits. The National Science Foundation (NSF) will reimburse the home institution for NSF's negotiated share of the costs.",181600.0,163519.0,"SES Career, SES Limited-Term Appt. (1-3 years) or Intergovernmental Personnel Act (IPA) assignment.",National Science Foundation,Per Year,2018-02-15,OCE-2018-0001,"Alexandria, Virginia",2017-10-26,"Division Director, Division of Ocean Sciences, GEO","Executive/ManagerialEssential1. Leading Change. Demonstrated ability to bring about strategic change, both within and outside the organization, to meet organizational goals. Includes the ability to establish an organizational vision and to implement it in a continuously changing environment.2. Leading People. Demonstrated ability to lead people toward meeting the organization&#8217;s vision, mission, and goals. Includes the ability to provide an inclusive workplace that fosters the development of others, facilitates cooperation and teamwork, and supports constructive resolution of conflicts.3. Results-Driven Leadership. Demonstrated ability to meet organizational goals and customer expectations. Includes the ability to make decisions that produce high-quality results by applying technical knowledge, analyzing problems, and calculating risks.4. Business Acumen. Demonstrated ability to manage human, financial, and information resources strategically.5. Building Coalitions. Demonstrated ability to build coalitions internally and with other Federal agencies, State and local governments, nonprofit and private sector organizations, foreign governments, or international organizations to achieve common goals.Applicants currently serving under a career Senior Executive Service (SES) appointment, eligible for reinstatement into SES, or have successfully completed a SES Candidate Development Program (CDP) approved by OPM are not required to address the Executive/Managerial Qualifications (ECQs/EMs); but a narrative statement for each of the Professional/Technical Qualifications (PTQs) is recommended.For detailed guidance on ECQs, applicants are strongly encouraged to review the Office of Personnel Management's Guide to Senior Executive Service Qualifications.",https://www.usajobs.gov:443/GetJob/ViewDetails/483044800
2018-01-31,Other Agencies and Independent Organizations,ES,"Please DO NOT USE the APPLY ONLINE BUTTON when applying for this announcement. Your application material should be sent to the email address indicated in the How To Apply section below.Become a part of our mission to maintain and strengthen the vitality of the US science and engineering enterprise. For nearly 70 years, the National Science Foundation (NSF) has remained the premier Federal agency supporting basic research at the frontiers of discovery across all fields, as well as science and engineering education at all levels.The Senior Executive Service (SES) covers managerial positions above GS-15 in the Federal Service. Persons appointed to the SES are eligible for health benefits, life insurance, social security, Federal retirement and thrift savings plan coverage, and participate in the Federal leave system. Career appointees are eligible for bonuses based on performance in addition to base pay. Competitive status is not required, veteran's preference does not apply and there are no grade restrictions. New appointees to the SES are required to serve a one-year probationary period.Final selection of career appointees requires the approval of the U.S. Office of Personnel Management (OPM). OPM approval will be based on the selectee's background in the following five executive core qualification areas: (1) Leading Change, (2) Leading People, (3) Results Driven Leadership, (4) Business Acumen, and (5) Building Coalitions. These areas are incorporated in the five executive/managerial requirements for the position. Information about the leadership requirements for SES-level positions is available on the OPM website.This position may also be filled on a one-to-three year Senior Executive Service (SES) Limited Term Appointment or on an Intergovernmental Personnel Act (IPA) assignment basis. Under the provisions of the IPA, assignees remain on the payroll of his/her home institution and the institution continues to administer pay and benefits. The National Science Foundation (NSF) will reimburse the home institution for NSF's negotiated share of the costs.",181600.0,163519.0,"SES Career, SES Limited-Term Appt. (1-3 years) or Intergovernmental Personnel Act (IPA) assignment.",National Science Foundation,Per Year,2018-01-31,EAR-2018-0001,"Alexandria, Virginia",2017-10-26,"Division Director, Division of Earth Sciences, GEO","Executive/ManagerialEssential1. Leading Change. Demonstrated ability to bring about strategic change, both within and outside the organization, to meet organizational goals. Includes the ability to establish an organizational vision and to implement it in a continuously changing environment.2. Leading People. Demonstrated ability to lead people toward meeting the organization&#8217;s vision, mission, and goals. Includes the ability to provide an inclusive workplace that fosters the development of others, facilitates cooperation and teamwork, and supports constructive resolution of conflicts.3. Results-Driven Leadership. Demonstrated ability to meet organizational goals and customer expectations. Includes the ability to make decisions that produce high-quality results by applying technical knowledge, analyzing problems, and calculating risks.4. Business Acumen. Demonstrated ability to manage human, financial, and information resources strategically.5. Building Coalitions. Demonstrated ability to build coalitions internally and with other Federal agencies, State and local governments, nonprofit and private sector organizations, foreign governments, or international organizations to achieve common goals.Applicants currently serving under a career Senior Executive Service (SES) appointment, eligible for reinstatement into SES, or have successfully completed a SES Candidate Development Program (CDP) approved by OPM are not required to address the Executive/Managerial Qualifications (ECQs/EMs); but a narrative statement for each of the Professional/Technical Qualifications (PTQs) is recommended.For detailed guidance on ECQs, applicants are strongly encouraged to review the Office of Personnel Management's Guide to Senior Executive Service Qualifications.",https://www.usajobs.gov:443/GetJob/ViewDetails/483044300
2018-03-01,Other Agencies and Independent Organizations,ES,"This amends the announcement to extend the closing date to 03/01/2018.Please DO NOT USE the APPLY ONLINE BUTTON when applying for this announcement. Your application material should be sent to the email address indicated in the How To Apply section below.Become a part of our mission to maintain and strengthen the vitality of the US science and engineering enterprise. For nearly 70 years, the National Science Foundation (NSF) has remained the premier Federal agency supporting basic research at the frontiers of discovery across all fields, as well as science and engineering education at all levels.The Senior Executive Service (SES) covers managerial positions above GS-15 in the Federal Service. Persons appointed to the SES are eligible for health benefits, life insurance, social security, Federal retirement and thrift savings plan coverage, and participate in the Federal leave system. Career appointees are eligible for bonuses based on performance in addition to base pay. Competitive status is not required, veteran's preference does not apply and there are no grade restrictions. New appointees to the SES are required to serve a one-year probationary period.Final selection of career appointees requires the approval of the U.S. Office of Personnel Management (OPM). OPM approval will be based on the selectee's background in the following five executive core qualification areas: (1) Leading Change, (2) Leading People, (3) Results Driven Leadership, (4) Business Acumen, and (5) Building Coalitions. These areas are incorporated in the five executive/managerial requirements for the position. Information about the leadership requirements for SES-level positions is available on the OPM website.This position may also be filled on a one-to-three year Senior Executive Service (SES) Limited Term Appointment or on an Intergovernmental Personnel Act (IPA) assignment basis. Under the provisions of the IPA, assignees remain on the payroll of his/her home institution and the institution continues to administer pay and benefits. The National Science Foundation (NSF) will reimburse the home institution for NSF's negotiated share of the costs.",181600.0,163519.0,"SES Career, SES Limited-Term Appt. (1-3 years) or Intergovernmental Personnel Act (IPA) assignment.",National Science Foundation,Per Year,2018-03-01,AGS-2018-0001,"Alexandria, Virginia",2017-10-26,"Division Director, Division of Atmospheric and Geospace Sciences, GEO","Executive/ManagerialEssential1. Leading Change. Demonstrated ability to bring about strategic change, both within and outside the organization, to meet organizational goals. Includes the ability to establish an organizational vision and to implement it in a continuously changing environment.2. Leading People. Demonstrated ability to lead people toward meeting the organization&#8217;s vision, mission, and goals. Includes the ability to provide an inclusive workplace that fosters the development of others, facilitates cooperation and teamwork, and supports constructive resolution of conflicts.3. Results-Driven Leadership. Demonstrated ability to meet organizational goals and customer expectations. Includes the ability to make decisions that produce high-quality results by applying technical knowledge, analyzing problems, and calculating risks.4. Business Acumen. Demonstrated ability to manage human, financial, and information resources strategically.5. Building Coalitions. Demonstrated ability to build coalitions internally and with other Federal agencies, State and local governments, nonprofit and private sector organizations, foreign governments, or international organizations to achieve common goals.Applicants currently serving under a career Senior Executive Service (SES) appointment, eligible for reinstatement into SES, or have successfully completed a SES Candidate Development Program (CDP) approved by OPM are not required to address the Executive/Managerial Qualifications (ECQs/EMs); but a narrative statement for each of the Professional/Technical Qualifications (PTQs) is recommended.For detailed guidance on ECQs, applicants are strongly encouraged to review the Office of Personnel Management's Guide to Senior Executive Service Qualifications.",https://www.usajobs.gov:443/GetJob/ViewDetails/483046300
2018-01-29,Other Agencies and Independent Organizations,AD,"Applicants wishing to apply for a Federal Temporary, IPA or VSEE Appointment should see Job Announcement PLR-2018-0007.The NSF is seeking a qualified candidate to fill the position of Program Director for the Arctic Sciences Section (ARCSS) Program in the Division of Polar Programs (PLR), Directorate for Geosciences (GEO) in Alexandria, VA. The Division of Polar Programs is responsible for planning, funding, and implementing scientific research programs in both Polar Regions. Its management activities extend to both Arctic and Antarctic research, meeting its objectives through award of merit-reviewed research grants, interagency and cooperative agreements, contracts for operational and logistical support and international agreements. More information about PLR and its programs can be found at https://www.nsf.gov/geo/plr/about.jsp.The discoveries of disciplinary science increasingly highlight the need for integrative approaches to forge new understanding of the complex interactions that govern Antarctica and its past, present and future roles in the earth system. To respond to this need and foster progress on some of societies&#8217; most pressing issues on a planet subject to potentially accelerated change.More information about the Arctic System Science Program, please visit ARCSS Program.",174569.0,130692.0,Permanent.,National Science Foundation,Per Year,2018-01-29,PLR-2018-0006,"Alexandria, Virginia",2017-12-18,Program Director (Arctic Systems Sciences Program),"Candidates must have a Ph.D. in an appropriate field plus after award of the Ph.D., six or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility; OR a Master&#8217;s degree in an appropriate field plus after award of the Master&#8217;s degree, eight or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility. An appropriate field is a science pertinent to the activities of the Arctic Observing Network (biology, geology, geophysics, oceanography, physical science, etc.) experience as evidenced by lead-authorship in peer-reviewed publications and/or demonstrated leadership role in science projects.This position is outside the competitive civil service.",https://www.usajobs.gov:443/GetJob/ViewDetails/486969600
2018-01-29,Other Agencies and Independent Organizations,AD,"Applicants wishing to apply for a Federal Permanent Appointment should see Job Announcement PLR-2018-0006.The NSF is seeking a qualified candidate to fill the position of Program Director for the Arctic Sciences Section (ARCSS) Program in the Division of Polar Programs (PLR), Directorate for Geosciences (GEO) in Alexandria, VA. The Division of Polar Programs is responsible for planning, funding, and implementing scientific research programs in both Polar Regions. Its management activities extend to both Arctic and Antarctic research, meeting its objectives through award of merit-reviewed research grants, interagency and cooperative agreements, contracts for operational and logistical support and international agreements. More information about PLR and its programs can be found at https://www.nsf.gov/geo/plr/about.jsp.The discoveries of disciplinary science increasingly highlight the need for integrative approaches to forge new understanding of the complex interactions that govern Antarctica and its past, present and future roles in the earth system. To respond to this need and foster progress on some of societies&#8217; most pressing issues on a planet subject to potentially accelerated change.More information about the Arctic System Science Program, please visit ARCSS Program.",174569.0,130692.0,"This position will be filled as a one- or two-year VSEE, IPA, or as a Fed Temp Appointment",National Science Foundation,Per Year,2018-01-29,PLR-2018-0007,"Alexandria, Virginia",2017-12-18,Program Director (Arctic Systems Sciences Program),"Candidates must have a Ph.D. in an appropriate field plus after award of the Ph.D., six or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility; OR a Master&#8217;s degree in an appropriate field plus after award of the Master&#8217;s degree, eight or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility. An appropriate field is a science pertinent to the activities of the Arctic Observing Network (biology, geology, geophysics, oceanography, physical science, etc.) experience as evidenced by lead-authorship in peer-reviewed publications and/or demonstrated leadership role in science projects.This position is outside the competitive civil service.",https://www.usajobs.gov:443/GetJob/ViewDetails/486971000
2018-01-29,Other Agencies and Independent Organizations,AD,"Applicants wishing to apply for a Federal Temporary, IPA or VSEE Appointment should see Job Announcement PLR-2018-0005. The NSF is seeking candidate(s) for an Arctic Observing Network (Program Director) within the Arctic Observing Network (AON) Program in the Arctic Sciences (ARC) Section, Division of Polar Programs (PLR), Directorate for Geosciences (GEO), Alexandria, VA.ARC supports scientific research in the Arctic, related research, and operational support. Science programs include disciplinary, multidisciplinary, and broad, interdisciplinary investigations directed toward both the Arctic as a region of special scientific interest and a region important to global systems. The goal of AON is to enhance the environmental observing infrastructure required for the scientific investigation of arctic environmental system change and its global connections. AON encompasses physical, biological, social, cultural, and economic observations, including indigenous knowledge, of the land, ocean, atmosphere (troposphere and stratosphere) and social systems.For more information about ARC, please visit https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=503222.",174569.0,130692.0,Permanent,National Science Foundation,Per Year,2018-01-29,PLR-2018-0003,"Alexandria, Virginia",2017-12-18,"Physical Scientist, Arctic Observing Network (Program Director)","Candidates must have a Ph.D. in an appropriate field plus after award of the Ph.D., six or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility; OR a Master&#8217;s degree in an appropriate field plus after award of the Master&#8217;s degree, eight or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility.An appropriate field is a science pertinent to the activities of the Arctic Observing Network (biology, geology, geophysics, oceanography, physical science, etc.) experience as evidenced by lead-authorship in peer-reviewed publications and/or demonstrated leadership role in science projects.This position is outside the competitive civil service.",https://www.usajobs.gov:443/GetJob/ViewDetails/486968200
2018-01-29,Other Agencies and Independent Organizations,AD,"Applicants wishing to apply for a Permanent Appointment should see Job Announcement PLR-2018-0003. The NSF is seeking candidate(s) for an Arctic Observing Network (Program Director) within the Arctic Observing Network (AON) Program in the Arctic Sciences (ARC) Section, Division of Polar Programs (PLR), Directorate for Geosciences (GEO), Alexandria, VA.ARC supports scientific research in the Arctic, related research, and operational support. Science programs include disciplinary, multidisciplinary, and broad, interdisciplinary investigations directed toward both the Arctic as a region of special scientific interest and a region important to global systems. The goal of AON is to enhance the environmental observing infrastructure required for the scientific investigation of arctic environmental system change and its global connections. AON encompasses physical, biological, social, cultural, and economic observations, including indigenous knowledge, of the land, ocean, atmosphere (troposphere and stratosphere) and social systems.For more information about ARC, please visit https://www.nsf.gov/funding/pgm_summ.jsp?pims_id=503222.",174569.0,130692.0,"This position will be filled as a one- or two-year VSEE, IPA, or as a Fed Temp Appointment",National Science Foundation,Per Year,2018-01-29,PLR-2018-0005,"Alexandria, Virginia",2017-12-18,"Physical Scientist, Arctic Observing Network (Program Director)","Candidates must have a Ph.D. in an appropriate field plus after award of the Ph.D., six or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility; OR a Master&#8217;s degree in an appropriate field plus after award of the Master&#8217;s degree, eight or more years of successful research, research support and/or research administration experience pertinent to the position that demonstrate a progressively increasing level of responsibility.An appropriate field is a science pertinent to the activities of the Arctic Observing Network (biology, geology, geophysics, oceanography, physical science, etc.) experience as evidenced by lead-authorship in peer-reviewed publications and/or demonstrated leadership role in science projects.This position is outside the competitive civil service.",https://www.usajobs.gov:443/GetJob/ViewDetails/486968800
2018-01-17,Other Agencies and Independent Organizations,AD,"Applicants wishing to apply for an IPA, VSEE or Federal Temporary Appointment should see Job Announcement AGS-2018-0005.This announcement has been amended to Wednesday January 17, 2018.The National Science Foundation (NSF) is seeking a qualified candidate to fill the position of Program Director in the Geospace Section (GS) in the Division of Atmospheric and Geospace Sciences (AGS), Directorate for Geosciences (GEO) in Alexandria, VA.The Division of Atmospheric and Geospace Sciences supports research that adds new understanding of the behavior of the Earth's atmosphere, magnetosphere and its interactions with the Sun. Specific programs included:Studies of the physics, chemistry, and dynamics of earth's upper and lower atmosphere and its space environment.Research on climate processes and variations.Studies to understand the natural global cycles of gases and particles in earth's atmosphere.The magnetospheric physics program leads the GS involvement in research related to the magnetized plasma environment in near Earth space including its interaction with the solar wind and coupling to the ionosphere-thermosphere. Activities supported by this program include: 1) theoretical research utilizing numerical simulations, 2) ground based observational programs, 3) laboratory plasma experiments with applications to geospace, and 4) analysis of magnetospheric observational data from both ground and space-based systems. Since the magnetosphere is a part of the tightly coupled space weather system close coordination with other programs in the GS is essential.The incumbent of this position serves as a recognized authority in the area of magnetospheric physics.More information about AGS and its programs can be found at http://www.nsf.gov/div/index.jsp?div=ags.",174569.0,130692.0,Permanent.,National Science Foundation,Per Year,2018-01-17,AGS-2018-0004,"Alexandria, Virginia",2017-11-15,Physical Scientist (Program Director),"The incumbent of this position serves as a recognized authority in the area of magnetospheric physics.Applicants must have a Ph.D. in atmospheric or geospace sciences plus after award of the Ph.D. six or more years of successful research, research administration, and/or management experience pertinent to the position.The successful applicant should demonstrate not only knowledge in atmospheric or geospace science but also a commitment to high scientific standards, considerable breadth of scientific interest and receptivity to new ideas. Also necessary, are a strong sense of fairness, good judgment, and a high degree of personal integrity and ethics, decisiveness, and an ability effectively to lead individuals and teams across a variety of institutional cultures within Federal and state government agencies, legislative bodies, and private sector organizations.This position is outside of the competitive service.",https://www.usajobs.gov:443/GetJob/ViewDetails/484515800
2018-01-17,Other Agencies and Independent Organizations,AD,"Applicants wishing to apply for a Permanent Appointment should see Job Announcement AGS-2018-0004.This announcement has been amended to Wednesday January 17, 2018.The National Science Foundation (NSF) is seeking a qualified candidate to fill the position of Program Director in the Geospace Section (GS) in the Division of Atmospheric and Geospace Sciences (AGS), Directorate for Geosciences (GEO) in Alexandria, VA.The Division of Atmospheric and Geospace Sciences supports research that adds new understanding of the behavior of the Earth's atmosphere, magnetosphere and its interactions with the Sun. Specific programs included:Studies of the physics, chemistry, and dynamics of earth's upper and lower atmosphere and its space environment.Research on climate processes and variations.Studies to understand the natural global cycles of gases and particles in earth's atmosphere.The magnetospheric physics program leads the GS involvement in research related to the magnetized plasma environment in near Earth space including its interaction with the solar wind and coupling to the ionosphere-thermosphere. Activities supported by this program include: 1) theoretical research utilizing numerical simulations, 2) ground based observational programs, 3) laboratory plasma experiments with applications to geospace, and 4) analysis of magnetospheric observational data from both ground and space-based systems. Since the magnetosphere is a part of the tightly coupled space weather system close coordination with other programs in the GS is essential.The incumbent of this position serves as a recognized authority in the area of magnetospheric physics.More information about AGS and its programs can be found at http://www.nsf.gov/div/index.jsp?div=ags.",174569.0,130692.0,"This position will be filled as a one- or two-year VSEE, IPA, or as a Fed Temp Appointment.",National Science Foundation,Per Year,2018-01-17,AGS-2018-0005,"Alexandria, Virginia",2017-11-15,Physical Scientist (Program Director),"The incumbent of this position serves as a recognized authority in the area of magnetospheric physics.Applicants must have a Ph.D. in atmospheric or geospace sciences plus after award of the Ph.D. six or more years of successful research, research administration, and/or management experience pertinent to the position.The successful applicant should demonstrate not only knowledge in atmospheric or geospace science but also a commitment to high scientific standards, considerable breadth of scientific interest and receptivity to new ideas. Also necessary, are a strong sense of fairness, good judgment, and a high degree of personal integrity and ethics, decisiveness, and an ability effectively to lead individuals and teams across a variety of institutional cultures within Federal and state government agencies, legislative bodies, and private sector organizations.This position is outside of the competitive service.",https://www.usajobs.gov:443/GetJob/ViewDetails/484516500
2018-01-04,Department of the Army,GS,"CONNECTICUT ARMY NATIONAL GUARD TECHNICIAN VACANCY ANNOUNCEMENT THIS IS A TITLE 32 DUAL STATUS TECHNICIAN POSITION DUTY LOCATION: JFHQ, Hartford, CT JOB SUMMARY: The primary purpose of the position is to perform specialized duties and to train assigned military unit members in the duties and functions associated with operational intelligence. Provides detailed intelligence analysis for mission planning and execution, training exercises, briefings and debriefings for the state Joint Senior staff, subordinate units and members. Serves as a subject matter expert for intelligence systems, order of battle maintenance, mission planning, threat analysis, and Geo-spatial Intelligence and Systems (GI&S) support. In addition, the incumbent performs complex intelligence analysis of economic, geographic, political, military topics and threats that could impact the JFHQ-ST mission success. This position requires a comprehensive working knowledge of intelligence support operations, procedures, and practices. NATIONAL GUARD MEMBERSHIP IS REQUIRED. This is an excepted position that requires membership in a compatible military assignment in the Connecticut Army National Guard. AREA(S) OF CONSIDERATION: Area 1: All currently employed full-time permanent and indefinite personnel of the Connecticut Army National Guard.
Area 2: All currently employed full-time temporary technician personnel and all current traditional members of the Connecticut Army National Guard.",86779.0000,66756.0000,Indefinite,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-04,CT-10093011-AR-17-197,"Hartford, Connecticut",2017-12-05,INTELLIGENCE OPERATIONS SPECIALIST,"GENERAL EXPERIENCE: Experience which demonstrates administrative, professional, investigative, or technical work requiring the ability to deal effectively with others, to collect, evaluate and organize pertinent facts. Experience preparing clear and concise written reports. SPECIALIZED EXPERIENCE: Your resume and any other supporting documentation you wish to provide must clearly substantiate you currently possess 36 months of specialized experience in the following: Experience developing and recommending policy, organizing and carrying out specific programs, evaluating and recommending changes in methods of intelligence operations. Experience in administrative, investigative, or technical work which required the applicant to deal effectively with others. Experience collecting, evaluating and organizing pertinent facts and to analyze and prepare clear and concise reports. KNOWLEDGE, SKILLS AND ABILITIES: Ability to formulate policies, direct and coordinate intelligence activities. Knowledge of intelligence organizations and systems. Ability to analyze and evaluate raw data in order to provide finished reports. Skill in researching and compiling intelligence information to be disseminated.",https://www.usajobs.gov:443/GetJob/ViewDetails/485866100
