ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-05-12,Department of Defense,IA,"JOB DESCRIPTION: Geospatial Analysts create, analyze, and interpret spatial data to support U.S. military and policymaker interests. They apply knowledge of geographic information science and technology, statistics, spatial thinking, remote sensing, intelligence issues, and the social and physical sciences to characterize events, discover relationships and trends, and produce geospatial intelligence. These analysts also conduct multi-INT research, conduct descriptive and predictive analyses, populate and exploit intelligence databases, and produce and disseminate intelligence products.",78703.0,35359.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-12,20180501,"Bolling AFB, District of Columbia|Suitland, Maryland|Arnold, Missouri|Saint Louis, Missouri|Wright-Patterson AFB, Ohio|Charlottesville, Virginia|McLean, Virginia",2017-11-13,Geospatial Analyst,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1.Demonstrated experience with research and analysis preferably geospatial analysis, including use of critical thinking skills and/or data analytics designed to address international problems of national concern.
2.Strong communication and interpersonal skills, including the demonstrated ability to develop and present briefing to meet the need of various audiences.
3.Experience cultivating professional working relationships and working collaboratively to develop and leverage a network of peers and mission partners across different organizations.
4.Familiarity with technical skills, such as scripting and coding, programming, data mining and analytics, data visualization, statistical analysis, algorithm development, data science, imagery analysis, or computational thinking.
5.Working knowledge of geospatial information systems. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Cartography, Geography, Geographic Information Systems, Physical Science, Applied Mathematics, Statistics, Computer Science, or a related discipline or a Bachelor's degree in any discipline with a certificate in GIS from an accredited university. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of coursework in GIS, spatial analysis, or any area listed in option A plus additional experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of significant applied experience in a geospatial analysis field that includes the use of current GIS tools, methods of research and analysis, application of cartographic principles, and work related to the fields listed above. PHYSICAL REQUIREMENT: Distinguish principal colors and shades/hues of principal colors; Near visual acuity of 20/20 or better with or without corrective lenses; Stereopsis ability; Far visual acuity of 20/30 or better binocular with or without corrective lenses DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1.Demonstrated ability to produce high quality written reports and or analytical products within scheduled timelines that meet customer needs.
2.Demonstrated experience with Geospatial Intelligence and/or intelligence processes, especially those in Geospatial intelligence organizations.
3.Proficiency with geospatial modeling, data management, analysis processes, imagery analysis and geospatial information systems.
4.Proven usage of statistical analysis for detailed analytics, code development and its application for automating processes.",https://www.usajobs.gov:443/GetJob/ViewDetails/484276500
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Geospatial Data Stewardship) manage the generation, approval, and population of data within NGA's geospatial databases, ensuring that they can be used to satisfy customer requirements. They have read/write access to relevant databases and make qualitative decisions about the data. They have a wide range of product/data knowledge and understand the capabilities and limitations of the relevant systems to support the extraction, analysis, and finishing of in-house, co-production, commodity, and contract data.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180111,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Geospatial Data Stewardship),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Cartography, Computer Science, Geology, Geography, Geomatics, GIS, Physical Science, Urban and Regional Planning, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935500
2018-05-12,Department of Defense,IA,"JOB DESCRIPTION: Spectral Imagery Scientists process, analyze, and exploit spectral imagery to extract intelligence and geospatial information. They collaborate with analysts to understand intelligence issues and provide scientific results to conduct intelligence production. They develop, test, and evaluate prototypes; and provide technical guidance to enhance spectral imaging capability, applicability, and collection. They represent NGA's interests to support the development and improvement of sensors and system architecture.",65098.0,35359.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-12,20180509,"Bolling AFB, District of Columbia|Suitland, Maryland|Saint Louis, Missouri|Wright-Patterson AFB, Ohio|Charlottesville, Virginia|McLean, Virginia|Springfield, Virginia",2017-11-13,Spectral Imagery Scientist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1.Demonstrated excellent interpersonal and communication skills, and the demonstrated ability to interact effectively with individuals at all levels in the Intelligence Community.
2.Demonstrated ability to apply and understand various sources of imagery and/or geospatial information.
3.Possess a basic math background to include trigonometry, statistics (least squares), and linear algebra.
4.Familiarity in coding; including but not limited to Python, C+, MatLab. 5.Demonstrated experience operating both independently and on a team. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Imagery Science, Mathematics, Physical Science, or a related discipline. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of coursework in any area listed in option A, plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. PHYSICAL REQUIREMENT: Distinguish principal colors and shades/hues of principal colors; Near visual acuity of 20/20 or better with or without corrective lenses; Far visual acuity of 20/60 or better binocular with or without corrective lenses DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1. Experience with some or all of the software tools: Photomodeler, SocetGXP, Compass, RemoteView, GEOTRANS, Mensuration Services Program (MSP), SatelliteTool Kit, Matlab, ENVI, IDL, IMX, CASE Exec, Erdas Imagine, and MicroStation;
2.Experience with national, civil, and or commercial imaging systems, image processing, image exploitation, digital signal processing, prototyping;
3. Usage of or experience in Synthetic Aperture Radar.",https://www.usajobs.gov:443/GetJob/ViewDetails/484276900
2018-05-19,Department of Defense,IA,"JOB DESCRIPTION: R&D Scientists apply the scientific method in one or more disciplines (e.g., Photogrammetry, Geodesy, Computer Science, Mathematics, Image Science, Human Terrain Analysis) to advance Geospatial Science and enhance Agency tradecraft. They conduct and develop novel scientific research projects and facilitate interdisciplinary collaboration to further scientific inquiry and application. They provide technical guidance and oversight, report results, and advise management on new and evolving technology. They address a variety of complex data-related analytical problems by applying quantitative and qualitative analytic methods.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-19,20180514,"Springfield, Virginia",2017-11-27,R&D Scientist,"EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Mathematics, Physical Science, or a related discipline that includes 24 semester (36 quarter) hours in Science, Mathematics and/or a related Engineering Science. Such coursework includes, but is not limited to, Astronomy, Cartography, Chemistry, Computer Science, Dynamics, Electrical Engineering, Geodesy, Geography, Geology, Geophysics, Geospatial Information Systems, Mathematics, Orbital Mechanics, Photogrammetry, Physics, Remote Sensing, or Surveying. Although not mandatory, coursework in differential and integral calculus is preferred. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of college education in any areas listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals to 4 years.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 3:
1) Research experience evidenced by previous, documented efforts.
2) Demonstrated communication skills and an ability to independently coordinate programs and projects in areas of science and research related to geospatial intelligence functions. 3) Experience briefing scientific research and communicating results to a range of stakeholders
Authorship of technical articles accepted by peer-reviewed scientific journals.
4) Experience developing research proposals, executing research plans, and collaborating with other scientists.
5) Experience in demonstrating the quality, complexity and significance of research outputs through sound evaluation and analysis of results. 6) Ph.D. degree desired, but a minimum of a Bachelor's or a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry. 7) Knowledge of NGA, its multidisciplinary tradecraft, mission, and the interrelationships of the Intelligence Community with Federal Agencies as well as Academia and Industry. Pay Band 4:
1) Demonstrated subject matter expertise on topics in your technical domain(s), incorporating this expertise into research projects. 2) Documented experience monitoring technical personal and programs.
3) Experience briefing scientific research and communicating results to a range of stakeholders.
4) Ph.D. degree desired, but a minimum of a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry.
5) Experience developing and leading research proposals, executing research plans, and collaborating as appropriate with other scientists.
6) Experience demonstrating the quality, complexity and significance of research outputs through sound evaluation and analysis of results.
7) Demonstrated research skills and experience as evidenced by previous, documented efforts, citations of work and publications in peer-reviewed journals, and receipt of patents and/or awards in a STEM related topic.
8) Knowledge of NGA, its multidisciplinary tradecraft, mission, and the interrelationships of the Intelligence Community with Federal Agencies as well as Academia and Industry. 9) Ability to handle a wide range of complex tasks and non-routine situations.",https://www.usajobs.gov:443/GetJob/ViewDetails/485103700
2018-03-03,Department of Defense,IA,"JOB DESCRIPTION: R&D Scientists apply the scientific method in one or more disciplines (e.g., Photogrammetry, Geodesy, Computer Science, Mathematics, Image Science, Human Terrain Analysis) to advance Geospatial Science and enhance Agency tradecraft. They conduct and develop novel scientific research projects and facilitate interdisciplinary collaboration to further scientific inquiry and application. They provide technical guidance and oversight, report results, and advise management on new and evolving technology. They address a variety of complex data-related analytical problems by applying quantitative and qualitative analytic methods.",161900.0,131767.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-03-03,20180553,"Springfield, Virginia",2017-12-18,R&D Scientist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Engineering, Mathematics, Physical Science, or a related discipline that includes 24 semester (36 quarter) hours in Science, Mathematics and/or a related Engineering Science. Such coursework includes, but is not limited to, Astronomy, Cartography, Chemistry, Computer Science, Dynamics, Electrical Engineering, Geodesy, Geography, Geology, Geophysics, Geospatial Information Systems, Mathematics, Orbital Mechanics, Photogrammetry, Physics, Remote Sensing, or Surveying. Although not mandatory, coursework in differential and integral calculus is preferred. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of college education in any areas listed in option A plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals to 4 years.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1. Demonstrated research skills and experience as evidenced by previous, documented efforts, citations of work and publications in peer-reviewed journals, and receipt of patents and/or awards in a STEM related topic;
2. Demonstrated knowledge and background in Research and Development policies, structure, and interrelationships of the Intelligence Community and other Federal Agencies as well as Academia and Industry;
3. Demonstrated ability to administer, coordinate and direct programs and projects in the multiple areas of science and research related to geospatial intelligence functions; 4. Documented experience managing and monitoring technical personal and programs;
5. Experience briefing scientific research and communicating results to a range of stakeholders;
6. Ph.D. degree desired, but a minimum of a Master's degree in physical sciences, biological or chemical sciences, computational sciences, geospatial sciences and remote sensing, engineering mathematics, or related fields, with at least ten years of experience in research and development is preferred. Demonstrated knowledge and R&D accomplishments in any of the following areas is highly preferred; such as: computer science or information technology, geospatial sciences, geography, any geoscience or GIS area, remote sensing, physics, molecular biology, computational biology, genetics and proteomics or biochemistry; 7. Knowledge of NGA, its multidisciplinary tradecraft, mission, organizations, and partners and knowledge of the organizations, processes, programs, and policies of the DoD and the National Intelligence Community.",https://www.usajobs.gov:443/GetJob/ViewDetails/486895000
2018-01-16,Department of Defense,IP,"Serves as the Division Chief, Mission and International Law (OGCM), Office of General Counsel (OGC), NGA, and as a senior attorney for NGA regarding intelligence law, international law, homeland security, combat support issues, imagery disclosure and release, imagery sharing relationships, export control issues, Foreign Military Sales, accommodation procurements, hydrographic/aeronautical issues, geospatial intelligence policy matters and issues related to cross-Agency coordination. Also serves as the lead legal advisor on issues related to geospatial intelligence data and information sharing issues involving Big Data, the Cloud, Crowdsourcing, Open Source/Social Media, Human Geography, Applications, Copyrights, Research and Technology Protection within the Department of Defense, the Intelligence Community and the public writ large. The National Geospatial-Intelligence Agency (NGA), the World Leader in Geospatial Intelligence. Imagine being able to identify anything on, above, or beneath the Earth's surface and display that information visually to provide a meaningful foundation for decision-making to ensure the safety of the world. That's the job of the National Geospatial-Intelligence Agency. We analyze imagery and data from many sources and incorporate it into visual displays of essential information for use in national defense, homeland security, and safety of navigation. Central to the success of our mission are the extraordinary talents and skills of our teams of analysts and other professionals. We need the best minds to provide the information edge, continuing NGA's role as the premier provider of Geospatial Intelligence worldwide. Know the Earth... Show the Way... Understand the World.",172100.0,124406.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-01-16,HQ NGA DISL 2018-05,"Saint Louis, Missouri|Springfield, Virginia",2017-12-19,"Associate General Counsel, Mission and International Law","Eligibility for this executive level position will be based upon a clear demonstration that the applicant has experience of the scope and quality sufficient to effectively carry out the assignments of the position. The successful applicants will be distinguished from other applicants by a review of the following Office of Personnel Management (OPM) Executive Core Qualifications (ECQs), the Intelligence Community (IC) Senior Officer Core Qualification (SOCQ) Standard, and the Technical Qualifications. For the specific IC SOCQs and Technical Qualifications of the position, please view Job Announcement on the NGA website: https://www.nga.mil/Careers/Pages/default.aspx",https://www.usajobs.gov:443/GetJob/ViewDetails/487110000
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Bathymetrists receive, analyze, and deconflict U.S. and foreign bathymetric data for use by the Intelligence Community (IC) and external customers. They populate and maintain data and metadata in the bathymetry database, ensuring the accuracy of metadata pertaining to collection source platforms and depth recording devices. They also provide customers with conflated and corrected mission-specific data.",71724.0,40956.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180484,"Saint Louis, Missouri",2017-11-29,Bathymetrist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1) Experience performing data manipulation, feature extraction, and attribution of bathymetric data independently;
2) Experience taking acquired Bathymetric/Hydrographic materials and Maritime safety source information; and evaluate it for updating existing navigational products;
3) Experience utilizing GIS knowledge and skills to evaluate and release Bathymetric data for existing navigational products also mission specific data sets and graphics tailored to specific customer needs;
4) Experience work independently or in a team environment in support of mission requirements and success. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Geography, Geology, Hydrography, Hydrology, Marine Sciences, Oceanography, Physical Science, Remote Sensing, or a related discipline, or, a Bachelor's degree with 30 semester hours of coursework in the above disciplines. Designation as an American Congress on Surveying and Mapping-The Hydrographic Society of America (ACSM-THSOA) Certified Hydrographer is highly desired. -OR- B. Combination of Education and Experience: A minimum of 30 semester (45 quarter) hours of coursework in any area list in option A, plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of experience in the disciplines of Hydrography or Bathymetry that includes marine surveying, the use of current GIS tools, methods of research and analysis, application of hydrographic or bathymetric principles, or work related to the disciplines listed above.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) IHO Cat B or higher certification with Maritime navigation experience using NGA related products;
2) Experience coordinating with customers and providers of bathymetric source data to develop clear, realistic product and service requests.
3) Experience creating bathymetrically enhanced geospatial graphical displays and textual reports;
4) Experience merging geospatial data and maritime safety information;
5) Experience utilize critical thinking and problem solving skills to recommend process and tool improvement methodologies.",https://www.usajobs.gov:443/GetJob/ViewDetails/485504000
2018-03-03,Department of Defense,IA,"JOB DESCRIPTION: Bathymetrists receive, analyze, and deconflict U.S. and foreign bathymetric data for use by the Intelligence Community (IC) and external customers. They populate and maintain data and metadata in the bathymetry database, ensuring the accuracy of metadata pertaining to collection source platforms and depth recording devices. They also provide customers with conflated and corrected mission-specific data.",78703.0,40956.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-03-03,20180512,"Saint Louis, Missouri|Springfield, Virginia",2017-12-18,Bathymetrist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1) Experience performing data manipulation, feature extraction, and attribution of bathymetric data independently;
2) Experience taking acquired Bathymetric/Hydrographic materials and Maritime safety source information; and evaluate it for updating existing navigational products;
3) Experience utilizing GIS knowledge and skills to evaluate and release Bathymetric data for existing navigational products also mission specific data sets and graphics tailored to specific customer needs;
4) Experience work independently or in a team environment in support of mission requirements and success. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Geography, Geology, Hydrography, Hydrology, Marine Sciences, Oceanography, Physical Science, Remote Sensing, or a related discipline, or, a Bachelor's degree with 30 semester hours of coursework in the above disciplines. Designation as an American Congress on Surveying and Mapping-The Hydrographic Society of America (ACSM-THSOA) Certified Hydrographer is highly desired. -OR- B. Combination of Education and Experience: A minimum of 30 semester (45 quarter) hours of coursework in any area list in option A, plus experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of experience in the disciplines of Hydrography or Bathymetry that includes marine surveying, the use of current GIS tools, methods of research and analysis, application of hydrographic or bathymetric principles, or work related to the disciplines listed above. PHYSICAL REQUIREMENT: Distinguish principal colors and shades/hues of principal colors; Near visual acuity of 20/20 or better with or without corrective lenses; Far visual acuity of 20/60 or better binocular with or without corrective lenses.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) IHO Cat B or higher certification with Maritime navigation experience using NGA related products;
2) Experience coordinating with customers and providers of bathymetric source data to develop clear, realistic product and service requests.
3) Experience creating bathymetrically enhanced geospatial graphical displays and textual reports;
4) Experience merging geospatial data and maritime safety information;
5) Experience utilizing critical thinking and problem solving skills to recommend process and tool improvement methodologies.",https://www.usajobs.gov:443/GetJob/ViewDetails/486894700
2018-01-16,Department of Defense,IP,"Serves as the Division Chief, Administrative Law and Litigation (OGCA), Office of General Counsel (OGC), NGA and as a senior attorney for NGA in the ethics, personnel and administrative law practice areas, including Federal employment-related matters in actual or threatened litigation before United States District and Appellate Courts, the Equal Employment Opportunity Commission (EEOC), Merit Systems Protection Board (MSPB), Federal Labor Relations Authority (FLRA), Federal Court of Claims, and state administrative tribunals. Serves as the legal advisor to NGA human resources leadership concerning hiring, recruitment initiatives, administrative discipline, performance management, labor-management relations, promotion process issues and grievances as they affect the NGA mission, as well as questions impacting the Agency's personnel system; interpretation of personnel-related legislation, regulations and other directives, or drafting assistance where applicable. The National Geospatial-Intelligence Agency (NGA), the World Leader in Geospatial Intelligence. Imagine being able to identify anything on, above, or beneath the Earth's surface and display that information visually to provide a meaningful foundation for decision-making to ensure the safety of the world. That's the job of the National Geospatial-Intelligence Agency. We analyze imagery and data from many sources and incorporate it into visual displays of essential information for use in national defense, homeland security, and safety of navigation. Central to the success of our mission are the extraordinary talents and skills of our teams of analysts and other professionals. We need the best minds to provide the information edge, continuing NGA's role as the premier provider of Geospatial Intelligence worldwide. Know the Earth... Show the Way... Understand the World",172100.0,124406.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-01-16,HQ NGA DISL 2018-04,"Saint Louis, Missouri|Springfield, Virginia",2017-12-19,"Associate General Counsel, Administrative Law and Litigation","Eligibility for this executive level position will be based upon a clear demonstration that the applicant has experience of the scope and quality sufficient to effectively carry out the assignments of the position. The successful applicants will be distinguished from other applicants by a review of the following Office of Personnel Management (OPM) Executive Core Qualifications (ECQs), the Intelligence Community (IC) Senior Officer Core Qualification (SOCQ) Standard, and the Technical Qualifications. For the specific IC SOCQs and Technical Qualifications of the position, please view Job Announcement on the NGA website: https://www.nga.mil/Careers/Pages/default.aspx",https://www.usajobs.gov:443/GetJob/ViewDetails/487109900
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Contract Specialists plan and manage acquisitions to procure a variety of products and services for NGA. They interact with customers to develop and implement an acquisition strategy, solicit and evaluate proposals, and negotiate and award contracts. They also administer contracts, including monitoring contractor performance, preparing modifications, resolving problems, and terminating and closing out contracts. They may also hold a warrant that would authorize them to obligate the Government subject to the limitations expressed on their warrant.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180554,"Springfield, Virginia",2017-12-18,Contract Specialist,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: (1) Working knowledge of the Federal Acquisition Regulation (FAR) and other supplements as they apply;
(2) Experience conducting market research and knowledge of a wide range of contracting methods such as simplified acquisition, contracting by negotiation and commercial acquisition procedures;
(3) Ability to interact with customers to develop and implement an acquisition strategy, solicit and evaluation proposals and award contracts;
(4) Experience with administering and monitoring contractor performance for moderately complex contracts in collaboration with Contracting Officer's Representative;
5) Experience preparing contract modifications, resolving routine and non-routine problems, and completing contract closeouts;
6) Experience conducting basic Cost or Price Analysis. EDUCATION REQUIREMENT: EDUCATION: Bachelor's degree in any field that includes, or has been supplemented by, at least 24 semester (36 quarter) hours of coursework in a business-related field such as Accounting, Business Administration, Contracts, Economics, Finance, Law, Purchasing, or a related discipline. Reference 10 USC Section 1724 for exceptions and waivers. LICENSES/CERTIFICATIONS: Must obtain DAWIA Certification in Contracting within 24 months. DAWIA Certification in Contracting, as appropriate for the band, within 24 months of appointment. Once obtained, Defense Acquisition Workforce members must obtain 80 Continuous Learning Points (CLPs) every 2 years in order to maintain certification.DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Experience utilizing a variety of contract types, including Firm Fixed Price (FFP), Time and Materials (T&M), Cost-Reimbursement, Incentive, and Indefinite Delivery Indefinite Quantity (IDIQ);
2) Demonstrated customer service skills;
3) Proficiency with standard Microsoft Office Suite, i.e., Word, PowerPoint, Excel, and Outlook;
4) DAWIA Level II Certification in Contracting or Federal Acquisition in Contracting Certification (FAC-C) Level II in Contracting;
5) Critical thinking skills to identify problems and resolutions.",https://www.usajobs.gov:443/GetJob/ViewDetails/486895100
