ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-29,Department of Veterans Affairs,VN,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? The Miami VA Healthcare System serves Veterans in three South Florida counties: Miami-Dade, Broward and Monroe. This position is at the Bruce W. Carter VA Medical Center located in the City of Miami Health District-Civic Center. The City of Miami is a major center of commerce, culture, entertainment, the arts and international trade. Since its incorporation, the city has grown tremendously, transforming it into one of the world&#39;s renowned centers where people can work, live and play while enjoying a high quality of life. The city&#39;s Civic Center has also become a significant hub for research institutes, medical centers and biotechnology industries. Miami is home to many entertainment venues, theaters, museums, parks and performing arts centers. It is famously known for its nightlife, beaches, and an all year-round warm climate. It is a short drive to the Florida Keys. Miami is replete in history and is the largest municipality in Miami-Dade County. No state taxes to pay. The Sunshine State doesn&#39;t tax you, so you just have federal taxes to worry about.",101845.0000,57471.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-29,CASB-10099076-18-CEG,"Miami, Florida",2017-12-15,Registered Nurse (Healthcare Coordinator),"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Graduate of a school of professional nursing approved by the appropriate State-accrediting agency and accredited by one of the following accrediting bodies at the time the program was completed by the applicant: The Accreditation Commission for Education in Nursing (ACEN) or The Commission on Collegiate Nursing Education (CCNE). In cases of graduates of foreign schools of professional nursing, possession of current, full, active and unrestricted registration will meet the requirement of graduation from an approved school of professional nursing. OR The completion of coursework equivalent to a nursing degree in a MSN Bridge Program that qualifies for professional nursing registration constitutes the completion of an approved course of study of professional nursing. Students should submit the certificate of professional nursing to sit for the NCLEX to the VA along with a copy of the MSN transcript. (Reference VA Handbook 5005, Appendix G6) OR In cases of graduates of foreign schools of professional nursing, possession of a current, full, active and unrestricted registration will meet the requirement for graduation from an approved school of professional nursing. Current, full, active, and unrestricted registration as a graduate professional nurse in a State, Territory or Commonwealth (i.e., Puerto Rico) of the United States, or the District of Columbia. Grade Determinations: The following criteria must be met in determining the grade assignment of candidates, and if appropriate, the level within a grade: Nurse I Level I - An Associate Degree (ADN) or Diploma in Nursing, with no additional nursing practice/experience required. Nurse I Level II - An ADN or Diploma in Nursing and approximately 1 year of nursing practice/experience; OR an ADN or Diploma in Nursing and a bachelor&#39;s degree in a related field with no additional nursing practice/experience; OR a Bachelor&#39;s of Science in Nursing (BSN) with no additional nursing practice/experience. Nurse I Level III - An ADN or Diploma in Nursing and approximately 2-3 years of nursing practice/experience; OR an ADN or Diploma in Nursing and a Bachelor&#39;s degree in a related field and approximately 1-2 years of nursing practice/experience; OR a BSN with approximately 1-2 years of nursing practice/experience; OR a Master&#39;s degree in nursing (MSN) or related field with a BSN and no additional nursing practice/experience. Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor&#39;s degree in a related field and approximately 2-3 year&#39;s of nursing practice/experience; OR a Master&#39;s degree in nursing or related field with a BSN and approximately 1-2 year&#39;s of nursing practice/experience; OR a Doctoral degree in nursing or meets basic requirements for appointment and has doctoral degree in a related field with no additional nursing practice/experience required. Nurse III - Master&#39;s degree in nursing or related field with BSN and approximately 2-3 year&#39;s of nursing practice/experience; OR a Doctoral degree. Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-6 Nurse Qualification Standard. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486585700
2018-01-08,Department of Veterans Affairs,VN,"VA Central CA Health Care System is located in the heart of California
adjacent to Yosemite and Kings Canyon/Sequoia Parks, several lakes, and
year-round recreation. Located in the Central Valley we are a short, 2-4
hour drive, from various locations such as San Francisco, Los Angeles, and the
coast. Fresno/Clovis continues to offer one of the most affordable
housing markets in the state and has excellent primary and secondary
schools. VA encourages persons with disabilities to apply. The health related
positions in VA are covered by Title 38, and are not covered by the Schedule A
excepted appointment authority.NOTE: This
is a temporary position, not to exceed 1 year. This position is not eligible
for most benefits (life insurance, retirement, etc.). Temporary employees
serving under appointments limited to 1 year or less are subject to termination
at any time without the use of adverse action or reduction-in-force procedures.
A temporary appointment does not confer eligibility to be promoted or
reassigned to other positions, or the ability to be non-competitively converted
to a permanent position. If you are a current Federal employee in a permanent
position and accept this temporary appointment, you are not entitled to be
automatically placed back in the prior permanent position held and must compete
for any other positions. *First consideration will be given to current VA Central CA Health Care
System employees.*A Recruitment/Relocation Incentive is not authorized. This position does not require the filing of a financial disclosure report. PCS/Relocation Allowances are not authorized.",124385.0,70007.0,Excepted Service Temporary NTE 1 Year,"Veterans Affairs, Veterans Health Administration",Per Year,2018-01-08,NP-18-TAL-2027170-BU,"Fresno, California",2017-12-15,Registered Nurse (Comprehensive Women's Healthcare Coordinator),"BASIC REQUIREMENTS: U.S. citizenship. Non-citizens may be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy.Graduate of a school of professional nursing approved by the appropriate State-accrediting agency and accredited by one of the following accrediting bodies at the time the program was completed by the applicant: The Accreditation Commission for Education in Nursing (ACEN) or The Commission on Collegiate Nursing Education (CCNE). In cases of graduates of foreign schools of professional nursing, possession of current, full, active and unrestricted registration will meet the requirement of graduation from an approved school of professional nursing.The completion of coursework equivalent to a nursing degree in a MSN Bridge Program that qualifies for professional nursing registration constitutes the completion of an approved course of study of professional nursing. Students should submit the certificate of professional nursing to sit for the NCLEX to the VA along with a copy of the MSN transcript. (Reference VA Handbook 5005, Appendix G6)Current, full, active, and unrestricted registration as a graduate professional nurse in a State, Territory or Commonwealth (i.e., Puerto Rico) of the United States, or the District of Columbia. Grade Determinations: The following criteria must be met in determining the grade assignment of candidates, and if appropriate, the level within a grade:Nurse I Level I - An Associate Degree (ADN) or Diploma in Nursing, with no additional nursing practice/experience required.Nurse I Level II - An ADN or Diploma in Nursing and approximately 1 year of nursing practice/experience; OR an ADN or Diploma in Nursing and a bachelor's degree in a related field with no additional nursing practice/experience; OR a Bachelor&#146;s of Science in Nursing (BSN) with no additional nursing practice/experience.Nurse I Level III - An ADN or Diploma in Nursing and approximately 2-3 years of nursing practice/experience; OR an ADN or Diploma in Nursing and a Bachelor&#146;s degree in a related field and approximately 1-2 years of nursing practice/experience; OR a BSN with approximately 1-2 years of nursing practice/experience; OR a Master's degree in nursing (MSN) or related field with a BSN and no additional nursing practice/experience.Nurse II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN or Diploma in Nursing and a Bachelor&#146;s degree in a related field and approximately 2-3 year&#146;s of nursing practice/experience; OR a Master's degree in nursing or related field with a BSN and approximately 1-2 year&#146;s of nursing practice/experience; OR a Doctoral degree in nursing or meets basic requirements for appointment and has doctoral degree in a related field with no additional nursing practice/experience required.Nurse III - Master's degree in nursing or related field with BSN and approximately 2-3 year&#146;s of nursing practice/experience; OR a Doctoral degree in nursing or related field and approximately 2-3 year&#146;s of nursing practice/experience.Experience refers to paid and unpaid experience, including
volunteer work done through National Service programs (e.g., Peace Corps,
AmeriCorps) and other organizations (e.g., professional; philanthropic;
religions; spiritual; community; student; social). Volunteer work helps build critical
competencies, knowledge, and skills and can provide valuable training and
experience that translates directly to paid employment. You will receive credit for all qualifying
experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486691900
2017-12-31,Department of Veterans Affairs,VM,"YOU CAN MAKE A DIFFERENCE POSITION TITLE:&#160; PHYSICIAN (NOCTURNIST), VM-0602-00
&#160;&#160;
VR 1900385 T38-17-16 PP
&#160;&#160;&#160;
ATTENTION APPLICANTS
PLEASE READ THIS ANNOUNCEMENT CAREFULLY AND IN ITS ENTIRETY TO ENSURE THAT YOU APPLY CORRECTLY AND THAT ALL REQUIRED DOCUMENTS ARE SUBMITTED WITH YOUR APPLICATION PACKAGE
FAILURE TO SUBMIT A COMPLETE APPLICATION PACKAGE WILL RESULT IN LOSS OF CONSIDERATION
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to veterans?
The Department of Veterans Affairs (VA) needs employees who possess the energy, compassion, and commitment to serve those who serve our Country. Whatever the job title, every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans.
Working for VA is one of the most emotionally satisfying and professionally rewarding ways to dedicate the best within you to your country's service.
If you are transitioning from the military or a Veteran already, we invite you to explore the benefits of continuing your career at the VA. The VA is committed to hiring Veterans. The VA is much more than just another employer. It is an honorable, open and welcoming community of those who care. Gratitude is our motivation and service is our mission.
The VA has adopted Core Values and Characteristics that apply universally across the Department. The five Core Values define ""who we are,"" our culture, and how we care for Veterans, their families and other beneficiaries. The Values are Integrity, Commitment, Advocacy, Respect and Excellence ("" I CARE"").
America's Veterans need you!",264000.0,200000.0,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,VR 1900385 T38-17-16 PP,"Long Beach, California",2017-01-03,Physician (Nocturnist),"BASIC EDUCATION REQUIREMENT: Candidates must have a doctoral degree of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed. Approved schools include:
(a) Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.
(b) Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.
(c) Schools (including foreign schools) accepted by the licensing body of a State, Territory or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.
LICENSURE AND REGISTRATION: Current, full and unrestricted license to practice medicine or surgery in a State, Territory or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure. [Physicians appointed to direct patient care positions must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7407(d).]
*Applicants must be Internal Medicine board certified or eligible.
Board Certification: Applicants must be board certified in the specialty of Internal Medicine/Pediatrics, Internal Medicine or Family Medicine. Board Certification must be listed on your resume.
ENGLISH LANGUAGE PROFICIENCY: Physicians must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7404(d).
Specialized Experience: can be defined as the experience providing management, cross coverage, consults, and/or admissions formultiple services, such asSpinal Cord Injury / Community Living Center / Psychiatry / Blind Rehabilitation Center,or Medical ICU and cross coverage of the non-teaching Medical Wards, or Medical Wards, or Medical issues on the Surgical service. Two years of Hospitalist experience is preferred, however not required for consideration. This medical center operates 24 hours, seven days per week and you may be required to work days, evenings, nights, holidays, and/or weekends, to include modification in shifts and/or tours of duty, to meet medical center and patient care needs",https://www.usajobs.gov:443/GetJob/ViewDetails/462867100
2017-12-31,Department of Veterans Affairs,VM,"We are a 24/7 medical center with various tours of duty and incumbent may be required to work off tours, nights, holidays and/or weekends to meet the mission of caring for the Veterans.
NOTE: THIS POSITION MAY BE FILLED AT ANYTIME DURING THE OPENING OF THE ANNOUNCEMENT. IF YOU APPLIED UNDER VACANCY ANNOUNCEMENT NUMBER VR 1618198 YOU DO NOT NEED TO REAPPLY.
Vacancy Identification Number (VIN): 1948788
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans.
Open Until Filled &#150; Applicant referrals will be made as received. Selection may be made at any time during the open period of this announcement
NOTE: Applicant's education and expereince will be reviewed bythe Physician Pay Panel who willmake a recommendation of salary to the Medical Center Director who has final approval. How would you like to become a part of a team providing compassionate care to Veterans?
VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/ .",215000.0,100957.0,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,600 VR 1948788 T38-17-93 PP,"Long Beach, California",2017-04-25,Physician (Primary Care),"Citizenship:United States
Education : Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine.
Licensure and Registration : Must have current, full and unrestricted license to practice medicine in a State, Territory, or Commonwealth of the United States, or in the District of Columbia.
Language Proficiency : Physicians appointed to direct patient-care positions must be proficient in spoken and written English as required by Title 38 U.S.C. 7402 and 7405(f). PREFER: Board certified in Internal Medicine (or Board Eligible if finishing residency training).",https://www.usajobs.gov:443/GetJob/ViewDetails/468491500
2018-11-22,Department of Veterans Affairs,VM,"We are a 24/7 medical center with various tours of duty and incumbent may be required to work off tours, nights, holidays and/or weekends to meet the mission of caring for the Veterans. Vacancy Identification Number (VIN): 2025112
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans.
Open Until Filled &#150; Applicant referrals will be made as received. Selection may be made at any time during the open period of this announcement
NOTE: Applicant's education and expereince will be reviewed bythe Physician Pay Panel who willmake a recommendation of salary to the Medical Center Director who has final approval. How would you like to become a part of a team providing compassionate care to Veterans?
VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/ .",225000.0,101967.0,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-11-22,600 VR-17-193-2025112-SM,"Long Beach, California",2017-12-01,Physician (Primary Care),"Citizenship:United States
Education : Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine.
Licensure and Registration : Must have current, full and unrestricted license to practice medicine in a State, Territory, or Commonwealth of the United States, or in the District of Columbia.
Language Proficiency : Physicians appointed to direct patient-care positions must be proficient in spoken and written English as required by Title 38 U.S.C. 7402 and 7405(f). PREFER: Board certified in Internal Medicine (or Board Eligible if finishing residency training).",https://www.usajobs.gov:443/GetJob/ViewDetails/485124000
2017-12-31,Department of Veterans Affairs,VM,"Vacancy Identification Number (VIN): 1888403
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans.
How would you like to become a part of a team providing compassionate care to Veterans?
As a VA professional Physician, your opportunities are endless. With many openings in the multiple functions of VA, you will have a wide range of opportunities at your fingertips. Not only is it the largest, most technologically advanced integrated health care system in the nation, but we also provide many other services to Veterans through the Benefits Administration and National Cemeteries. VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/ .",240000.0,100967.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,VR 1888403 T38-17-02 PP,"Long Beach, California",2017-01-05,Staff Physician (Pulmonary),"Citizenship: United States
Education : Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine.
Licensure and Registration : Must have current, full and unrestricted license to practice medicine in a State, Territory, or Commonwealth of the United States, or in the District of Columbia.
Language Proficiency : Physicians appointed to direct patient-care positions must be proficient in spoken and written English as required by Title 38 U.S.C. 7402 and 7405(f).",https://www.usajobs.gov:443/GetJob/ViewDetails/461401200
2017-12-31,Department of Veterans Affairs,VM,"YOU CAN MAKE A DIFFERENCE POSITION TITLE:&#160; PHYSICIAN (HOSPITALIST), VM-0602-00
&#160;&#160;
VR-1900347 T38-17-11 PP
&#160;&#160;&#160;
ATTENTION APPLICANTS
PLEASE READ THIS ANNOUNCEMENT CAREFULLY AND IN ITS ENTIRETY TO ENSURE THAT YOU APPLY CORRECTLY AND THAT ALL REQUIRED DOCUMENTS ARE SUBMITTED WITH YOUR APPLICATION PACKAGE
FAILURE TO SUBMIT A COMPLETE APPLICATION PACKAGE WILL RESULT IN LOSS OF CONSIDERATION
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to veterans?
The Department of Veterans Affairs (VA) needs employees who possess the energy, compassion, and commitment to serve those who serve our Country. Whatever the job title, every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans.
Working for VA is one of the most emotionally satisfying and professionally rewarding ways to dedicate the best within you to your country's service.
If you are transitioning from the military or a Veteran already, we invite you to explore the benefits of continuing your career at the VA. The VA is committed to hiring Veterans. The VA is much more than just another employer. It is an honorable, open and welcoming community of those who care. Gratitude is our motivation and service is our mission.
The VA has adopted Core Values and Characteristics that apply universally across the Department. The five Core Values define ""who we are,"" our culture, and how we care for Veterans, their families and other beneficiaries. The Values are Integrity, Commitment, Advocacy, Respect and Excellence ("" I CARE"").
America's Veterans need you!",264000.0,200000.0,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,VR-1900347 T38-17-11 PP,"Long Beach, California",2017-01-03,Physician (Hospitalist),"YOU MUST BE AUS CITIZENBASIC EDUCATION REQUIREMENT: Candidates must have a doctoral degree of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed. Approved schools include:
(a) Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.
(b) Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.
(c) Schools (including foreign schools) accepted by the licensing body of a State, Territory or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.
LICENSURE AND REGISTRATION: Current, full and unrestricted license to practice medicine or surgery in a State, Territory or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure. [Physicians appointed to direct patient care positions must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7407(d).]
*Applicants must be Internal Medicine board certified or eligible.
Board Certification: Applicants must be board certified in the specialty of Internal Medicine/Pediatrics, Internal Medicine or Family Medicine. Board Certification must be listed on your resume.
ENGLISH LANGUAGE PROFICIENCY: Physicians must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7404(d).
Specialized Experience: can be defined as the experience providing management, cross coverage, consults, and/or admissions formultiple services, such asSpinal Cord Injury / Community Living Center / Psychiatry / Blind Rehabilitation Center,or Medical ICU and cross coverage of the non-teaching Medical Wards, or Medical Wards, or Medical issues on the Surgical service. Two years of Hospitalist experience is preferred, however not required for consideration. This medical center operates 24 hours, seven days per week and you may be required to work days, evenings, nights, holidays, and/or weekends, to include modification in shifts and/or tours of duty, to meet medical center and patient care needs",https://www.usajobs.gov:443/GetJob/ViewDetails/462865800
2017-12-31,Department of Veterans Affairs,VM,"YOU CAN MAKE A DIFFERENCE POSITION TITLE:&#160; PHYSICIAN (PSYCHIATRIST), VM-0602-00
&#160;&#160;
VR 1893530 T38-17-05 PP
&#160;&#160;&#160;
ATTENTION APPLICANTS
PLEASE READ THIS ANNOUNCEMENT CAREFULLY AND IN ITS ENTIRETY TO ENSURE THAT YOU APPLY CORRECTLY AND THAT ALL REQUIRED DOCUMENTS ARE SUBMITTED WITH YOUR APPLICATION PACKAGE
FAILURE TO SUBMIT A COMPLETE APPLICATION PACKAGE WILL RESULT IN LOSS OF CONSIDERATION
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to veterans?
***Position is open until filled. Applications will be referred as they are received. Selection may be made at any time during open period.***
***Salary Determined by a Professional Standards Board***This medical center
operates 24 hours, seven days per week and you may be required to work days,
evenings, nights, holidays, and/or weekends, to include modification in shifts
and/or tours of duty, to meet medical center and patient care needs.",264000.0,100967.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,VR 1893530 T38-17-05 PP,"Long Beach, California",2017-01-10,Physician (Psychiatrist),"BASIC EDUCATION REQUIREMENT: Candidates must have a doctoral degree of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed. Approved schools include:
(a) Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.
(b) Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.
(c) Schools (including foreign schools) accepted by the licensing body of a State, Territory or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.MUST BE BOARD CERTIFIED/ELIGIBLE
LICENSURE AND REGISTRATION: Current, full and unrestricted license to practice medicine or surgery in a State, Territory or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure. [Physicians appointed to direct patient care positions must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7407(d).]
ENGLISH LANGUAGE PROFICIENCY: Physicians must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7404(d).",https://www.usajobs.gov:443/GetJob/ViewDetails/462014200
2017-12-31,Department of Veterans Affairs,VM,"YOU CAN MAKE A DIFFERENCE POSITION TITLE: PHYSICIAN (NEPHROLOGY), VM-0602-00 600 VR-1941324 T38-17-84 PP ATTENTION APPLICANTS
PLEASE READ THIS ANNOUNCEMENT CAREFULLY AND IN ITS ENTIRETY TO ENSURE THAT YOU APPLY CORRECTLY AND THAT ALL REQUIRED DOCUMENTS ARE SUBMITTED WITH YOUR APPLICATION PACKAGE
FAILURE TO SUBMIT A COMPLETE APPLICATION PACKAGE WILL RESULT IN LOSS OF CONSIDERATION
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to veterans?
The Department of Veterans Affairs (VA) needs employees who possess the energy, compassion, and commitment to serve those who serve our Country. Whatever the job title, every position in VA will give you a chance to make a meaningful and personal contribution to the lives of truly special and deserving people - our Veterans.
Working for VA is one of the most emotionally satisfying and professionally rewarding ways to dedicate the best within you to your country's service.
If you are transitioning from the military or a Veteran already, we invite you to explore the benefits of continuing your career at the VA. The VA is committed to hiring Veterans. The VA is much more than just another employer. It is an honorable, open and welcoming community of those who care. Gratitude is our motivation and service is our mission.
The VA has adopted Core Values and Characteristics that apply universally across the Department. The five Core Values define ""who we are,"" our culture, and how we care for Veterans, their families and other beneficiaries. The Values are Integrity, Commitment, Advocacy, Respect and Excellence ("" I CARE"").
America's Veterans need you!",264000.0,100957.0,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,600 VR-1941324 T38-17-84 PP,"Long Beach, California",2017-04-12,Physician (Nephrologist),"BASIC EDUCATION REQUIREMENT: Candidates must have a doctoral degree of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed. Approved schools include:
(a) Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.
(b) Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.
(c) Schools (including foreign schools) accepted by the licensing body of a State, Territory or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.
LICENSURE AND REGISTRATION: Current, full and unrestricted license to practice medicine or surgery in a State, Territory or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure. [Physicians appointed to direct patient care positions must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7407(d).]
*Prefer applicants tobeboard certified or eligible in Internal Medicine.
Board Certification: Applicantsboard certified in the specialty of Internal Medicine/Pediatrics, Internal Medicine or Family Medicine is desired. Board Certification must be listed on your resume.
ENGLISH LANGUAGE PROFICIENCY: Physicians must be proficient in spoken and written English as required by 38 U.S.C. 7402(d) and 7404(d).",https://www.usajobs.gov:443/GetJob/ViewDetails/467542000
2017-12-31,Department of Veterans Affairs,VM,"We are a 24/7 medical center with various tours of duty and incumbent may be required to work off tours, nights, holidays and/or weekends to meet the mission of caring for the Veterans. Vacancy Identification Number (VIN): 2004326
To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans.
NOTE: THE PHYSICIAN PAY PANEL WILL REVIEW AND RECOMMEND SALARY TO THE MEDICAL CENTER DIRECTOR WHO HAS FINAL APPROVAL. How would you like to become a part of a team providing compassionate care to Veterans?
VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/ .",240000.0,101967.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-31,600 VR2004326 T38-17-144 PP,"Long Beach, California",2017-09-06,Physician (PM&R),"Citizenship: United States Citizen
Education : Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine.
Licensure and Registration : Must have current, full and unrestricted license to practice medicine in a State, Territory, or Commonwealth of the United States, or in the District of Columbia.
Language Proficiency : Physicians appointed to direct patient-care positions must be proficient in spoken and written English as required by Title 38 U.S.C. 7402 and 7405(f).Board Certification in Physical Medicine and Rehabilitation preferredClinical and administrative experience in both in patient and outpatient care and program improvement is preferred.",https://www.usajobs.gov:443/GetJob/ViewDetails/478052000
