ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-09,Department of Veterans Affairs,GS,"The Central Alabama Veteran Health Care System (CAVHCS) is a consolidated health care system that includes VA Medical Centers in Montgomery and Tuskegee Alabama as well as Community Based Outpatient Clinics (CBOC) in Dothan Alabama, Ft. Benning Georgia, Ft. Rucker Alabama, Monroeville Alabama, Montgomery Alabama and Columbus Georgia. The Primary Duty Station for this position is the Montgomery site. The incumbent may be required to work on site at the other locations as needed.Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A, Appointment of persons with disabilities [i.e., intellectual disabilities, severe physical disabilities, or psychiatric disabilities], and/or Disabled veterans with a compensable service-connected disability of 30% or more. Contact the Agency Contact on the last page of the JOA for information on how to apply under this appointment authority via the Selective Placement Coordinator. VA encourages persons with disabilities to apply.For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitionsdocument.",52893.0,40684.0,Multiple Appointment Types,"Veterans Affairs, Veterans Health Administration",Per Year,2018-01-09,JU-T5-021-DBA-2027410-BU,"Montgomery, Alabama",2017-12-17,Inventory Management Specialist,"To qualify for this position, applicants must meet all requirements by the closing date of this announcement Tuesday, January 09, 2018.Applicants must have One year of specialized experience equivalent to at least the next lower grade (GS-05 for the GS-07) in the normal line of progression for the occupation in the organization. Examples of specialized experience would typically include, but are not limited to: Some of these specialized duties would be management of Non-Expendable Equipment Programs, using systems such as ISMS for Category Stock Numbers (CSNs) and Equipment Inventory Listings (EILs), etc.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486862300
2018-11-09,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Materiel Command,Per Year,2018-11-09,AFMC-10072334-DHA-GS2010-ML,"Davis Monthan AFB, Arizona|Davis Monthan AFB, Arizona|Eglin AFB, Florida|Eglin AFB, Florida|Eglin AFB, Florida|Robins AFB, Georgia|Malmstrom AFB, Montana|Minot AFB, North Dakota|Hill AFB, Utah|Hill Air Force Range, Utah|Warren AFB, Wyoming",2017-11-10,Inventory Management - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying.",https://www.usajobs.gov:443/GetJob/ViewDetails/483004200
2018-11-09,Department of the Air Force,NH,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10077535-DHA-NH2010-SP,"Edwards AFB, California|Hill AFB, Utah|Hill Air Force Range, Utah|Kadena Air Base Okinawa, Japan",2017-11-10,Inventory Management - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483762000
2017-12-31,Department of the Air Force,GS,"Any individual who was awarded a degree by an institution of higher
education from a public or other non-profit institutionnot more than two years before the date of appointment meets the
basic eligibility requirement to apply for the DHA Recent Graduates Program; OR Any individual who has completed a period of obligated service in a
uniformed service of more than four years and was awarded a degree by an
institution of higher education from a public or other non-profit institutionnot more than four years before the date of
appointment meets the basic eligibility requirement to apply for the DHA Recent
Graduates Program. YOUR TRAINING AND DEVELOPMENT
COVERS: &#183; Orientation program &#183; Mentorship throughout the
Program &#183; Individual Training &amp; Development Plan to assist with career planning, professional development, and training activities &#183; Formal, interactive training each year of the Program &#183; Opportunity for career
advancement AFTER
PROGRAM COMPLETION: You will be outplaced from the PAQ program after successful completion
of your formal training program. Outplacement may be to a position in the
local community areawhere you received your PAQ training or to an Air
Force Installation in another geographic location within the Continental USA.",52893.0,40684.0,Permanent,Air Force Personnel Center,Per Year,2017-12-31,CL18-2016804-2010-BJW,"Robins AFB, Georgia|Tinker AFB, Oklahoma|Hill AFB, Utah",2017-10-04,DHA RECENT GRADUATES PROGRAM (INVENTORY MANAGEMENT),"Qualified candidates will be considered in accordance with the Office of Personnel Management.You can also visit: http://www.opm.gov/qualifications/standards/index-Standards.asp for additional qualification standards. Experience refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/481162500
2018-04-15,Department of the Air Force,GS,"Any individual who completed all requirements for an associate, bachelor, master, professional, or doctorate degree from a qualifying educational institution within the previous two yearsOR Any veteran released or discharged from active duty within the previous two years, but due to a military service obligation, was precluded from applying for a recent graduate position during any portion of the two-year eligibility period following completion of applicable degree, and not more than six years have transpired since completing the requirements for the degree. Are you looking for a unique opportunity to gain valuable work experience? The Department of the Air Force offers challenging work and the satisfaction of knowing you've made a difference. We're offering you an exciting opportunity to gain ""real world"" experience as a Recent Graduate hired under the Central Salary Account (CSA). Appointments"" under the Recent Graduates Program may be for 1 or -2 years depending on the position. After completing the 1 or 2-year period as a Recent Graduate, you may be noncompetitively converted into a term or permanent position and placed on a ""career or career-conditional appointment. However, service in a Pathways Recent Graduate Program confers no right to further employment in the competitive service. YOUR TRAINING AND DEVELOPMENT COVERS:
&#183; Participant Agreement
&#183; Orientation program &#183; Mentorship throughout the Program &#183; Individual Training &amp; Development Plan to assist with career planning, professional development, and training activities &#183; At least 40 hours of formal, interactive training each year of the Program &#183;Opportunity for career advancement AFTER PROGRAM COMPLETION:
Recent Graduates who are selected for conversion must have: &#183; Completed all requirements of the program successfully &#183; Demonstrated successful job performance consistent with the applicable performance appraisal program &#183; Met the Office of Personnel Management (OPM) qualification standard for the position to which the Recent Graduate will be converted ""It is important to remember that eligibility for conversion does not guarantee that the Department of the Air Force will offer conversion""",52893.0,40684.0,Permanent,Air Force Personnel Center,Per Year,2018-04-15,CL18-2025859-2010-BJW,"Tinker AFB, Oklahoma",2017-12-01,AF Recent Graduates Program (Inventory Management),"Qualified candidates will be considered in accordance with the Office of Personnel Management Pathways Guidelines .You can also visit: http://www.opm.gov/qualifications/standards/index-Standards.asp for additional qualification standards. Experience refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/485603000
2018-01-18,Department of the Air Force,GS,"*** THIS IS A TITLE 32 NATIONAL GUARD TECHNICIAN POSITION*** This National Guard position is for a SUPPLY TECHNICIAN (INVENTORY MANAGEMENT), Position Description Number D2134000 and is part of the OK 138th Fighter Wing, Oklahoma Air National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",52893.0000,40684.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-18,OK-10085804-AF-17-200,"Tulsa, Oklahoma",2017-12-15,SUPPLY TECHNICIAN (INVENTORY MANAGEMENT),"GENERAL EXPERIENCE: Experience, education, or training in a variety of operations or situations concerned with substance or content of supply actions, requiring ability to decide course of action to take, considering the circumstances or conditions encountered. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: 12 months experience which demonstrates a thorough knowledge of governing supply regulations, policies, procedures, and instructions applicable to the specific assignment. Experience conducting extensive searches for required information; reconstructing records for complex supply transactions; and/or provide supply operations support for activities involving specialized or unique supplies, equipment, or parts. Experience performing routine aspects of supply work based on practical knowledge of standard procedures, where assignments include individual case problems related to a limited segment in one of the major areas of supply management. Thorough knowledge of governing supply regulation, policies and procedures to conduct extensive research for required information as it pertains to inventory management. Ability to interpret supply records to reconstruct cause and need of inventory adjustments. Extensive knowledge of supply principles in the field of Material Management. Knowledge of trend analysis as it pertains to inventory management. Knowledge of HQ Air Force directed inventory requirements as dictated by Air Force Manuals and other DOD regulations. Knowledge of established supply regulations, policies,operations, procedures, and other instructions applicable to the specific assignment. Knowledge to conduct extensive and exhaustive searches for required information in order to reconstruct records for complex supply transactions. Knowledge and ability to perform routine aspects of supply work based on practical knowledge of standard procedures, where assignments include individual case problems related to a limited segment in one of the major areas of supply management, such as inventory management, excess property, storage management etc.",https://www.usajobs.gov:443/GetJob/ViewDetails/486821300
2018-01-30,Department of the Air Force,GS,"The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! WYOMING AIR NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted position that requires membership in a compatible military assignment in the Wyoming Air National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted position constitutes concurrence with these requirements as a condition of employment. Applicants must currently be members in the Wyoming Air National Guard in order to be considered for employment. AREA 5: INDEFINITE JOB OPPORTUNITY DUAL STATUS TECHNICIAN - MERIT PROMOTION: Only current military members of the Wyoming Air National Guard will be considered. TECHNICIAN INFO
Position Title: Supply Technician (Inventory Management)
Position Series/Grade: GS-2005-07
Position Description #: D2134000
PAS #: F2HB
FAC #: 412000
Position #1: 0077247234 Position #2: 0076632734 Position #3: 0077329434 Position #4: 0077247134 Location: 153rd Logistics Readiness Squadron, Cheyenne, WY MILITARY GRADE
Min: E2/Amn
Max: E5/SSgt Enlisted applicant&#39;s military grade cannot exceed the maximum military grade authorized. Over-grade applicants must provide a written demotion statement of understanding with application, willingness to be administratively reduced in grade (state specific grade) if selected for this position. A Demotion Statement of Understanding is located at: http://go.usa.gov/cfJfG Applicants&#39; under or those over-grade, without a written demotion statement of understanding, will not be considered for this vacancy. Acceptance of this position does not in any way constitute a military promotion.",52893.0000,40684.0000,Multiple Appointment Types,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-30,WY-10056300-AF-17-147,"Cheyenne, Wyoming",2017-10-04,SUPPLY TECHNICIAN (INVENTORY MANAGEMENT),"MINIMUM REQUIREMENTS: Must possess experience, education, or training in a variety of operations or situations concerned with substance or content of supply actions, requiring ability to decide course of action to take, considering the circumstances or conditions encountered; and experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must possess at least 12 months experience, education, or training which demonstrates a thorough knowledge of governing supply regulations, policies, procedures, and instructions applicable to the specific assignment; experience conducting extensive searches for required information; reconstructing records for complex supply transactions; and/or provide supply operations support for activities involving specialized or unique supplies, equipment, or parts; and experience performing routine aspects of supply work based on practical knowledge of standard procedures, where assignments include individual case problems related to a limited segment in one of the major areas of supply management. NOTE: Minimum Requirements and Specialized Experience will be used to determine qualifications for the announced position. Applicants must provide from (e.g. 02/2014 - 03/2016 or Feb 2014 - Mar 2016) dates and hours worked per week with description of your specialized experience on the resume. MILITARY REQUIREMENTS: Selected candidates will be required to be in a compatible military grade and assignment prior to the effective date of placement. COMPATIBLE MILITARY ASSIGNMENTS: Enlisted: 2S0X1, Material Management Must possess or be eligible to retrain into AFSC 2S0X1. Enlisted 2S0X1 ASVAB Requirements:
Must possess a minimum score of ""41"" on the ""Administrative"" OR a minimum score of ""44"" on the ""General"" portions of the ASVAB.
Medical Profile PULHES must not be greater than 333333.
Must be able to lift 60 lbs. unassisted. DRIVER&#39;S LICENSE:
Must possess a valid state&#39;s driver&#39;s license for the state in which the applicant lives or is principally employed. ADMINISTRATIVE:
Must not be currently involved in a workplace investigation that specifically involves yourself.",https://www.usajobs.gov:443/GetJob/ViewDetails/481164600
2017-12-30,Department of Veterans Affairs,GS,"OUR MISSION: To fulfill President Lincoln's promise &#150; ""To care for him who shall have borne the battle, and for his widow, and his orphan"" &#150; by serving and honoring the men and women who are America's Veterans. How would you like to become a part of a team providing compassionate care to Veterans? At the Cincinnati VA Medical Center, our duty is to make sure Veterans receive the finest health care available within our resources. We are devoted to providing primary health care, specialized care, and mental health service to Veterans whom reside within a 50 mile radius of the Medical Center serving veterans in the states of Ohio, Kentucky, and Indiana. For more information, please visit our web site.Cincinnati is ranked 73rd out of the 100 Best Cities in the nation, according to Livability.com. The ranking was created based on economic, healthcare, housing, civic capital, education, amenities, demographic and infrastructure scores. In the health care category alone, Cincinnati ranked #2 in the nation! For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/This vacancy is also being announced to all Status Eligible Candidates under Announcement# NV-18-TDB-2017426BU from 12/26/2018 to 12/30/2018. Per the Master Agreement between the Department of Veterans Affairs and the American Federation of Government Employees (AFGE), the department agrees to first consider internal candidates for selection. VA encourages persons with disabilities to apply. For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document.",54943.0,42261.0,Agency Employees Only,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-30,NV-18-TDB-2017153BU,"Cincinnati, Ohio",2017-12-11,SUPPLY TECHNICIAN,"To qualify for this position, applicants must meet all requirements by the closing date of this announcement. Specialized Experience: GS-07 Grade Level: Applicants must have One year of specialized experience equivalent to at least the next lower grade (GS-06) in the normal line of progression for the occupation in the organization. Examples of specialized experience would typically include, but are not limited to: Acquires prosthetic items by using the appropriate purchasing methods in accordance with the Federal Acquisition Regulation (FAR).Authorizing and preparing complex purchase orders for a wide variety of surgical implants.Procurement, inventory control of prosthetic appliances and implants, and issuing prescribed items to patients in compliance with organizational guidelines and directives providing for furnishing prosthetic service to patients.Making purchases and acquisition agreements with either the best commercial or preferred non-commercial established provider for the swift and effective delivery of the product to the patient by using a combination of directives, laws, and regulations.Initiating purchases that may have specialized requirements and/or commercial requirements . There are no educational substitution for theGS-07 levels. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. PREFERRED EXPERIENCE:Prostheticsexperience preferred.",https://www.usajobs.gov:443/GetJob/ViewDetails/486329100
2018-03-14,Department of Veterans Affairs,GS,"The VA Black Hills Health Care System (VA BHHCS) is located in the beautiful Black Hills of Western South Dakota. South Dakota has No State Income Tax, has been named one of the Happiest and Safest States in the nation, is home to Top Ten Scenic Drives and Top Ten National Forests, features an Outdoor Life's Top City for Outdoor Enthusiasts and hosts the legendary annual Sturgis Motorcycle Rally.VA BHHCS is where we live and work in rural small town settings, only minutes from Rapid City's shopping, dining, cultural, and entertainment venues. We offer rich history, including Mammoths and Prehistoric Civilizations, the 7th Cavalry, Deadwood, and Mount Rushmore. Hiking, fishing, rock climbing, canoeing, water skiing, golf, snowmobiling, hunting, camping, downhill and cross country skiing, motorcycling--the opportunities are endless. The Black Hills includes stunning landscapes such as&#160;Black Elk&#160;Peak, Bear Butte, the Badlands and the Needles Highway. When it's time for civilization, you'll find the Black Hills hosting local and national theatre groups, movie companies, national pow wow competitions, international dance troupes, symphony orchestras, and a variety of entertainers. Sports enthusiasts will find auto races, college sports, semi-pro hockey, and some of the best in rodeo.&#160; VA BHHCS is a multi-campus health care system, with approximately 1100 employees, providing primary care, acute medicine, surgery, behavioral health, nursing home and domiciliary care from medical centers located at Fort Meade and Hot Springs, South Dakota as well as a staffed Community Based Outreach Clinic in Rapid City and numerous contracted and staffed clinics in Western South Dakota, Northern Nebraska and Eastern Wyoming.VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities.&#160; For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/.&#160;For more information on the ""Who may apply"" eligibility requirements, please refer to the OHRM Status Candidates and Other Candidate Definitions document.&#160;VA encourages persons with disabilities to apply. The health related positions in the VA are covered by Title 38, and are not covered by the Schedule A excepted appointment authority.&#160;&#160;",47598.0,26150.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-03-14,BH-17-539R-LP-2027467-OCA-B,"Hot Springs, South Dakota",2017-12-15,Licensed Practical Nurse - Patient Aligned Care Team (PACT),"Basic Requirements:&#183; U.S. citizenship. Non-citizens may be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy.&#183; Education. Graduate of a school of practical or vocational nursing approved by the appropriate State agency and/or accredited by the National League for Nursing Accrediting Commission (NLNAC) at the time the program was completed by the applicant. Verification can be obtained from the State approving agency or the National League for Nursing Accrediting Commission, 61 Broadway, 33rd Floor, New York, NY 10006. Additional information may also be obtained from the NLNAC Website.&#183; Licensure. Full, active, current and unrestricted licensure as a licensed practical or vocational nurse in a State, Territory or Commonwealth (i.e., Puerto Rico) of the United States, or District of Columbia. An LPN who has or has ever had, any license(s) revoked, suspended, denied, restricted, limited, or issued/placed in a probationary status may be appointed only in accordance with VA Policy.&#183; Physical Standards. See VA Directive and Handbook 5019. &#183; English Language Proficiency. Licensed practical nurses appointed to direct patient care positions must be proficient in both spoken and written English as required by VA Policy.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religions; spiritual; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Grade Determinations:GS-3. None beyond the basic requirements. LPNs at this grade level are expected to perform all duties within the scope of their license (e.g., medication administration); however, completed work may require routine or detailed higher level review depending upon the complexity of the duties involved. GS-4.Employees may be appointed at or advanced to GS-4 if they meet any of the criteria below:(a) Six months of qualifying experience as an LPN or LVN; or (b) Graduation from an approved school and one year of experience that involved nursing care work in a hospital, outpatient clinic, nursing home, or other supervised medical, nursing, or patient care facility that provided a practical knowledge of human body structure and sterile techniques and procedures; or (c) Graduation from an approved school of at least 24 months duration. GS-5. (a) Completion of at least 1 year of qualifying experience at the GS-4 level or equivalent. (b) Demonstrated knowledge and ability to provide a full range of practical nursing care to patients with a variety of physical and/or behavioral problems. [Works with the RN and/or MD/DO to appropriately orient/train less experienced LPNs/LVNs and/or Nursing Assistants (NAs)/Health Technicians (HTs) in relation to acceptable standards of practice in promoting optimal patient care delivery. Provides effective education to patients and/or family members in relation to common disease processes, medication, and /or prescribed treatment regimes.] (c) Demonstrated ability to serve as a responsible member of the nursing team and interact with patients, family members, professional and other supportive personnel involved in the delivery of patient care, incorporating acceptable, established customer service standards into practice. (d) Knowledge and skill sufficient to prepare, administer, and appropriately document actions taken specific to commonly prescribed oral, topical, subcutaneous, intramuscular, and/or intravenous medications as permitted by approved local facility policies and procedures. Observation and documentation will include patient&#146;s response to medication administered and the reporting of any noted change in patient&#146;s condition to RN or MD/DO. (e) Knowledge and ability to recognize the need for and to institute emergency measures when indicated, promptly seek the assistance of the RN or MD/DO, and assist in resuscitation procedures in cardiac and/or pulmonary arrest. (f) Recognizes and appropriately responds to breakage/malfunction or loss of equipment, safety hazards, and supply deficiencies, promptly reporting to appropriate personnel for corrective action. GS-6. (a) Completion of at least one (1) year of additional qualifying experience at the GS-5 level or equivalent, fully meeting all performance requirements for the GS-5 LPN/LVN. (b) Technically proficient in initiating, performing and completing assigned duties in providing care to variable patient populations. (c) Knowledge and ability to appropriately carry out assigned patient care based on the patients&#146; conditions; to use judgment in selecting the appropriate order and sequence of procedures and treatments; and to accurately recognize, report and record relevant patient information. Completed work should need only a general review by a registered nurse (RN) or physician (MD/DO) forappropriateness and conformity with established policies/procedures. (d) Ability to observe, identify and respond to the patient&#146;s needs for care, including medication,equipment-assisted care and patient/family education. In organizing and delivering care, the LPN/LVN recognizes and considersemotional, cultural, spiritual, socio-economic, and age-related factors. (e) Prepares and administers prescribed medications (oral, topical, subcutaneous, intramuscular and/or intravenous) and performs treatments according to established policies/procedures. Observes for physical and/or emotional changes in patient&#146;s condition from prescribed medications/treatments, promptly and accurately documenting noted changes, and reporting any deviations from normal to RN or MD/DO. (f) Knowledge and ability to recognize urgent or emergent patient care situations, seek assistance of the RN and/or MD/DO, and initiate appropriate emergency interventions as directed. (g) Knowledge and understanding of human behavior, patient motivations and reactions to situations, and ability to appropriately utilize this knowledge in working effectively with patients, family members, and other staff. (h) Establishes constructive relationships with individual patients and their families to elicit feelings and attitudes, and to promote positive relationships, communication and socialization skills. Fosters an environment of respect for individual patient and family rights to privacy and dignity in all aspects of care delivery. Effectively incorporates knowledge and understanding of established customer service standards in all interactions with patients, family members, and/or other internal/external customers. (i) Knowledge and skill in performing support duties for complex diagnostic tests and/or specialized practices or procedures, which include preparing the patient, assisting in the diagnostic examination, preparing and handling specialized instruments or other specialized equipment, and monitoring the patient&#146;s condition before, during, and following the procedure. Serves as a preceptor in orienting, educating, and training less experienced LPNs/LVNs or NAs/HTs related to support duties for these more complex, specialized tests/procedures. (j) Actively seeks out educational opportunities to enhance nursing knowledge and skills, sharing new knowledge gained with other staff to improve and advance nursing practice. References: VA Handbook 5005/3 Part II Appendix G13, LICENSED PRACTICAL NURSE QUALIFICATION STANDARD. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486883600
2017-12-27,Legislative Branch,GS,"The AOC is accepting applications for a permanent Assistant Supply Management Officer to assist with planning, organizing and directing the purchase, receipt, storage, and inventory management of renovation and construction supplies and equipment for HOB operations.",86460.0,66510.0,"Permanent, Full Time",Architect of the Capitol,Per Year,2017-12-27,HOB-2018-049,"Washington DC, District of Columbia",2017-12-11,Assistant Supply Management Officer,"Specialized experience: is experience that has equipped you with the particular knowledge, skills and abilities to perform successfully the duties of the position, and that is typically in or related to the position to be filled. To be creditable, specialized experience must have been equivalent to at least the next lower grade level. Candidates for the GS-11 grade level must have at least 52 weeks of specialized experience equivalent to the next lower grade level to the (GS-09) in the Federal service. Specialized experience is defined as the following:(1) Performing analytical work to manage, regulate, and control the level and flow of materials, supplies, and equipment through acquisition, storage, and inventory management.(2) Resolving conventional inventory management problems, questions, and situations in a supply operation.(3) Monitoring established supply systems and programs.(4) Performing independent reviews and making recommendations involving well-established acquisition criteria, methods, techniques, and procedures. SUBSTITUTION OF EDUCATION FOR EXPERIENCE:For applicants at the GS-11 grade level, the following education may be substituted for the required experience:1. Ph.D. or equivalent doctoral degree--OR--2. Three (3) full years of progressively higher level graduate education leading to such a degree--OR--3. LL.M., if relatedSuch education must have demonstrated the knowledge, skills and abilities necessary to do the work of the position and that is in or related to the position to be filled.COMBINATION OF EDUCATION AND EXPERIENCE: Equivalent combinations of education and experience may be combined to meet the total qualification requirements.Are you using your education to qualify? If you are using education to meet all or part of the qualification requirements, you must submit a copy of your college transcript (s) which includes course titles, semester/quarter hours, and degree earned. See OPM's General Policies for information on crediting education.",https://www.usajobs.gov:443/GetJob/ViewDetails/486388600
