ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-29,Department of the Army,NA,"The Area of Consideration for this vacancy announcement is US Citizens and legal US residents with citizenship of a NATO country, except Germany, eligible for employment under U.S. conditions in the Kaiserslautern/Landstuhl commuting area. (Military Spouse Preference (MSP), Involuntarily Separated Military Preference (ISMP) and Family Member Preference eligible candidates are included in the area of consideration.) This position is located at Java Cafe",11.7200,10.0400,Multiple Appointment Types,Army Installation Management Command,Per Hour,2017-12-29,EUNAFHU1710012446SR,"Kaiserslautern, Germany|Landstuhl, Germany",2017-05-17,Food and Beverage Attendant NA-03,"1. Must meet state/local age requirements for the serving of alcoholic beverage at the time of appointment.
2. Be able to lift and carry weights up to 20 pounds.
3. Possess math skills necessary to calculate patron bills and take inventory.
4. Skill in serving alcoholic and/or nonalcoholic beverages.",https://www.usajobs.gov:443/GetJob/ViewDetails/470050300
2017-12-27,Department of the Army,NF,"The Area of Consideration for this vacancy announcement is U.S. and Non-U.S. Citizen&#39;s. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration. This position is located with DFMWR, Business Operations Division; located at Java Cafe.",14.0500,7.2500,Permanent,Army Installation Management Command,Per Hour,2017-12-27,SCNAFEA1710061143SR,"Fort Benning, Georgia",2017-10-06,"Operations Assistant, NF-01",No experience required,https://www.usajobs.gov:443/GetJob/ViewDetails/481468900
2017-12-27,Department of the Army,NA,"The Area of Consideration for this vacancy announcement is U.S and Non-U.S. Citizen&#39;s. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) This position is located within the Directorate of Family, Morale, Welfare and Recreation, Business Operations Division, at Java Cafe.",9.6000,8.2200,Permanent,Army Installation Management Command,Per Hour,2017-12-27,SCNAFEA1710061522SR,"Fort Benning, Georgia",2017-10-10,"Food Service Worker, NA-02","Ability to understand and follow simple instructions, and be able to use hand tools for cleaning and operating simple machines.",https://www.usajobs.gov:443/GetJob/ViewDetails/481526400
2018-02-19,Other Agencies and Independent Organizations,IS,"The software development team of the Chandra X-ray Data System has an opening for a UI/UX IT Specialist with computer graphics and visualization experience to join our team in Cambridge, MA. The talented developer will work to develop/modernize the User Interface/User Experience of new and legacy visualization software. The employee we seek will work to understand the user's needs, advocate that vision to the software team, and design, develop, and maintain software that delivers innovation and seamlessly integrates with the existing system. We offer a challenging environment working in partnership with scientists, data system operations, and an existing software development team, to bring Chandra data products and analysis tools to the astronomical community at large.",122875.0,66317.0,Trust Fund Indefinite. This is not a federal position,Smithsonian Institution ,Per Year,2018-02-19,17-69,"Cambridge, Massachusetts",2017-09-22,IT Specialist (Applications Software),"For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below.1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.AND Candidates for grade 11 must possess minimum of one year of specialized experience equivalent to at least the grade 9 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as knowledge of Python, C/C++, Java and Unix based operating systems; knowledge of and the ability to configure distributed version control systems (e.g., Git, Conda, Clearcase); knowledge of and the ability to utilize modern programming practices and standards (e.g., UML, Design patterns); knowledge and ability to utilize package management and support tools (e.g., Atlassian products such as Jira, Confluence); knowledge of web and cloud enabled technologies. Candidates for grade 12 must possess a minimum of one year of specialized experience equivalent to at least the grade 11 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; knowledge and proficient ability to configure distributed version control systems; knowledge and proficient ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure. Candidates for grade 13 must possess a minimum of one year of specialized experience equivalent to at least the grade 12 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; proficient knowledge and ability to configure distributed version control systems; proficient knowledge and ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure; knowledge of web and cloud enabled technologies. OREducation:All academic degrees and coursework must be from accredited or pre-accredited institutions. Undergraduate or Graduate Education: Degree in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks. Grade 11: Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree.",https://www.usajobs.gov:443/GetJob/ViewDetails/480245700
2018-01-05,Department of the Navy,GS,"The selectee for this position will serve as an IT Specialist (APPSW/SYSANALYSIS) in the Operations Department, Fleet Numerical Meteororology and Oceanography Center in Monterey, California.",112665.0000,72303.0000,Permanent,"U.S. Atlantic Fleet, Commander in Chief",Per Year,2018-01-05,DE-10098730-18-LL,"Monterey, California",2017-12-19,IT SPECIALIST (APPSW/SYSANALYSIS),"EXPERIENCE: Individuals must have IT-related experience demonstrating each of the four competencies listed below: Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.
Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. AND SPECIALIZED EXPERIENCE: In order to qualify for this position, your resume must demonstrate at least one year of specialized experience at or equivalent to the next lower grade level or pay band in the federal service or equivalent experience in the private or public sector. Specialized experience is defined as experience that is typically in or related to the work of the position to be filled and has equipped you with the particular competencies/knowledge, skills, and abilities, to successfully perform the duties of the position and is typically in or related to the work of the position to be filled. Such experience is typically gained in the IT field or through the performance of work where the primary concern is IT performing duties such as: FOR GS-11 (one year of specialized experience equivalent to GS-09): Assisting with software configuration management, quality assurance, and IT systems as they relate to software engineering technology. Applying systems analysis and operations on Linux operating systems. Advanced programming in one or more of the following languages: the Unix (bash or korn) shell command language, Java, Python, PERL, Fortran 9X, Interactive Data Language (IDL), ANSI C or C++. FOR GS-12 (one year of specialized experience equivalent to GS-11): Applying the principles, practices and standards of software configuration management, quality assurance, and IT systems as they relate to software engineering technology. Interacting with Linux operating systems and developing complex shell scripts. Extensive programming in one or more of the following languages: the Unix (bash or korn) shell command language, Java, Python, PERL, Fortran 9X, Interactive Data Language (IDL), ANSI C or C++. SUBSTITUTION OF EDUCATION FOR EXPERIENCE: Applicants may substitute the following education for the required experience, provided it demonstrates the knowledge, skills and abilities necessary to do the work of the position: GS-11: Ph.D. or equivalent doctoral degree; OR 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree with a major study in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks. GS-12: There is no substitution of education for experience at the GS-12 grade level. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/ Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.",https://www.usajobs.gov:443/GetJob/ViewDetails/487028100
2017-12-31,Department of the Army,NA,"The Area of Consideration for this vacancy announcement is US Citizens and Non-Citizens eligible for employment under US conditions affiliated to Hohenfels. (Military Spouse Preference (MSP), Involuntarily Separated Military Preference (ISMP) and Family Member Preference eligible candidates are included in the area of consideration.) This vacancy will be used to fill positions located at the Bowling Center and Java Cafe in Hohenfels Germany. The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force.",11.7200,10.0400,Multiple Appointment Types,Army Installation Management Command,Per Hour,2017-12-31,EUNAFJJ1710012960SR,"Hohenfels, Germany",2017-06-28,"Food and Beverage Attendant, NA-03",1. Ability to follow oral and written instructions in English and possess basic math skills.,https://www.usajobs.gov:443/GetJob/ViewDetails/473208500
2018-01-08,Department of Defense,GS,"As the world&#39;s largest finance and accounting firm, the Defense Finance and Accounting Service (DFAS) pays all Department of Defense (DoD) military and civilian personnel, retirees and annuitants, and major DoD contractors and vendors. We take great pride in serving the men and women who serve America, and invite goal-oriented people like you to challenge yourself while providing a service to our nation. Employment with DFAS means access to generous benefits such as: health, vision, and dental insurance, retirement benefits, paid time off, and educational benefits. DFAS is using the Direct Hire Authority (DHA) for DOD Cyber Workforce Positions to recruit and appoint individuals to positions that meet the definition of ""cyber workforce"" (also known as ""cyberspace workforce"") as defined in DoDD 8140.01, ""Cyberspace Workforce Management,"" and must be anticipated to become part of the cyber excepted service. Positions in the cyber excepted service are positions necessary to carry out the responsibilities of the United States Cyber Command. Vacancy Information: Position is located in DFAS - I&amp;T Directorate; Accounting Services; Working Capital, Other Working Capital, Cleveland, OH.
This job announcement may be used to fill similar vacancies on different teams within the DFAS I&amp;T Directorate. Who may apply: United States Citizens",97613.0000,75085.0000,Permanent,Defense Finance and Accounting Service,Per Year,2018-01-08,D-DFAS-DHA-10096342-18,"Cleveland, Ohio",2017-12-22,IT Specialist (APPSW),"Resumes for federal government positions need more detailed work descriptions and accomplishments than a typical private sector resume. Please be sure to clearly describe the full scope of your work experiences in your resume. Basic Requirement: Applicants must have IT-related experience demonstrating the following competencies appropriate to, or above, the level of this position. Your resume and work experience should clearly support your ability to meet these competencies and will be evaluated as part of the entire application process.
Attention to Detail- experience reviewing my own information technology-related work or data and have been asked by others to review their work or data to ensure accuracy, completeness, and consistency with standards
Customer Service- experience maintaining relationships with customers, assessing current information technology needs of customers, and developing or identifying information technology products and services that are tailored to meet customer needs
Oral Communication- briefing mid-level management and IT staff on the status of information technology systems, projects, or daily operations, including the communication of technical information to a non-technical audience
Problem Solving- identifying alternatives to address complex information technology-related issues by gathering and applying information from a variety of sources that provide a number of potential solutions In addition to the Basic Competency Requirements listed above, one year of specialized experience equivalent in level of difficulty and responsibility to that of the next lower grade GS-11 in the federal service, which demonstrates the ability to perform the duties of the position, is required. Specialized experience is defined as experience performing life cycle management of programs using either MicroFocus COBOL, OR Java, OR web development (which must include HTML, and Javascript); developing software in a UNIX operating system. Volunteer Experience: Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487382500
2017-12-27,Department of the Army,NF,"The Area of Consideration for this vacancy announcement is U.S. and Non U.S. Citizens. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force. This position is with the Directorate of Family, Morale, Welfare, and Recreation; Business Operations Division; located at Various locations within Java Cafe. Flexible positions will normally be scheduled 0-40 hours per week dependent upon the needs of the organization. There is no guaranteed number of hours for flexible positions. Schedule will include nights, weekends, and holidays. This position is a Flexible position and there are no benefit entitlements",9.2600,7.2500,Permanent,Army Installation Management Command,Per Hour,2017-12-27,SCNAFEA1710054928,"Fort Benning, Georgia",2017-09-26,"Sales Clerk, NF-01",Knowledge of basic math.,https://www.usajobs.gov:443/GetJob/ViewDetails/480420400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",112306.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180151,"Arnold, Missouri|Saint Louis, Missouri",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180152,"Springfield, Virginia",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494300
