ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-04,Department of the Navy,GS,"The Navy&#39;s Office of the General Counsel (OGC) has over 140 locations around the world. To view Department of the Navy&#39;s Office of the General Counsel (OGC) current attorney vacancies please go to the OGC website at: http://www.secnav.navy.mil/OGC/Lists/Vacancies2/Front.aspx. Please note that the OGC website lists all available attorney positions. All questions regarding vacancy announcements should be directed to the point of contact listed for the specific vacancy. OGC consists of approximately 750 civilian attorneys, 25 uniformed Navy JAGs and Marine Corps Judge Advocates, and over 200 support staff located in 140 offices throughout the United States and overseas. These positions range from GS-11 to GS-15. Approximately 300 civilian attorneys are located in Washington D.C.. The Office of the General Counsel of the Navy provides legal advice to the Secretary of the Navy, the Under Secretary of the Navy, the Assistant Secretaries of the Navy and their staffs, and the multiple components of the Department, to include the Navy and the Marine Corps, in the obligation of an annual budget of over $160 billion and the management of over 900,000 service members and civilians. . Civilian Navy OGC attorneys help clients address legal concerns in virtually every area of the law related to business, including government contracts, public employment ethics, environmental concerns, personal and real property law, personnel law, fiscal issues, intellectual property law, litigation, legislation, cyber and intelligence law.",160300.0000,64650.0000,Multiple Appointment Types,Secretary of the Navy/Assistant for Administration (DON/AA),Per Year,2018-01-04,DON0905-LTA,"Washington Navy Yard, District of Columbia",2017-01-05,Attorney,"The Office of Personnel Management (OPM) has not issued qualification standards for attorney positions. However, OGC sets minimum qualifications for attorney positions and sets forth these qualifications in each vacancy announcement. The successful candidate: Must be a U.S. citizen Graduated with a J.D. or LL.B from a law school accredited by the American Bar Association An active member in good standing of the bar of the highest court of a State, U.S. Commonwealth, U.S. territory, or the District of Columbia Admitted to practice before a state or federal court Must obtain and maintain a Secret security clearance Patent Attorneys must be members of the U.S. Patent and Trademark Organization A secret or top secret security clearance is a requirement of a position with OGC. Failure to obtain and maintain the required level of clearance may result in the withdrawal of a position offer or removal. If you possess a security clearance, please indicate the level and termination date in your resume.",https://www.usajobs.gov:443/GetJob/ViewDetails/434612600
2017-12-29,Department of Justice,GS,"TOUGH WORK. VITAL MISSION. Challenge yourself! You have the power to help combat drug trafficking. Be a part of DEA! It&#39;s tough work, but a vital mission. Whatever your background or expertise, your work at DEA will be tremendously rewarding because it will have a daily impact on national security and the quality of life of all Americans. Do your career ""Justice"" by working with DOJ, which has been ranked in the Top 10 Best Places to Work in the Federal Government. Come and join the nation&#39;s law enforcement agency, where our most important resource is our people. The Department leads the nation in ensuring the protection of all Americans while preserving their constitutional freedoms. Become a member of a team where you can achieve your career goals and apply your skills and talents to our important mission. All applicants for employment with DEA must possess and maintain the highest levels of character and conduct. DEA will evaluate applicants&#39; qualifications based on these qualities. Once a conditional offer is made, DEA will conduct a continuous evaluation of information, as it is obtained, to ensure that the prospective employees with DEA meet the agency-specific qualifications in the areas of character and conduct. To this end, an unfavorable decision in any of the areas that follow will be deemed as disqualifying: Drug Policy Requirements (as specified in this announcement), Credit History, Candor and Honesty, Work History, History with the Law, and other qualities that would detract from the integrity and efficiency of the DEA. Department of Justice (DOJ) agencies post experienced attorney job announcements on the DOJ Careers page. Please visit https://www.justice.gov/legal-careers/job/general-attorney-75 on this specific vacancy announcement. The DOJ typically hires hundreds of attorneys each year. WHO MAY BE CONSIDERED: All groups of qualified individuals.",155073.0000,119285.0000,Permanent,Drug Enforcement Administration,Per Year,2017-12-29,H-CC-18-10087615-DE-TNY,"Orlando, Florida",2017-11-24,General Attorney,"Please review the information listed in the vacancy announcement https://www.justice.gov/legal-careers/job/general-attorney-75 TECHNICAL QUALIFICATIONS:
Please review the information listed in the vacancy announcement at https://www.justice.gov/legal-careers/job/general-attorney-75",https://www.usajobs.gov:443/GetJob/ViewDetails/485171300
2017-12-27,Department of Justice,GS,"The Criminal Division of the U.S. Department of Justice is seeking experienced attorneys to fill two (2) Trial Attorney positions in the Division&#39;s Appellate Section in Washington, D.C. The Appellate Section plays a crucial role in defending the integrity and constitutionality of the Department&#39;s investigations and prosecutions. Attorneys in the Appellate Section write briefs and argue cases in the courts of appeals; prepare draft briefs and certiorari petitions for the Solicitor General (SG) for filing in the U.S. Supreme Court; make recommendations to the SG regarding whether further review is warranted when adverse decisions have been rendered in the district courts and courts of appeals; and brief and argue motions in district courts in cases of national importance.",161900.0000,94796.0000,Permanent,"Offices, Boards and Divisions",Per Year,2017-12-27,18-CRM-APP-005,"Washington DC, District of Columbia",2017-12-13,Trial Attorney,"Required Qualifications: Interested applicants must possess a J.D. degree, be duly licensed and authorized to practice as an attorney under the laws of any State, territory of the United States, or the District of Columbia, and be an active member of the bar in good standing. Grade Specific Qualifications: To qualify at the GS-13 grade level, applicants must have at least one and a half (1.5) years post J.D. legal experience, one of which was specialized experience at, or equivalent to, the GS-12 grade level. Examples of specialized experience include: preparing pleadings, briefs, motions, and other legal documents related to civil or criminal litigation. To qualify at the GS-14 grade level, applicants must have at least two and a half (2.5) years post J.D. legal experience, one of which was specialized experience at, or equivalent to, the GS-13 grade level. Examples of specialized experience include: preparing pleadings, briefs, motions, affidavits, and other materials involving legal issues in civil or criminal litigation; conducting civil or criminal litigation (including appeals); analyzing cases for legal sufficiency; and providing expert legal advice and consultation. To qualify at the GS-15 grade level, applicants must have at least four (4) years post J.D. legal experience, one of which was specialized experience at, or equivalent to, the GS-14 grade level. Examples of specialized experience include: preparing court papers and materials, presentations, and other written material involving or addressing unique or difficult legal issues in civil or criminal litigation; conducting complex civil or criminal litigation (including appeals); analyzing cases for legal sufficiency; and providing expert, specialized advice and consultation. Preferred Qualifications: Your qualifications will be further evaluated based upon the following competencies: Ability to communicate clearly through well-organized and accurately written documents. Ability to perform cogent and correct legal analysis on a variety of complex substantive issues. Ability to provide legal advice to others. Ability to manage a heavy legal case load. Ability to argue persuasively in court.",https://www.usajobs.gov:443/GetJob/ViewDetails/486597700
2018-01-04,Department of the Army,GS,"Serves as an Administrative Law attorney responsible for preparing legal opinions on questions of law pertaining to the operation of a military installation. Serves as an Ethics Attorney responsible for initiating, recommending and executing a Standards of Conduct Program. Serves as an Operational Law Attorney providing domestic operational law advice. Serves as a Labor Attorney which includes representing Department of the Army as a Trial Attorney before arbitrators, investigators, and administrative judges from various agencies. About the Position: Serves as an attorney-advisor for the Joint Forces Headquarters, National Capital Region (JFHQ-NCR) and US Army Military District of Washington (MDW), Office of the Staff Judge Advocate, Fort McNair, Washington, DC. Who May Apply: US Citizens",123234.0000,94796.0000,Permanent,U.S. Army Military District of Washington,Per Year,2018-01-04,NCAS174652149946,"Washington DC, District of Columbia",2017-12-06,Attorney-Adviser (General),"Applicants will be evaluated to determine if they meet the minimum qualification requirements and on the extent to which their application shows possession of the following knowledge, skills, and abilities (KSAs) associated with the position. (1) Knowledge and experience in complex military administrative law issues (include any experience in the following: law and regulations affecting the operation of an installation, ethics, labor law, contract law, FOIA, Privacy Act, Joint Federal Travel Regulation). (2) Skill in advising senior officials on legal matters. (3) Skill in written and oral communication. (4) Skill in identifying legal issues and conducting the relevant legal research. (5) Ability to craft creative solutions to complex and novel legal problems. NOTICE OF VETERAN&#39;S PREFERENCE: There is no formal rating system for applying veteran&#39;s preference to attorney appointments in the excepted service; however, the Department of the Army considers veteran&#39;s preference eligibility a positive factor for attorney hiring. Applicants eligible for veteran&#39;s preference must include that information in their cover letter or resume and attach supporting documents (e.g., DD Form 214, Certificate of Release or Discharge from Active duty) to their submissions. Although the point-preference system is not used, applicants eligible to claim a 10-point preference must submit a Standard Form (SF) 15, Application for 10-Point Veteran Preference, and supporting documentation required for the specific type of preference claimed. (SF 15, which lists the types of 10-point preference and the required supporting documents, is available from the Office of Personnel Management Website at http://www.opm.gov/). TIME IN GRADE REQUIREMENTS: If currently employed as an attorney by the Federal Government must have completed 1 year at the next lower level within 30 days of the closing date of the announcement, or previously served at the same or higher grade as the position being filled.",https://www.usajobs.gov:443/GetJob/ViewDetails/485473500
2018-06-08,Department of Homeland Security,GS,"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Building on a Tradition of Excellence and Meeting the Challenges of the Future The Secret Service is a premier law enforcement organization with two critical national security missions: protect our nation's leaders and to conduct criminal investigations. Our team members continue a tradition of excellence - whether investigating financial crime or protecting national and visiting foreign leaders. In the Secret Service, we serve the country with duty, loyalty, justice, integrity and courage. In the Secret Service, we:Protect the President, the Vice President, and other leaders; investigate threats against them; and safeguard their residences and other facilitiesPlan and implement security designs for National Special Security EventsInvestigate financial crimes including fraud, identity theft and computer-based attacks on banking or telecommunications infrastructureJoining the United States Secret Service, Office of the Chief Counsel will allow you to provide legal opinions, advice, and representation to and on behalf of the Secret Service and its protective, investigative and administrative programs and activities. Apply for this exciting opportunity to impact the agency&#8217;s mission through your legal advice, counsel and representation. This Attorney-Advisor position starts at a salary of $66,510 (GS-11 step 1), with promotion potential to $145,629 (GS-14 step 10). For more information on the Secret Service click here.Applying to this announcement certifies that you give permission for DHS to share your application with others in DHS for similar positions.",145629.0,66510.0,Permanent,U.S. Secret Service,Per Year,2018-06-08,LEG-JD191-17-EX,"Washington DC, District of Columbia",2017-06-08,Attorney - Advisor,"Applicants must be a graduate of a law school accredited by the American Bar Association; and an active member in good standing of the bar of a state, territory of the United States, the District of Columbia or the Commonwealth of Puerto Rico.Applicant must have experience as a practicing attorney or as a judicial law clerk which was obtained after graduation from law school.National Service Experience (i.e., volunteer experience) Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.Qualifications Must Be Met: The qualification requirements listed above must be met by the closing date of this announcement.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/471536700
2017-12-29,Judicial Branch,CL,"The Legal Division of the Office of the Clerk, U.S. Court of Appeals for the D.C. Circuit, has an opening for a highly qualified attorney to serve as a staff attorney to the full court. The position is available starting immediately. More than one position may be filled from this announcement. The position is for a two-year term and is full-time.",145652.0000,53210.0000,Excepted,U.S. Courts,Per Year,2017-12-29,USCA1708,"Washington DC, District of Columbia",2017-10-31,Staff Attorney,"The caseload of the D.C. Circuit involves virtually every area of federal law, and is unique in the number of cases filed against the executive branch. Because staff attorneys must be able to advise the judges on difficult, varied, and important legal issues, the court is highly selective in its hiring. The court is looking for individuals who have demonstrated the ability to research and analyze complex legal issues in depth and to express themselves clearly, both orally and in writing. At a minimum, applicants must possess a J.D. degree. A judicial clerkship or internship, law review membership, or comparable legal research and writing experience is desirable. Litigation experience is advantageous. Prior experience with habeas corpus petitions and other types of post-conviction relief is also advantageous. Graduation in the top 25% of your law school class is preferred. To qualify for the CL 28 level or above, you must be a member of the bar of a state or the District of Columbia, and have at least one year of relevant experience after graduation from law school. Because the D.C. Circuit entertains a large number of high-profile and sealed cases, staff attorneys are subject to strict confidentiality requirements. In addition, your continued employment is contingent upon the satisfactory completion of a background records check. A full background investigation for a security clearance may be required.",https://www.usajobs.gov:443/GetJob/ViewDetails/483312000
2018-01-09,Department of the Army,GS,"The incumbent works directly with U.S. Army Claims Service (USARCS) regarding pending claims issues and works independently with representatives of U.S. Army Litigation Division and the U.S. Attorney on matters in litigation. The incumbent also directs the provision of claims services to individual soldiers, their families, and other eligible personnel within the designated geographic region (Fort Myer, Ft. McNair, Pentagon, various DA agencies, NGB, OCAR; the following counties in Virginia: Arlington, Alexandria and Fairfax). About the Position:
The encumbent serves as an Attorney-Adviser (General) at the Department of the Army, Military District of Washington, Office of The Judge Advocate General, Fort McNair, Washington, DC. Who May Apply: US Citizens",123234.0000,94796.0000,Permanent,U.S. Army Military District of Washington,Per Year,2018-01-09,NCAS174704460781,"Fort Myer, Virginia",2017-12-11,Attorney-Adviser (General),"Applicants will be evaluated to determine if they meet the minimum qualification requirements and on the extent to which their application shows possession of the following knowledge, skills, and abilities (KSAs) associated with the position. 1) Knowledge of the various titles of law applicable to affirmative, tort, and personnel claims; Federal and State laws governing or impacting family law (divorce, wills, probate, child custody), the pro se program, and significant national and local developments in the field of family law. 2) Knowledge of legal reference sources in legal manuals, reference systems, directives, issuances, precedent decisions, court decisions, and commercial legal publications sufficient to perform extensive and thorough legal research into the client&#39;s legal problem to achieve a timely resolution. 3) Knowledge of laws, statutes, regulations, orders, mandatory court forms, and the mandatory structure of pleadings and other documents addressed to family law courts, tax authorities, and Federal courts in order to prepare and assist clients in the filing of court documents, as necessary in legal assistance cases and tort claims cases requiring litigation reports. 4) Skill in adapting analytical techniques and evaluation criteria to the measurement and improvement of program effectiveness and/or organizational productivity for the Legal Assistance Office. 5) Ability to use sound judgment and logic to analyze complex issues and determine appropriate courses of action for both legal assistance and claims to include investigation, collection of factual documentation, and conducting legal research. NOTICE OF VETERAN&#39;S PREFERENCE: There is no formal rating system for applying veteran&#39;s preference to attorney appointments in the excepted service; however, the Department of the Army considers veteran&#39;s preference eligibility a positive factor for attorney hiring. Applicants eligible for veteran&#39;s preference must include that information in their cover letter or resume and attach supporting documents (e.g., DD Form 214, Certificate of Release or Discharge from Active duty) to their submissions. Although the point-preference system is not used, applicants eligible to claim a 10-point preference must submit a Standard Form (SF) 15, Application for 10-Point Veteran Preference, and supporting documentation required for the specific type of preference claimed. (SF 15, which lists the types of 10-point preference and the required supporting documents, is available from the Office of Personnel Management Website at http://www.opm.gov/). TIME IN GRADE REQUIREMENTS: If currently employed as an attorney by the Federal Government must have completed 1 year at the next lower level within 30 days of the closing date of the announcement, or previously served at the same or higher grade as the position being filled.",https://www.usajobs.gov:443/GetJob/ViewDetails/485647700
2018-01-09,Department of Transportation,FV,"Incumbent will serve as an Attorney-Advisor responsible for providing advice and counsel concerning the Administrative Procedure Act and the National Environmental Policy Act (NEPA).Business Component: Office of the Chief Counsel, Deputy Chief Counsel, Airports &amp; Environmental Law Division, Environmental Law Branch (AGC-620)",156572.0,100996.0,Temporary NTE - 2-5 years,Federal Aviation Administration,Per Year,2018-01-09,AWA-AGC-18-0001JH-55697,"New York, New York",2017-12-22,Attorney-Advisor,"To qualify for this position, ALL applicants MUST meet the following criteria:(1) have a JD Degree from an accredited law school;(2) be admitted to practice before the bar of any U.S. jurisdiction or within the District of Columbia;(3) be an active member of that bar; AND(4) demonstrate at least 52 weeks of specialized experience in the work to be performed at the next lower level for this job series. Specialized experience is defined as that which has equipped the applicant with the particular knowledge, skills, and abilities required to successfully perform the duties of the position, and is typically in or directly related to the line of work of the position to be filled.To qualify at the FV-J pay band level, applicants must demonstrate at least one year (or 52 weeks) of SPECIALIZED experience equivalent to the next lower grade/pay band (FG/GS-13/FV-I) in the Federal Government or non-Federal equivalent.SPECIALIZED EXPERIENCE is defined as:experience addressing significantly complex and difficult legal and factual issues for which there are limited precedents, and which require balancing conflicting or competing interests;experience performing assignments that involve providing leadership to others, authoritative legal expertise on environmental and/or airport legal matters, developing critical agency positions, and providing guidance on critical legal issues to senior agency officials or equivalent;applying considerable experience in the environmental and/or airport area, and advanced directly-relevant legal knowledge to assignments such that work is considered authoritative; andindependently managing caseload to complete activities within established schedules, analyze program requirements and accomplishments, and make or direct adjustments needed to address organizational needs.You should include relevant examples of the specialized experience in your work history. Errors or omissions may impact your rating or may result in you not being considered.Answer all questions to the best of your ability. DO NOT ASSUME THAT BECAUSE YOU HOLD, OR HAVE HELD THIS POSITION, YOU WILL AUTOMATICALLY BE FOUND ELIGIBLE. You may be asked to provide evidence or documentation that you have this type of experience later in the selection process. Your responses are subject to verification through job interviews, or any other information obtained during the application process. Any exaggeration of your experience or any attempt to conceal information can result in disqualification.*Applicants who fail to demonstrate possession of any of the above criteria AND who do not provide the required documentation will receive no further consideration for this position.*Applicants may be asked to verify information on your application for employment with the FAA.**All qualification requirements must be met by the closing date of this vacancy announcement.**",https://www.usajobs.gov:443/GetJob/ViewDetails/487350000
2018-01-15,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
This position is being filled on a permanent basis.
This position is located in the US Army Sustainment Command, -Office of Counsel Army Materiel Command Legal Center - Rock Island Arsenal, located at Rock Island Arsenal, Rock Island, Illinois. This position provides the employee with full benefits, vacation and sick leave, and a flex-time work schedule. Army employees at the Rock Island Arsenal enjoy other privileges such as use of the fitness center, golf driving, outdoor recreation rentals, storage units, child care center, Arsenal food court, Arsenal Club/catering, employee assistance program, recycle program, RIA Museum, thrift shop, discounted tickets for some community events, National Historical Landmark Park/Pavilion rentals. Who May Apply: US Citizens",132406.0000,101850.0000,Permanent,U.S. Army Sustainment Command,Per Year,2018-01-15,NCBG174524794727,"Rock Island, Illinois",2017-12-15,Patent Attorney,"In order to qualify, you must meet the education and experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Specialized experience is defined as: Experience in most of the following: contract law, fiscal law, general law, patent law, and intellectual property law. A highly qualified candidate would have experience in contracting related matters involving data rights and patent rights under regulations in the Federal Acquisition Regulation and Defense Federal Regulation Supplement in the public or private sector. Candidate lacking government contracting related experience will be considered as well, but preference will be given to candidates with substantial experience in intellectual property related transactional and dispute resolution matters such as IP licensing, due diligence in mergers and acquisitions, infringement litigation and settlement. To be considered ensure all required documents are submitted in accordance with the guidelines set forth in the Required Documents section. Education: Successful completion of a full course of study in school or law accredited by the American Bar Association (ABA) and have the first professional law degree (LLB or JD). You must provide transcripts. Bar Membership: Current member in good standing of the bar of a state, territory of the United States, District of Columbia, or Commonwealth of Puerto Rico. You must provide documentation. Patent Bar Registration: Applicants must be registered as a Patent Attorney at the U.S. Patent and Trademark Office. Experience: Applicants must have three or more years of professional law experience, acquired after being admitted to the Patent Bar, commensurate with the duties and responsibilities of the position. Time in Grade Requirement: If currently employed as an Attorney by the Federal Government, to be eligible for promotion, you must have completed 52 weeks time in grade at the next lower grade level (GS-13) or previously served at the same or higher grade as the position to be filled. Veteran&#39;s Preference Information: There is no formal rating system for applying veteran&#39;s preference to attorney appointments in the excepted service; however, the Department of the Army considers veteran&#39;s preference eligibility a positive factor for attorney hiring. Applicants eligible for veteran&#39;s preference must include that information in their cover letter or resume and attach supporting documents (e.g., DD Form 214, Certificate of Release or Discharge from Active duty) to their submissions. Although the point-preference system is not used, applicants eligible to claim a 10-point preference must submit a Standard Form (SF) 15, Application for 10-Point Veteran Preference, and supporting documentation required for the specific type of preference claimed. (SF 15, which lists the types of 10-point preference and the required supporting documents, is available from the Office of Personnel Management Website at http://www.opm.gov/ .)",https://www.usajobs.gov:443/GetJob/ViewDetails/486686700
2018-01-25,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
Serves as a Attorney-Adviser (General) in the Office of the Staff Judge Advocate, United States Army Installation Management, Fort Bragg, North Carolina. Who May Apply: US Citizens",115399.0000,88770.0000,Permanent,Army Installation Management Command,Per Year,2018-01-25,SCDN174413179652,"Fort Bragg, North Carolina",2017-12-22,Attorney-Adviser (General),"Applicants will be evaluated to determine if they meet the qualification requirements and the extent to which their application shows possession of the following knowledge, skills and abilities (KSAs) with the position. Knowledge, Skills, and Abilities (KSAs): Knowledge of Administrative and Civil Law Procedures Ability to Effectively Advise Senior Officials on Civilian and Military Legal Issues Ability to Conduct In-depth Legal Research Knowledge of Legal Regulations, Policies, and Procedures Ability to Communicate Orally and in Writing NOTICE TO VETERANS PREFERENCE: There is no formal rating system for applying veteran&#39;s preference to Attorney appointments in the Excepted Service; however, the Department of the Army considers veteran&#39;s preference eligibility a positive factor for Attorney hiring. Applicants eligible for veteran&#39;s preference must include that information in their cover letter or resume and attach supporting documents (e.g., DD Form 214, Certificate of Release or Discharge from Active duty) to their submissions. Although the point-preference system is not used, applicants eligible to claim a 10-point preference must submit a Standard Form (SF) 15, Application for 10-Point Veteran Preference, and supporting documentation required for the specific type of preference claimed. (SF 15, which lists the types of 10-point preference and the required supporting documents, is available from the Office of Personnel Management Website at http://www.opm.gov/ ) Time in Grade Requirements: Applicants currently employed as an Attorney by the Federal government must have completed one year of time-in-grade at the next lower grade level (GS-12) or the equivalent within 30 days of the closing date of the announcement, or previously served at the same or higher grade as the position being filled.",https://www.usajobs.gov:443/GetJob/ViewDetails/486634500
