ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-03,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION.
This position is for a Logistics Management Specialist, Position Description Number D1232P01 located in the Deputy Chief of Staff for Logistics (G4), Sustainment Automation Support Management Office (SASMO) at DOL-Marietta, GA. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",82106.0000,63161.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-03,GA-10099572-AR-18-075,"Marietta, Georgia",2017-12-13,LOGISTICS MANAGEMENT SPECIALIST,"GENERAL EXPERIENCE: Experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 36 months experience, education, or training identifying activities involving logistical support operations. Experience integrating the actions of a variety of specialized support activities in order to develop a comprehensive logistics plan. Experience monitoring such functions as program planning, resource and fiscal management, training, manpower management, and/or automated data processing to meet the logistics plan. Experience identifying delays or problems and developing corrective actions. Experience working with people from various levels and backgrounds to elicit their cooperation to perform specific tasks, and complying with regulations, laws, or practices. Experience in managing the function of the work to be performed. Experience which includes leading, directing and assigning work of personnel.",https://www.usajobs.gov:443/GetJob/ViewDetails/486624000
2018-01-04,Department of the Air Force,GS,"PUERTO RICO NATIONAL GUARD
AIR TECHNICIAN VACANCY ANNOUNCEMENT Duty Location: 156th Airlift Wing Logistics Readiness Squadron, Mu&#241;iz ANGB, Carolina, PR IMPORTANT INFORMATION:
This position require military membership in the Puerto Rico Air National Guard (PRANG). If you are not a military member of the PRANG (i.e. member of the PR Army NG, civilian, active duty Airman, prior service, Airman member from another state, reservist, IRR, State Guard, etc.), you must contact the ANG Recruiting and Retention Superintendant (RRS) Office at (787) 529-2094 or (787) 529-6740 to request the PRANG Military Basic Requirements (MBR) Certification. Instructions to request such certification are available at https://www.pr.ngb.army.mil/hro. If the MBR certification is not submitted, your application will not be screened. AREA OF CONSIDERATION:
Area 1 = Permanent technicians Enlisted members currently employed in the Puerto Rico Air National Guard. Area 2 = Enlisted members of the Puerto Rico Air National Guard and personnel that meet all requirements to become an Airman in the Puerto Rico Air National Guard. (This position requires Air National Guard membership). First round consideration will be given to Area 1 Candidates. (Area 2 Candidates will be screened only in the event that there are no
qualified or recommended Area 1 Candidates). To prevent a grade inversion, military rank allowed for this position will be determined at the final evaluation of the vacancy announcement considering the military rank of the supervisor. Acceptance of any military technician position may cause the termination of entitlements and eligibility for all military bonuses and student loan repayments. For further information you must contact the appropriate military Education Office.",64697.0000,49765.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-04,PR-10095361-AF-18-27,"Carolina, Puerto Rico",2017-12-11,LOGISTICS MANAGEMENT SPECIALIST (D1964000),"You will lose consideration for the position if your application does not include all the information/documents requested on the vacancy announcement. The USAJOBS Resume must include a clear and detailed narrative description, in your own words, of how you met the required GENERAL and SPECIALIZED experience. Experiences copied from a position description, vacancy announcement or other reference material constitutes plagiarism and will disqualify you from the position. National Guard military (part-time) service is considered as full-time experience when evaluated against the qualification requirements. The applicant is credited with actual number of months the member has been in the National Guard provided such service is related to the position to be filled. National Guard military (part-time) service is considered as full-time experience when evaluated against the qualification requirements. GENERAL EXPERIENCE: Experience, training, and/or education which demonstrates judgement, analytical ability, and skill in dealing with others in person-to-person work relationships. SPECIALIZED EXPERIENCE: Applicant must possess more than TWENTY FOUR (24) months of specialized experience performing or supervising duties such as gathering information; assisting in developing, planning, organizing, and analyzing wing logistics plans; implementing policy programs and procedures utilizing automated/nonautomated systems; operating, monitoring and creating products related to Air Force Depoyment data movement information; working experience with the following automated systems: Integrated Deployment System (IDS), Deliberate and Crisis Action Planning and Execution Segments (DCAPES), Contingency Operations/Mobility Planning and Executive System (COMPES), Logistics Module-Base Level (LOGMOD-B), Automated Air Load Planning System (AALPS), and Cargo Movement Operations System (CMOS); monitoring, executing and supervising mobility exercises.",https://www.usajobs.gov:443/GetJob/ViewDetails/486144400
2018-01-02,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. Area of Consideration
AREA I: All dual status permanent excepted technicians in the Montana Air National Guard.
AREA II: All qualified members of the Montana Air National Guard to include temporary and indefinite employees, and any individual willing and eligible to join. Non Bargaining Unit
Selecting Official: Lt Col Gardner This National Guard position is for a Logistics Management Officer, Position Description Number D1404000, and is part of the Montana Air National Guard. (A copy of the Position Description (PD) can be obtained from HRO upon applicant&#39;s request.) The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",93821.0000,72168.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-02,MT-10102581-AF-18-016,"Great Falls, Montana",2017-12-19,Logistics Management Officer,"GENERAL EXPERIENCE: Must possess experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must possess at least 36 months experience, education, or training identifying activities involving logistical support operations. Experience integrating the actions of a variety of specialized support activities in order to develop a comprehensive logistics plan. Experience monitoring such functions as program planning, resource and fiscal management, training, manpower management, and/or automated data processing to meet the logistics plan. Experience identifying delays or problems and developing corrective actions. Experience working with people from various levels and backgrounds to elicit their cooperation to perform specific tasks, and complying with regulations, laws, or practices. Experience in managing the function of the work to be performed. Experience which includes leading, directing and assigning work of personnel.",https://www.usajobs.gov:443/GetJob/ViewDetails/486983000
2018-01-20,Department of the Air Force,GS,"***THIS IS A TITLE 32 NATIONAL GUARD TECHNICIAN POSITION*** This National Guard position is for a LOGISTICS MANAGEMENT SPECIALIST, Position Description Number D1957000 and is part of the OK 138th Fighter Wing, 138th Logistics Readiness Squadron, Oklahoma Air National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",64697.0000,49765.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-20,OK-10085792-AF-17-199,"Tulsa, Oklahoma",2017-12-20,LOGISTICS MANAGEMENT SPECIALIST,"GENERAL EXPERIENCE: Experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems SPECIALIZED EXPERIENCE: Must have at least 24 months experience involving detailed knowledge of organizations and their functions in logistical support (i.e., supply, maintenance, quality assurance, facilities). Experience integrating actions of a variety of specialized support activities in order to meet program goals. Experience interpreting and applying regulations, laws or practices. Experience planning and organizing work assignments. Knowledge of commonly used methods, procedures, Air Force (AF) and National Guard Bureau (NGB) regulations and guidance governing and relating to developing, presenting and managing mobility and training programs for the Logistics Readiness Squadron. Knowledge and skill in applying analytical and evaluative techniques to the identification, consideration, and resolution of program related issues and problems. Skill in defining problem areas and in application of conventional mobility management principles and concepts. Factual and thorough knowledge of the responsibilities of logistics plans and support functions that interrelate with the incumbent&#39;s assignment. Knowledge of methods and procedures to develop training and of the methods used to evaluate training effectiveness. Knowledge of AF and NGB regulations in all the various functions of supply such as materiel management, materiel storage and distribution, supply systems, and supply operations support. Knowledge of the work being performed in the various branches of supply and methods and techniques used to perform such work. Ability to communicate effectively and clearly, both verbally and in writing. Knowledge and understanding of Air Force, National Guard, and gaining command organizational structure, missions, and responsibilities.",https://www.usajobs.gov:443/GetJob/ViewDetails/487001400
2018-01-08,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a LOGISTICS MANAGEMENT SPECIALIST, Position Description Number D1963000 and is part of the 174TH ATKW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",78270.0000,60210.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-08,NY-10100658-AF-18-100,"Syracuse, New York",2017-12-22,LOGISTICS MANAGEMENT SPECIALIST,"GENERAL EXPERIENCE: Experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 36 months experience, education, or training identifying activities involving logistical support operations. Experience integrating the actions of a variety of specialized support activities in order to develop a comprehensive logistics plan. Experience monitoring such functions as program planning, resource and fiscal management, training, manpower management, and/or automated data processing to meet the logistics plan. Experience identifying delays or problems and developing corrective actions. Experience working with people from various levels and backgrounds to elicit their cooperation to perform specific tasks, and complying with regulations, laws, or practices.",https://www.usajobs.gov:443/GetJob/ViewDetails/487375700
2018-01-09,Department of the Army,GS,"This National Guard position is for a LOGISTICS MANAGEMENT SPECIALIST, Position Description Number D1233P01 in SPMD 1221 and is part of the MO Directorate of Logistics. WHO MAY APPLY: All qualified Missouri traditional guard members and those eligible for enlistment, appointment or transfer into the Missouri Army National Guard. APPOINTMENT FACTORS: This is a Permanent Excepted Service position. This is a bargaining unit position. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an Excepted Service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an Excepted Service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",64697.0000,49765.0000,Excepted Service Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-09,MO-10099953-AR-17-1258,"Jefferson City, Missouri",2017-12-13,LOGISTICS MANAGEMENT SPECIALIST,"GS-09 Specialized Experience: Must possess 24 months of specialized experience that provided you with detailed knowledge of logistics systems, principles, concepts and methodologies of program management with the ability to perform analytical assignments involving issues with program management and automated systems support for the Standard Army Management Information System (STAMIS). The specialized experience must also indicate your ability to install, configure and troubleshoot software loads and to troubleshoot and identify the cause of reported problems. General Experience: Must possess experience, education, or training involving judgment and/or analytical ability in the logistics field; and experience using computer and automation systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/486650100
2017-12-28,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a LOGISTICS MANAGEMENT OFFICER, Position Description Number D0975P01 and is part of the ID G4 SMM, Idaho Army National Guard. THIS IS A PERMANENT POSITION THIS POSITION IS ONLY OPEN TO CURRENT ONBOARD TECHNICIANS IN THE IDAHO ARMY NATIONAL GUARD The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",131833.0000,101409.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-28,ID-10100384-AR-18-046,"Boise, Idaho",2017-12-14,LOGISTICS MANAGEMENT OFFICER,"GENERAL EXPERIENCE: Work involves performing or supervising staff work in planning and coordinating logistical support activities to provide the money, manpower, material, facilities, and services needed to support a specified mission at the time and place they are needed. Experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 36 months experience, education, or training identifying activities involving logistical support operations. Experience integrating the actions of a variety of specialized support activities in order to develop a comprehensive logistics plan. Experience monitoring such functions as program planning, resource and fiscal management, training, manpower management, and/or automated data processing to meet the logistics plan. Experience identifying delays or problems and developing corrective actions. Experience working with people from various levels and backgrounds to elicit their cooperation to perform specific tasks, and complying with regulations, laws, or practices. Experience in managing the function of the work to be performed. Experience which includes leading, directing and assigning work of personnel.",https://www.usajobs.gov:443/GetJob/ViewDetails/486710100
2018-01-09,Department of the Army,GS,"This National Guard position is for a LOGISTICS MANAGEMENT SPECIALIST, Position Description Number D1232P01 in SPMD 1221 and is part of the MO Directorate of Logistics. WHO MAY APPLY: All qualified Missouri traditional guard members and those eligible for enlistment, appointment or transfer into the Missouri Army National Guard. APPOINTMENT FACTORS: This is a Permanent Excepted Service position. This is a non-bargaining unit position. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an Excepted Service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an Excepted Service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",78270.0000,60210.0000,Excepted Service Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-09,MO-10099958-AR-17-259,"Jefferson City, Missouri",2017-12-13,LOGISTICS MANAGEMENT SPECIALIST,"GS-11 Specialized Experience: Must possess 36 months of specialized experience that demonstrates an extensive knowledge of logistics systems, principles, concepts and methodologies of program management with the ability to perform analytical assignments involving issues with program management and automated systems support of the Standard Army Management Information System (STAMIS). The specialized experience must indicate the ability to interpret and explain overall supply regulations; and plan and correlate program functions as they relate to supply operations. Regulatory, administrative, or other work which demonstrates the independent performance of surveys and studies related to supply work. General Experience: Must possess experience, education, or training involving judgment and/or analytical ability in the logistics field; and experience using computer and automation systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/486650300
2018-01-04,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a LOGISTICS MANAGEMENT SPECIALIST, Position Description Number D1232P01 and is part of the MA ARNG DCSLOG, National Guard. This is a Bargaining Unit position. The unit point of contact and contact phone for this position is: MAJ Kimberly Porrazzo 339-202-3443 The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment.",86208.0000,66317.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-04,MA-10103871-AR-18-027,"Hanscom AFB, Massachusetts",2017-12-21,LOGISTICS MANAGEMENT SPECIALIST,"GENERAL EXPERIENCE: Must possess experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 36 months experience, education, or training identifying activities involving logistical support operations. Experience integrating the actions of a variety of specialized support activities in order to develop a comprehensive logistics plan. Experience monitoring such functions as program planning, resource and fiscal management, training, manpower management, and/or automated data processing to meet the logistics plan. Experience identifying delays or problems and developing corrective actions. Experience working with people from various levels and backgrounds to elicit their cooperation to perform specific tasks, and complying with regulations, laws, or practices. Experience in managing the function of the work to be performed. Experience which includes leading, directing and assigning work of personnel.",https://www.usajobs.gov:443/GetJob/ViewDetails/487236600
2018-01-12,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SUPERVISORY LOGISTICS MANAGEMENT SPECIALIST, Position Description Number D1899000 and is part of the PA United States Property and Fiscal Office, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. 1 or more Position(s) may be hired against this Announcement Position may lead to permanent assignment without further advertisement. Accessioning will not occur until the incumbent vacates the position. INDEFINITE: Currently employed permanent technicians retain their permanent status and will occupy this position as a Permanent Promotion or Reassignment. Indefinite employment status pertains to applicant nominated, who are not a currently employed permanent technician. Indefinite appointments may acquire permanent status depending upon future force structure requirements; indefinite appointments do not serve a trial period. Indefinite appointments may be separated when their services are no longer needed or when funding is no longer available via a 30-day termination notice.",112113.0000,86241.0000,Indefinite with Rollover,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-12,PA-10098662-AR-17-616,"Indiantown Gap, Pennsylvania",2017-12-15,SUPERVISORY LOGISTICS MANAGEMENT SPECIALIST,"GENERAL EXPERIENCE: Experience, education or training involving judgment and/or analytical ability in the logistics field. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Must have at least 36 months experience, education, or training identifying activities involving logistical support operations. Experience integrating the actions of a variety of specialized support activities in order to develop a comprehensive logistics plan. Experience monitoring such functions as program planning, resource and fiscal management, training, manpower management, and/or automated data processing to meet the logistics plan. Experience identifying delays or problems and developing corrective actions. Experience working with people from various levels and backgrounds to elicit their cooperation to perform specific tasks, and complying with regulations, laws, or practices. Experience in managing the function of the work to be performed. Experience which includes leading, directing and assigning work of personnel. KNOWLEDGE, SKILLS, AND COMPETENCIES: Applicants who meet the eligibility requirements will be further evaluated by the nominating supervisor based on the following competencies considered essential to perform the duties and responsibilities of the position. -Knowledge and ability to integrate the total logistics planning system of supply, maintenance, transportation, contracting, and operations. -Knowledge of the Joint Chief of Staff (JCS) operations planning process. -Knowledge of computer operations, software applications, and systems management. -Ability to utilize analytical and statistical methods and procedures including electronic data processing, operations and organizations, and fiscal management techniques; involved in the formulation of policies, procedures, and programs, facilities, personnel management, security, medical, administrative, comptroller, and legal activities. QUALITY OF EXPERIENCE: Length of time is not of itself qualifying. Candidates&#39; experience should be evaluated on the basis of duties performed rather than strictly on the rank of the individual; however, established compatibility criteria/assignments must be followed. The applicant&#39;s record of experience, training, and education must show possession of the knowledge, skills, and abilities needed to fully perform the duties of the position to be filled. SPECIAL NOTE: Per the Labor Relations Management Agreement if there are more than 15 qualified applicants for each position, by category, a KSA board will be convened in accordance with Section 17.8 of the LMRA. PCS STATEMENT: PERMANENT CHANGE OF STATION COSTS WILL NOT BE PAID FOR THIS POSITION.",https://www.usajobs.gov:443/GetJob/ViewDetails/486835300
