ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-02,Other Agencies and Independent Organizations,GS,"This position is a GS-0344-5 with a full performance level of a GS-07 and is part of NBIB Integrity Assur, Compliance, Inspection,Office of Personnel Management. If selected, you will be responsible for obtaining information needed to resolve issues relating to resolution of integrity related investigations, and maintaining effective records and databases. This position is also being announcement under the Agency&#39;s Merit Promotion Plan to federal employees and non-competitive appointment eligible. If you wish to be considered under Merit Promotion or Non-Competitive procedures, you MUST apply under the Merit Promotion announcement 18-055-SWA-MP.",47171.0000,36281.0000,Permanent,Office of Personnel Management,Per Year,2018-01-02,18-055-SWA-DE,"Fort Meade, Maryland",2017-12-18,Management Assistant,"For the GS 5: You must have at least one year of clerical or technical experience equivalent to the GS-4 level in the Federal government to include organizing information and preparing it for distribution; maintaining data base records (entering, searching for, retrieving, editing and deleting data); using administrative and information management systems; and using word processing, data base, and spreadsheet software to accomplish work. OR Successfully completed four years of post-high-school education.
OR
A combination of experience and education that meets the minimum qualification requirements. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486913400
2017-12-29,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The ideal candidate for this position will have a strong work ethic and ability to prioritize deliverables and follow through in a timely manner, along with excellent written and verbal communication skills and knowledge of emergency management directives, policies and procedures. This position starts at a salary of $79,720 (GS-12). Apply for this exciting opportunity to become a member of the Office of Response and Recovery, Field Operations Directorate, Workforce Management Division within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",103639.0,79720.0,Permanent,Federal Emergency Management Agency,Per Year,2017-12-29,FEMA-18-LB-189220-DE,"Round Hill, Virginia",2017-12-22,Emergency Management Specialist,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487415200
2017-12-26,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The ideal candidate for this position should have logistics management experience related to training, deployment operations, reconstitution of teams and the mobilization of equipment, vehicles and operational facilities. This position starts at a salary of $79,488 (GS-12). Apply for this exciting opportunity to become a member of the Region One team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",103337.0,79488.0,Permanent,Federal Emergency Management Agency,Per Year,2017-12-26,FEMA-18-JLS-179903-DE,"Maynard, Massachusetts",2017-12-11,Logistics Management Specialist,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486357700
2017-12-26,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The ideal candidate will have an understanding and experience in the administration of Federal grant programs and be familiar with relevant regulations. This position starts at a salary of $53,912 (GS-09) &amp; $65,228 (GS-11) with promotion potential to GS-12 ($101,641).Promotion Potential: Future promotions will be dependent on your ability to perform the duties at a higher level, the continuing need for an employee assigned to the higher level, and administrative approval.Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",84793.0,53912.0,Permanent,Federal Emergency Management Agency,Per Year,2017-12-26,FEMA-18-PH-190326-DE,"Lakewood, Colorado",2017-12-14,Grants Management Specialist,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486668200
2017-12-26,Department of Homeland Security,IC,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.In this position, the Emergency Management Specialist (Recovery) will assist and support survivors suffering injury or damages resulting from natural or man-made disasters. In addition, you will assist in executing emergency recovery program operations, and ensuring functional responsibilities are carried out under the authority of the Stafford Act, as amended. This position starts at a salary of $53,735 (IC-09).Apply for this exciting opportunity to become a member of the Region 10 team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. This is a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.",69859.0,53735.0,Temporary - Not to Exceed 2 Years,Federal Emergency Management Agency,Per Year,2017-12-26,FEMA-18-TDS-191691-CORE,"Bothell, Washington",2017-12-21,Emergency Management Specialist (Recovery),"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/487311000
2018-01-02,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.In this position you will manage and review projects in order to collect, analyze, and present data on mission requirements using a variety of sources. Salary for this position ranges from $60,210.00 (GS-11, Step 01) to $78,270.00 (GS-11, Step 10). Apply for this exciting opportunity to become a member of the National Training and Education Division team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",78270.0,60210.0,Permanent,Federal Emergency Management Agency,Per Year,2018-01-02,FEMA-18-AH-175953-DE,"Anniston, Alabama",2017-12-22,Management and Program Analyst,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487364700
2017-12-26,Department of Homeland Security,IC,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.In this position, the Emergency Management Specialist will perform emergency management work including managing, and coordinating with other entities the recovery efforts from intentional and/or unintentional crises, disasters, other humanitarian emergencies, hazards, or natural and manmade/technological incidents. This position starts at a salary of $60,367 (IC-11) and $72,356 (IC-12).Apply for this exciting opportunity to become a member of the Region 6 team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. This is a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.",94066.0,60367.0,Temporary - Not to Exceed 2 Years,Federal Emergency Management Agency,Per Year,2017-12-26,FEMA-18-TDS-195397-CORE,"Santa Fe, New Mexico",2017-12-18,Emergency Management Specialist,"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/486899400
2018-01-02,Department of Homeland Security,IC,"When disaster strikes, America looks to FEMA. Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. The Federal Emergency Management Agency (FEMA) prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The primary purpose of this position is to perform emergency management work including managing, and coordinating with other entities the mitigation from intentional and/or unintentional crises, disasters, other humanitarian emergencies, hazards, or natural and manmade/technological (chemical, biologocal, radiological, nuclear, high-yield explosives) incidents. The intended purpose of this position description is to serve as an Emergency Management Specialist performing mitigation program work involving risk analysis, risk reduction, and risk insurance.This position starts at a salary of $53,030 (IC-09), $58,399 (IC-11), or $76,903 (IC-12).Apply for this exciting opportunity to become a member of the Risk Analysis team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.This position is being announced under FEMA's Cadre of On-call Response/Recovery Employee (CORE) Program. This is a temporary appointment in the Excepted Service, not to exceed 2 years, with the option to extend based on workload and funding availability. Veterans Preference does not apply to the CORE selection process.",99977.0,53030.0,Temporary - Not to Exceed 2 Years,Federal Emergency Management Agency,Per Year,2018-01-02,FEMA-18-JS-196608-CORE,"Denton, Texas",2017-12-22,CORE Emergency Management Specialist (Mitigation),"The qualification requirements listed below must be met within 30 days of the closing date of the announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees: To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.",https://www.usajobs.gov:443/GetJob/ViewDetails/487363900
2017-12-29,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The ideal candidate will possess strong leadership skills and knowledge of access and functional needs. This position starts at a salary of $94,796 (GS-13). Apply for this exciting opportunity to become a member of the Office of the Disability, Integration and Coordination team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",123234.0,94796.0,Permanent,Federal Emergency Management Agency,Per Year,2017-12-29,FEMA-18-TC-195603-DE,"Washington DC, District of Columbia",2017-12-22,Supervisory Management and Program Analyst,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees:here To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487382300
2018-01-05,Department of Homeland Security,GS,"When disaster strikes, America looks to the Federal Emergency Management Agency (FEMA). Now FEMA looks to you. Join our team and use your talent to support Americans in their times of greatest need. FEMA prepares the nation for all hazards and manages Federal response and recovery efforts following any national incident. We foster innovation, reward performance and creativity, and provide challenges on a routine basis with a well-skilled, knowledgeable, high performance workforce. Please visit www.fema.gov for additional information.The ideal candidate will have experience developing and presenting complex analyses and will be a demonstrated team player with leadership and mentorship capabilities. This position starts at a salary of $112,021 (GS-14). Apply for this exciting opportunity to become a member of the Federal Insurance and Mitigation Administration team within FEMA.EMERGENCY ASSIGNMENT: Every FEMA employee has regular and recurring emergency management responsibilities, though not every position requires routine deployment to disaster sites. All positions are subject to recall around the clock for emergency management operations, which may require irregular work hours, work at locations other than the official duty station, and may include duties other than those specified in the employee's official position description. Travel requirements in support of emergency operations may be extensive in nature (weeks to months), with little advance notice, and may require employees to relocate to emergency sites with physically austere and operationally challenging conditions.",145629.0,112021.0,Permanent,Federal Emergency Management Agency,Per Year,2018-01-05,FEMA-18-TC-192241-DE,"Washington DC, District of Columbia",2017-12-21,Lead Management and Program Analyst,"The qualification requirements listed below must be met within 30 days of the closing date of this announcement.NOTE: Qualifications are based on breadth/level of experience. In addition to describing duties performed, applicants must provide the exact dates of each period of employment (from MM/YY to MM/YY) and the number of hours worked per week if part time. As qualification determinations cannot be made when resumes do not include the required information, failure to provide this information may result in disqualification. Applicants are encouraged to use the USAJOBS Resume Builder to develop their federal resume. For a brief video on How to Create a Federal Resume, click here.Current or former FEMA Reservists/DAE employees:here To accurately credit your experience for these intermittent positions, make sure to list the dates (from MM/YY to MM/YY) of each deployment, along with the job title and specific duties you were responsible for during each deployment. Failure to provide this information may result in disqualification.The Office of Personnel Management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487323900
