ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-05,Other Agencies and Independent Organizations,JS,"The District of Columbia Courts consists of the Court of Appeals, the Superior Court, and the Court System. DC Courts constitutes the Judicial Branch of the District of Columbia Government, and is separate and distinct from the Executive and Legislative Branches.The mission of the Office of Auditor-Master is to assist the judiciary and parties in actions filed in the D.C. Superior Court by expeditiously stating accounts for persons under the authority of the Court who have defaulted in their fiduciary responsibilities and by resolving controversies involving complex financial computations and transactions in the Civil, Probate, and Tax Division and Family Court. Under Orders of Reference, the Auditor-Master conducts evidentiary hearings at which testimony is taken under oath. Upon conclusion of all hearings, the Auditor-Master prepares and files with the Court a report, which includes findings of fact and conclusions of law.This position is open for the Winter/Spring semester starting late January 2018.",0.0,0.0,Per Semester: Minimum 12 hours per week,District of Columbia Courts,Without Compensation,2018-01-05,AM-2018-0001,"Washington DC, District of Columbia",2017-12-22,Auditor-Master Legal Internship (Unpaid),"U.S. Citizens or individuals lawfully admitted for permanent residency or authorized by Immigration and Naturalization Service to intern in the U.S. Applicant must be enrolled in a law school program. The student must be in good standing at his or her university with a GPA of 3.0 or better. The student must be able to commit to a minimum of 12 hours per week throughout the semester.Please note that authorization for the release of your adult criminal record revealing any convictions and forfeitures, and any criminal cases currently pending before the courts are required. If you are selected for the position, a criminal history records check will be conducted.",https://www.usajobs.gov:443/GetJob/ViewDetails/487418400
2018-01-17,Department of the Air Force,GS,"CONNECTICUT AIR NATIONAL GUARD TECHNICIAN VACANCY ANNOUNCEMENT THIS IS A TITLE 32 DUAL STATUS POSITION DUTY LOCATION: 103d Operations Group, East Granby, CT JOB SUMMARY: The primary purpose of this position is to administer, schedule, and conduct flight and ground training which develops, upgrades, and evaluates the skills of load master aircrew members; to perform aircrew duties as instructor load master in the unit type aircraft and to perform related staff support duties; to train crew members in these duties. NATIONAL GUARD MEMBERSHIP IS REQUIRED. This is an excepted position that requires membership in a compatible military assignment in the Connecticut Air National Guard. AREA(S) OF CONSIDERATION: Area 1: All currently employed full-time permanent and indefinite personnel of the Connecticut Air National Guard.
Area 2: All currently employed full-time temporary technician personnel and all current traditional members of the Connecticut Air National Guard.",71731.0000,55175.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-17,CT-10103051-AF-17-215,"East Granby, Connecticut",2017-12-19,AIRCRAFT LOADMASTER (INSTRUCTOR),"GENERAL EXPERIENCE: Experience in functions such as preparing aircraft loading plans, loading and off loading aircraft, operating loading equipment, and ensuring security of cargo in flight. SPECIALIZED EXPERIENCE: Your resume and any other supporting documentation you wish to provide must clearly substantiate you currently possess 24 months of specialized experience in the following: Experience demonstrating knowledge of the characteristics, capabilities, and capacities of the inner aircraft. Experience demonstrating the ability to produce the optimum weight and balance conditions. Experience demonstrating the ability to prepare aircraft load plans. Experience demonstrating the knowledge of the theory of aircraft cargo safety. Experience demonstrating the ability to devise cargo handling and restraint techniques. Experience demonstrating knowledge and judgment that would indicate the need to implement jettison procedures. Experience demonstrating the ability to use flight manuals that relate to load master duties. Experience demonstrating the ability to determine airworthiness of the aircraft and aircraft cargo. Experience demonstrating the ability to present information in a clear and distinct manner. Experience demonstrating the ability to supervise and instruct proper loading and offloading procedures. Experience demonstrating the ability to supervise and instruct proper cargo and personnel airdrop procedures. Experience demonstrating expertise in all aspects of load master functions. Experience demonstrating the ability to conduct classroom and flight training in aircraft loading. KNOWLEDGE, SKILLS AND ABILITIES: Knowledge of capacities of and limits of the various stations and compartments of the aircraft. Ability to compute weight loss, and weight and balance factors. Ability to perform Load master duties for aerial delivery and parachute jump operations. Knowledge of how weight and balance affect the operation of aircraft during changing conditions. Knowledge of aircraft cargo tie down and handling procedures. Knowledge of aircraft emergency jettison in flight procedures. Knowledge of aircraft flight manuals. Ability to preflight aircraft systems, i.e., and aircraft restraint rails and air drop systems. Ability to demonstrate use of emergency equipment and evacuation procedures. Ability to train personnel in the build-up, loading and rigging of the different aircraft cargo combinations. Ability to train personnel in airdrop procedures and sequences. Ability to prepare personnel for their annual standardization flight checks and examinations.",https://www.usajobs.gov:443/GetJob/ViewDetails/487046500
2018-01-03,Department of Veterans Affairs,VN,"U.S. Citizens and current permanent Federal employees of
other Agencies. Non-citizens may be
appointed when it is not possible to recruit qualified citizens in accordance
with VA Policy.VA Greater Los Angeles Healthcare System As a VA professional nurse, your opportunities are endless. With
many openings in the multiple functions of VA, you will have a wide range of
opportunities at your fingertips. Not only is it the largest, most
technologically advanced integrated health care system in the nation, but we
also provide many other services to Veterans through the Benefits
Administration and National Cemeteries.VA encourages persons with disabilities to apply. The health related positions in VA are covered by Title 38, and are not covered by the Schedule A excepted appointment authority.",124325.0,72684.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-01-03,RN-18-AFe-2027047-T38-BU,"Los Angeles, California",2017-12-18,Registered Nurse - CERS,"BASIC
REQUIREMENTS: &#183;
U.S.
citizenship. Non-citizens may be appointed when it is not possible to
recruit qualified citizens in accordance with VA Policy.&#183;
Graduate
of a school of professional nursing approved by the appropriate
State-accrediting agency and accredited by one of the following accrediting
bodies at the time the program was completed by the applicant: The
Accreditation Commission for Education in Nursing (ACEN) or The Commission on
Collegiate Nursing Education (CCNE). In cases of graduates of foreign
schools of professional nursing, possession of current, full, active and
unrestricted registration will meet the requirement of graduation from an
approved school of professional nursing.&#183;
The
completion of coursework equivalent to a nursing degree in a MSN Bridge Program
that qualifies for professional nursing registration constitutes the completion
of an approved course of study of professional nursing. Students should
submit the certificate of professional nursing to sit for the NCLEX to the VA
along with a copy of the MSN transcript. (Reference VA Handbook 5005, Appendix
G6)&#183;
Current,
full, active, and unrestricted registration as a graduate professional nurse in
a State, Territory or Commonwealth (i.e., Puerto Rico) of the United States, or
the District of Columbia. Grade
Determinations: The following criteria must be met in determining the
grade assignment of candidates, and if appropriate, the level within a grade: &#183;
Nurse
I Level I - An Associate Degree (ADN) or Diploma in Nursing, with no additional
nursing practice/experience required.&#183;
Nurse
I Level II - An ADN or Diploma in Nursing and approximately 1 year of nursing
practice/experience; OR an ADN or Diploma in Nursing and a bachelor's degree in
a related field with no additional nursing practice/experience; OR a Bachelor's
of Science in Nursing (BSN) with no additional nursing practice/experience.&#183;
Nurse
I Level III - An ADN or Diploma in Nursing and approximately 2-3 years of nursing
practice/experience; OR an ADN or Diploma in Nursing and a Bachelor's degree in
a related field and approximately 1-2 years of nursing practice/experience; OR
a BSN with approximately 1-2 years of nursing practice/experience; OR a
Master's degree in nursing (MSN) or related field with a BSN and no additional
nursing practice/experience.&#183;
Nurse
II - A BSN with approximately 2-3 years of nursing practice/experience; OR ADN
or Diploma in Nursing and a Bachelor's degree in a related field and approximately
2-3 year's of nursing practice/experience; OR a Master's degree in nursing or
related field with a BSN and approximately 1-2 year's of nursing
practice/experience; OR a Doctoral degree in nursing or meets basic
requirements for appointment and has doctoral degree in a related field with no
additional nursing practice/experience required.&#183;
Nurse
III - Master's degree in nursing or related field with BSN and approximately
2-3 year's of nursing practice/experience; OR a Doctoral degree in nursing or
related field and approximately 2-3 year's of nursing practice/experience. Preferred
Experience:&#183;
RN
with a Baccalaureate Degree (or higher) in Nursing.&#183;
At
least three to four years of successful clinical nursing practice.&#183;
Has
demonstrated leadership skills in program implementation and evaluation,
ability to work effectively with a variety of disciplines; to include
providers, nurses, social workers and other staff as needed to deliver care
that is timely, evidence-based, cost effective and high quality.&#183;
Must
possess strong clinical assessment skills; he/she will screen and review each
referral for disposition and planning.&#183;
Must
have strong interpersonal skills and strive for win-win solutions. Experience
refers to paid and unpaid experience, including volunteer work done through
National Service programs (e.g., Peace Corps, AmeriCorps) and other
organizations (e.g., professional; philanthropic; religions; spiritual;
community; student; social). Volunteer work helps build critical
competencies, knowledge, and skills and can provide valuable training and
experience that translates directly to paid employment. You will receive
credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486551700
2017-12-29,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
This position is located at Fort Belvoir, VA in the Directorate of Public Works (DPW). Serve as a Realty Specialist in the Master Planning Division under the general supervision of the Chief, Master Planning Division, Directorate of Public Works, Installation Management Command (IMCOM). Fort Belvoir is approximately 15 miles southwest of Washington, D.C., five miles from Alexandria, VA and next door to the community of Mount Vernon, VA. It is within easy driving distance of Washington, D.C., national historical sites and parks. You can find historical sites, shopping, schools, and churches in the area. For more information about the area, visit the website www.belvoir.army.mil. Who May Apply: US Citizens",103639.0000,79720.0000,Permanent,Army Installation Management Command,Per Year,2017-12-29,NCAS175012721600,"Fort Belvoir, Virginia",2017-12-21,Realty Specialist,"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience. Specialized Experience: One year of specialized experience which includes experience in the areas of real estate acquisition, utilization, demolition, real property accountability policy, public laws, regulations and inventory reporting; real property management support, facility reduction, disposal of installations, real property privatization, including utilities and family housing privatization projects. You will be evaluated on the basis of your level of competency in the following areas:
Administration and ManagementAttention to DetailProject ManagementReal Estate",https://www.usajobs.gov:443/GetJob/ViewDetails/487175400
2018-01-15,Department of the Air Force,AD,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. Wright-Patterson Air Force Base is one of the U.S. Air Force&#39;s largest and most important installations. It is the birthplace, home and future of aerospace. By virtually any measure, ""Wright-Patt"" is the most diverse and organizationally complex base in the U.S. Air Force. This is where America&#39;s Air Force aircraft of tomorrow are conceived, developed, and acquired. AFIT is regionally accredited by The Higher Learning Commission (HLC). In addition to its regional accreditation, the Engineering Accreditation Commission of ABET accredits the following master&#39;s degree programs in the Graduate School of Engineering and Management: Aeronautical Engineering, Astronautical Engineering, Computer Engineering, Electrical Engineering, Nuclear Engineering, Environmental Engineering and Science, Engineering Management, and Systems Engineering. Also, the Industrial Hygiene master&#39;s degree program is accredited by the Applied Science Accreditation Commission of ABET. AFIT&#39;s Carnegie Classification is: Doctoral Universities - Moderate Research Activity NOTE: Initial appointment is under Schedule A appointing authority, Excepted Appointment Not-to-Exceed 3 years. At the time of the expiration of the initial appointment an employee who adequately demonstrates professional competence can be extended in increments of 1, 2 or 3 years or for an indefinite period. If awarded *Permanent Academic Tenure by the organization, may be converted to an Indefinite appointment in the Excepted Service without time limitations. An initial appointment can be allowed to expire for an employee who does not adequately demonstrate professional competence. The appointment cannot be converted to a permanent tenure in the competitive service. (*Permanent academic tenure refers only to professional academic tenure; it does not encompass ""Status"" as used in civil service regulations regarding career tenure with competitive service appointments.) Position Location:
USAF, Air Education and Training Command (AETC)
Air University (AU)
Air Force Institute of Technology (AFIT)
Graduate School of Engineering and Management,
Department of Aeronautics and Astronautics
Wright-Patterson AFB OH 45433",172100.0000,59950.0000,3 year,Air Force Materiel Command,Per Year,2018-01-15,AFMC-10071795-000000-9X-JED,"Wright-Patterson AFB, Ohio",2017-11-09,Assist/Assoc/ Professor of Aerospace Engineering,"REQUIRED QUALIFICATIONS: Applicants must have an earned doctoral degree in Aerospace Engineering, Mechanical Engineering, or related field is required, with emphasis in areas of Hypersonics and/or Aerothermodynamics. DESIRED QUALIFICATIONS: Demonstrated professional knowledge of foundational and advanced topics associated with aerospace engineering. These areas include, but are not limited to: aspects of propulsion including: gas turbine engines, rocket propulsion, propulsion for unmanned air vehicles; controls for aircraft and spacecraft; aerodynamics of aircraft and spacecraft. Faculty in any of these areas will have at least a year of formal education and a year of research in these areas beyond the Masters of Science degree. Possess the ability to communicate clearly and expertly (in English) in both verbal and written forms concerning academic, administrative, and technical subject matters. At the Assistant Professor rank: Applicants at this level should have a strong potential for both teaching and research at the graduate level. At the Associate Professor rank: An initial appointment to the academic rank of Associate Professor must be based on convincing evidence that the applicant has demonstrated excellence as a teacher, as a scholar, and as one who provides effective service. The applicant must have six years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than three years of full-time university-level teaching at the Assistant Professor rank or higher. Alternatively, for those with fewer than three years of teaching experience, the requirement is six years of significant professional experience with research credentials normally expected of a full Professor. At the Full Professor rank: An initial appointment to the academic rank of Professor must be based on convincing evidence that the applicant has a sustained record of excellence in teaching, has produced a significant body of scholarship that is recognized nationally or internationally, and has demonstrated leadership in service to the discipline. The applicant must have a minimum of ten years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than six years of full-time university-level teaching with a minimum of three years at the Associate Professor rank or higher. Alternatively, for those with fewer than six years of teaching experience, the requirement is ten years of significant professional experience with research credentials substantially more than those normally expected of a full Professor.",https://www.usajobs.gov:443/GetJob/ViewDetails/484121900
2017-12-27,Department of the Treasury,GS,"This position is located in the United States Mint Headquarters, Washington D.C., Manufacturing Office, Division of Production Planning and Distribution. The United States Mint operates four manufacturing facilities located throughout the United States. The Office of Production Planning and Distribution is the primary point of contact for the United States Mint's supply chain partners including the Federal Reserve (FRB), Sales and Marketing, and suppliers of critical raw materials. The Office is responsible for developing master production schedules for Circulating and Numismatic products, planning and coordinating the acquisition of critical supplies of raw materials, and the distribution of numismatic, bullion and circulating coin.",145629.0,112021.0,Full-time,U.S. Mint,Per Year,2017-12-27,18-MINT-31-P,"Washington DC, District of Columbia",2017-12-13,Lead Production Planning & Control Specialist,"You must meet the following requirements by the closing date of this announcement.Specialized experience: For the GS-14, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-13 grade level in the Federal service. Specialized experience or General experience for this position includes:-Having hands on working experience managing and developing production schedules for finished goods and sub-assemblies for production in an industrial manufacturing environment. AND-Hands on working experience Leading a Manufacturing Production Planning / Supply Chain Staff in an industrial manufacturing environment. AND-Hands on working experience Planning and Scheduling using Material Resource Planning / Enterprise Resource Planning systems (MRP/ERP) in an industrial manufacturing environment. AND-Full working knowledge on how MPR/ERP systems work.",https://www.usajobs.gov:443/GetJob/ViewDetails/486466500
2018-01-05,Department of Defense,GS,"If you want to do interesting and challenging work and to make a contribution to national defense, DISA is a great place for you. DISA provides secure and reliable communications and computing support that enable the President and our military forces to communicate globally through voice, video, and data transmission. DISA is a leader within the Federal Government in implementing ""people programs"" and offers a broad range of quality-of-life and training programs. Go to www.disa.mil for more information.&#39; The recent graduates program targets individuals who have graduated recently from qualifying educational institutions or programs. To be eligible, applicants must apply within 2 years of degree or certificate completion, except for veterans precluded from doing so due to their military service obligations, who will have up to 6 years after degree or certificate completion. Successful applicants will be placed in a dynamic, career development program. Who May Be Considered: Individuals who have obtained a qualifying Associates, Bachelor&#39;s, Master&#39;s, Professional, Doctorate, Vocational or Technical degree or certificate from a qualifying educational institution, within the previous 2 years. OR Individuals who will obtain a qualifying Associates, Bachelor&#39;s, Master&#39;s, Professional, Doctorate, Vocational or Technical degree or certificate from a qualifying educational institution within 90 days from the date of application. Applicants must provide proof of degree conferral prior to appointment OR Veterans (as defined in 5 U.S.C. 2108) who were unable to apply within 2 years of obtaining a qualifying Associates, Bachelor&#39;s, Master&#39;s, Professional, Doctorate, Vocational or Technical degree or certificate from a qualifying educational institution due to their military service obligation. Veterans have a full 2-year eligibility period to apply upon his/her release or discharge from active duty. The eligibility period for veterans must be within 6 years of degree completion.",73098.0000,39963.0000,Permanent,Defense Information Systems Agency,Per Year,2018-01-05,PATHWAYS-10102210-17AH,"Fort Meade, Maryland",2017-12-21,Computer Scientist,"Basic Requirement: This position has a positive education requirement. Applicants must meet the basic educations requirements in order to be found minimally qualified for the position. Bachelor&#39;s degree in computer science or bachelor&#39;s degree with 30 semester hours in a combination of mathematics, statistics, and computer science. At least 15 of the 30 semester hours must have included any combination of statistics and mathematics that included differential and integral calculus. All academic degrees and course work must be from accredited or pre-accredited institutions http://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/1500/computer-science-series-1550/). Specialized Experience: For the GS-05 grade level: you must have 3 years of progressively responsible experience, 1 year of which was equivalent in level of difficulty and responsibility to the GS-04 grade level in the Federal service, or comparable in difficulty and responsibility to GS-04 if outside the Federal service. General experience is defined as experience that provided basic knowledge with data processing functions and general management principles to automate a work process. For the GS-07 grade level: you must have at least one year of specialized experience equivalent in level of difficulty and responsibility to the GS-05 grade level in the Federal service, or comparable in difficulty and responsibility to GS-05 if outside the Federal service, is required. Specialized experience is defined as experience assisting with developing new and improved concepts, principles and techniques that will advance the body of knowledge of computer science, and adapting and applying advanced computer science methods and techniques to solve complex computer processing requirements. For the GS-09 grade level: you must have at least one year of specialized experience equivalent in level of difficulty and responsibility to the GS-07 grade level in the Federal service, or comparable in difficulty and responsibility to GS-07 if outside the Federal service, is required. Specialized experience is defined as experience developing new and improved concepts, principles and techniques that will advance the body of knowledge of computer science, and adapting and applying advanced computer science methods and techniques to solve complex computer processing requirements. In addition to meeting the specialized experience requirements, qualified applicants must also possess the quality of experience as it relates to how closely or to what extent an applicant&#39;s background, recency of experience, education, and training are relevant to the duties and responsibilities of the announced position. Candidates must clearly demonstrate the possession of knowledge, skills and abilities, or competencies necessary to successfully perform the work of the position at the appropriate level to be qualified for the position. Applicants must describe how their experience meets the competencies within the body of the resume. No separate statements addressing KSA&#39;s or competencies are required. Compentencies: Computers and Electronics, Problem Solving, and Technical Competence",https://www.usajobs.gov:443/GetJob/ViewDetails/487232900
2018-04-15,Department of the Air Force,GS,"Any individual who completed all requirements for an associate, bachelor, master, professional, or doctorate degree from a qualifying educational institution within the previous two yearsOR Any veteran released or discharged from active duty within the previous two years, but due to a military service obligation, was precluded from applying for a recent graduate position during any portion of the two-year eligibility period following completion of applicable degree, and not more than six years have transpired since completing the requirements for the degree. Are you looking for a unique opportunity to gain valuable work experience? The Department of the Air Force offers challenging work and the satisfaction of knowing you've made a difference. We're offering you an exciting opportunity to gain ""real world"" experience as a Recent Graduate hired under the Central Salary Account (CSA). Appointments"" under the Recent Graduates Program may be for 1 or -2 years depending on the position. After completing the 1 or 2-year period as a Recent Graduate, you may be noncompetitively converted into a term or permanent position and placed on a ""career or career-conditional appointment. However, service in a Pathways Recent Graduate Program confers no right to further employment in the competitive service. YOUR TRAINING AND DEVELOPMENT COVERS:
&#183; Participant Agreement
&#183; Orientation program &#183; Mentorship throughout the Program &#183; Individual Training &amp; Development Plan to assist with career planning, professional development, and training activities &#183; At least 40 hours of formal, interactive training each year of the Program &#183;Opportunity for career advancement AFTER PROGRAM COMPLETION:
Recent Graduates who are selected for conversion must have: &#183; Completed all requirements of the program successfully &#183; Demonstrated successful job performance consistent with the applicable performance appraisal program &#183; Met the Office of Personnel Management (OPM) qualification standard for the position to which the Recent Graduate will be converted ""It is important to remember that eligibility for conversion does not guarantee that the Department of the Air Force will offer conversion""",52893.0,40684.0,Permanent,Air Force Personnel Center,Per Year,2018-04-15,CL18-2025859-2010-BJW,"Tinker AFB, Oklahoma",2017-12-01,AF Recent Graduates Program (Inventory Management),"Qualified candidates will be considered in accordance with the Office of Personnel Management Pathways Guidelines .You can also visit: http://www.opm.gov/qualifications/standards/index-Standards.asp for additional qualification standards. Experience refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/485603000
2018-01-02,Department of Homeland Security,GS,"Apply for this exciting position to support the U.S. Coast Guard (USCG) missions of safeguarding our Nation's maritime interests in the heartland, in the ports, at sea, and around the globe.For over two centuries the USCG has protected the maritime economy and the environment, we defend our maritime borders, and we save those in peril. This history has forged our character and purpose as America's Maritime Guardian - Always Ready for all hazards and all threats.The vacancy is being concurrently advertised under merit promotion procedures for status applicants under announcement 18-1214-WE-WE-M. APPLICANTS WISHING TO BE CONSIDERED UNDER BOTH DELEGATED EXAMINING AND MERIT PROMOTION PROCEDURES MUST APPLY TO BOTH VACANCY ANNOUNCEMENTS. NOTE: YOUR APPLICATION TO THIS DELEGATED EXAMINING VACANCY ANNOUNCEMENT WILL ONLY ALLOW CONSIDERATION FOR THIS ANNOUNCEMENT. WE CANNOT ELECTRONICALLY OR MANUALLY MOVE YOUR APPLICATION TO THE CONCURRENTLY ADVERTISED MERIT PROMOTION ANNOUNCEMENT. PLEASE ENSURE YOU ARE APPLYING UNDER THE CORRECT ANNOUNCEMENT.This position is located in the U.S. Coast Guard, Shore Infrastructure Logistics Center, Civil Engineer Unit - Product Line Oakland, Asset Line Management Branch, Planning &amp; Real Property Section, Oakland, CA.Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Applying to this announcement certifies that you give permission for DHS to share your application with others in DHS for similar positions.",112665.0,86663.0,This is a permanent appointment.,U.S. Coast Guard,Per Year,2018-01-02,18-1214-WE-WE-D,"Oakland, California",2017-12-20,"General Engineer (Planner), GS-0801-12","Basic Requirements:Degree: Engineering. To be acceptable, the program must: (1) lead to a bachelor&#8217;s degree in a school of engineering with at least one program accredited by ABET; or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics.ORCombination of education and experience -- college-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following:1. Professional registration or licensure -- Current registration as an Engineer Intern (EI), Engineer in Training (EIT)1, or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions.2. Written Test -- Evidence of having successfully passed the Fundamentals of Engineering (FE)examination or any other written test required for professional registration by an engineering licensure board in the various States, the District of Columbia, Guam, and Puerto Rico.3. Specified academic courses -- Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in the basic requirements under paragraph A. The courses must be fully acceptable toward meeting the requirements of an engineering program as described in paragraph A.4. Related curriculum -- Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a bachelor&#8217;s degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. (The above examples of related curricula are not all-inclusive.)In addition to meeting the basic requirement above:Applicants must have one year of specialized experience equivalent to the GS-11 level in the federal government.Specialized experience is experience that has equipped you with the particular ability, skill, and knowledge to successfully perform the duties of this position and is typically in or related to this line of workSpecialized experience must demonstrate the following:Planning specific objectives, milestones, and phases for complex engineering projects; performing facility asset management; developing project priorities and programming strategies; providing technical guidance to contractor counterparts; conducting site visits; planning and executing logistics responsibilities; or planning and conducting interdisciplinary studies and investigations.National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.The Office of Personnel management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule, C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/487023300
2017-12-26,Department of the Treasury,GS,"To receive first consideration, Chief Counsel employees must be on the Master First Consideration List. The Master First Consideration List is for reassignments only. To apply for a promotion, you must apply to this announcement. WHAT IS THE OFFICE OF CHIEF COUNSEL?The Office of Chief Counsel, the largest tax law firm in the country, is looking for enthusiastic individuals to join our team and gain valuable experience in a legal environment. Our mission is to serve America's taxpayers fairly and with integrity by providing correct and impartial interpretation of the internal revenue laws and the highest quality legal advice and representation for the Internal Revenue Service. The Office of Chief Counsel is a great place to work with an excellent benefits package and family-friendly atmosphere.The Associate Chief Counsel (Finance and Management) supports the administrative, financial, and managerial programs of the Office of Chief Counsel and Deputy Chief Counsel on all management matters for the organization nationwide. The Field Operations function of Finance and Management is responsible for supervising and coordinating administrative, program, and clerical support duties for all of Chief Counsel's field functions, located in over 50 cities nationwide.WHAT ARE THE DUTIES OF A LEGAL ASSISTANT?As a Legal Assistant (OA), you will perform a variety of clerical, technical, and administrative tasks while providing legal support to attorneys and paralegals. Practice areas may include general litigation, tax litigation, criminal tax, and advisory services.",58313.0,43120.0,Career/Career Conditional.,Internal Revenue Service,Per Year,2017-12-26,CCCS-18-M11,"Chicago, Illinois|Portland, Oregon",2017-12-11,LEGAL ASSISTANT (OA) (Office Automation),"You must meet the following requirements by the closing date of this announcement:Typing Proficiency:A typing proficiency of 40 words per minute with no more than three errors is required. Proof of an acceptable typing speed must be submitted with the application in one of the following ways: 1) SF-50, ""Notification of Personnel Action"", which shows Federal employment in a ""typing"", ""office automation"" or stenography"" position; or 2) A current notice of test results (from an appropriate testing authority) based on a five-minute typing test which includes words per minute and error rate ; or 3) Self certify by indicating typing speed on application.This position requires office automation skills. Some examples of office automation software include electronic spreadsheet, database management, desktop publishing, calendar and electronic mail.Eligibility Requirements: You must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-06 grade level in the Federal service. Specialized experience for this position includes: analyzing information and preparing a variety of legal documents; reviewing documents for content and grammatical accuracy; controlling, processing, and monitoring documents for input into case tracking systems; reviewing legal documents to determine regulatory requirements and ensuring that deadlines are entered into case tracking systems; reviewing reports to monitor due dates and workflow; interpreting and applying regulatory resources and materials; and utilizing various software programs to prepare documents and assist with trial preparation needs.The experience may have been gained in the public, private sector, or Volunteer Service. One year of experience refers to full-time work; part-time work is considered on a prorated basis. To ensure full credit for your work experience, please indicate dates of employment by month/year and the number of hours worked per week on your resume.In addition to the above requirements, you must have 52 weeks at the GS-06 level (time-in-grade requirement).",https://www.usajobs.gov:443/GetJob/ViewDetails/486360400
