ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-29,Department of Justice,GS,"About the Agency The mission of the FBI is to protect the American people and uphold the Constitution of the United States. Special Agents enforce over 300 federal statutes and conduct criminal and national security investigations. They seek out cyber thieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence-gathering and data analysis. We need Special Agents with a wide range of education, backgrounds and skills in order to get ahead of threats. For example, Special Agents with foreign language skills may be asked to interview a victim of human trafficking; those with computer skills may be asked to decipher malicious computer code, those with accounting skills may need to uncover hidden assets and those with communication and collaboration skills may lead a joint agency investigation. The FBI provides the opportunity for leaders in every community to join our workforce and contribute in a meaningful way. About You You have great problem-solving skills, analytical skills and leadership experience and can get things done both in a demanding team environment and independently. Your ability to adapt to changing situations and clearly communicate across management, peer groups, external communities and stakeholders contribute to your ability to keep our nation safe. You&#39;re naturally curious yet always driven to find a solution. You are detail-oriented; however, you remain strategic. You know how to objectively evaluate information and make sound judgments. Honesty and integrity are more than just words you use; they are the foundation of who you are. You take pride in making a difference in the communities you serve and bringing your background to the forefront to drive initiatives that impact our most important stakeholders: the American people. To apply, and to view additional requirements and information, please visit Your application may not be processed until you have provided all of the required documentation. If you are missing any of the items listed above, please remember to attach any additional documentation to your profile when they become available and make sure to notify your applicant coordinator upon completion. For more information, please visit: https://apply.fbijobs.gov/psp/ps/EMPLOYEE/HRMS/c/HRS_HRAM_FL.HRS_CG_SEARCH_FL.GBL?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&JobOpeningId=13972&PostingSeq=1",80721.0000,62556.0000,Permanent,Federal Bureau of Investigation,Per Year,2018-01-29,ST-FBIJOBS1627023-17,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-01-30,Special Agent - Science/Technology/Engineering/Math (STEM),"Adhere to strict standards of conduct, foremost being honesty and integrity. Endure a rigorous background investigation, credit checks and a polygraph in order to obtain a Top Secret Security Clearance. Pass a Physical Fitness Test (PFT) at least twice during the application process; must be physically fit to complete training at Quantico and maintain a high level of fitness throughout their career. Pass a medical exam, which includes, but is not limited to, meeting visual and hearing standards. Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy in Quantico, VA. Upon graduation from the FBI Academy, be available to transfer to one of the FBI&#39;s 56 field offices, including San Juan, Puerto Rico, or remote resident agencies (satellite offices) to meet the needs of the FBI. Special Agents rarely return to their processing office. Applicants should ensure that their families are prepared for and support this move. Throughout your career, be available for temporary duty assignments, anywhere in the world, on either a temporary or a long-term basis. Work a minimum of a 50-hour workweek, which may include odd hours, and be on-call 24/7, including holidays and weekends. Be willing and able to participate in arrests, execute search warrants, raids and similar assignments. For more information on eligibility requirements see: https://fbijobs.gov/working-at-FBI/eligibility",https://www.usajobs.gov:443/GetJob/ViewDetails/463485000
2017-12-29,Department of the Army,NA,"The Area of Consideration for this vacancy announcement is word wide. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) This position is located at Centennial Banquet and Conference Center Fort Bliss, TX.",10.0400,8.6200,Intermittent,Army Installation Management Command,Per Hour,2017-12-29,WENAFEQ1710055258SR,"Fort Bliss, Texas",2017-10-03,Waiter NA-03,"1. Where duties involve selling alcoholic beverages applicant must meet state/local age requirements for the serving of alcoholic beverage at the time of appointment.
2. Possess basic math necessary to compute patron bills and make change.
3. Be able to communicate effectively in English.
4.Have work experience performing the duties identified.",https://www.usajobs.gov:443/GetJob/ViewDetails/481043900
2018-01-03,Department of the Army,NA,"The Area of Consideration for this vacancy announcement is the Island of Oahu, HI. NOTE: (Military Spouse Preference (MSP), Involuntarily Separated Military Preference (ISMP) and Family Member Preference eligible candidates are included in the area of consideration.) This position is located at The Hale Ikena Conference and Banquet Center, located on Fort Shafter, HI. The Hale Ikena Conference and Banquet Center is the perfect place for meetings, conferences and special occasions. The first cutoff for this announcement is November 23, 2017. Other positions will be filled as needed.",15.0200,12.9100,Intermittent,Army Installation Management Command,Per Hour,2018-01-03,WENAFEW1710077198,"Fort Shafter, Hawaii",2017-11-13,Food and Beverage Attendant NA-03,"QUALIFICATION REQUIREMENTS: Candidates must:
1. Must meet state/local age requirements for the serving of alcoholic beverage at the time of appointment.
2. Be able to lift and carry weights up to 20 pounds.
3. Possess math skills necessary to calculate patron bills and take inventory.
4. Skill in mixing and serving alcoholic and/or nonalcoholic beverages. Best Qualified Criteria
Experience as a waiter, bartender, or cashier in a restaurant, lounge, bar, golf course or bowling facility. NOTE: Applicants who met both minimum qualifications and best qualifying criteria will be referred to the selecting official for consideration first.
To be evaluated as a best qualified candidate, your resume MUST clearly reflect the knowledge and experience listed under the best qualified criteria above.",https://www.usajobs.gov:443/GetJob/ViewDetails/484322500
2018-02-05,Other Agencies and Independent Organizations,AD,"The NSF is seeking qualified candidates for a permanent, full-time Program Director position in the Division of Undergraduate Education (DUE), Directorate for Education and Human Resources (EHR), Alexandria, VA. EHR is responsible for programs that strengthen science, technology, engineering, and math (STEM) education at all levels and in all settings across the United States. These programs support the development of a diverse, well-prepared workforce of scientists, engineers and educators who work to enhance the quality of life, health and prosperity of all citizens. DUE manages grant programs that constitute a comprehensive approach to improving STEM education at two- and four-year colleges and universities. This approach strengthens links to the K-12 sector through a commitment to pre-service teacher preparation, and supports and leverages education research. DUE programs support the research and development of innovative educational materials, courses, curricula, pedagogical techniques; research and development of assessment instruments and methods; stimulate and enable research on learning and institutional change; promote scientific literacy; advance professional development for faculty; engage institutions and industry to collaborate on workforce development; and provide opportunities for institutions to award scholarships for students. DUE's efforts focus on increasing the diversity of STEM students and faculty, promoting high quality college level STEM education research and development, and fostering collaborations to achieve those goals. More information about DUE programs can be found at http://www.nsf.gov/div/index.jsp?div=DUE.",174569.0,130692.0,Permanent.,National Science Foundation,Per Year,2018-02-05,DUE-2018-0002,"Alexandria, Virginia",2017-12-08,Science Education Administrator (Program Director),"Candidates must have a Ph.D. in a STEM discipline with experience in education at the undergraduate level in that STEM discipline, plus after award of the Ph.D., six or more years of successful research, research administration, and/or managerial experience pertinent to the position.Individuals must have experience and demonstrated scholarship in research in that STEM discipline, as well as related undergraduate STEM education practice and/or research that area. The ideal candidate will have expertise in undergraduate STEM education research and development in interdisciplinary settings, and must demonstrate experience in leading change in STEM undergraduate education, as well as knowledge of STEM education research. Emphasis in recruiting will be placed on candidates with expertise in a core STEM disciplinary subject, plus additional expertise in one or more of several areas, including research and development in interdisciplinary settings, research on institution-wide transformation efforts, data-intensive research, and/or STEM education research. While candidates from all STEM areas are encouraged to apply, there is particular interest in individuals with a background in geophysical science, given its importance in interdisciplinary investigations such as those related to environmental and global systems phenomena.This position is outside the competitive civil service.",https://www.usajobs.gov:443/GetJob/ViewDetails/486262500
2018-01-10,Department of the Navy,NA,"Fleet and Family Readiness is looking for the best and brightest to join our TEAM!!! The Navy team offers innovative, exciting and meaningful work linking military and civilian talents to achieve our mission and safeguard our freedoms by enhancing the qualify of life for Sailors, their families, and others in the Navy Community. Department of the Navy provides competitive salaries, comprehensive benefits, and extensive professional development and training. Family Readinessincludes the Fleet and Family Support Programand Emergency Response. The Fleet and Family Support Program provides services through Fleet and Family Support Centers, such as relocation assistance, new parent support, deployment services, clinical counseling services, financial management counseling, family employment services, family advocacy and the transition assistance programs. The Emergency Response Program manages Navy Installations Command&#8217;s response plans to provide assistance to the Navy Family during a disaster. Fleet Readinessis comprised of Morale, Welfare and RecreationPrograms, official and recreational lodging, and food and beverage operations. These services include: Fitness and Sports Deployed Forces Support Movies and Libraries Golf and Bowling Marinas and Outdoor Recreation Liberty Program Information, Tickets and Travel Navy Entertainment Program Navy Gateway Inns&amp; Suites Galleys and Recreational Dining MWR Lodging Child Development Centers and Homes Youth and Teen Centers School-Age Care School Liaison Officer Program Navy Housingmanages housing Navywide, including permanent party family housing and unaccompanied housing. Focused on assisting Sailors, both single and those with families, receive suitable, affordable and safe housing wherever they are assigned. The Support Services Centersupports the other four divisions and regional Fleet and Family Readiness Service Centers through a consolidation of management support functions, such as NAF financial management, marketing, training, NAF human resources, facilities and acquisition, information technology, and management evaluation and assistance. Navy Wounded Warrior &#8211; Safe Harborcoordinates the non-medical care of seriously wounded, ill and injured Sailors and Coast Guardsmen, and provides resources and support to their families and offers individually-tailored assistance to ensure enrollees&#8217; successful recovery, rehabilitation and reintegration. .",8.86,8.86,Flexible Medical Eligible,"Commander, Navy Installations",Per Hour,2018-01-10,CNRSE-NAF-18-DE-NGIS-HK,"Corpus Christi, Texas",2017-12-21,Housekeeper (FLEX),"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities, to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities, as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. All non-government positionsidentified on your resume must include complete address and to and from dates. Government positions must include pay plan, series, grade, to and from dates and address of the agency/organization. SKILLS AND KNOWLEDGE: Knowledge of housekeeping facility policies and standards; proper use of cleaning equipment and approve, commonly used chemical (including MSDS). Must possess basic math and reading skills. SPECIAL REQUIREMENTS: This position may be designated ALPHA personnel for inclement weather or in the interest of national security and may be required to report for work when other employee are excused.. This position is subject to the possibility of workdays on weekends and holidays, as well as, rotating shifts, often consisting of other than normal duty hours. The staff member may be recalled to duty and / or required to work overtime, including on an emergency basis. Must possess a valid Texas Driver&#8217;s License. Travel to other facilities may be required with the normal scope of duties. This position is subject to a favorable National Agency Check (NAC). NOTE: Some positions have special requirements. Selection may be tentative pending the completion of the satisfactory employment reference checks and receipt of proof of education (where applicable). Selectee may be required to complete a one (1) year probationary period. Participation in the Direct Deposit/Electronic Fund Transfer within the first 30 days of employment is required. We utilize E-Verify to confirm selectee&#8217;s eligibility to work in the United States. Salary is dependent on experience and/or education. This announcement may be used to fill additional vacancies within 60 days of closing date. For positions requiring travel more than twice per year, selectee will be required to obtain and maintain in good standing a Government-issued Travel Card for official government travel purposes. You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. As part of the application process, you must complete and submit an occupational questionnaire and your RESUME MUST SUPPORT AND VALIDATE YOUR ANSWERS or you may be removed from consideration. ONLY THE MOST HIGHLY QUALIFIED CANDIDATES WILL BE REFERRED. IF MANAGEMENT DOES NOT WISH TO SELECT A HIGHLY QUALIFIED CANDIDATE, THEY MAY REQUEST A REFERRAL LIST INCLUDING WELL OR QUALIFIED APPLICANTS. Please follow all instructions carefully. Errors or omissions may affect your rating and/or appointment eligibility.
SPECIAL REQUIREMENTS:
Relocation Expenses will not be paid",https://www.usajobs.gov:443/GetJob/ViewDetails/487250700
2018-01-05,Department of the Army,NA,"The Area of Consideration for this vacancy announcement is within the Local (Fort Meade) Commuting Area. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) This position is located at Club Meade at Fort Meade, Maryland. Club Meade a full service dining and catering facility. Host meetings, conferences, reunions, birthday parties, awards ceremonies, expositions, and wedding receptions. The club offers everything from casual buffet style to elegant, formal dining.
This position is responsible for the support of Club Meade and the Community Conference Activity who provides support to our customers in various scheduled events and functions. PLEASE NOTE: THIS VACANCY ANNOUNCEMENT WILL BE USED TO FILL MULTIPLE VACANCIES. Applications received on or before the cut-off date will be referred to management for consideration. Positions are filled/referred on a continuous basis. 1st Cut-Off Date: Wednesday, November 15, 2017
2nd Cut-Off Date: Wednesday, November 29, 2017
3rd Cut-Off Date: Wednesday, December 13, 2017
4th Cut-Off Date: Wednesday, December 27, 2017 The pay for this position will be set at step 01 of the grade ($11.28PH). Applicants with previous NAF service may be eligible for a higher hourly rate upon verification of prior service and previous rate.",13.2000,11.2800,Intermittent,Army Installation Management Command,Per Hour,2018-01-05,NCNAFBF1710077162,"Fort Meade, Maryland",2017-11-03,Waiter,"1. Where duties involve selling alcoholic beverages applicant must meet state/local age requirements for the serving of alcoholic beverage at the time of appointment.
2. Possess basic math skills necessary to compute patron bills and make change.
3. Be able to communicate effectively in English.
4. Have work experience performing the duties identified. Skills and Knowledge: Knowledge of sanitary food handling and serving techniques. Math ability to compute checks and make change. Ability to recognize the signs of intoxication",https://www.usajobs.gov:443/GetJob/ViewDetails/483715800
2017-12-31,Department of the Army,NF,"The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to ready, self-reliant force.
Challenge yourself- Be an Army Civilian- Go Army! Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. Fort Stewart and Hunter Army Airfield are the Army&#39;s world-class training and military armored power projection combination on the Eastern Seaboard of the United States. This position is located at Hunter Bingo, Bldg 6015, Hunter Army Airfield.
This position requires working nights, weekends and holidays.
YOU WILL BE SCHEDULED TO WORK BETWEEN THE HOURS OF 2PM -12AM.",10.0000,8.0000,Intermittent,Army Installation Management Command,Per Hour,2017-12-31,SCNAFDW10022995SR,"Hunter AFB, Georgia",2017-06-27,Cashier NF-01,Basic math skills.,https://www.usajobs.gov:443/GetJob/ViewDetails/473193500
2017-12-27,Department of the Army,NF,"The Area of Consideration for this vacancy announcement is U.S. and Non U.S. Citizens. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force. This position is with the Directorate of Family, Morale, Welfare, and Recreation; Business Operations Division; located at Various locations within Java Cafe. Flexible positions will normally be scheduled 0-40 hours per week dependent upon the needs of the organization. There is no guaranteed number of hours for flexible positions. Schedule will include nights, weekends, and holidays. This position is a Flexible position and there are no benefit entitlements",9.2600,7.2500,Permanent,Army Installation Management Command,Per Hour,2017-12-27,SCNAFEA1710054928,"Fort Benning, Georgia",2017-09-26,"Sales Clerk, NF-01",Knowledge of basic math.,https://www.usajobs.gov:443/GetJob/ViewDetails/480420400
2017-12-27,Department of the Army,NF,"The Area of Consideration for this vacancy announcement is U.S. and Non-U.S Citizen&#39;s. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) - Fill in the blank with Area of Consideration identified by management and included in the AOC Assessment. The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force. This position is with the Directorate of Family, Morale, Welfare, and Recreation; within the Dependent Schools, Flexible positions will normally be scheduled 0-40 hours per week dependent upon the needs of the organization. There is no guaranteed number of hours for flexible positions. Schedule will include nights, weekends, and holidays. This position is a Flexible position and there are no benefit entitlements",7.2900,7.2900,Permanent,Army Installation Management Command,Per Hour,2017-12-27,SCEA1710054083SR,"Fort Benning, Georgia",2017-10-13,"Cashier, NF-01",Basic math skills.,https://www.usajobs.gov:443/GetJob/ViewDetails/481885500
2017-12-27,Department of the Army,NF,"The Area of Consideration for this vacancy announcement is U.S. and Non-U.S. Citizen&#39;s. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force. This position is with the Directorate of Family, Morale, Welfare, and Recreation; Business Operations Division; located at the Golf Course. Flexible positions will normally be scheduled 0-40 hours per week dependent upon the needs of the organization. There is no guaranteed number of hours for flexible positions. Schedule will include nights, weekends, and holidays. This position is a Flexible position and there are no benefit entitlements",9.2500,7.2500,Permanent,Army Installation Management Command,Per Hour,2017-12-27,SCNAFEA1710065248SR,"Fort Benning, Georgia",2017-10-17,"Sales Clerk, NF-01",Knowledge of basic math.,https://www.usajobs.gov:443/GetJob/ViewDetails/482056900
