ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-27,Department of the Navy,NF,"Navy MWR Starbucks Barista creates the Navy MWR Starbucks Experience for our customers by providing legendary customer service with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Responsible for modeling and acting in accordance with Navy MWR Starbucks guiding principles of providing superior customer service to our patrons.",13.0,11.24,0-40 Hours Per Week,"Commander, Navy Installations",Per Hour,2017-12-27,74-17,"Naval Post Graduate School, Monterey, California",2017-12-07,Sales Clerk (Starbucks),Ability to learn quickly Ability to understand and carry out oral and written instructions and request clarification when needed Strong interpersonal skills Ability to work as part of a team Ability to build relationships,https://www.usajobs.gov:443/GetJob/ViewDetails/486190800
2017-12-27,Department of the Navy,NF,"Navy MWR Starbucks Barista creates the Navy MWR Starbucks Experience for our customers by providing legendary customer service with prompt service, quality beverages and products, and maintaining a clean and comfortable store environment. Responsible for modeling and acting in accordance with Navy MWR Starbucks guiding principles of providing superior customer service to our patrons.",13.0,11.24,0-40 Hours Per Week,"Commander, Navy Installations",Per Hour,2017-12-27,74-17,"Naval Post Graduate School, Monterey, California",2017-12-07,Sales Clerk (Starbucks),Ability to learn quickly Ability to understand and carry out oral and written instructions and request clarification when needed Strong interpersonal skills Ability to work as part of a team Ability to build relationships,https://www.usajobs.gov:443/GetJob/ViewDetails/486190900
2017-12-29,National Aeronautics and Space Administration,GS,"The Sciences & Exploration Directorate, Earth Sciences Division, Global Modeling and Assimilation Office (Code 610.1) is seeking a skilled scientist to develop advanced analysis techniques for combining observed radiance data with complex numerical models, in order to derive optimal estimates of the state of the Earth System at the interfaces of the atmosphere with the underlying oceans and ice sheets. The focus is on coupled atmosphere-ocean-ice analysis using the Goddard Earth Observing System (GEOS) Earth System modeling and analysis framework.As identical vacancies are identified, additional selections may be made.",123234.0,94796.0,Permanent,Goddard Space Flight Center,Per Year,2017-12-29,GS18D0053,"Greenbelt, Maryland",2017-12-13,"Research Physical Scientist, AST, Earth Sciences Remote Sensing","In addition to the Basic Education Requirement, you must have one year of specialized experience equivalent to the next lower grade (GS-12), which has equipped you with the particular competencies needed to successfully perform the duties of the position described above.Specialized experience is defined as research on the physical principles of electromagnetic radiation transfer in the Earth's atmosphere, including simulation of spectral radiances using existing or newly developed radiation transfer code; and research on numerical modeling of the ocean-atmosphere interface, in order to correctly represent the exchange of energy between these two layers.To receive consideration, your resume MUST contain your complete degree information (i.e., type of degree-received, year degree received, and major area of study). If you have received a degree in Computer Science, you MUST list all courses you have taken which meet the education requirements as stated in the qualification requirements section as well as the semester hours awarded. You MUST include the descriptive title, course code, and number of semester/quarter hours. (i.e., CMSC-435-Software Engineering, 3 Semester hours) If this information is not provided, your education may not be appropriately evaluated and you may lose consideration for this position. Please note that degrees in engineering technology are not considered to be qualifying for this position. If you are selected for this position, you will have to provide an official copy of your transcripts prior to entering on duty.",https://www.usajobs.gov:443/GetJob/ViewDetails/486534600
2018-01-08,National Aeronautics and Space Administration,GS,"THIS ANNOUNCEMENT HAS BEEN EXTENDED DUE TO SYSTEM MAINTENANCE ON 1/5/18. This position serves as a Research Structural Materials Engineer in the Advanced Materials and Processing Branch within the Research Directorate. The branch's work includes applied research involving design, development, and evaluation of aerospace materials such as metals, intermetallics, polymers, nano-structural materials and composites, processing of materials, computational materials modeling and simulation, and characterization of these materials to determine their suitability for aerospace applications.Position may be filled at either the GS-12 or GS-13 level. The full performance level for this position is GS-13. If selected at the lower level, you may be non-competitively promoted to the next grade when qualified and recommended by management. Identification of promotion potential in this position does not constitute a commitment or an obligation on the part of management to promote the employee. Promotion will depend upon administrative approval and the continuing need for the actual assignment and performance of the higher level duties.To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.",111560.0,72168.0,Permanent,Langley Research Center,Per Year,2018-01-08,LA18D0001,"Hampton, Virginia",2017-12-05,"Research Materials Engineer, AST - Structural Materials  ","Applicant must have one year of specialized experience equivalent to the next lower grade, which has equipped the applicant with the particular competencies needed to successfully perform the duties of the position described above.GS-12: Experience in material science and engineering to resolve novel or obscure problems in multifunctional composite materials; extend and modify composite materials processing techniques.GS-13: Demonstrated specialized experience and knowledge in understanding of mechanical engineering, material science, composite defects, cure processing and parameters, and process modeling for future utilization in smart manufacturing. Experience and knowledge of time/temperature/phase characteristics for epoxy cure processes and methods/software used for prediction of epoxy characteristics during cure.",https://www.usajobs.gov:443/GetJob/ViewDetails/485784300
2017-12-26,Department of Commerce,ZP,"This position will conduct research on firebrand ignition including large-scale experiments and computational modeling where our division is currently trying to extend our building fire models into the wildland arena. An emphasis will be placed on the ignition of building material fuel beds from the accumulation of firebrands because the ignition of structures from burning, airborne firebrands causes so much damage in wildland-urban interface fires.Are you ready to explore your future with NIST?Your application package may be shared with other selecting officials at NIST with opportunities like the one you are applying to. Additional selections may be made through this vacancy.",103639.0,66510.0,Term not to exceed two years.,National Institute of Standards and Technology,Per Year,2017-12-26,NISTEL-2018-0005,"Gaithersburg, Maryland",2017-12-18,Mechanical Engineer ZP-0830-III (GS-11/12 equivalent),"Basic Requirement: Degree: professional engineering. To be acceptable, the curriculum must: (1) be in a school of engineering with at least one curriculum accredited by the Accreditation Board for Engineering and Technology (ABET) as a professional engineering curriculum; or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science or physics: (a) statics, dynamics; (b) strength of materials (stress-strain relationships); (c) fluid mechanics, hydraulics; (d) thermodynamics; (e) electrical fields and circuits; (f) nature and properties of materials (relating particle and aggregate structure to properties); and (g) any other comparable area of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics, or electronics.ORCombination of education and experience - college-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying professional engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following:Professional registration - Current registration as a professional engineer by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions.Written Test - Evidence of having successfully passed the Engineer-in-Training (EIT) examination, or the written test required for professional registration, which is administered by the Boards of Engineering Examiners in the various States, the District of Columbia, Guam, and Puerto Rico.Applicants who have passed the EIT examination and have completed all the requirements for either (a) a bachelor's degree in engineering technology (BET) from an accredited college of university that included 60 semester hours of courses in the physical, mathematical, and engineering sciences, or (b) a BET from a program accredited by the Accreditation Board for Engineering and Technology (ABET) may be rated eligible for certain engineering positions at GS-5. Eligibility is limited to positions that are within or closely related to the specialty field of the engineering technology program. Applicants for positions that involve highly technical research, development, or similar functions requiring an advanced level of competence in basic science must meet the basic requirements in paragraph A.Because of the diversity in kind and quality of BET programs, graduates of other BET programs are required to complete at least 1 year of additional education or highly technical work experience of such nature as to provide reasonable assurance of the possession of the knowledge, skills, and abilities required for professional engineering competence. The adequacy of this background must be demonstrated by passing the EIT examination.Specified academic courses - Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and in engineering that included the courses specified in the basic requirements. The courses must be fully acceptable toward meeting the requirements of a professional engineering curriculum as described in paragraph A.Related curriculum - Successful completion of a curriculum leading to a bachelor's degree in engineering technology or in an appropriate professional field, e.g., physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. (The above examples of related curricula are not all-inclusive.) IN ADDITION TO THE BASIC REQUIREMENT: Applicant must possess one year (52 weeks) of Specialized Experience equivalent to the GS-10 grade level in the federal service (ZP-II for NIST employees). Specialized experience is defined as experience in conducting combustion experiments including heat and mass transfer, gas-phase combustion chemistry and model development. Experience using a gas chromatograph/mass spectrometer and interpreting results. ORMaster&#8217;s or equivalent graduate degreeORA combination of education and experience.Qualification requirements in the vacancy announcement are based on the U.S. Office of Personnel Management (OPM) Qualification Standards Handbook, which contains Federal qualification standards. This handbook is available on the OPM website located at http:///www.opm.gov/qualifications.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486781600
2017-12-29,Department of the Navy,NF,"The purpose of the Child and Youth Program (CYP) Training and Curriculum (T&amp;C) Specialist position is threefold: (1) to provide and deliver a comprehensive training program to CYP employees and Child Development Home (CDH) providers that supports the professional requirements of their positions, (2) to assist with the implementation of a developmentally appropriate curriculum/program that fosters the physical, social, emotional, cognitive and language development of children and youth, ages 6 weeks to 18 years, and (3) to promote school readiness and support ongoing school success. A comprehensive CYP training program directly correlates to the quality of child and youth programs provided. A T&amp;C Specialist is assigned responsibility for providing training to CYP employees and CDH providers based on needs of the CYP. The incumbent is expected to operate independently with minimum supervision toward the overall objectives of the programs. Incumbent utilizes child and youth development and training expertise to role model, mentor, coordinate and provide training, observe for successful implementation of training, assess development of children and youth by direct observation, and provide services that lead to obtaining and/or maintaining accreditation by National Association for the Education of Young Children (NAEYC), Council on Accreditation (COA), or National Association for Family Child Care (NAFCC) and to provide services in support of the implementation of the Boys and Girls Club (BGCA), and 4-H curriculum.",31.5,28.0,Permanent,"Commander, Navy Installations",Per Hour,2017-12-29,69-17,"Naval Post Graduate School, Monterey, California",2017-11-29,CYP Training and Curriculum Specialist,"Knowledge, skill, and ability to independently manage a developmentally appropriate program for the age groups served. Knowledge and background of child and youth programs including principles, practices and techniques of child and youth development. Knowledge of Federal and State laws governing the detection and prevention of child abuse and/or neglect. Knowledge of the NAEYC, COA and NAFCC accreditation criteria and process, the required programs of the BGCA, 4-H, and the skills and knowledge to implement the Department of Defense (DoD) certification standards. Knowledge in interests and motivation of individuals and groups. Skill in planning, organizing, and implementing a variety of programs. Skill to develop curriculum outlines, courses of study lesson plans/guides, and to conduct training workshops. Ability to provide guidance and leadership to employees and providers. Ability to identify and respond to emergency situations including evacuations, child illness, and physical and emotional disorders. Ability to communicate effectively in English, both orally and in writing, and possess strong interpersonal communication skills.",https://www.usajobs.gov:443/GetJob/ViewDetails/485554800
2018-01-04,Department of the Navy,NF,"Plans, organizes, and conducts a physical fitness program that provides conditioning programs for authorized patrons.",24.5,19.0,Permanent,"Commander, Navy Installations",Per Hour,2018-01-04,70-17,"Naval Post Graduate School, Monterey, California",2017-12-04,Recreation Specialist- Fitness Coordinator,A minimum of three years experience that demonstrates a working knowledge of the assigned program. A degree from an accredited college/university in a related field may be substituted for two years of experience. Certification in CPR and First Aid is required.,https://www.usajobs.gov:443/GetJob/ViewDetails/485794600
2017-12-31,Department of the Navy,NA,Performs a variety of tasks related to stocking merchandise for selection by customers or in a stockroom.,15.93,13.65,0-40 Hours per week,"Commander, Navy Installations",Per Hour,2017-12-31,71-17,"Naval Post Graduate School, Monterey, California",2017-12-05,Store Worker ,"Acquires and uses a knowledge of the locations of stocked items, and how they should be displayed and stock rotated.",https://www.usajobs.gov:443/GetJob/ViewDetails/485915800
2017-12-31,Department of the Navy,NA,Food Service Worker position supports Food and Beverage operations including El Prado Dining Room and Catering operations at Naval Support Activity Monterey.,15.16,13.0,0-40 Hours Per Week,"Commander, Navy Installations",Per Hour,2017-12-31,72-17,"Naval Post Graduate School, Monterey, California",2017-12-05,Food Service Worker ,"Understanding of basic food handling techniques. Ability to follow oral instructions and perform routine manual tasks involving few steps. Must have and understanding of personal hygiene standards and simple food handling techniques such as wearing a hairnet, washing hands before cleaning food, and not touching rims of cups. Ability to read and understand written instructions and material such as schedules, menus, recipes, Must have the ability to work safely by moving carts without hitting things, stacking dishes without mishaps, and wiping up spilled foods and liquids to prevent falls. Knowledge of basic arithmetic may be necessary.",https://www.usajobs.gov:443/GetJob/ViewDetails/485940700
2017-12-31,Department of the Navy,NA,This position is located at the Navy Gateway Inns &amp; Suites operation at Naval Support Activity Monterey. The purpose of this position is to provide adequate and timely custodial services to the lodging operation.,15.93,13.65,Permanent,"Commander, Navy Installations",Per Hour,2017-12-31,73-17,"Naval Post Graduate School, Monterey, California",2017-12-05,Custodial Worker,"Able to apply general knowledge of cleaning procedures and proper use of cleaning equipment and approved, commonly used chemicals (include MSDS) and adherence to basic safety policies is required. Must be able to communicate clearly and effectively in English both verbally and in writing with management, staff, and guests.",https://www.usajobs.gov:443/GetJob/ViewDetails/485956200
