ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-05,Department of the Treasury,GS,"PLEASE NOTE: Based on the current hiring restrictions, external selectees may be subject to additional approvals prior to an offer being extended.It is anticipated that there will be significant interest in the announcement. As a result, the announcement will close at 11:59 p.m. ET on the date of receipt of the 75th application or at 11:59 p.m. ET on 1/5/2018; whichever occurs first. Any required documents should be submitted at the time that you apply as documents will not be accepted after the vacancy closes.The position is assigned to the Kansas City Financial Center (KFC), Payment and Mail Operations Branch. The primary purpose of the position is to issue federal payments and sensitive financial documents on behalf of federal agencies. **This is a seasonal position which requires working night shift hours (from 3:00pm to 11:30pm CST)**",38334.0,29492.0,Full-time Seasonal,Bureau of the Fiscal Service,Per Year,2018-01-05,18-FS-27-P,"Kansas City, Missouri",2017-12-23,Peripheral Equipment Operator (Universal Operator),"You must meet the following requirements by the closing date of this announcement.General experience: For the GS-04, must have one year of general experience which includes progressively responsible clerical, office, or other work that indicates ability to acquire the particular knowledge and skills needed to perform the duties of the position to be filled.ORYou may substitute education for general or specialized experience as follows: 2 years of education above high school ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.",https://www.usajobs.gov:443/GetJob/ViewDetails/487336000
2018-01-04,Department of the Treasury,GS,"PLEASE NOTE: Based on the current hiring restrictions, external selectees may be subject to additional approvals prior to an offer being extended.It is anticipated that there will be significant interest in the announcement. As a result, the announcement will close at 11:59 p.m. ET on the date of receipt of the 50th application or at 11:59 p.m. ET on 1/4/2018; whichever occurs first. Any required documents should be submitted at the time that you apply as documents will not be accepted after the vacancy closes.The position is assigned to the Philadelphia Financial Center (PFC), Payment and Mail Operations Branch. The primary purpose of the position is to issue federal payments and sensitive financial documents on behalf of federal agencies. **This position requires the incumbent to be willing and able to work night shift hours as requested by management.**",41080.0,31604.0,Full-time Seasonal,Bureau of the Fiscal Service,Per Year,2018-01-04,18-FS-30-P,"Philadelphia, Pennsylvania",2017-12-22,Peripheral Equipment Operator (Universal Operator),"You must meet the following requirements by the closing date of this announcement.General experience: For the GS-04, you must have one year of general experience which includes progressively responsible clerical, office, or other work that indicates ability to acquire the particular knowledge and skills needed to perform the duties of the position to be filled. ORYou may substitute education for general or specialized experience as follows: 2 years of education above high schoolORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.",https://www.usajobs.gov:443/GetJob/ViewDetails/487285500
2018-01-02,Department of the Treasury,GS,"PLEASE NOTE: Based on the current hiring restrictions, external selectees may be subject to additional approvals prior to an offer being extended.This position is located in Payment Management, Kansas City Financial Center, Payment and Mail Operations Branch. The primary purpose of the position is to issue federal payments and sensitive financial documents on behalf of federal agencies.The position being filled is for Day shift 7:00 a.m. to 3:30 p.m.",38334.0,29492.0,Full-time,Bureau of the Fiscal Service,Per Year,2018-01-02,18-FS-24-P,"Kansas City, Missouri",2017-12-20,Peripheral Equipment Operator (Universal Operator),"You must meet the following requirements by the closing date of this announcement.General experience: For the GS-04, you must have one year of general experience which includes progressively responsible clerical, office, or other work that indicates ability to acquire the particular knowledge and skills needed to perform the duties of the position to be filled.ORYou may substitute education for general experience as follows: 2 years of education above high school.ORYou may qualify by a combination of experience and education. Options for qualifying based on a combination will be identified in the online questions.",https://www.usajobs.gov:443/GetJob/ViewDetails/487077100
2018-01-02,Department of the Army,WG,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. This position is being announced concurrently under WTEF174737502994 under Merit Promotion procedures. About the Position:
Serves as a Tractor Operator (Motor Vehicle Operator) for US Army Garrison Ft. Hood, Directorate of Public Works, Maintenance Division. About the Surrounding Area:
Fort Hood rests in the beautiful &#39;hill and lake&#39; country of Central Texas between Killeen and Copperas Cove and is approximately 60 miles north of the capital city of Austin, 50 miles south of Waco, 160 miles south of Dallas, and 150 miles north of San Antonio. For everyone who enjoys the outdoors, The Great Place is the ideal location, because of warm winters and hot summers. The nearby lakes, Belton and Stillhouse, offer year round outdoor recreation activities. Who May Apply: US Citizens",20.4600,17.5400,Permanent,Army Installation Management Command,Per Hour,2018-01-02,WTEF174737503002D,"Fort Hood, Texas",2017-12-18,Tractor Operator (Motor Vehicle Operator),"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision. Minimum Qualifications (Screen Out Element): Ability to do the work of an Tractor Operator (Motor Vehicle Operator) without more than normal supervision performing common farm-type tractor operation; tree and shrub pruning, and moderately heavy vehicle operation duties. I am skilled in the use and operation of farm or light industrial tractor equipment and attachments in support of ground maintenance activities. I can operate and repair of a variety of commercial type vehicles with multiple gear ranges and/or hydraulic equipment. I work under close supervision of a work leader or journey-level employee who observes tasks in progress and upon completion to make sure they are properly performed. - Failure to meet this Screen out Element will result in an ineligible rating. Ability To Do The Work Of The Position Without More Than Normal Supervision (Screen-out Element)Ability to Drive Safely (Motor Vehicles)Ability To Interpret Instructions, Specifications, etc. (related to mobile equipment operation)Ability To Operate Safely (Non-Motor Vehicle)Operation of Motor VehiclesReliability and Dependability as a Tractor OperatorWork Practices (includes keeping things neat, clean, and in order) PHYSICAL EFFORT: The work requires constant arm and leg movement to turn and operate tractor or trucks. At times the operator has to exert extra effort to maintain balance and position at the controls of the equipment. Work requires sitting, standing, stooping, bending and climbing on equipment. Incumbent must climb ladders when pruning and trimming trees. Regularly requires lifting, positioning and carrying of items weighing 40 to 50 pounds. WORKING CONDITIONS: Works outside in all kinds of weather; subject to discomfort of dust, exhaust fumes and traffic hazards. Operation of tractor involves driving over steep slopes, rough terrain and some danger of injury to hands and/or fingers while installing and/or removing attachments. Is exposed to injuries from the use of tools, falls, and falling objects such as tree limbs. Wears protective clothing.",https://www.usajobs.gov:443/GetJob/ViewDetails/486850700
2018-02-27,Department of the Interior,WG,"The Bureau of Land Management (BLM) is looking for temporary employees to work as an Aircraft Attendant (Motor Vehicle Operator) in Nevada.First Consideration Date: The following location will begin to consider applicants prior to the closing date of the announcement. You must apply on or before the date indicated below to receive first consideration. Thereafter, applications may be considered as needed, during the open period of the announcement: 01/09/2018Battle Mountain, NVStead, NVWinnemucca, NVFor contacts and information regarding housing availability visit Fire Contacts on the DOI Fire Jobs website and select Nevada.",21.54,18.47,The length and actual dates of employment may vary depending on the position.,Bureau of Land Management,Per Hour,2018-02-27,BLM-FIRE-2018-029-DE,"Battle Mountain, Nevada|Stead AFB, Nevada|Winnemucca, Nevada",2017-11-27,Aircraft Attendant (Motor Vehicle Operator),"The Office of Personnel Management (OPM) Job Qualifications System for Trades and Labor Occupations will be used in determining your qualifications. There is no specific length of training or experience required; however, you must be able to demonstrate through experience shown in your resume.To qualify for a WG-5: Experience working around aircraft performing duties such as aircraft start-up, taxiing, and parking.You must meet all qualification requirements by the early consideration/closing date of the announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/485205700
2017-12-26,Department of the Army,WG,"Looking for a great place to work? The U.S. Army Corps of Engineers is one of the best! In 2016, USACE ranked number two of government large-agency subcomponents! As rated by their employees, USACE supervisors strongly support employee development and opportunities to demonstrate leadership skills, while also maintaining an optimal work/life balance. The Corps offers a team-inspiring and collaborative work environment; providing challenging and rewarding careers across a variety of disciplines. Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
The Corps of Engineers, while a component of the U.S. Army, is mostly a civilian organization. The Corps works to reduce flood damage in communities across America; improve the environment for fish and wildlife; generate clean, renewable electricity; and provide recreational opportunities. The Portland District staff oversees the operation and maintenance of 19 multi-purpose dams in Oregon and a sediment retention structure in southwestern Washington. We also maintain more than 720 miles of federal navigation channels and 33 channel and harbor projects through the use of two government-owned hopper dredges and three hydrographic survey vessels. Who May Apply: US Citizens",31.5500,27.0700,Permanent,U.S. Army Corps of Engineers,Per Hour,2017-12-26,WTHE174623034326D,"Portland, Oregon",2017-12-12,Crane Operator,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision. Minimum Qualifications (Screen Out Element): Ability to do the work of an Crane Operator~ without more than normal supervision. To qualify for this position, you must show in your resume that you have performed the majority of the following duties without more than normal supervision: You must have the ability or potential ability to operate a mobile telescopic boom crane up to and including 75 ton capacity with boom and jib boom in excess of 115 feet. You must also have the ability or potential ability to maneuver a crane to compensate for tidal flow, vessel and debris drift, wind and vessel tilts. You must have the ability or potential ability to determine the weight of the lifts and know what moves, angles and length of booms will be required to move loads and stay within the lifting capacity of the crane. You must have the ability or potential ability to determine the type of rigging needed for various sizes, shapes and weights. You must have the ability or potential ability to perform routine inspection of hoisting equipment and cables for condition and safety. - Failure to meet this Screen out Element will result in an ineligible rating. Ability To Do The Work Of The Position Without More Than Normal Supervision (Screen-out Element)Ability to Drive Safely (Motor Vehicles) and Ability to Operate Safely (Non-Motor Vehicle)Ability To Interpret Instructions, Specifications, etc. (related to mobile equipment operation)Operation of Motor VehiclesReliability And DependabilityWork Practices (includes keeping things neat, clean, and in order) Physical Effort: Incumbent is required to exert moderate to heavy physical exertion on a regular basis in order to assist in pushing, pulling, or lifting heavy dredge or powerhouse parts and equipment. Incumbent must have depth perception and the ability to see in low visibility conditions to operate cranes. Working Conditions: Work is performed outside during periods of extreme heat and cold from a cab generally open on one side for clear vision and ventilation, is frequently noisy, dirty and subject to fumes, occasionally disagreeable dust, abnormal heat or cold and inadequate heating, and exposed to danger from swinging loads, moving machinery, overturning and breakage of cables. Incumbent is exposed to noise in excess of 80 decibels during operation of the crane and to the effects of acids and solvents when performing maintenance work on the crane. Work is performed at night and during peak workload periods. Incumbent is responsible for the safety of persons or property and incumbents actions could pose a potential hazard to others. Must possess or be able to obtain and maintain a government operator&#39;s permit endorsed for various cranes operated and/or maintained IAW the NWD Crane Operator Certification Program.",https://www.usajobs.gov:443/GetJob/ViewDetails/486367500
2017-12-26,Department of the Army,WG,"This MOTOR VEHICLE OPERATOR position, is located in an ARNG/ANG National Guard organization and is part of the CA Training Site CR, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",36.9900,23.8400,Indefinite,Army National Guard Units (Title 32/Title 5),Per Hour,2017-12-26,CA-10087441-AR-18-039,"Camp Roberts, California",2017-12-05,MOTOR VEHICLE OPERATOR,"General Experience: Experience or training which demonstrates the ability to follow instructions and safely operate the type of equipment required to accomplish the duties of the position. MOTOR VEHICLE OPERATOR, WG-5703- 8: Experience or training which demonstrates the ability to operate one or more motor vehicles including platform trucks, van trucks, fuel trucks, stake trucks, dump trucks, and trash removal trucks which typically have an approximate gross vehicle weight of more than 11,700 kilograms (26,000 pounds) and up to 14,400 kilograms (less than 32,000 pounds); Experience operating vehicles and tractors, some of which may be equipped with special-purpose powered equipment; Experience operating platform, van, stake and dump trucks, refueling vehicles passenger buses or ambulance buses. Your qualifications will be evaluated on the following competencies:
Ability To InspectAbility To Interpret Instructions, Specifications, etc. (related to mobile equipment operation)Vehicle MaintenanceWork Practices (includes keeping things neat, clean, and in order)",https://www.usajobs.gov:443/GetJob/ViewDetails/485962600
2017-12-27,Department of the Navy,WG,"The selectee for this position will serve as a Crane Operator in the Lifting and Handling Department, Deputy Lifting and Handling Department, Crane Maintenance Division, Portal Crane Maintenance Branch of NORFOLK NAVAL SHIPYARD.",27.2900,23.3900,Permanent,"U.S. Atlantic Fleet, Commander in Chief",Per Hour,2017-12-27,DE-10087263-18-TFS,"Naval Shipyard, Portsmouth, Virginia",2017-12-14,CRANE OPERATOR,"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities, to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities, as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. Although a specific length of time and experience is not required for most trade and labor occupations, you must show through experience and training that you possess the quality level of knowledge and skill necessary to perform the duties of the position at the level for which you are applying. Qualification requirements emphasis is on quality of experience, not necessarily the length of time. Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the job elements and screen out listed below. This job has a screen-out element which will be used to determine minimum eligibility for this job. Applicants who do not receive a minimum of two points on the screen-out element(s) will be found ineligible. The Screen-out Element for this position is: Ability to fo work of the position without more than normal supervision. - Utilize eye, hand, and foot coordination to operate various controls.
- Operate various types of cranes, such as, fixed position or traveling cranes equipped with booms.
- Load and unload equipment and supplies where obstruction are in the way. Applicants must meet the requirements of the Office of Personnel Management (OPM) Job Qualification System for Trades and Labor Occupations (X-118C). Additional qualification information can be found at: http://www.opm.gov/qualifications/x-118c/tabindx.asp. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.",https://www.usajobs.gov:443/GetJob/ViewDetails/486547500
2017-12-27,Department of the Air Force,WG,"This MOTOR VEHICLE OPERATOR position, is located in the Fuels Management Branch of the Base Supply function at an Air National Guard (ANG) organization that obtains aviation fuels support from a fuel farm operated and maintained by a host activity and is part of the CA 129 RQW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",31.9700,27.4300,Excepted Permanent,Air National Guard Units (Title 32/Title 5),Per Hour,2017-12-27,CA-10090954-AF-17-756,"Moffett Field, California",2017-12-06,MOTOR VEHICLE OPERATOR,"General Experience: Experience or training which demonstrates the ability to follow instructions and safely operate the type of equipment required to accomplish the duties of the position. MOTOR VEHICLE OPERATOR, WG-5703-8: Must have 12 months experience or training which demonstrates the ability to operate one or more motor vehicles including platform trucks, van trucks, fuel trucks, stake trucks, dump trucks, and trash removal trucks which typically have an approximate gross vehicle weight of more than 11,700 kilograms (26,000 pounds) and up to 14,400 kilograms (less than 32,000 pounds); experience operating vehicles and tractors, some of which may be equipped with special-purpose powered equipment; experience operating platform, van, stake and dump trucks, refueling vehicles passenger buses or ambulance buses. Your qualifications will be evaluated on the following competencies:
Ability To InstructAircraft MaintenanceAttention to DetailVehicle Operation",https://www.usajobs.gov:443/GetJob/ViewDetails/486081500
2017-12-31,Department of the Air Force,WG,"FEDERAL TECHNICIAN VACANCY ANNOUNCEMENT THIS IS A MILITARY POSITION
PERMANENT
DUAL STATUS, NON-BARGAINING
166 LGS SQ Open to applicants in Areas of Consideration: I, II, III AREA I = All presently employed Delaware Air National Guard permanent federal technicians.
AREA II = All currently active members of the Delaware Air National Guard.
AREA III = Must be willing to become a member of the Delaware Air National Guard
THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a MOTOR VEHICLE OPERATOR, Position Description Number D1961000 and is part of the DE 166 Logistic Readiness Squadron, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",27.9000,23.9400,Permanent,Air National Guard Units (Title 32/Title 5),Per Hour,2017-12-31,DE-10090500-18-OSS,"New Castle, Delaware",2017-12-01,MOTOR VEHICLE OPERATOR,"GENERAL EXPERIENCE: Experience or training which demonstrates the ability to follow instructions and safely operate the type of equipment required to accomplish the duties of the position. SPECIALIZED EXPERIENCE: Experience or training which demonstrates the ability to operate one or more motor vehicles including platform trucks, van trucks, fuel trucks, stake trucks, dump trucks, and trash removal trucks which typically have an approximate gross vehicle weight of more than 11,700 kilograms (26,000 pounds) and up to 14,400 kilograms (less than 32,000 pounds). Experience operating vehicles and tractors, some of which may be equipped with special-purpose powered equipment. Experience operating platform, van, stake and dump trucks, refueling vehicles passenger buses or ambulance buses.",https://www.usajobs.gov:443/GetJob/ViewDetails/485573800
