ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-15,Department of the Air Force,AD,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. Wright-Patterson Air Force Base is one of the U.S. Air Force&#39;s largest and most important installations. It is the birthplace, home and future of aerospace. By virtually any measure, ""Wright-Patt"" is the most diverse and organizationally complex base in the U.S. Air Force. This is where America&#39;s Air Force aircraft of tomorrow are conceived, developed, and acquired. AFIT is regionally accredited by The Higher Learning Commission (HLC). In addition to its regional accreditation, the Engineering Accreditation Commission of ABET accredits the following master&#39;s degree programs in the Graduate School of Engineering and Management: Aeronautical Engineering, Astronautical Engineering, Computer Engineering, Electrical Engineering, Nuclear Engineering, Environmental Engineering and Science, Engineering Management, and Systems Engineering. Also, the Industrial Hygiene master&#39;s degree program is accredited by the Applied Science Accreditation Commission of ABET. AFIT&#39;s Carnegie Classification is: Doctoral Universities - Moderate Research Activity NOTE: Initial appointment is under Schedule A appointing authority, Excepted Appointment Not-to-Exceed 3 years. At the time of the expiration of the initial appointment an employee who adequately demonstrates professional competence can be extended in increments of 1, 2 or 3 years or for an indefinite period. If awarded *Permanent Academic Tenure by the organization, may be converted to an Indefinite appointment in the Excepted Service without time limitations. An initial appointment can be allowed to expire for an employee who does not adequately demonstrate professional competence. The appointment cannot be converted to a permanent tenure in the competitive service. (*Permanent academic tenure refers only to professional academic tenure; it does not encompass ""Status"" as used in civil service regulations regarding career tenure with competitive service appointments.) Position Location:
USAF, Air Education and Training Command (AETC)
Air University (AU)
Air Force Institute of Technology (AFIT)
Graduate School of Engineering and Management,
Department of Aeronautics and Astronautics
Wright-Patterson AFB OH 45433",172100.0000,59950.0000,3 year,Air Force Materiel Command,Per Year,2018-01-15,AFMC-10071795-000000-9X-JED,"Wright-Patterson AFB, Ohio",2017-11-09,Assist/Assoc/ Professor of Aerospace Engineering,"REQUIRED QUALIFICATIONS: Applicants must have an earned doctoral degree in Aerospace Engineering, Mechanical Engineering, or related field is required, with emphasis in areas of Hypersonics and/or Aerothermodynamics. DESIRED QUALIFICATIONS: Demonstrated professional knowledge of foundational and advanced topics associated with aerospace engineering. These areas include, but are not limited to: aspects of propulsion including: gas turbine engines, rocket propulsion, propulsion for unmanned air vehicles; controls for aircraft and spacecraft; aerodynamics of aircraft and spacecraft. Faculty in any of these areas will have at least a year of formal education and a year of research in these areas beyond the Masters of Science degree. Possess the ability to communicate clearly and expertly (in English) in both verbal and written forms concerning academic, administrative, and technical subject matters. At the Assistant Professor rank: Applicants at this level should have a strong potential for both teaching and research at the graduate level. At the Associate Professor rank: An initial appointment to the academic rank of Associate Professor must be based on convincing evidence that the applicant has demonstrated excellence as a teacher, as a scholar, and as one who provides effective service. The applicant must have six years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than three years of full-time university-level teaching at the Assistant Professor rank or higher. Alternatively, for those with fewer than three years of teaching experience, the requirement is six years of significant professional experience with research credentials normally expected of a full Professor. At the Full Professor rank: An initial appointment to the academic rank of Professor must be based on convincing evidence that the applicant has a sustained record of excellence in teaching, has produced a significant body of scholarship that is recognized nationally or internationally, and has demonstrated leadership in service to the discipline. The applicant must have a minimum of ten years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than six years of full-time university-level teaching with a minimum of three years at the Associate Professor rank or higher. Alternatively, for those with fewer than six years of teaching experience, the requirement is ten years of significant professional experience with research credentials substantially more than those normally expected of a full Professor.",https://www.usajobs.gov:443/GetJob/ViewDetails/484121900
2018-01-15,Department of the Air Force,AD,"AFIT is regionally accredited by The Higher Learning Commission (HLC). In addition to its regional accreditation, the Engineering Accreditation Commission of ABET accredits the following master&#39;s degree programs in the Graduate School of Engineering and Management: Aeronautical Engineering, Astronautical Engineering, Computer Engineering, Electrical Engineering, Nuclear Engineering, Environmental Engineering and Science, Engineering Management, and Systems Engineering. Also, the Industrial Hygiene master&#39;s degree program is accredited by the Applied Science Accreditation Commission of ABET. AFIT&#39;s Carnegie Classification is: Doctoral Universities - Moderate Research Activity NOTE: Initial appointment is under Schedule A appointing authority, Excepted Appointment Not-to-Exceed 3 years. At the time of the expiration of the initial appointment an employee who adequately demonstrates professional competence can be extended in increments of 1, 2 or 3 years or for an indefinite period. If awarded *Permanent Academic Tenure by the organization, may be converted to an Indefinite appointment in the Excepted Service without time limitations. An initial appointment can be allowed to expire for an employee who does not adequately demonstrate professional competence. The appointment cannot be converted to a permanent tenure in the competitive service. (*Permanent academic tenure refers only to professional academic tenure; it does not encompass ""Status"" as used in civil service regulations regarding career tenure with competitive service appointments.) This is a Tenure track position: Academic tenure is based upon performance and approval of the faculty and may be considered after the initial or subsequent 3-year period. Selectee may be offered an initial appointment with tenure if their academic credentials warrant such an action. Position Location:
USAF, Air Education and Training Command (AETC)
Air University (AU)
Air Force Institute of Technology (AFIT)
Graduate School of Engineering and Management,
Department of Aeronautics and Astronautics
Wright-Patterson AFB OH 45433",172100.0000,59950.0000,3 years,Air Force Materiel Command,Per Year,2018-01-15,AFMC-10074568-000000-9X-JED,"Wright-Patterson AFB, Ohio",2017-11-15,Assist/Assoc/Professor of Aerospace Engineering,"REQUIRED QUALIFICATIONS: An earned Doctorate degree in Aerospace Engineering, Mechanical Engineering, or related field is required, with emphasis in areas of Propulsion, Controls, or Aerodynamics. At the Assistant Professor rank (AD-22): Applicants at this level should have a strong potential for both teaching and research at the graduate level. At the Associate Professor rank (AD-23): An initial appointment to the academic rank of Associate Professor must be based on convincing evidence that the applicant has demonstrated excellence as a teacher, as a scholar, and as one who provides effective service. The applicant must have six years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than three years of full-time university-level teaching at the Assistant Professor rank or higher. Alternatively, for those with fewer than three years of teaching experience, the requirement is six years of significant professional experience with research credentials normally expected of a full Professor. At the Full Professor rank (AD-24): An initial appointment to the academic rank of Professor must be based on convincing evidence that the applicant has a sustained record of excellence in teaching, has produced a significant body of scholarship that is recognized nationally or internationally, and has demonstrated leadership in service to the discipline. The applicant must have a minimum of ten years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than six years of full-time university-level teaching with a minimum of three years at the Associate Professor rank or higher. Alternatively, for those with fewer than six years of teaching experience, the requirement is ten years of significant professional experience with research credentials substantially more than those normally expected of a full Professor. DESIRED QUALIFICATIONS: Demonstrated professional knowledge of foundational and advanced topics associated with aerospace engineering. These areas include, but are not limited to: aspects of propulsion including: gas turbine engines, rocket propulsion, propulsion for unmanned air vehicles; controls for aircraft and spacecraft; aerodynamics of aircraft and spacecraft. Faculty in any of these areas will have at least a year of formal education and a year of research in these areas beyond the Masters of Science degree. Possess the ability to communicate clearly and expertly (in English) in both verbal and written forms concerning academic, administrative, and technical subject matters Essential qualities expected of every faculty member include the personal attributes of integrity, industry, cooperation, initiative, enthusiasm, and breadth of intellectual interests.",https://www.usajobs.gov:443/GetJob/ViewDetails/484373200
2018-01-15,Department of the Air Force,AD,"AFIT is regionally accredited by The Higher Learning Commission (HLC). In addition to its regional accreditation, the Engineering Accreditation Commission of ABET accredits the following master&#39;s degree programs in the Graduate School of Engineering and Management: Aeronautical Engineering, Astronautical Engineering, Computer Engineering, Electrical Engineering, Nuclear Engineering, Environmental Engineering and Science, Engineering Management, and Systems Engineering. Also, the Industrial Hygiene master&#39;s degree program is accredited by the Applied Science Accreditation Commission of ABET. AFIT&#39;s Carnegie Classification is: Doctoral Universities - Moderate Research Activity NOTE: Initial appointment is under Schedule A appointing authority, Excepted Appointment Not-to-Exceed 3 years. At the time of the expiration of the initial appointment an employee who adequately demonstrates professional competence can be extended in increments of 1, 2 or 3 years or for an indefinite period. If awarded *Permanent Academic Tenure by the organization, may be converted to an Indefinite appointment in the Excepted Service without time limitations. An initial appointment can be allowed to expire for an employee who does not adequately demonstrate professional competence. The appointment cannot be converted to a permanent tenure in the competitive service. (*Permanent academic tenure refers only to professional academic tenure; it does not encompass ""Status"" as used in civil service regulations regarding career tenure with competitive service appointments.) This is a Tenure track position: Academic tenure is based upon performance and approval of the faculty and may be considered after the initial or subsequent 3-year period. Selectee may be offered an initial appointment with tenure if their academic credentials warrant such an action. Position Location:
USAF, Air Education and Training Command (AETC)
Air University (AU)
Air Force Institute of Technology (AFIT)
Graduate School of Engineering and Management,
Department of Aeronautics and Astronautics
Wright-Patterson AFB OH 45433",172100.0000,59950.0000,3 years,Air Force Materiel Command,Per Year,2018-01-15,AFMC-10081852-000000-9X-JED,"Wright-Patterson AFB, Ohio",2017-11-17,Assis/Assoc/ Professor of Aerospace Engineering,"REQUIRED QUALIFICATIONS: An earned Doctorate degree in Astronautical Engineering, Aerospace Engineering, Aeronautical Engineering, Mechanical Engineering, or related field is required, with emphasis in areas of Spacecraft Design and/or Controls. At the Assistant Professor rank (AD-22): Applicants at this level should have a strong potential for both teaching and research at the graduate level. At the Associate Professor rank (AD-23): An initial appointment to the academic rank of Associate Professor must be based on convincing evidence that the applicant has demonstrated excellence as a teacher, as a scholar, and as one who provides effective service. The applicant must have six years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than three years of full-time university-level teaching at the Assistant Professor rank or higher. Alternatively, for those with fewer than three years of teaching experience, the requirement is six years of significant professional experience with research credentials normally expected of a full Professor. At the Full Professor rank (AD-24): An initial appointment to the academic rank of Professor must be based on convincing evidence that the applicant has a sustained record of excellence in teaching, has produced a significant body of scholarship that is recognized nationally or internationally, and has demonstrated leadership in service to the discipline. The applicant must have a minimum of ten years of significant professional experience after having earned the doctoral degree. These will normally include no fewer than six years of full-time university-level teaching with a minimum of three years at the Associate Professor rank or higher. Alternatively, for those with fewer than six years of teaching experience, the requirement is ten years of significant professional experience with research credentials substantially more than those normally expected of a full Professor. DESIRED QUALIFICATIONS: Demonstrated professional knowledge of foundational and advanced topics associated with aerospace engineering. These areas include, but are not limited to: all aspects of the design of satellites or other spacecraft; and controls for aircraft and spacecraft. Faculty in any of these areas will have at least a year of formal education and a year of research in these areas beyond the Masters of Science degree. Possess the ability to communicate clearly and expertly (in English) in both verbal and written forms concerning academic, administrative, and technical subject matters. Essential qualities expected of every faculty member include the personal attributes of integrity, industry, cooperation, initiative, enthusiasm, and breadth of intellectual interests.",https://www.usajobs.gov:443/GetJob/ViewDetails/484730300
2018-01-05,Department of the Navy,NF,"This position is located at the Fleet &amp; Family Service Center, NAS Lemoore. The primary purpose of this position is to provide direct service in the form of counseling individuals, couples, families and groups on matters pertaining to family dynamics, parent-child interaction, couples communication, stress reduction and adjustment to military lifestyle.",29.5,27.0,Permanent,"Commander, Navy Installations",Per Hour,2018-01-05,09317,"Lemoore Naval Air Station, California",2017-11-13,Generalist Counselor,"Clinical counseling includes the psychosocial assessment of individuals, development of treatment plans, treatment delivery and appropriate referral for active duty military members and their families. In addition to clinical counseling duties, the Navy Family Advocacy Program requires ability to provide case management services, which include the identification and reporting of allegations of child and spouse abuse. The ability to assess risk and prepare safety plans is required. The candidate must be able to complete psychosocial assessments and treatment plans, provide treatment or make appropriate referral. The position requires knowledge of intensive psychosocial services and a wide range of skills (casework, group work, individual and family therapy). Both clinical and Family Advocacy Cases may involve difficult and complex family problems, i.e., violence or mental health issues. Performs other related duties as required.",https://www.usajobs.gov:443/GetJob/ViewDetails/484356700
2018-01-05,Department of Energy,GS,"If you are ready to begin your new career or are looking for a place to make an impact, what better place than a top 5 agency? We are looking for the best and brightest to join our team of dedicated professionals here at the Federal Energy Regulatory Commission (FERC).FERC&#8217;s role is to oversee various aspects of the energy industry, including transmission of electricity, natural gas and oil. We also analyze proposals to build liquefied natural gas terminals and interstate natural gas pipelines and license hydropower projects. To help support the modernization of the electric system here in the U.S., we are focusing on issues associated with a smarter grid. Our employees gain valuable work experience that provides them with the career boost that they are seeking. We need people like you to help us move the industry forward and continue to shape the future of energy policy. Join us and help make a difference!This position is included in the bargaining unit.Please note - Only your resume and cover letter will be forwarded to the selecting official.More than one selection may be made from this announcement and the office for that selection may vary. Position can be filled as a General, Safety, Fire Protection, Civil, Mechanical or Chemical Engineer.",103639.0,66510.0,Permanent,Federal Energy Regulatory Commission (FERC),Per Year,2018-01-05,FERC-DE-2018-0026,"Washington DC, District of Columbia",2017-12-22,Interdisciplinary Engineer (801/803/804/810/830/893),"In addition to meeting the educational requirement for engineering, candidates must have:GS-11: Must have one full year of specialized experience at or equivalent to the GS-9 level OR have completed requirements for a PhD or equivalent doctoral degree OR 3 full years of progressively higher level graduate education leading to a PhD or equivalent doctoral degree. If qualifying on PhD, all graduation requirements must be met and completed by June 15, 2018.Specialized Experience for GS-11 level: Experience performing moderately complex safety, reliability, and engineering analysis of petrochemical facilities.GS-12: Candidates must have one full year of specialized experience at or equivalent to the GS-11 level.Specialized experience for GS-12 level: Experience performing complex safety, reliability, and engineering analysis for petrochemical facilities.",https://www.usajobs.gov:443/GetJob/ViewDetails/487380400
2018-01-19,National Aeronautics and Space Administration,GS,"This is a Materials Engineer (AST, Structural Materials) position located in the Engineering Directorate. The engineer serves as a trainee working with more experienced materials scientists and engineers on tasks involving research, development, design, manufacturing, processing, testing and/or evaluation work on various kinds of metallic and non-metallic materials for use in aerospace applications. These tasks may also include characterizing the effects of space environments, loads, stresses, friction and wear on the structures and materials used for aerospace applications and related support systems. Assignments will focus on the problems of the engineering development, evaluation, selection, and application of advanced structural materials and their associated processes for aerospace vehicles and their power and propulsion systems. The materials research and development work encompasses engineering materials that include metals, intermetallics, ceramics, polymers, composites, and bio-materials. Also materials processing such as welding, forging, extrusion, forming and material forensics such as diagnostics and failure analysis.COMMENTS:To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.TO BE ELIGIBLE FOR A DISTINGUISHED SCHOLAR APPOINTMENT, AN APPLICANT MUST HAVE RECEIVED THE QUALIFYING DEGREE FROM MAY 2016 TO MAY 2018APPLICANTS SELECTED ARE EXPECTED TO REPORT FOR DUTY IN BETWEEN MAY 2018 THROUGH JULY 2018.SALARY IS SUBJECT TO CHANGE.GRADUATION DATE MUST BE REFLECTED ON APPLICANTS RESUME.GPA MUST BE REFLECTED ON APPLICANT'S RESUME.FIELD OF STUDY GPA MUST BE REFLECTED ON APPLICANT'S RESUME.AS IDENTICAL VACANCIES ARE IDENTIFIED, ADDITIONAL SELECTIONS MAY BE MADE.",80147.0,45970.0,Permanent,George C. Marshall Space Flight Center,Per Year,2018-01-19,MS18G0001,"Huntsville, Alabama",2017-12-08,Materials Engineer,"All candidates for Distinguished Scholar appointments qualify on the basis of education. Candidates must meet the required grade level criteria and must have received the qualifying degree from an accredited university within two years of the date of appointment.Candidates must meet specific degree requirements to qualify, regardless of work experience. The minimum degree requirement for each grade level is listed below:GS-7 - Qualifying Bachelor's or Graduate Level (e.g., MS or PhD) Degree with an overall GPA of 3.0 or higher and a GPA in the field of study of 3.5. Applicants must include their field of study GPA on their resume. At the GS-07 level, depending on the academic major, additional materials and structures coursework may be required.GS-9 - Qualifying Graduate Level Degree (e.g., MS or PhD) with a GPA of 3.5 or higher.GS-11 - Qualifying PhD with a GPA of 3.5 or higherFor all of the above, the degree used to qualify for the position must have been received within the last 2 years",https://www.usajobs.gov:443/GetJob/ViewDetails/486205700
2018-01-19,National Aeronautics and Space Administration,GS,"This position is a Computer Engineer (AST Data Systems) located in Flight and Ground Software Division (ES50) of the Space Systems Department at MSFC. Computer Engineers working for the Flight and Ground Software Division provide comprehensive engineering expertise for the development of flight software, ground software, and avionics test facilities that are critical for the human space flight programs, science investigations, and exploration initiatives of NASA. Coursework that included computer programming, software design, embedded systems, avionics, and/or flight software are highly desirable.COMMENTS:To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.TO BE ELIGIBLE FOR A DISTINGUISHED SCHOLAR APPOINTMENT, AN APPLICANT MUST HAVE RECEIVED THE QUALIFYING DEGREE FROM MAY 2016 TO MAY 2018.APPLICANTS SELECTED ARE EXPECTED TO REPORT FOR DUTY BETWEEN MAY 2018 THROUGH JULY 2018.SALARY IS SUBJECT TO CHANGE.GRADUATION DATE MUST BE REFLECTED ON APPLICANTS RESUME.GPA MUST BE REFLECTED ON APPLICANT'S RESUME.FIELD OF STUDY GPA MUST BE REFLECTED ON APPLICANT'S RESUME.AS IDENTICAL VACANCIES ARE IDENTIFIED, ADDITIONAL SELECTIONS MAY BE MADE.",80270.0,47027.0,Permanent,George C. Marshall Space Flight Center,Per Year,2018-01-19,MS18G0004,"Huntsville, Alabama",2017-12-08,Computer Engineer,"All candidates for Distinguished Scholar appointments qualify on the basis of education. Candidates must meet the required grade level criteria and must have received the qualifying degree from an accredited university within two years of the date of appointment.Candidates must meet specific degree requirements to qualify, regardless of work experience. The minimum degree requirement for each grade level is listed below:GS-7 - Qualifying Bachelor's or Graduate Level (e.g., MS or PhD) Degree with an overall GPA of 3.0 or higher and a GPA in the field of study of 3.5. Applicants must include their field of study GPA on their resume. At the GS-07 level, depending on the academic major, additional Data Systems and Analysis coursework may be required.GS-9 - Qualifying Graduate Level Degree (e.g., MS or PhD) with a GPA of 3.5 or higher.GS-11 - Qualifying PhD with a GPA of 3.5 or higherFor all of the above, the degree used to qualify for the position must have been received within the last 2 years",https://www.usajobs.gov:443/GetJob/ViewDetails/486206000
2018-01-19,National Aeronautics and Space Administration,GS,"This is an AST, Flight Structures position located in the Engineering Directorate. Work involves design and development engineering of flight vehicle structures. Problems may occur on a large variety of configurations over an extreme range of flight parameters, so investigations may overlap related structural fields. The work involves performing structural dynamic analysis of vehicles, spacecraft, and related components in the time and frequency domains. Academic fields related to materials and structures with areas of focus that include mechanical engineering, structures, and thermodynamics are highly desirable.COMMENTS:To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.TO BE ELIGIBLE FOR A DISTINGUISHED SCHOLAR APPOINTMENT, AN APPLICANT MUST HAVE RECEIVED THE QUALIFYING DEGREE FROM MAY 2016 TO MAY 2018.APPLICANTS SELECTED ARE EXPECTED TO REPORT FOR DUTY IN MAY 2018 TO JULY 2018.SALARY IS SUBJECT TO CHANGE.GRADUATION DATE MUST BE REFLECTED ON APPLICANTS RESUME.GPA MUST BE REFLECTED ON APPLICANT'S RESUME.FIELD OF STUDY GPA MUST BE REFLECTED ON APPLICANT'S RESUME.AS IDENTICAL VACANCIES ARE IDENTIFIED, ADDITIONAL SELECTIONS MAY BE MADE.",80147.0,45970.0,Permanent,George C. Marshall Space Flight Center,Per Year,2018-01-19,MS18G0005,"Huntsville, Alabama",2017-12-08,Aerospace Engineer,"All candidates for Distinguished Scholar appointments qualify on the basis of education. Candidates must meet the required grade level criteria and must have received the qualifying degree from an accredited university within two years of the date of appointment.Candidates must meet specific degree requirements to qualify, regardless of work experience. The minimum degree requirement for each grade level is listed below:GS-7 - Qualifying Bachelor's or Graduate Level (e.g., MS or PhD) Degree with an overall GPA of 3.0 or higher and a GPA in the field of study of 3.5. Applicants must include their field of study GPA on their resume. At the GS-07 level, depending on the academic major, additional materials and structures coursework may be required.GS-9 - Qualifying Graduate Level Degree (e.g., MS or PhD) with a GPA of 3.5 or higher.GS-11 - Qualifying PhD with a GPA of 3.5 or higherFor all of the above, the degree used to qualify for the position must have been received within the last 2 years",https://www.usajobs.gov:443/GetJob/ViewDetails/486206100
2017-12-29,Department of Veterans Affairs,VM,"To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans.
How would you like to become a part of a team providing compassionate care to Veterans?
As a VA professional, your opportunities are endless. With many openings in the multiple functions of VA, you will have a wide range of opportunities at your fingertips. Not only is it the largest, most technologically advanced integrated health care system in the nation, but we also provide many other services to Veterans through the Benefits Administration and National Cemeteries.
NOTE: The applicant's education and experience will be reviewed by a Compensation Panel in determining the salary of the applicant selected. The recommended salary may be at any point in the range listed for this vacancy.
VA Encourages Persons with Disabilities to Apply",375000.0,99957.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-29,VHA-652-17-CDE-2012435,"Richmond, Virginia",2017-09-19,Neurosurgeon,"EDUCATION: Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed.Approved schools are:(1)Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.(2)Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.(3)Schools (including foreign schools) accepted by the licensing body of a State, Territory, or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.
LICENSURE: Board Eligible/Board Certified and possess a current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure.
PHYSICAL REQUIREMENTS: The physical requirements of this position include lifting, prolonged standing and sitting, frequent bending, walking (distance), climbing, reaching (overhead, extensive/repetitive), repetitive motionand stooping. The mental/sensory requirements include recall, reasoning, problem-solving, hearing, speaking clearly, writing legibly, keyboarding, reading and logical thinking. The environment's pace can vary from steady to a sometimes fast pace requiring handling of multiple priorities, frequent, sometimes intense customer interactions, and the ability to adapt to frequent changes in a sometimes noisy environment. There may be the need to use personal protective equipment to prevent exposure to disease, illness and hazardous materials.
ENGLISH LANGUAGE PROFICIENCY: Must be proficient in spoken and written English as required by U.S.C. 7402(d)and 7405(f).",https://www.usajobs.gov:443/GetJob/ViewDetails/479882100
2018-04-06,Department of Commerce,GS,"Serving the economic interests of America for more than 200 years. The US Patent and Trademark Office (USPTO) is responsible for granting US intellectual property rights for patents and trademarks and providing inventors exclusive rights over their discoveries. It's an effort that contributes to a strong global economy, encourages investment in innovation, and cultivates an entrepreneurial spirit in the 21st century. The USPTO is seeking applications for the unpaid Patent Experience Externship Program (PEEP). PEEP offers opportunities in the areas of engineering, science, and law. Examples of positions within PEEP include: * Deputy Commissioner for Patent Operations: Provides administrative oversight to nine Patent Technology Centers and coordinates the activities of the examination of applications for patents; and is responsible for all patent examining functions in the Technology Centers and all operational aspects of patent application, initial examination, patent publications, and international applications processing.* Office of Patent Information Management: plays a critical role in providing automation technologies, e-commerce products, information resources, and customer support to patent business area employees and to global members of the Intellectual Property community. * Office of Patent Legal Administration: The mission of the Office of Patent Legal Administration (OPLA) is to assist in the development and administration of U.S. patent law, advise the USPTO on patent examination policy and formulate new regulations, policies, and procedures regarding patents. The program is intended to give students an opportunity to experience what it's like to work at PTO, as well as interact with experts in several disciplines, explore opportunities and develop or enhance personal and professional skills. **This is an 10-week program with two sessions. The first session will begin on May 21, 2018 and will end on July 27, 2018. The second session will begin on June 04, 2018 and will end on August 10, 2018. For both sessions there is a mandatory 8 day (8:00AM-4:30PM) training that will commence on the second day of each session. Once the training is completed, you may be allowed a more flexible work schedule at the discretion of your supervisor.**",0.0,0.0,10 week volunteer summer program (unpaid).,Patent and Trademark Office,Per Year,2018-04-06,PEEP-2018-0002,"San Jose, California|Denver, Colorado|Detroit, Michigan|Dallas, Texas|Alexandria, Virginia",2017-10-23,Patent Experience Externship Program (Non-Paid),"All applicants applying to participate in the Patent Experience Externship Program must meet the following requirements: 1. Must be enrolled or accepted for enrollment as a degree-seeking student at an accredited university (either an undergraduate, graduate, or post-graduate). * At least half of an undergraduate's academic course load must be in engineering, computer science, or other general sciences; * Or you must be enrolled in a law degree program at an accredited university, with an undergraduate degree in engineering, computer science, or other general sciences. * Or be a Master's or PhD candidate enrolled at an accredited university seeking a degree in engineering, computer science, or other general sciences. 2. Must be in good academic standing. 3. If you are an undergraduate student, you must have completed at least 60 hours of credit prior to your first day of work.",https://www.usajobs.gov:443/GetJob/ViewDetails/482616800
