ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-29,Department of the Army,NF,"The FMWRC mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force. Fort Indiantown Gap (FTIG) is located in historic Pennsylvania Dutch country in central Pennsylvania. The installation is situated on the borders of Lebanon County, a largely rural county, and Dauphin County, the seat of the state capital of Harrisburg 22 miles away. Several towns are within 5 miles of FTIG, along with national chain shopping centers and restaurants. The city of Lebanon, 14 miles away, serves as the county seat. Strategically located along the northeast corridor, FTIG is approximately 150 miles from Washington, D.C., and New York City and 100 miles from Baltimore and Philadelphia. Note to applicants: Please include name and contact information for at least two (2) professional references in your resume and/or DA Form 3433 application when applying for jobs. This position is located at Fort Indiantown GAP Community Club",14.0000,9.7500,Intermittent,Army Installation Management Command,Per Hour,2017-12-29,NENAFDQ1710027750,"Indiantown Gap, Pennsylvania",2017-07-13,"Caterer (Developmental), NF-02/03","QUALIFICATION REQUIREMENTS: CATERER (DEV) - NF02
Demonstrated work experience related directly to the catering or food & beverage industry. Possess prior customer service experience. Knowledge and experience of basic computer skills and software including but not limited to: Word Processing, Microsoft Excel, Microsoft PowerPoint and the ability to learn catering management software. QUALIFICATION REQUIREMENTS: CATERER - NF03
Demonstrated minimum one year of work experience or education in managing, directing or assisting in the management or direction of activities related to the catering or food and beverage industry. Possess prior customer service experience. Possess basic computer skills and software including but not limited to: Word Processing, Microsoft Excel, Microsoft PowerPoint and ability to learn catering and food management software.",https://www.usajobs.gov:443/GetJob/ViewDetails/474529100
2018-01-08,Judicial Branch,GS,"This announcement is open until filled. We are hiring one 2018 spring intern from this announcement. Applications will be reviewed as they are received. This position will close when the position has been filled. The United States Sentencing Commission is an independent federal agency in the Judicial Branch of government consisting of seven members appointed by the President and confirmed by the Senate and two non-voting ex-officio members. The agency staff consists of approximately 100 employees. The Commission develops and revises guidelines for federal district court judges to consider in sentencing offenders convicted of federal crimes. The Commission monitors and evaluates the use of the guidelines, conducts research and education programs on guideline application and sentencing matters generally, produces sentencing-related reports, and recommends improvements in federal sentencing practices and policies. The Commission is conveniently located next to Union Station on Capitol Hill, and is easily accessible by public transportation, including the Metro, and the MARC and VRE commuter trains. The Commission&#39;s location in the Thurgood Marshall Federal Judiciary Building offers various amenities such as an on-site fitness center, health unit, credit union, day care center, and cafeteria. This volunteer student internship is located in the Commission&#39;s Office of Legislative and Public Affairs (OLPA). The student intern reports to the Director of OLPA. The student intern must be enrolled in either a law or graduate program and be able to receive academic credit for the 2018 spring semester. The student intern will gain substantive experience within OLPA by performing a variety of tasks relating to supporting the mission of the Commission. The student intern will also have an opportunity to learn more about the legislative process, federal sentencing and crime policy, and the Federal Judiciary. Volunteer student interns may work during the school year and/or during school vacation periods. The student intern must commit to volunteering at least 15 hours a week. A work schedule will be established once on-board.",0.0000,0.0000,Internships,U. S. Sentencing Commission,Per Year,2018-01-08,17-20,"Washington DC, District of Columbia",2017-10-04,Volunteer Student Intern,"MANDATORY QUALIFICATION REQUIREMENTS
The volunteer student intern must possess the following qualities: Ability to work well in a team environment. Ability to communicate orally and in writing to a variety of audiences. Excellent interpersonal skills. A working knowledge of computer applications such as Microsoft Word, Excel, PowerPoint, Outlook and Adobe. PREFERRED QUALIFICATIONS
Preference will be given to applicants who have legislative and/or publications/public affairs-related experience or course(s) of study.",https://www.usajobs.gov:443/GetJob/ViewDetails/481192600
2017-12-28,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.This position is considered &quot;Local Hire&quot; and does not include any additional travel related benefits, housing or post allowance.This position is located atTyphoon Motors. Candidates selected for this position will serve as an Auto Service Writerfor MCCS Iwakuni.",18.76,13.68,Regular,U.S. Marine Corps,Per Hour,2017-12-28,28984,"Iwakuni, Japan",2017-12-14,AUTO SERVICE WRITER NF-03 (RFT),"Must have two years of experience demonstrating general knowledge of automotive technology, terminology, and mechanical needs. Must have the ability to read and interpret automotive reference materials. Must be able to write work orders clearly. Knowledge in operating Microsoft Programs to include Word, Excel, PowerPoint, etc. Must be able to properly identify automotive parts needed and sources for procurement. Must be able to perform routine work independently and without detailed instructions. Must be able to obtain and maintain a valid SOFA driver&rsquo;s license within 30 days of hire.	This is a mixed position where the incumbent must be able to lift and carry objects up to 45lbs independently and objects over 45lbs with assistance.",https://www.usajobs.gov:443/GetJob/ViewDetails/486653600
2017-12-29,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.This position is located in Twentynine Palms, CA. Candidates selected for this position will serve as a Night Lead Library Technician for MCCS.",15.0,15.0,Regular,U.S. Marine Corps,Per Hour,2017-12-29,29392,"Twentynine Palms, California",2017-12-15,LIBRARY TECHNICIAN NIGHT LEAD,"MINIMUM QUALIFICATIONS: This position will be required to work weekends, evenings, and holidays as assigned. Must have three years of experience that demonstrates knowledge of standard, professionally accepted techniques and methods of a library or library system. Must have knowledge of the library&rsquo;s online computer system. Must have working knowledge of Microsoft Office Specialist applications, to include Word, PowerPoint, and Excel. Must have the ability to operate basic library equipment such as copying machine and audio-visual equipment. Must have knowledge of grammar, spelling, capitalization, syllabication, and punctuation required to prepare routine correspondence and to file and locate materials accurately. Must be able to properly use a debit/credit card machine and prepare applicable financial statements. Must possess a current, state-issued driver&rsquo;s license. This is a white-collar position where occasional lifting up to 20 lbs may be required.",https://www.usajobs.gov:443/GetJob/ViewDetails/486833800
2017-12-28,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
The primary purpose of this position is to provide administrative support in the Center for Innovation Engineering, Department of Civil and Mechanical Engineering located at the United States Military Academy. This position actively participates in the management of the organization by performing administrative and miscellaneous clerical work and uses a good working knowledge of the organization and a broad understanding of the administrative, clerical, budgetary, and supply work within the department. Who May Apply: US Citizens",60322.0000,46398.0000,6 Years,U.S. Military Academy,Per Year,2017-12-28,NEBR174823655390D,"West Point, New York",2017-12-21,Administrative Support Assistant (OA),"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Specialized experience is defined as one year of specialized experience that is equivalent to the GS-06 grade level in the Federal service which includes (1) work that demonstrates experience and knowledge of administrative, clerical, typical office management work; and (2) skill in various computer software programs such as Word, Excel and Powerpoint. You will be evaluated on the basis of your level of competency in the following areas:
ClericalComputer SkillsOrganizational Awareness",https://www.usajobs.gov:443/GetJob/ViewDetails/487010000
2017-12-26,Department of the Army,NF,"Are you interested in a career field in Human Resources and at the same time want to support our Soldiers and their Families? The APG Nonappropriated Fund Human Resources Office is the place for you to be. We service the APG Family, Morale, Welfare and Recreation Division that support our soldiers and their families. A great opportunity to gain exposure in all the various operations from child care to physical fitness to golfing and so much more that we offer. The IMCOM G-9 mission is to create and maintain ""FIRST CHOICE"" MWR products and services for America&#39;s Army, essential to a ready, self-reliant force. APG - Where innovation and imagination protect, enable, and sustain our Nation&#39;s War fighter today and tomorrow. This is a developmental position leading to the full performance level of Human Resources Assistant (NAF/Recruitment &amp; Placement), NF-0203-03 position. Candidates will be hired at the grade level they are qualified for and non-competitively promoted as they complete the trainings and time in grade requirements. Salary Ranges:
Human Resources Assistant (NAF/Developmental), NF-02 is $38,000 - $40,000 per year ($18.21 -$19.17 per hour)
Human Resources Assistant (NAF/Recruitment &amp; Placement), NF-03 is $40,000 - $51,266 per year This position is located at the Civilian Human Resources Agency (CHRA), Civilian Personnel Advisory Center (CPAC), Non-Appropriated Funds (NAF) Human Resources Office (HRO). The Area of Consideration for this vacancy announcement is Aberdeen Proving Ground, MD (NOTE: Local commuting area is defined as a radius of 50 miles; in addition to, you are considered eligible if one of the following applies: you live outside of this radius and are able to commute to work on a daily/as needed basis or you are able to relocate yourself on your own expenses (must be able to be present for work within 2 weeks of selection), you are a military spouse in the process of relocating to this installation and are within 30 days of moving, or you are an involuntarily separated military member).",51266.0000,38000.0000,Permanent,US Army Civilian Human Resources Agency,Per Year,2017-12-26,NENAFAG17100020,"Aberdeen Proving Ground, Maryland",2017-12-19,"Human Resources Assistant (Developmental), NF-02/03","Human Resources Assistant (NAF/Developmental), NF-02:
Possess six (6) months of progressively responsible clerical/administrative experience, which demonstrates the ability to accomplish various human resources tasks and utilize human resource information systems. Human Resources Assistant (NAF/Recruitment & Placement), NF-03:
Possess six (6) months of work experience in a human resources profession demonstrating the capability to performing recruitment and placement functions such as posting vacancy announcements and rating applicants for qualifications and eligibility. Possess experience utilizing an automated recruitment and staffing system (i.e. USA Staffing, Avue, Resumix, PeopleSoft, etc.). Possess prior experience using Microsoft Office Programs (Word, Excel, PowerPoint, Outlook) and the ability to work with a variety of human resources information systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/487100700
2017-12-28,Department of the Army,NF,"Amended on 15 Dec 2017 to include relocation expenses. Announcement will have a first cutoff date of December 22, 2017, applicants that submit a complete application packet prior to that date and found eligible will be given first consideration. Additional referral lists may be issued at management&#39;s request."" The Area of Consideration for this vacancy announcement is Worldwide. This position is located at Wheeler Army Airfield (Honolulu) Hawaii. Honolulu is the state capitol and the 11th largest U.S. metropolitan city. Waikiki, the most world-renowned site in Oahu, is the top visitor destination of the state. The island is very geographically diverse with mountains, rainforests, volcanic craters, tropics, beaches and more!",100000.0000,87949.0000,Permanent,US Army Civilian Human Resources Agency,Per Year,2017-12-28,WENAFEW1710098603,"Wheeler Army Airfield, Hawaii",2017-12-14,Human Resources Officer (NAF) NF-05,"Possess thirty-six (36) months or more of multi-functional experience in a full service operating environment plus 24 months or more experience at the senior NF-04 level (or equivalent). Possess specialized experience equivalent to performing oversight in a supervisory capacity of NAF Staffing & Recruitment, Position Classification, Management Employee Relations, Labor Relations, or Training. Experience analyzing, evaluating and recommending appropriate resolutions to complex interrelated Human Resources problems and issues. Possess prior experience using Microsoft Office Programs (Word, Excel, PowerPoint, Outlook) Ability to work with a variety of human resources information systems. Highly Preferred:
In addition to above minimum qualification requirements, applicants will possess twelve (12) months of work experience supervising a NAF Human Resources Office and have completed training in Basic Staffing, Customer service, Organizational structure, Basic Writing, Time Management, Personnel Management, Leadership, Critical Thinking, Labor Relations, Management Employee Relations, Mediation, Accountability, Effective Communication Skills, Budget and Financial Management, Human Capital Management, Leading People, Strategic Leadership and Supervisory Development. Note for Applicants: In order to receive full consideration for ""highly preferred"" criteria, the applicant must provide the following supportting documentation: Course Title, Course Description, Duration of course (i.e...3 hours or 3 days), Certificate of Completion and/or Training History or transcript.",https://www.usajobs.gov:443/GetJob/ViewDetails/486751100
2018-01-05,Department of the Navy,NF,"MWR provides Sailors and their families the finest facilities, programs and activities to meet their recreational and social needs, encouraging individual values, aids retention, and provides the physical, mental and social needs of a mobile Navy.",24.0,20.0,Permanent,"Commander, Navy Installations",Per Hour,2018-01-05,VA-18-11514,"Wallops Island, Virginia",2017-12-22,Fitness Program Director,"Specialized experience must demonstrate the following: A Bachelor&#8217;s degree in Recreation, Leisure Studies, or closely related field is preferred, but may be substituted by an equivalent combination of education, training and related work experience, which must include a minimum of three years documented experience in recreation programming and facility management which includes budgeting, purchasing and internal controls in positions of increasing responsibility. Must possess a minimum of one year documented supervisory experience. Must possess a general knowledge of the operation of the facilities associated programs, which may include but is not limited to: Internet Centers, Single Sailor/Liberty programming food and beverage service, and Information, Tickets and Tours. Must possess demonstrated competency in common computer applications such as word processing, spreadsheets, serves and Internet functions, Microsoft Office Word, Excel, and Powerpoint strongly preferred. Must possess excellent written and verbal communication skills and have the ability to create professional reports and presentations. You will receive credit for all qualifying experience, including volunteer and part time experience. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week.",https://www.usajobs.gov:443/GetJob/ViewDetails/487390800
2017-12-28,Department of Defense,NK,"Are you ready to help a world-class university take on the challenges of reaching over 150,000 learners worldwide? The Defense Acquisition University (DAU) is the recognized leader as a corporate university, advancing the use of technology in all areas of education. The professional faculty and staff at DAU work in a strong team environment to continuously improve the ways we help our students learn by delivering the right knowledge and skills at the point of need. Come join this dynamic team using your expertise to make a real impact in the acquisition community.",61922.0000,39159.0000,Permanent,Defense Acquisition University,Per Year,2017-12-28,DAU-10097300-18OG,"California, Maryland",2017-12-13,EXECUTIVE SECRETARY,"NH-III: You must have at least one year of specialized experience equivalent in level of difficulty and responsibility to the NH-II pay band in the Federal service. Specialized experience is defined as experience using Microsoft Word and Excel to create charts, tables, and manipulate data. Experience constructing and compiling surveys and analyzing the results. Specialized experience must be demonstrated in your resume. Volunteer Experience: Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills, and can provide valuable training and experience that translates to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486606400
2018-01-02,Department of Veterans Affairs,GS,"** It is anticipated that there will be significant interest in the announcement. As a result, the announcement will close at 11:59 p.m. ET on the date of receipt of the 200th application or at 11:59 p.m. ET on 01/02/2018; whichever occurs first. Any required documents should be submitted at the time that you apply as documents will not be accepted after the vacancy closes.** OIG is organized into three line elements: the Offices of Investigations, Audits and Evaluations, and Healthcare Inspections; along with the Office of Contract Review and the Office of Management and Administration. In addition to the Washington, DC, headquarters, OIG has offices located in more than 30 cities throughout the country.The Student Trainee (Administrative and Program Support), located in the Office of Inspector General (OIG), serves as administrative support for the Inspector General.",42151.0,32428.0,"Part-time position. Not to exceed one year, but may be extended without further posting","Veterans Affairs, Inspector General",Per Year,2018-01-02,18-VAOIG-46-X,"Washington DC, District of Columbia",2017-12-18,Student Trainee (Administrative and Program Support),"You must meet the following requirements by the closing date of this announcement.Basic Qualifications: You MUST meet the definition of a STUDENT for the duration of your appointment.The definition of a student is: an individual accepted for enrollment or enrolled and seeking a degree (diploma, certificate, etc.) in a qualifying educational institution, on a full or half-time basis (as defined by the institution in which the student is enrolled), including awardees of the Harry S. Truman Foundation Scholarship Program under Public Law 93&#8211;842. Students need not be in actual physical attendance, so long as all other requirements are met. An individual who needs to complete less than the equivalent of half an academic/vocational or technical course-load immediately prior to graduating is still considered a student for purposes of this Program.To qualify for the GS-4 you must meet the general experience, which is described; One full year of progressively responsible clerical, office, or other work that indicates ability to acquire the particular knowledge and skills needed to perform the duties of the position to be filled;OR Show completion of 2 academic years of post-high school study or an associate's degree. (This education must have been obtained in an accredited business, secretarial or technical school, junior college, college or university.)ORA combination of general experience and education.",https://www.usajobs.gov:443/GetJob/ViewDetails/486901200
