ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Data Science) develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180101,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Data Science),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935400
2018-01-05,Department of the Navy,GS,"The selectee for this position will serve as an IT Specialist (APPSW/SYSANALYSIS) in the Operations Department, Fleet Numerical Meteororology and Oceanography Center in Monterey, California.",112665.0000,72303.0000,Permanent,"U.S. Atlantic Fleet, Commander in Chief",Per Year,2018-01-05,DE-10098730-18-LL,"Monterey, California",2017-12-19,IT SPECIALIST (APPSW/SYSANALYSIS),"EXPERIENCE: Individuals must have IT-related experience demonstrating each of the four competencies listed below: Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.
Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations. AND SPECIALIZED EXPERIENCE: In order to qualify for this position, your resume must demonstrate at least one year of specialized experience at or equivalent to the next lower grade level or pay band in the federal service or equivalent experience in the private or public sector. Specialized experience is defined as experience that is typically in or related to the work of the position to be filled and has equipped you with the particular competencies/knowledge, skills, and abilities, to successfully perform the duties of the position and is typically in or related to the work of the position to be filled. Such experience is typically gained in the IT field or through the performance of work where the primary concern is IT performing duties such as: FOR GS-11 (one year of specialized experience equivalent to GS-09): Assisting with software configuration management, quality assurance, and IT systems as they relate to software engineering technology. Applying systems analysis and operations on Linux operating systems. Advanced programming in one or more of the following languages: the Unix (bash or korn) shell command language, Java, Python, PERL, Fortran 9X, Interactive Data Language (IDL), ANSI C or C++. FOR GS-12 (one year of specialized experience equivalent to GS-11): Applying the principles, practices and standards of software configuration management, quality assurance, and IT systems as they relate to software engineering technology. Interacting with Linux operating systems and developing complex shell scripts. Extensive programming in one or more of the following languages: the Unix (bash or korn) shell command language, Java, Python, PERL, Fortran 9X, Interactive Data Language (IDL), ANSI C or C++. SUBSTITUTION OF EDUCATION FOR EXPERIENCE: Applicants may substitute the following education for the required experience, provided it demonstrates the knowledge, skills and abilities necessary to do the work of the position: GS-11: Ph.D. or equivalent doctoral degree; OR 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree with a major study in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks. GS-12: There is no substitution of education for experience at the GS-12 grade level. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/ Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.",https://www.usajobs.gov:443/GetJob/ViewDetails/487028100
2018-02-19,Other Agencies and Independent Organizations,IS,"The software development team of the Chandra X-ray Data System has an opening for a UI/UX IT Specialist with computer graphics and visualization experience to join our team in Cambridge, MA. The talented developer will work to develop/modernize the User Interface/User Experience of new and legacy visualization software. The employee we seek will work to understand the user's needs, advocate that vision to the software team, and design, develop, and maintain software that delivers innovation and seamlessly integrates with the existing system. We offer a challenging environment working in partnership with scientists, data system operations, and an existing software development team, to bring Chandra data products and analysis tools to the astronomical community at large.",122875.0,66317.0,Trust Fund Indefinite. This is not a federal position,Smithsonian Institution ,Per Year,2018-02-19,17-69,"Cambridge, Massachusetts",2017-09-22,IT Specialist (Applications Software),"For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below.1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.AND Candidates for grade 11 must possess minimum of one year of specialized experience equivalent to at least the grade 9 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as knowledge of Python, C/C++, Java and Unix based operating systems; knowledge of and the ability to configure distributed version control systems (e.g., Git, Conda, Clearcase); knowledge of and the ability to utilize modern programming practices and standards (e.g., UML, Design patterns); knowledge and ability to utilize package management and support tools (e.g., Atlassian products such as Jira, Confluence); knowledge of web and cloud enabled technologies. Candidates for grade 12 must possess a minimum of one year of specialized experience equivalent to at least the grade 11 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; knowledge and proficient ability to configure distributed version control systems; knowledge and proficient ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure. Candidates for grade 13 must possess a minimum of one year of specialized experience equivalent to at least the grade 12 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; proficient knowledge and ability to configure distributed version control systems; proficient knowledge and ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure; knowledge of web and cloud enabled technologies. OREducation:All academic degrees and coursework must be from accredited or pre-accredited institutions. Undergraduate or Graduate Education: Degree in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks. Grade 11: Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree.",https://www.usajobs.gov:443/GetJob/ViewDetails/480245700
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",112306.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180151,"Arnold, Missouri|Saint Louis, Missouri",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180152,"Springfield, Virginia",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494300
2018-01-05,Department of Commerce,GS,"This vacancy is for a Supervisory Data Scientist position in the Center For Economic Studies located at the U.S. Census Bureau Headquarters in Suitland, Maryland. The Census Bureau is accessible from the Metro Rail Green Line &#8211; Suitland Station.A supervisory probationary period may be required. This position is ELIGIBLE for telework; additional criteria will be required (e.g., supervisory approval).This is a NON-BARGAINING unit position.Relocation expenses will not be paid.",145629.0,112021.0,"Full Time, Permanent",U.S. Census Bureau,Per Year,2018-01-05,CES-2018-0005,"District of Columbia, District of Columbia|Suitland, Maryland",2017-12-22,"Data Scientist, GS-1501-14, Census-DE-SM","Minimum Education Requirement:Basic Requirements:A. Degree: Mathematics, statistics, or actuarial science. The degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position.ORB. Combination of education and experience: Courses equivalent to a major field of study as shown in paragraph A above, plus additional education or appropriate experienceANDSpecialized Experience: For the GS-14, you must have one year of experience at a level of difficulty and responsibility equivalent to the GS-13 in the Federal service. Experience for this position includes: using the software languages of R, Python, SQL, MatLab or SAS to solve business or research problems; experience with statistical computing software and Cloud systems; experience facilitating change to existing procedures while meeting regulatory and compliance requirements; experience communicating technical information to senior management and internal and external stakeholders both orally and in writing; experience motivating and guiding a team; and experience developing, mentoring and coaching staff.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487395400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Engineers develop, construct, test, and maintain architectures such as databases and large-scale data processing systems. They clean, prepare, and optimize data for consumption through the design and construction of massive reservoirs for big data. They solve problems associated with database access and integration and unstructured data sets to provide clean, usable data for customers and IT counterparts. These engineers serve as integrators between data architects, data scientists, and other data consumers. They apply knowledge of scripting tools, programming languages, standards, and software packages to build the data pipelines that enable faster, better, data-informed decision-making within the Agency.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180083,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Engineer,"1) Education: Computer Science, Applied Mathematics, Management Information Systems, Engineering, Physical Sciences, or any other technology related field;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Analysts apply tools and algorithms to identify trends and patterns in data. They communicate with stakeholders and conduct research to develop an understanding of relevant programs and requirements. These analysts identify and collect data from various sources, evaluate the data to ensure that they meet analytic needs, and prepare the data for analysis. They also select, apply, and assess analytic models and techniques, and review and verify the results. They prepare reports and briefings and consult with stakeholders to communicate findings.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180080,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Analyst,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480934900
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Geospatial Data Stewardship) manage the generation, approval, and population of data within NGA's geospatial databases, ensuring that they can be used to satisfy customer requirements. They have read/write access to relevant databases and make qualitative decisions about the data. They have a wide range of product/data knowledge and understand the capabilities and limitations of the relevant systems to support the extraction, analysis, and finishing of in-house, co-production, commodity, and contract data.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180111,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Geospatial Data Stewardship),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Cartography, Computer Science, Geology, Geography, Geomatics, GIS, Physical Science, Urban and Regional Planning, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935500
2018-03-01,Other Agencies and Independent Organizations,SK,"The U.S. Securities and Exchange Commission is looking for the best and brightest mathematicians, data scientists, and computer scientists to volunteer alongside our team. Our mission includes advocating for investors who seek to secure a future for their family, providing guidance and regulations for the nation&#39;s securities industry in an increasingly global market, and taking action with an eye toward promoting the capital formation necessary to sustain economic growth. The SEC is seeking bright, innovative, results-oriented data science graduate/professional degree students for our Student Honors Data Science Program in the Division of Economic and Risk Analysis (DERA), Washington, DC. We offer graduate/professional students robust responsibilities and experiences that enhance their potential careers. Over the course of the year long program, graduate/professional students work along DERA staff on projects particular to the division. Students will also have the opportunity to participate in seminars/workshops, and roundtable discussions that will provide detailed information and guidance on securities regulations and laws. The Student Honors Data Science Program is a year long program that will tentative start in May 2018. Those selected to participate in this program should be willing and able to commit at least one year to the program. The SEC will work with and accommodate those selected should academic or college credit be required to participate.",0.0000,0.0000,Internships,Securities and Exchange Commission,Without Compensation,2018-03-01,18-10088085-SHPB-DERA-LMN,"District of Columbia, District of Columbia",2017-12-01,2018 Student Honors Business Program - Data Science (Graduate),"All qualification requirements must be met by the closing date of this announcement. Graduate students must be enrolled at least half-time (6 credits per semester or the equivalent) in an accredited college or university to participate in the Student Honors Data Science Business Program.
- Must have received your undergraduate degree as of June 30, 2018.
- Must be accepted and/or enrolled in a graduate/professional degree program as of September 30, 2018.
- Must be enrolled as a degree-seeking graduate or Ph.D. (professional) student
- A GPA of 3.0 or higher is preferred
- Must be able to proficiently code in one or more of the following computing languages: Python, R, MATLAB, JavaScript. Knowledge of the following is considered a plus: Java, C++, SQL, ""Big Data"" languages (e.g., PigLatin)
- Relatives of current SEC employees are ineligible",https://www.usajobs.gov:443/GetJob/ViewDetails/485516300
