ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-01,Department of the Army,GS,"The Army intern program replenishes the technical and functional expertise of the Army Civilian Corps by developing professionals with the right skills to meet future mission and leadership requirements.Classstart dates in McAlesterare tentatively scheduled for April and August 2018. The move to McAlester is NOT paid, however, all subsequent moves after the 12 months of classroom training will be at Government expense. These are Career Program (CP) #20 positions.This is a Direct Hire Solicitation.Selectees must obtain a passing score on the appropriate Administrative Career with America (ACWA) assessment. Selectees will be notified of how to take the ACWA assessment.Who May Apply:Positions are open to:Recent graduates who were awarded a degree by an institution of higher education not more than two years before the date of appointment of the applicant.For a person who has completed a period of obligated service in a uniformed service of more than four years, the degree may be awarded by an institution of higher education not more than four years before the date of appointment of the applicant.",52893.0,40684.0,Agency Employees Only,Field Operating Offices of the Office of the Secretary of the Army,Per Year,2018-01-01,NCAT173452569799HRG,"McAlester, Oklahoma",2017-12-21,Quality Assurance Specialist (Ammunition),"In order to qualify, you must meet the education and/or experience requirements described below. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document.Specialized Experience: Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. To qualify based on your work experience, your resume must describe at least one year of experience which prepared you to do the work in this job.One year of specialized experience which includesassisting in analyzing data to detect unsatisfactory trends or weaknesses; or, verifying by test or inspection that products comply with requirements; or, identifyingdefects during reviews and requesting corrective action;or, interpreting technical ammunition and explosivesdata such as blueprints, engineering drawings, product specifications, or technical manuals; or, reviewing and evaluating ammunition supply systems operations and procedures through periodic audits and surveillance inspections; or, assisting in ammunition surveillance and logistics functions related to the inspection, storage, receiving, issuing, testing, handling, maintenance, demilitarization, disposal or classification of ammunitions and explosives. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-05).OREducation: One full year of graduate level education in quality assurance, statistics, mathematics, production management, industrial management, computer science, engineering, engineering technology, physical sciences, textiles, or other fields related to the position, such as business. ORSuperior Academic Achievement: Successful completion of all the requirements for a bachelor's degree with Superior Academic Achievement (S.A.A). In order to be creditable under this provision, Superior Academic Achievement must have been gained in a curriculum that is qualifying for the position to be filled, such as those listed in ""Education"" directly above. Superior Academic Achievement is based on: (1) Class Standing - Applicants must be in the upper third of the graduating class in the college, university, or major subdivision, such as the College of Liberal Arts or the School of Business Administration, based on completed courses; OR (2) Grade-Point Average (G.P.A.) - Applicants must have a grade-point average of either (a) 3.0 or higher out of a possible 4.0 (""B"" or better) as recorded on your official transcript, or as computed based on 4 years of education, or as computed based on courses completed during the final 2 years of the curriculum; or (b) 3.5 or higher out of a possible 4.0 (""B+"" or better) based on the average of the required courses completed in the major field or the required courses in the major field completed during the final 2 years of the curriculum.; OR (3) Honor Society Membership - Applicants may be considered eligible based on membership in one of the approved national scholastic honor societies listed by the Association of College Honor Societies (https://www.achsnatl.org/). Grade point averages will be rounded to one decimal point. For example, 2.95 will round to 3.0, and 2.94 will round to 2.9. NOTE: If more than 10 percent of your undergraduate course work (credit hours) was taken on a pass/fail or similar basis, your S.A.A. claim must be based on class standing or membership in an honor society and you must provide evidence of your class standing or honor society membership with your application.ORCombination ofEducation and Experience:
A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) by 18. Add the two percentages.",https://www.usajobs.gov:443/GetJob/ViewDetails/487262000
2018-01-18,Department of the Air Force,GS,"THIS IS A TITLE 32 EXCEPTED SERVICE POSITION District of Columbia Air National Guard
113th Maintenance Group
Joint Base Andrews, Maryland
Quality Assurance Specialist GS-1910-11
Area(s) of Consideration are as follows:
Group I: Current Permanent and Indefinite Technicians in the DC Air National Guard
Group II: Current military members for the DC Air National Guard
Group III: Individuals who can join the DC Air National Guard
**THIS IS NOT A CIVILIAN POSITION. MILITARY MEMBERSHIP IS REQUIRED**
***PAY RETENTION AUTHORIZED PER TPR 990-2***
***THIS ANNOUNCEMENT HAS BEEN EXTENDED TO 18 JANUARY 2018*** Permanent Change of Station (PCS): PCS not authorized
Relocation Incentive: Incentive not authorized
Selected Reserve Incentive Program: Acceptance of this position will cause termination of Federal bonuses pursuant to respective Selected Reserve Incentive Programs (SRIP). This termination may be with or without recoupment of payments already made.
NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military rank and assignment in the District of Columbia Air National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",86460.0000,66510.0000,Excepted Service Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-18,DC-10074224-AF-17-098,"Andrews AFB, Maryland",2017-11-03,QUALITY ASSURANCE SPECIALIST,"THE FOLLOWING QUALIFICATIONS MUST BE REPRESENTED BY THE CONTENTS OF YOUR RESUME.
To ensure full credit is given for the qualification requirements listed below please use the USAJobs resume builder. IF YOU USE YOUR OWN RESUME PLEASE ENSURE THAT YOU INCLUDE THE BEGINNING AND ENDING DATES (MONTH AND YEAR) FOR ALL JOBS LISTED IN YOUR RESUME.
Minimum Requirements: Experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). Experience using computer and automation systems.
SPECIALIZED EXPERIENCE: Must have at least Thirty-six (36) months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved.",https://www.usajobs.gov:443/GetJob/ViewDetails/483692000
2018-01-12,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a QUALITY ASSURANCE SPECIALIST, Position Description Number D1818000 and is part of the DE 166 Maintenance Group, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",84263.0000,64820.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-12,DE-10090553-18-OSS,"New Castle, Delaware",2017-12-11,QUALITY ASSURANCE SPECIALIST,"GENERAL EXPERIENCE: experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). Experience using computer and automation systems SPECIALIZED EXPERIENCE: 36 months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved",https://www.usajobs.gov:443/GetJob/ViewDetails/486390100
2017-12-26,Department of Defense,NH,"Do you enjoy challenges and seek opportunities?
Are identifying problems, analyzing facts, and making recommendations some of your strong suits?
Would you like to obtain the rare opportunity to participate in some of the greatest technological achievements developed?
Would you like to serve your country and defend freedom in one of the most critical efforts in history? If you answered yes, then this job is for you! The Missile Defense Agency&#39;s mission is to develop an integrated layered Ballistic Missile Defense System to defend the United States, its deployed forces, allies and friends. We are seeking prepared, talented, and motivated Quality Assurance Specialists who seek challenges and opportunities. You will earn a competitive salary and enjoy outstanding benefits while working alongside some of the brightest and motivated thinkers of our time. In this position, you will evaluate the quality systems, manufacturing, integration and test of complex weapons or space systems. You will ensure that the systems conform to MDA&#39;s Mission Assurance program and ensure that the systems are fully capable to support the objectives of the BMDS. This position is being filled under the Acquisition Expedited Hiring Authority (EHA) using OPM&#39;s Direct Hire Authority. This position is located in the Missile Defense Agency, Quality, Safety, and Mission Assurance Integration Directorate",155500.0000,105609.0000,Permanent,Missile Defense Agency,Per Year,2017-12-26,MDA-18-EH-10090535,"Fort Greely, Alaska",2017-12-18,Quality Assurance Specialist,"This position has a Basic Requirement for the 1910 series: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/1900/quality-assurance-series-1910/ *NOTE: Failure to provide transcripts will result in you being rated ineligible for this position. The experience described in your resume will be evaluated and screened from the Office of Personnel Management&#39;s (OPMs) basic qualifications requirements. See: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url= Group-Standards for OPM qualification standards, competencies and specialized experience needed to perform the duties of the position as described in the MAJOR DUTIES and QUALIFICATIONS sections of this announcement by TAG12/26/2017 You must have one year Specialized Experience equivalent to the NH-03/GS-13 level in the Federal service (experience may have been gained in the private/military sector) giving the particular knowledge, skills and abilities to perform successfully the duties of the position, and that is typically in or related to the work of the position. Experience must be reflected in your resume. Specialized experience required for this position is:
One year of specialized experience in the manufacturing, assembly, integration and test of complex weapons or space systems. Experience with industry-standard Quality Management Systems that provide the corporate structure for producing repeatable, complex, critical weapons or space systems that meet or exceed requirements. Ability to perform risk assessments for critical components that do not meet their engineering requirements. Please review the General Application Information and Definitions at: DOD GEN APP INFO",https://www.usajobs.gov:443/GetJob/ViewDetails/486895300
2018-01-05,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a QUALITY ASSURANCE SPECIALIST, Position Description Number D1818000 and is part of the MI 127 Wing, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",85494.0000,65767.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-05,MI-10095729-AF-18-46,"Selfridge ANG Base, Michigan",2017-12-21,QUALITY ASSURANCE SPECIALIST,"Verbiage displayed on your resume or application must contain your own words. You may refer to position descriptions, i.e. the general and specialized experience located within the vacancy announcement, to assist with describing work experiences; however, resumes or applications received in verbatim will not be considered. In your resume you will need to address the general and specialized experience listed below. Please use as much detail as needed, giving dates (months and years) of the experience, position title and how the experience was gained. This information is needed to determine if you are qualified for the position. GENERAL EXPERIENCE: Your Resume must list some experience in each of these areas: Experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Your Resume must show at least [ 36 ] months in each of the following areas: Must have at least 36 months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved.",https://www.usajobs.gov:443/GetJob/ViewDetails/486780200
2018-03-31,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. These positions are being filled under Expedited Hiring Authority (EHA) for Defense Acquisition Workforce Positions and Health Care Occupations. The Secretary of the Air Force has delegated authority by the Office Of the Secretary of Defense to directly appoint individuals to select defense acquisition workforce positions, or &#39;EHA Acquisition,&#39; pursuant to the Defense Acquisition Workforce Improvement Act (DAWIA) and certain health care occupations, or &#39;EHA Medical.&#39; Positions are located Air Force-Wide. Positions may be filled as permanent or term with a full-time or part-time work schedule. Pay will vary by geographic location. This is a Direct Hire Public Notice, under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. This Public Notice is to gather applications which may or may not result in a referral or selection. This Public Notice may be used to fill positions in other equivalent pay systems (i.e., NH, NJ, NK). Please read this Public Notice in its entirety prior to submitting your application for consideration.",155073.0000,32844.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-03-31,AFPC-EHADHA-10082847-1910,"Little Rock, Arkansas|Luke AFB, Arizona|Edwards AFB, California|Vandenberg AFB, California|Peterson AFB, Colorado|Schriever AFB, Colorado|Dover AFB, Delaware|Cape Canaveral AFS, Florida|Hurlburt Field, Florida|Tyndall AFB, Florida|Mountain Home AFB, Idaho|McConnell AFB, Kansas|Lexington, Kentucky|Barksdale AFB, Louisiana|Whiteman AFB, Missouri|Columbus AFB, Mississippi|Minot AFB, North Dakota|Cannon AFB, New Mexico|Holloman AFB, New Mexico|Kirtland AFB, New Mexico|Nellis AFB, Nevada|Wright-Patterson AFB, Ohio|Altus AFB, Oklahoma|Vance AFB, Oklahoma|Charleston AFB, South Carolina|Ellsworth AFB, South Dakota|Dyess AFB, Texas|Greenville, Texas|Laughlin AFB, Texas|Randolph AFB, Texas|Langley AFB, Virginia|Aladdin, Wyoming",2017-12-01,Quality Assurance,"GENERAL EXPERIENCE: GS-05: Successfully completed three years of general experience, one year of experience which was equivalent to the GS-4. Examples of general experience include experience in fields such as quality control, quality inspection, contracting and purchasing, supply and storage, industrial or production planning, research and engineering, maintenance, and test and evaluation that provided (1) familiarity with quality assurance or related work, (2) pertinent product or process knowledge and skill, (3) ability to interpret and apply contract requirements and engineering specifications. SPECIALIZED EXPERIENCE: GS-07: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To be creditable, the general experience must have been at the GS-05 grade level or equivalent under other pay systems in the Federal service. GS-09: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To be creditable, the specialized experience must have been at the GS-07 grade level or equivalent under other pay systems in the Federal service. Specialized experience includes interpreting technical data, data analysis, report writing, interpreting regulations and other guideline material; and a practical understanding of the role of quality assurance in relation to the mission of the organization. GS-11: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To be creditable, the specialized experience must have been at the GS-09 grade level or equivalent under other pay systems in the Federal service. Experience is that which may have been gained while reviewing written quality or inspection procedures for adequacy, and evaluating the implementation and effectiveness of quality/inspection systems, including sampling plans; analyzing quality data to detect unsatisfactory trends or weaknesses in the quality/inspection system; identifying inadequacies and requesting corrective action and computing data, summarizing results, and preparing reports or charts depicting pertinent relationships using statistical methods. GS-12: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. The specialized experience must have been at the GS-11 grade level or equivalent under other pay systems in the Federal service. Specialized experience gaining a comprehensive and thorough knowledge of the full range of principles, concepts, and methodology related to one or more quality assurance functional programs, and considerable skill in applying this knowledge to the planning and accomplishment of a variety of difficult and complex work assignments; applying various methods and techniques for investigating, analyzing and effecting corrective action on complex quality problems. GS-13: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To be creditable, the specialized experience must have been at the GS-12 grade level or equivalent under other pay systems in the Federal service. Specialized experience includes experience gaining expert knowledge of organizational missions, objectives, and procedures; the relationship with other program areas (e.g., acquisition or logistics); and the regulatory framework in which the program operates; skill in applying these knowledge to the analysis and resolution of very complex or sensitive problems related to quay assurance. GS-14: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To be creditable, the specialized experience must have been at the GS-13 grade level or equivalent under other pay systems in the Federal service. Specialized experience includes experience gaining expert knowledge of organizational missions, objectives, and procedures; the relationship with other program areas (e.g., acquisition or logistics); and the regulatory framework in which the program operates. GS-15: Successfully completed 1 year of specialized experience that equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to successfully perform the duties of the position, and that is typically in or related to the position to be filled. To be creditable, the specialized experience must have been at the GS-14 grade level or equivalent under other pay systems in the Federal service. Specialized experience includes experience gaining expert knowledge of organizational missions, objectives, and procedures; the relationship with other program areas (e.g., acquisition or logistics); and the regulatory framework in which the program operates; skill in applying these knowledge to the analysis and resolution of very complex or sensitive problems related to quay assurance, applying new developments and methodologies to assigned program areas. To view qualifying educational requirements and/or combination of education and specialized experience click on the following link:
http://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-ADMIN AND Click on the following link to view occupational requirements for this position: http://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/1900/quality-assurance-series-1910/ KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas:
1. Knowledge of the policy development and planning, programming and budget execution processes.
2. Knowledge of business and industry quality assurance management practices, capabilities, capacities and trends and the analysis and dissemination of information.
3. Knowledge of applying and evaluating techniques for the identification, consideration and resolution of issues concerning the efficiency and effectiveness of quality assurance operations.
4. Knowledge of sources, responsibilities, and means for providing assistance and advice to resolve complex quality assurance effectiveness problems.
5. Ability to communicate both orally and in writing. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/484511400
2018-03-19,Department of the Air Force,GS,"This National Guard position is for a Quality Assurance Specialist, Position Description Number D1818000 and is part of the NJ 177th MAI GP, National Guard. This position is advertised as Open Until Filled
The initial review period for referral consideration will be 18 January 2018, applications received by this date will have the first opportunity for review. If no selection is made, applications received after this date will be given consideration on a monthly basis. NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",84263.0000,64820.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-03-19,NJ-10101825-AR-17-139,"Egg Harbor Township, New Jersey",2017-12-18,Quality Assurance Specialist,"GENERAL EXPERIENCE: Experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). SPECIALIZED EXPERIENCE: Must have at least 36 months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved.",https://www.usajobs.gov:443/GetJob/ViewDetails/486896900
2017-12-28,Department of the Air Force,GS,"This QUALITY ASSURANCE SPECIALIST position, is located in an Air National Guard Aviation Wing, Maintenance Group and is part of the CA 163 ATKW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",88194.0000,67845.0000,Expected Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2017-12-28,CA-10094843-AF-18-029,"March AFB, California",2017-12-07,QUALITY ASSURANCE SPECIALIST,"General Experience: Experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). Experience using computer and automation systems. QUALITY ASSURANCE SPECIALIST, GS-1910-11: Must have at least 36 months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved. Your qualifications will be evaluated on the following competencies:
Attention to DetailDecision MakingPlanning and EvaluatingWriting",https://www.usajobs.gov:443/GetJob/ViewDetails/486127200
2018-01-02,Department of the Air Force,GS,"This QUALITY ASSURANCE SPECIALIST position, is located in an Air National Guard Aviation Wing, Maintenance Group and is part of the CA 144 FW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",78270.0000,60210.0000,Excepted Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-02,CA-10095776-AF-18-057,"Fresno, California",2017-12-18,QUALITY ASSURANCE SPECIALIST,"General Experience: Experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). Experience using computer and automation systems. QUALITY ASSURANCE SPECIALIST, GS-1910-11: Must have at least 36 months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved. Your qualifications will be evaluated on the following competencies:
Attention to DetailDecision MakingPlanning and EvaluatingWriting",https://www.usajobs.gov:443/GetJob/ViewDetails/486908000
2018-01-02,Department of the Air Force,GS,"This SUPERVISORY QUALITY ASSURANCE SPECIALIST position, is located in an Air National Guard Aviation Wing, Maintenance Group and is part of the CA 144 FW, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",93821.0000,72168.0000,Excepted Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-02,CA-10095977-AF-18-058,"Fresno, California",2017-12-18,SUPERVISORY QUALITY ASSURANCE SPECIALIST,"General Experience: Experience, education, or training involving planning, developing, or administering quality assurance programs (i.e., supporting the development, acquisition, production, use, maintenance, storage, and supply of products concerned with the systematic prevention of defects and non-conformances, the identification of unsatisfactory trends and conditions, and the correction of factors which may contribute to defective items). Experience using computer and automation systems. SUPERVISORY QUALITY ASSURANCE SPECIALIST, GS-1910-12: Must have at least 36 months experience, education, or training involving a thorough knowledge of product or range of products involved, the manufacturing methods and techniques, special processes, test and performance requirements; and skill in developing plans and programs. Experience possessed by an expert in the area of specialization able to give technical direction to otherwise competent workers. Experience determining operations when difficult and questionable phases of malfunctions are found. Experience which required significant and concrete work accomplishments (i.e. special projects, working groups, or detailing assignments) involving interpersonal contacts in a quality assurance or related field. Experience in dealing with management principles and supervisory responsibility for the function required by type of position to be filled and the organization involved. Experience in managing the function of the work to be performed. Experience which includes leading, directing and assigning work of personnel. Your qualifications will be evaluated on the following competencies:
Attention to DetailDecision MakingPlanning and EvaluatingWriting",https://www.usajobs.gov:443/GetJob/ViewDetails/486908200
