ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-29,Department of the Interior,GS,"This position is being advertised concurrently with LW-18-PQ10096349 (MP) which is open to status candidates and other eligibles and applies Merit Promotion procedures. Status applicants who wish to be considered under both Merit Promotion and Competitive Examining procedures must apply directly to each announcement. Indian Affairs provides services to 567 federally recognized tribes with a population of about 1.9 million American Indian and Alaska Natives. Indian Affairs offers an extensive range of programs such as social services, law enforcement and detention services, administration of tribal courts, natural resources management, economic development, implementation of land and water claim settlements, housing improvement, disaster relief, and the replacement and maintenance of schools, roads, and bridges. Preference in filling vacancies is given to qualified Indian candidates in accordance with the Indian Reorganization Act of 1934 (Title 25, USC, Section 472). Verification Form BIA-4432 must be submitted with the application if claiming Indian Preference. Indian Preference eligibles not currently employed in Federal service may be appointed under the Excepted Service Appointment Authority Schedule A, 213.3112(a)(7). Consideration will be given to Non-Indian applicants in the absence of qualified Indian Preference eligibles. For more information about Indian preference or to obtain BIA Form 4432 application instructions, please see https://www.bia.gov/jobs. This position is located with Bureau of Indian Affairs, District 3-Truxton Canon Agency in Peach Springs, Arizona. The Office of Justice Services (OJS), within the Bureau of Indian Affairs (BIA), is searching for an individual to serve as a Telecommunications Equipment Operator (Radio), for the Division of Law Enforcement Services at the Truxton Canon Agency in Peach Springs, AZ. Salary Information: Starting salary is GS-3: $26,347; GS-4: $29,578; and GS-5: $33,092 per annum. First time hires to the Federal government start at the starting salary of the grade level.",43025.0000,26347.0000,Permanent,"Interior, Bureau of Indian Affairs",Per Year,2017-12-29,LW-18-PQ10096348 (DE),"Peach Springs, Arizona",2017-12-15,Telecommunications Equipment Operator (Radio),"GS-03:
To qualify at the GS-03 grade level you must meet ONE of the following criteria: A. General Work Experience: Six months of general work experience that is progressively responsible for clerical, office, or other work that demonstrates or reflects the ability to acquire the particular knowledge and skills needed to perform the duties of the position.
OR
B. Education: 1 full academic year (30 semester hours or 45 quarter hours) of education beyond the high school level at an accredited college or university.
OR
C. A combination of experience and education that totals 100% of the requirement. GS-04:
In addition to meeting the experience at the lower grade level, to qualify at the GS-04 grade level you must meet ONE of the following criteria: A. General Work Experience: One year of general work experience that is progressively responsible for clerical, office, or other work that demonstrates or reflects the ability to acquire the particular knowledge and skills needed to perform the duties of the position.
OR
B. Education: 2 full academic years (60 semester hours or 90 quarter hours) of education beyond the high school level at an accredited college or university.
OR
C. A combination of experience and education that totals 100% of the requirement. GS-05:
In addition to meeting the experience at the lower grade levels, to qualify at the GS-05 grade level you must meet ONE of the following criteria: A. Experience: One year of specialized experience at or equivalent to the GS-04 grade level transmitting and receiving law enforcement communications traffic via radio net control. Experience at this level may include answering and disseminating law enforcement and emergency information by telephone; updating logs and files of complaints, police actions, and related reports; and operating law enforcement information systems.
OR
B. Education: 4 full academic years (120 semester hours or 180 quarter hours) of education beyond the high school level at an accredited college or university.
OR
C. A combination of experience and education that totals 100% of the requirement. IF YOU ARE QUALIFYING BASED ON WHOLE OR PART ON EDUCATION, YOU MUST SUBMIT COLLEGE TRANSCRIPTS. Suitability, Clearance & Requirements: A background security investigation will be required for all new hires. Appointment will be subject to the applicant&#39;s successful completion of a background security investigation and favorable adjudication. Failure to successfully meet these requirements will be grounds for termination. Driving Record Requirement: Incumbent is required to operate a government-owned or leased motor vehicle, in the performance of duties, therefore, a valid driver&#39;s license is required. Incumbent must have a safe driving record within the three-year period immediately preceding submittal of GSA Form 3607 and be able to meet the safe driving requirements of the Bureau of Indian Affairs. All qualification requirements must be met by the closing date of this announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/486739000
2017-12-27,Department of the Army,WG,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
This position is located in the Directorate of Information Technology at Sierra Army Depot. With the exception of Fire and Police, employees work a 4 day-10 hour work week, Monday through Thursday, 6:30 a.m. to 5:00 p.m. Sierra Army Depot is located in the rural northeast California town of Herlong, California. This is approximately 60 miles north of Reno, Nevada; and 35 miles south of Susanville, California. The Depot serves as an Army Expeditionary Logistical Support Center. The Depot has an Army Command Officer with a predominately civilian work force of approximately 1300 employees. Child care facilities are available. A small AAFES Express is on site; however, Commissary facilities are NOT available. Surrounding area boasts world class fishing, hunting, snow skiing; full range of outdoor sports/recreation activities. Who May Apply: US Citizens",29.0200,24.8700,Permanent,Army Tank-Automotive and Armament Command (TACOM),Per Hour,2017-12-27,WTDS174137106169D,"Herlong Sierra Ordnance Depot, California",2017-12-13,Electronics Mechanic (Radio),"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision. Minimum Qualifications (Screen Out Element): Ability to do the work of an Electronics Mechanic (Radio)~ without more than normal supervision: install, maintain, and repair very high frequency (VHF) Land Mobile Radio (LMR) communication systems, ultra-high frequency (UHF) communication systems, interface equipment, and support equipment for a large organization using industry standard electronic mechanic techniques. Use equipment-specific computer software to program radio communication systems for optimum communication quality. Failure to meet this Screen out Element will result in an ineligible rating. Ability To Do The Work Of The Position Without More Than Normal Supervision (Screen-out Element)Ability To Use Hand and Power Tools -ElectronicsIngenuity (Ability To Suggest and Apply New Methods)Knowledge of Equipment Assembly, Installation, Repair, etc.Theory of ElectronicsTrouble shooting (Electronic Equipment)Use of Test Equipment: Electronics Work assignments require light to moderate physical effort. Employees frequently lift, carry, or otherwise handle items weighing up to 10 pounds and will occasionally handle items in excess of 40 pounds. Assistance is usually available with heavy items. Employee may be required to work in a sitting position for extended periods. Frequent standing, walking, bending, crouching, reaching, and stooping are required. Employee may occasionally be required to work in high places. Work is usually performed inside in well-lighted, heated, and ventilated areas. Work may be performed outside in inclement weather. Employee is occasionally exposed to heat or cold from weather conditions or from buildings where radios and radio equipment are located. Subject to injury such as electrical shocks, cuts, and bruises, high frequency noise, or burns caused by electrical energy or soldering iron. Works with small power tools. Employee is subject to traffic accidents when going from work site to work site.",https://www.usajobs.gov:443/GetJob/ViewDetails/486576700
2018-01-05,Department of Commerce,ZP,"FirstNet is responsible for developing and deploying a nationwide, interoperable public safety broadband network that will provide high speed wireless telecommunications services to more than 60,000 public safety organizations throughout the country, including fire fighters, police, emergency medical services, hospitals, ambulance services and other public and private entities with emergency response responsibilities. To learn more about FirstNet, visit www.firstnet.gov.This position is located in the Office of the Chief Technology Officer (OCTO), Office and reports to the Director of Radio Acess Network (RAN). As an Electronics Engineer (Senior RAN Engineer) the incumbent provides expert level support to the FirstNet engineering team responsible for the planning and design of the FirstNet Long Term Evolution (LTE) radio access network and supporting ecosystems.For new employees to the Federal government, a recruitment incentive may be offered.For current Federal employees, a relocation incentive may be offered.If applicable, leave credit for non-federal service may be offered.",161900.0,129227.0,Full-Time/Permanent,National Telecommunications and Information Administration,Per Year,2018-01-05,NTIA-FRNA-2018-0011,"Seattle, Washington|Los Angeles, California|San Francisco, California|Denver, Colorado|Washington DC, District of Columbia|Atlanta, Georgia|Chicago, Illinois|Boston, Massachusetts|New York, New York|Dallas, Texas",2017-12-22,Electronics Engineer - Senior RAN Engineer (DHA),"This position has a positive education requirement which must be met in addition to the specialized experience outlined below. Basic Requirements: Degree in Professional Engineering. To be acceptable, the curriculum must: (1) be in a school of engineering with at least one curriculum accredited by the Accreditation Board of Engineering and Technology (ABET) as a professional engineering curriculum; or (2) include differential and integral calculus and courses (more advanced than first-year physics and chemistry) in five of the following seven areas of engineering science of physics; a) statics, dynamics; b) strength of materials (stress-strain relationships); c) fluid mechanics, hydraulics; d) thermodynamics; e) electrical fields and circuits; f) nature and properties of materials (relating particle and aggregate structure to properties); and g) other comparable areas of fundamental engineering science or physics, such as optics, heat transfer, soil mechanics or electronics.ORCombination of education and experience -- college-level education, training, and/or technical experience that furnished (1) a thorough knowledge of the physical and mathematical sciences underlying engineering, and (2) a good understanding, both theoretical and practical, of the engineering sciences and techniques and their applications to one of the branches of engineering. The adequacy of such background must be demonstrated by one of the following:1. Professional registration or licensure-- Current registration as an Engineer Intern (EI), Engineer in Training (EIT)1, or licensure as a Professional Engineer (PE) by any State, the District of Columbia, Guam, or Puerto Rico. Absent other means of qualifying under this standard, those applicants who achieved such registration by means other than written test (e.g., State grandfather or eminence provisions) are eligible only for positions that are within or closely related to the specialty field of their registration. For example, an applicant who attains registration through a State Board's eminence provision as a manufacturing engineer typically would be rated eligible only for manufacturing engineering positions.2. Written Test-- Evidence of having successfully passed the Fundamentals of Engineering (FE)2 examination or any other written test required for professional registration by an engineering licensure board in the various States, the District of Columbia, Guam, and Puerto Rico.3. Specified academic courses -- Successful completion of at least 60 semester hours of courses in the physical, mathematical, and engineering sciences and that included the courses specified in the basic requirements under paragraph A. The courses must be fully acceptable toward meeting the requirements of an engineering program as described in paragraph A.4. Related curriculum-- Successful completion of a curriculum leading to a bachelor's degree in an appropriate scientific field, e.g., engineering technology, physics, chemistry, architecture, computer science, mathematics, hydrology, or geology, may be accepted in lieu of a bachelor&#8217;s degree in engineering, provided the applicant has had at least 1 year of professional engineering experience acquired under professional engineering supervision and guidance. Ordinarily there should be either an established plan of intensive training to develop professional engineering competence, or several years of prior professional engineering-type experience, e.g., in interdisciplinary positions. (The above examples of related curricula are not all-inclusive.)Graduate Education:Regardless of the field of undergraduate study, completion of the requirements for a master's or higher degree in engineering is fully qualifying for the grade indicated, provided the applicant's total background, i.e., education and any experience, demonstrates evidence of knowledge, skills, and abilities that are substantially equivalent to those acquired through the successful completion of the courses specified under Basic Requirements above. ANDThis position is being advertised at the ZP-05, which is equivalent to the GS-15 grade level. Applicants must have one year of specialized experience equivalent to the GS-14 level (or equivalent pay band) in the Federal service. Specialized Experience is experience that has equipped the applicant with the particular knowledge, skills, and abilities to perform successfully the duties of the position, and that is typically in or related to the work of the position to be filled. Such experience includes:Planning and developing a wide-array of radio access network plans for a 4G LTE network on a state-wide and/or nation-wide scale, utilizing radio planning tools and software such as Planet Mentum and Atoll; devising network coverage solutions for rural/remote areas; and serving as a senior technical liaison to the senior leadership of outside organizations and stakeholders regarding LTE RAN planning and development.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487412800
2017-12-27,Department of Homeland Security,GS,"Apply for this exciting position to support the CG missions of safeguarding our Nation's maritime interests in the heartland, in the ports, at sea, and around the globe.For over two centuries The U.S. Coast Guard has protected the maritime economy and the environment, we defend our maritime borders, and we save those in peril. This history has forged our character and purpose as America's Maritime Guardian - Always Ready for all hazards and all threats.The vacancy is being concurrently advertised under merit promotion procedures for status applicants under announcement 18-1182-HQ-KB-M. APPLICANTS WHO WISH TO BE CONSIDERED UNDER BOTH DELEGATED EXAMINING AND MERIT PROMOTION PROCEDURES MUST APPLY TO BOTH VACANCY ANNOUNCEMENTS. NOTE: YOUR APPLICATION TO THIS DELEGATED EXAMINING ANNOUNCEMENT WILL ONLY ALLOW CONSIDERATION FOR THIS ANNOUNCEMENT. WE CANNOT ELECTRONICALLY OR MANUALLY MOVE YOUR APPLICATION TO THE CONCURRENTLY ADVERTISED MERIT PROMOTION. PLEASE ENSURE YOU ARE APPLYING UNDER THE CORRECT ANNOUNCEMENT.This position is located WITH THE OFFICE OF INFORMATION ASSURANCE AND SPECTRUM POLICY, SPECTRUM MANAGEMENT AND TELECOMMUNICATIONS POLICY DIVISION IN NORFOLK, VA.Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Applying to this announcement certifies that you give permission for DHS to share your application with others in DHS for similar positions.",93821.0,72168.0,This is a permanent appointment.,U.S. Coast Guard,Per Year,2017-12-27,18-1182-HQ-KB-D,"Norfolk, Virginia",2017-12-13,"Telecommunications Specialist, GS-0391-12","To be considered at the GS-12 level: Applicants must have one year of specialized experience equivalent to at least the GS-11 grade level in the federal service. Specialized experience includes: applying to projects a knowledge in a major area of radio communications (such as policy, standards, or regulatory); communicating national or international radio communication laws and regulatory processes, their interrelationships, and process improvement; serving as a technical authority in the application of new theories, concepts, or solutions to telecommunications problems.Specialized experience is experience that has equipped you with the particular ability, skill, and knowledge to successfully perform the duties of this position and is typically in or related to this line of work.National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.The Office of Personnel management (OPM) must authorize employment offers made to current or former political appointees. If you are currently, or have been within the last 5 years, a political Schedule A, Schedule, C, Non-career SES or Presidential Appointee employee in the Executive Branch, you must disclose this information to the Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486502900
2018-01-31,Other Agencies and Independent Organizations,GS,"This position has been amended to extend the closing date. This position is located in the China Branch in the East Asia and Pacific Division at the Voice of America in Washington, DC. The incumbent serves as the China Branch Chief and has overall responsibility for the management, leadership, programming and editorial direction for the high-quality journalism of the VOA China Branch, producing multimedia content in Mandarin and Cantonese targeting the People&#39;s Republic of China, Taiwan, and Hong Kong, covering China and its relationships with the United States, the region, and the world. THIS POSITION IS NOT COVERED BY A UNION AGREEMENT This vacancy has been amended to extend the closing date. Note: Budgetary conditions may delay or otherwise affect filling this vacancy. However, all interested candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow, and Blue Metro lines. INTRODUCTION TO AGENCY
The Broadcasting Board of Governors (BBG), an independent federal agency, is an exciting, multi-cultural organization that encompasses all United States civilian international broadcasting. The BBG is comprised of five networks broadcasting in 61 languages that include the Voice of America, the Office of Cuba Broadcasting (Radio and TV Marti), and three grantee organizations - Radio Free Europe/Radio Liberty; the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia. The International Broadcasting Bureau provides transmission, administrative, and other support services; and three grantee organizations. Our staff of dedicated professionals serve as an example of a free and independent media, reaching a worldwide audience of 215 million people with news, information, and relevant discussions. This vacancy is being advertise under Delegated Examining procedures and is open to all U.S. citizens. This vacancy is being concurrently advertised under Excepted Service procedures for all non-U.S. citizens under announcement number NC-10064888-18-JB.. Note: Your application to this U.S. Citizen vacancy announcement will only allow consideration for this announcement. We cannot electronically or manually move your application to the concurrently advertised NC-10064888-18-JB announcement. Please ensure you are applying under the correct announcement.",145629.0000,112021.0000,Permanent,Broadcasting Board of Governors,Per Year,2018-01-31,DE-10064874-18-JB,"Washington DC, District of Columbia",2017-11-08,Supervisory International Broadcaster,"Applicants must have one year of specialized experience equivalent to the next lower grade level (GS-13), which is directly related to this line of work. Specialized Experience is experience that has equipped the applicant with the knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience includes: In-depth knowledge of radio, television, and digital broadcast presentation and journalistic writing and editing principles and practices; Demonstrated supervisory and management skills of a large staff, human and material resources in a major multimedia newsgathering organization. Leading in-depth news reports, programming, and projects that have been recognized with reputable industry awards; Proven excellent news judgment and ability to lead fair and comprehensive news coverage; ability to motivate, direct, develop and evaluate staff to achieve the maximum productivity and creativity; efficient utilization of financial resources, including managing a large budget. Knowledge of China, Taiwan, Hong Kong, and China&#39;s relationship with the neighboring regions and the world. Fluency in Mandarin and/or Cantonese language is desired but not required.",https://www.usajobs.gov:443/GetJob/ViewDetails/483931000
2018-01-31,Other Agencies and Independent Organizations,GG,"THIS POSITION IS OPEN TO NON-US CITIZENS ONLY This vacancy has been amended to extend the closing date. This position is located in the China Branch in the East Asia and Pacific Division at the Voice of America in Washington, DC. The incumbent serves as the China Branch Chief and has overall responsibility for the management, leadership, programming and editorial direction for the high-quality journalism of the VOA China Branch, producing multimedia content in Mandarin and Cantonese targeting the People&#39;s Republic of China, Taiwan, and Hong Kong, covering China and its relationships with the United States, the region, and the world. THIS POSITION IS COVERED BY A UNION AGREEMENT This vacancy has been amended to extend the closing date. Note: Budgetary conditions may apply or otherwise affect filling this vacancy. However, all interest candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow and Blue Metro lines. INTRODUCTION TO AGENCY: The Broadcasting Board of Governors (BBG), an independent federal agency, is an exciting, multi-cultural organization that encompasses all United States civilian international broadcasting. The BBG is comprise of five networks broadcasting in 61 languages that include the Voice of America, the Office of Cuba Broadcasting (Radio and TV Marti), and three grantee organizations - Radio Free Europe/Radio Liberty; the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia. The International Broadcasting Bureau provides transmission, administrative, and other support services; and three grantee organizations. Our staff of dedicated professionals serve as an example of a free and independent media, reaching a worldwide audience of 215 million people with news, information, and relevant discussions. This vacancy is being advertise under the Excepted Service procedures and is open to all Non-US citizens. This vacancy is being concurrently advertised under Delegated Examining procedures for all U.S. citizens. Note: Your application to this Non-Citizen vacancy announcement will only allow consideration for this announcement. We cannot electronically or manually move your application to the concurrently advertised DE-10064874-18-JB announcement. Please ensure you are applying under the correct announcement.",145629.0000,112021.0000,2 YEARS,Broadcasting Board of Governors,Per Year,2018-01-31,NC-10064888-18-JB,"Washington DC, District of Columbia",2017-11-08,Supervisory International Broadcaster (Mandarin/Cantonese),"Applicants must have one year of specialized experience equivalent to the next lower grade level (GG-13), which is directly related to this line of work AND must be fluent in Mandarin and/or Cantonese and English languages. Specialized Experience is experience that has equipped the applicant with the knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience includes: In-depth knowledge of radio, television, and digital broadcast presentation and journalistic writing and editing principles and practices; Demonstrated supervisory and management skills of a large staff, human and material resources in a major multimedia newsgathering organization. Leading in-depth news reports, programming, and projects that have been recognized with reputable industry awards; Proven excellent news judgment and ability to lead fair and comprehensive news coverage; ability to motivate, direct, develop and evaluate staff to achieve the maximum productivity and creativity; efficient utilization of financial resources, including managing a large budget. Knowledge of China, Taiwan, Hong Kong, and China&#39;s relationship with the neighboring regions and the world.",https://www.usajobs.gov:443/GetJob/ViewDetails/483991400
2018-01-02,Other Agencies and Independent Organizations,GG,"This position is located at the Voice of America&#39;s, (VOA) South and Central Asia Division in Washington, DC. The incumbent serves as an International Broadcaster with responsibility for hosting, writing, editing and producing complex broadcast products on politics, economy and society. Incumbent will be adapting content for the Service&#39;s digital platforms, web and mobile phone-based news and information outlets. THIS POSITION IS OPEN TO NON-US CITIZENS ONLY THIS POSITION IS COVERED BY A UNION AGREEMENT Note: Budgetary conditions may apply or otherwise affect filling this vacancy. However, all interest candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow and Blue Metro lines. INTRODUCTION TO AGENCY: The Broadcasting Board of Governors is an exciting, multi-media, multi-cultural, global media agency that carries out all United States civilian international broadcasting. Our media networks complement and reinforce one another in a shared mission vital to U.S. national interests: to inform, engage, and connect people around the world in support of freedom and democracy. Our staff of dedicated professionals serve as an example of a free and independent media, bringing news, information, and relevant discussions to a weekly audience of over 278 million people worldwide in over 60 languages via radio, television, Internet, and social media. BBG media networks include the Voice of America and the Office of Cuba Broadcasting (Radio and TV Marti) and three grantee organizations: Radio Free Europe/Radio Liberty, the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia. Note: Your application to this Non-Citizen vacancy announcement will only allow consideration for this announcement. We cannot electronically or manually move your application to the corresponding advertised DE announcement. Please ensure you are applying under the correct announcement. Note: This vacancy is being advertised under the Excepted Service procedures and is open to all Non-US citizens. This vacancy is being concurrently advertised under Delegated Examining procedures for all U.S. citizens.",103639.0000,79720.0000,2 Years,Broadcasting Board of Governors,Per Year,2018-01-02,NC-10097902-18-LM,"Washington DC, District of Columbia",2017-12-15,INT Broadcaster (Multimedia)(Dari),"Applicants must have one year of specialized experience equivalent to the next lower grade level which is directly related to this line of work AND fluency in the English and Dari languages that demonstrates ability to write, report, interview and announce broadcasts in both languages. Specialized experience is experience that has equipped the applicant with the particular knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience must demonstrate knowledge of broadcast journalism by writing, editing, interviewing, reporting and broadcasting stories for radio, television and preparing material for websites in the Dari language. Experience must also demonstrate specific understanding of story-telling for broadcast and other platforms.",https://www.usajobs.gov:443/GetJob/ViewDetails/486733700
2018-01-02,Other Agencies and Independent Organizations,GS,"This position is located at the Voice of America&#39;s, (VOA) South and Central Asia Division in Washington, DC. The incumbent serves as an International Broadcaster with responsibility for hosting, writing, editing and producing complex broadcast products on politics, economy and society. Incumbent will be adapting content for the Service&#39;s digital platforms, web and mobile phone-based news and information outlets. THIS POSITION IS COVERED BY A UNION AGREEMENT Note: Budgetary conditions may delay or otherwise affect filling this vacancy. However, all interested candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow, and Blue Metro lines. INTRODUCTION TO AGENCY: The Broadcasting Board of Governors is an exciting, multi-media, multi-cultural, global media agency that carries out all United States civilian international broadcasting. Our media networks complement and reinforce one another in a shared mission vital to U.S. national interests: to inform, engage, and connect people around the world in support of freedom and democracy. Our staff of dedicated professionals serve as an example of a free and independent media, bringing news, information, and relevant discussions to a weekly audience of over 278 million people worldwide in over 60 languages via radio, television, Internet, and social media. BBG media networks include the Voice of America and the Office of Cuba Broadcasting (Radio and TV Marti) and three grantee organizations: Radio Free Europe/Radio Liberty, the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia. Note: This vacancy is being advertised under the Delegated Examining (DE) procedures and is open to all U.S. citizens. This vacancy is being concurrently advertised under Excepted Service procedures for all non-U.S. citizen applicants. Note: Your application to this DE vacancy announcement will only allow consideration for this announcement. We cannot electronically or manually move your application to the corresponding advertised announcement. Please ensure you are applying under the correct announcement.",103639.0000,79720.0000,Permanent,Broadcasting Board of Governors,Per Year,2018-01-02,DE-10097901-18-LM,"Washington DC, District of Columbia",2017-12-15,INT Broadcaster (Multimedia)(Dari),"Applicants must have one year of specialized experience equivalent to the next lower grade level which is directly related to this line of work AND fluency in the English and Dari languages that demonstrates ability to write, report, interview and announce broadcasts in both languages. Specialized Experience is experience that has equipped the applicant with the knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience must demonstrate knowledge of broadcast journalism by writing, editing, interviewing, reporting and broadcasting stories for radio, television and preparing material for websites in the Dari language. Experience must also demonstrate specific understanding of story-telling for broadcast and other platforms.",https://www.usajobs.gov:443/GetJob/ViewDetails/486734500
2018-01-02,Other Agencies and Independent Organizations,GS,"This position is located at the Voice of America&#39;s, (VOA) South and Central Asia Division in Washington, DC. The incumbent serves as an International Broadcaster with responsibility for hosting, writing, editing and producing complex broadcast products on politics, economy and society. Incumbent will be adapting content for the Service&#39;s digital platforms, web and mobile phone-based news and information outlets. THIS POSITION IS COVERED BY A UNION AGREEMENT Note: Budgetary conditions may delay or otherwise affect filling this vacancy. However, all interested candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow, and Blue Metro lines. INTRODUCTION TO AGENCY: The Broadcasting Board of Governors is an exciting, multi-media, multi-cultural, global media agency that carries out all United States civilian international broadcasting. Our media networks complement and reinforce one another in a shared mission vital to U.S. national interests: to inform, engage, and connect people around the world in support of freedom and democracy. Our staff of dedicated professionals serve as an example of a free and independent media, bringing news, information, and relevant discussions to a weekly audience of over 278 million people worldwide in over 60 languages via radio, television, Internet, and social media. BBG media networks include the Voice of America and the Office of Cuba Broadcasting (Radio and TV Marti) and three grantee organizations: Radio Free Europe/Radio Liberty, the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia. Note: This vacancy is being advertised under Delegated Examining (DE) procedures and is open to all U.S. citizens. This vacancy is being concurrently advertised under Excepted Service procedures for all non-U.S. citizen applicants. Note: Your application to this DE vacancy announcement will only allow consideration for this announcement. We cannot electronically or manually move your application to the corresponding advertised announcement. Please ensure you are apply under the correct announcement.",103639.0000,79720.0000,Permanent,Broadcasting Board of Governors,Per Year,2018-01-02,DE-10100689-18-LM,"Washington DC, District of Columbia",2017-12-15,INT Broadcaster (Multimedia)(Pashto),"Applicants must have one year of specialized experience equivalent to the next lower grade level which is directly related to this line of work AND fluency in the English and Pashto languages that demonstrates ability to write, report, interview and announce broadcasts in both languages. Specialized Experience is experience that has equipped the applicant with the knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience must demonstrate knowledge of broadcast journalism by writing, editing, interviewing, reporting and broadcasting stories for radio, television and preparing material for websites in the Pashto language. Experience must also demonstrate specific understanding of story-telling for broadcast and other platforms.",https://www.usajobs.gov:443/GetJob/ViewDetails/486742900
2018-01-02,Other Agencies and Independent Organizations,GG,"This position is located at the Voice of America&#39;s, (VOA) South and Central Asia Division in Washington, DC. The incumbent serves as an International Broadcaster with responsibility for hosting, writing, editing and producing complex broadcast products on politics, economy and society. Incumbent will be adapting content for the Service&#39;s digital platforms, web and mobile phone-based news and information outlets. THIS POSITION IS OPEN TO NON-US CITIZENS ONLY THIS POSITION IS COVERED BY A UNION AGREEMENT Note: Budgetary conditions may apply or otherwise affect filling this vacancy. However, all interest candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow and Blue Metro lines. INTRODUCTION TO AGENCY: The Broadcasting Board of Governors is an exciting, multi-media, multi-cultural, global media agency that carries out all United States civilian international broadcasting. Our media networks complement and reinforce one another in a shared mission vital to U.S. national interests: to inform, engage, and connect people around the world in support of freedom and democracy. Our staff of dedicated professionals serve as an example of a free and independent media, bringing news, information, and relevant discussions to a weekly audience of over 278 million people worldwide in over 60 languages via radio, television, Internet, and social media. BBG media networks include the Voice of America and the Office of Cuba Broadcasting (Radio and TV Marti) and three grantee organizations: Radio Free Europe/Radio Liberty, the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia. Note: Your application to this Non-Citizen vacancy announcement will only allow consideration for this announcement. We cannot electronically or manually move your application to the corresponding advertised DE announcement. Please ensure you are applying under the correct announcement. This vacancy is being advertise under the Excepted Service procedures and is open to all Non-US citizens. This vacancy is being concurrently advertised under Delegated Examining procedures for all U.S. citizens.",103639.0000,79720.0000,2 Years,Broadcasting Board of Governors,Per Year,2018-01-02,NC-10100690-18-LM,"Washington DC, District of Columbia",2017-12-15,INT Broadcaster (Multimedia)(Pashto),"Applicants must have one year of specialized experience equivalent to the next lower grade level which is directly related to this line of work AND fluency in the English and Pashto languages that demonstrates ability to write, report, interview and announce broadcasts in both languages. Specialized experience is experience that has equipped the applicant with the particular knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience must demonstrate knowledge of broadcast journalism by writing, editing, interviewing, reporting and broadcasting stories for radio, television and preparing material for websites in the Pashto language. Experience must also demonstrate specific understanding of story-telling for broadcast and other platforms.",https://www.usajobs.gov:443/GetJob/ViewDetails/486746600
