ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-31,Judicial Branch,CR,"The U.S. District Court, District of Minnesota, serves the 87 Minnesota counties. The District has four staffed divisional offices located in Minneapolis, Saint Paul, Duluth, and Fergus Falls. The U.S. District Court, District of Minnesota is composed of seven authorized district judges, six senior district judges, eight magistrate judges, one part-time magistrate judge, Clerk&#39;s Office staff, and Probation and Pretrial Services Office staff. The U.S. District Court Clerk&#39;s Office for the District of Minnesota is seeking a Court Reporter to office in Saint Paul, Minnesota with travel to Minneapolis, Duluth, Fergus Falls, and Bemidji as required. The primary focus of the Court Reporter is to provide court reporting services to the Court. In general, Court Reporters receive a primary assignment to cover the needs of one judge, though the Court Reporter serves the Court en banc, and can be called upon to cover court reporting needs for any proceeding in the Court. The Court Reporter is responsible for verbatim reporting of proceedings held before the Court, and for the transcription of those proceedings upon request.",94397.0000,82085.0000,Excepted Service,U.S. Courts,Per Year,2017-12-31,2017-15,"Saint Paul, Minnesota",2017-12-01,Court Reporter to Senior Judge Donovan Frank,"At least four years of court reporting experience in the freelance field or a combination of court and freelance experience. Successful candidate is a highly organized individual who exercises tact, judgment, poise, initiative, and who maintains a professional appearance and demeanor. Skill in the use of computer-aided transcription equipment, and all necessary court reporting equipment and software, including computer, display, write, cable, and Realtime software. Realtime certification from the National Court Reporters Association is required and Merit certifications are preferred. Demonstrated proficiency as a Realtime Court Reporter. Knowledge of legal terminology. Knowledge of chambers&#39; procedures and preferences regarding court reporting. Skill in records management. Ability to understand and respond to the actual and potential problems that may develop during the preparation and completion of a transcript. Ability to be flexible and adapt to unanticipated needs and problems. Ability to organize and prioritize own work and meet deadlines. Ability to consistently demonstrate sound ethics and judgment. Ability to communicate effectively both orally and in writing with individuals and groups to provide information. Ability to interact effectively and appropriately with others, providing customer service and resolving difficulties while complying with regulations, rules and procedures. Ability to work harmoniously with others and a commitment to public service.",https://www.usajobs.gov:443/GetJob/ViewDetails/485574600
2018-01-15,Other Agencies and Independent Organizations,VH,"You will play a key part in developing FCA's accounting policy and reporting standards for Farm Credit System (FCS) institution compliance. As a Policy Analyst (Accounting), you will lead or contribute to regulation and policy development projects including prior approval projects for complex financial accounting and reporting issues. You will work collaboratively on projects with professionals from other bank regulatory agencies and assist other regulation and policy staff and workgroups on FCS accounting and disclosure issues. This position is located in the Office of Regulatory Policy, Operations Management and Accounting Team, which manages policy and regulation development activities that ensure the safety and soundness of the FCS. The ideal candidate for this position is acertified public accountant (CPA) with experience in financial accounting and reporting, as well as Generally Accepted Accounting Principles(GAAP) accounting policy and procedures, who has the ability to explain accounting and financial concepts to a variety of audiences and is able towork independently. This position is being advertised at 3 grade levels: VH-38, VH-39, and VH-40. The salary ranges for each grade include a 24.58% geographic differential for McLean, VA. VH-38 (GS-12 equivalent): $89,106 to $146,876 per annum. VH-39 (GS-13 equivalent): $101,844 to $168,042 per annum. VH-40 (GS-14 equivalent): $116,517 to $192,253 per annum. This position is also advertised forStatus Candidatesunder job opportunity announcement VA-17-0317-MP.If you would like to be considered under both merit promotion (MP) and delegated examining (DE), you must apply to both announcements. **This closing date of this announcement has been extended from 12/22/17.**",192253.0,89016.0,Permanent,Farm Credit Administration,Per Year,2018-01-15,VA-17-0317-DE,"McLean, Virginia",2017-12-07,Policy Analyst (Accounting),"To qualify for this position, by the closing date of this announcement, you must meet both the Basic Requirements and the Specialized Experience Requirements for the grade levels to which you are applying. Specialized experience is experience that has equipped you with the particular knowledge, skills, and abilities to perform the duties of the position successfully. To be creditable, specialized experience must be equivalent to at least the next lower grade level in the Federal service. Basic Requirement: You application must include sufficient documentation to determine the following. Degree Requirements: Degree in accounting, or a degree in a related field such as business administration, finance, or public administration that included or was supplemented by 24 semester hours in accounting. The 24 hours may include up to 6 hours of credit in business law.The term ""accounting"" means ""accounting and/or auditing."" OR Combination of education and experience:at least 4 years of experience in accounting, or an equivalent combination of accounting experience, college-level education, and training that provided professional accounting knowledge. The applicant's background must also includeone of the following: Twenty-four semester hours in accounting or auditing courses of appropriate type and quality. This can include up to 6 hours of business law. A certificate as Certified Public Accountant or a Certified Internal Auditor, obtained through written examination; or Completion of the requirements for a degree that included substantial course work in accounting or auditing, e.g., 15 semester hours, but that does not fully satisfy the 24-semester-hour requirement of paragraph A, provided that (a) the applicant has successfully worked at the full-performance level in accounting, auditing, or a related field, e.g., valuation engineering or financial institution examining; (b) a panel of at least two higher level professional accountants or auditors has determined that the applicant has demonstrated a good knowledge of accounting and of related and underlying fields that equals in breadth, depth, currency, and level of advancement that which is normally associated with successful completion of the 4-year course of study described in paragraph A; and (c) except for literal nonconformance to the requirement of 24 semester hours in accounting, the applicant's education, training, and experience fully meet the specified requirements. Specialized Experience Requirements: Your descriptions of specialized experience should demonstrate your ability toadvise on, administer, supervise, or perform professional accounting work that requires application of accounting theories, concepts, principles, and standards to the financial activities of governmental, quasi-governmental, or private sector organizations. To qualify for the VH-38 (GS-12) level, you must have specialized experience equivalent to the next lower level, VH-37 (GS-11).The experience may have been gained in either the public or private sector.One year of experience refers to full-time work; part-time work is considered on a prorated basis. Specialized experience for this level includes: Experience providing research to assist in the development of draft regulatory disclosure, reporting, governance, and operational standards and other policy rulemakings or policy statements related to public or corporate accounting; Experience researching and analyzing current accounting and financial reporting pronouncements; and Experience providing accounting advisory services or corporate accounting/finance services, focusing on accounting transactions. There is no substitute for education at the VH-38 grade level. To qualify for the VH-39 (GS-13) level, you must have specialized experience equivalent to the next lower level, VH-38 (GS-12).The experience may have been gained in either the public or private sector.One year of experience refers to full-time work; part-time work is considered on a prorated basis. In addition to the specialized experience listed for the VH-38 level, specialized experience for this level includes: Experience drafting regulations, policy statements or other regulatory guidance and assisting with development of materials to implement regulations includinginternal and external guidance; Experience preparing and delivering briefings, reports, and other presentations to management; and Experience researching and analyzing mergers, acquisitions, consolidations or other related corporate activity. There is no substitute for education at the VH-39 grade level. To qualify for the VH-40 (GS-14) level, you must have specialized experience equivalent to the next lower level, VH-39 (GS-13).The experience may have been gained in either the public or private sector.One year of experience refers to full-time work; part-time work is considered on a prorated basis. In addition to the specialized experience listed for the VH-39 level, specialized experience for this level includes: Experience serving as a Project Manager for regulatory development projects or overseeing work groups focused on disclosure, reporting, governance, and operational and management issues and/or mergers, consolidations, or other related corporate activities; Experience leading efforts on drafting regulations, policy statements, and other regulatory guidance; and Experience developing a variety of written work products/deliverables such as training materials, comment letters, reports, and briefing papers for distribution to senior leadership and key stakeholders. There is no substitute for education at the VH-40 grade level. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486129000
2018-01-02,Other Agencies and Independent Organizations,CG,"This position is located in the Division of Finance, Assessments, Assessment Compliance Section, Headquarters, Arlington, VA, of the Federal Deposit Insurance Corporation, and provides support in improving the accuracy of assessment base data reporting from insured financial institutions in order to collect accurate deposit insurance premiums and other fees.Additional selections may be made from this vacancy announcement to fill identical vacancies that occur subsequent to this announcement.",143275.0,88296.0,"Permanent,
Full-Time",Federal Deposit Insurance Corporation,Per Year,2018-01-02,2017-HQD-B1147,"Washington DC, District of Columbia",2017-12-18,"Assessment Specialist, CG-501-12","Qualifying experience may be obtained in the Private or public sector. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g. Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic, religious/spiritual; community; student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Additional qualifications information can be found here click here.CG-12: Applicant must have one year of specialized experience equivalent to at least the grade 11 level in the Federal service. Specialized experience is experience performing financial risk evaluation activities within insured depository institutions and determining compliance with appropriate standards; or audits/reviews of deposit insurance assessment reporting compliance; or evaluation of bank balance sheets; or monitoring and controlling financial institution deposit insurance assessment reporting.Applicants eligible for ICTAP (Interagency Career Transition Assistance Program) must achieve a score of 80 or higher in the online assessment to be determined ""well qualified"" for this position. For more information, click here.",https://www.usajobs.gov:443/GetJob/ViewDetails/486923900
2018-01-05,Department of Defense,GS,"This position is part of the Organization of the Joint Chiefs of Staff, Joint Chiefs of Staff. This position is located in the Joint Staff, Directorate of Management, Office of Comptroller, Accounting and Reporting Branch. The incumbent of this position serves as an accountant, responsible for complex accounting and financial reporting matters pertaining to the execution of annual and multi-year appropriations. Mission Statement: The Joint Staff assists the Chairman of the Joint Chiefs of Staff in accomplishing his responsibilities for: the unified strategic direction of the combatant forces; their operation under unified command; and for their integration into an efficient team of land, naval, and air forces. The Joint Staff is composed of approximately equal numbers of officers from the Army, Navy and Marine Corps, and Air Force. In practice, the Marines make up about 20 percent of the number allocated to the Navy.",123234.0000,79720.0000,Permanent,Organization of the Joint Chiefs of Staff,Per Year,2018-01-05,JCS-18-10099246-DE,"Pentagon, Arlington, Virginia",2017-12-22,STAFF ACCOUNTANT,"You may qualify at the GS-12, if you fulfill the following qualifications: A. One year of specialized experience equivalent to the GS-11 grade level in the Federal service: 1. Provide overall financial accounting advice and conduct regulatory reviews of financial and accounting documents, reports, policies, operations, and procedures.
2. Conduct feasibility studies of accounting processes and reports to identify those which can be improved.
3. Demonstrate mastery knowledge and application of generally accepted accounting principles (GAAP), and professional financial accounting standards. You may qualify at the GS-13, if you fulfill the following qualifications: A. One year of specialized experience equivalent to the GS-12 grade level in the Federal service: 1. Supervise overall financial accounting advice and conduct regulatory reviews of financial and accounting documents, reports, policies, operations, and procedures.
2. Lead feasibility studies of accounting processes and reports to identify those which can be improved.
3. Demonstrate mastery knowledge and application of generally accepted accounting principles (GAAP), and professional financial accounting standards. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. In addition to meeting qualifications, your application package must reflect the applicable experience to meet the Individual Occupational Requirements (IOR) for the series. Degree: accounting; or a degree in a related field such as business administration, finance, or public administration that included or was supplemented by 24 semester hours in accounting. The 24 hours may include up to 6 hours of credit in business law. (The term ""accounting"" means ""accounting and/or auditing"" in this standard. Similarly, ""accountant"" should be interpreted, generally, as ""accountant and/or auditor."") OR Combination of education and experience: at least 4 years of experience in accounting, or an equivalent combination of accounting experience, college-level education, and training that provided professional accounting knowledge. The applicant&#39;s background must also include one of the following: Twenty-four semester hours in accounting or auditing courses of appropriate type and quality. This can include up to 6 hours of business law; A certificate as Certified Public Accountant or a Certified Internal Auditor, obtained through written examination; or Completion of the requirements for a degree that included substantial course work in accounting or auditing, e.g., 15 semester hours, but that does not fully satisfy the 24-semester-hour requirement of paragraph A.",https://www.usajobs.gov:443/GetJob/ViewDetails/487422200
2018-01-01,Department of Defense,GS,"DHRA&#39;s mission is to provide program support, information management, and administrative services to the DoD Components on human resource matters and to collect, archive and provide management information, research and analysis of human resources and other related functional area databases for the DoD.",123234.0000,79720.0000,Permanent,Defense Human Resources Activity,Per Year,2018-01-01,DHRA-18-10099959-DE,"Alexandria, Virginia",2017-12-19,Program Analyst,"You may qualify at the GS-13, if you fulfill the following qualifications: A. One year of specialized experience equivalent to the GS-12 grade level in the Federal service: Communicates with industry representatives, and contracting officers representatives to streamline and improve acquisition reporting. Perform complex data analysis, design, and update reporting to improve data quality by evaluating cost data, funding source data, and requiring activity data. Develops/oversees manpower reporting training curricula,materials and standard operating procedures. You may qualify at the GS-12, if you fulfill the following qualifications: A. One year of specialized experience equivalent to the GS-11 grade level in the Federal service: Communicates with industry representatives and contracting officers representatives. Reviewing data analysis to improve data quality, cost data, and funding source data. Dispersing manpower reporting training curricula, materials and standard operating procedures. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487014600
2018-02-16,Judicial Branch,JS,"The United States Bankruptcy Court, Central District of California is accepting applications for the position of Chief Deputy of Administration (Type II). The Central District is home to one of the largest bankruptcy courts in the nation, with five divisional offices located in Los Angeles, Santa Ana, Riverside, Woodland Hills, and Santa Barbara, serving a population of 19.4 million people, with 22 judges and over 200 Clerk&#39;s Office and chambers employees. Assignment of the position is to the Los Angeles office. The Chief Deputy of Administration is a senior executive-level position reporting directly to the Executive Officer/Clerk of Court (Clerk). The Chief Deputy of Administration partners with the Chief Deputy of Operations to assist the Clerk in the day-to-day management of the Clerk&#39;s Office. The Chief Deputy of Administration advises the Clerk on policy matters; establishes and maintains relationships with other court units, governmental agencies, the bar, and community and professional organizations; analyzes and interprets trends, statistics, and patterns to help the court anticipate challenges and opportunities for growth and change; establishes standards, evaluates performance and makes recommendations to improve court administration. The Chief Deputy of Administration assists the Clerk in managing the Court&#39;s budget and annual spending plan; makes oral presentations and prepares comprehensive memoranda, reports, correspondence and other written communications; and communicates directly with judges and staff about administrative matters. Acts as the Clerk in the absence of the Clerk. The Chief Deputy of Administration provides managerial oversight of the following areas: information technology, including network, courtroom technology, software development, and Help Desk; space and facilities; office services; financial services; budget; procurement; internal controls/audit; human resources; staff development; planning and research; emergency preparedness and communications. It is anticipated that oversight of some administrative functions listed above may be shifted to the Chief Deputy of Operations and/or the Clerk to balance the growing IT workload and needs of the Court. Limited travel is required. Duties may require working during non-business hours. The vacancy is resulting from the incumbent&#39;s upcoming retirement on January 3, 2018. Starting date is negotiable and relocation expenses will be considered, subject to availability of funds.",172100.0000,134411.0000,Permanent,U.S. Courts,Per Year,2018-02-16,DE-10082456-18-CB,"Los Angeles, California",2017-11-16,Chief Deputy of Administration,"DESIRABLE: A Bachelor&#39;s degree from an accredited university is preferred. In addition, a Master&#39;s degree in Public, Business, or Judicial Administration or Juris Doctor (JD) degree from an accredited institution is highly desirable. Substantial management experience in a Federal or State court environment, administrative agency, or technology company is advantageous. Experience should clearly demonstrate the ability to lead with vision, sustain a high level of organizational excellence, articulate and implement management priorities, and integrate current and future technologies. Project management experience, including implementation of Agile methodology a plus. Knowledge of IT security principles and best practices, network management, software development, and courtroom technology preferred. The successful candidate should be highly organized, and possess sound judgment and a high degree of initiative.",https://www.usajobs.gov:443/GetJob/ViewDetails/484625200
2018-01-02,Department of the Interior,GS,"This position is located in Homestead National Monument of America, in the Interpretation Division. Please visit find a park for additional park information. This position will start as part-time and may change to full-time temporary position not-to-exceed 1039 regular hours (about 6 months) in a service year. Position may be terminated sooner or extended depending on management needs. Individuals selected under this vacancy announcement are eligible for rehire in subsequent service years.
The typical seasonal entry-on-duty period for Homestead National Monument of America is February to August, but can be variable during these months due to weather conditions, project needs, or funding. Travel, transportation, and relocation expenses will not be paid. All travel, transportation, and relocation expenses associated with reporting for duty in this position will be the sole responsibility of the selected employee.",42702.0000,32844.0000,Seasonal,National Park Service,Per Year,2018-01-02,MW-1543-HOME-18-10098480-DE,"Beatrice, Nebraska",2017-12-22,Museum Technician,"To qualify for this position at the GS-05 grade level, you must possess at least one of the following minimum qualifications by close of the announcement: EXPERIENCE: At least one full year of specialized experience comparable in scope and responsibility to the GS-04 grade level in the Federal service (obtained in either the public or private sectors). This experience includes activities such as, but are not limited to: collection management, registration, cataloging, research, preservation, restoration, or conservation of collections of museum material. . You must include hours per week worked.
-OR-
EDUCATION: Successful completion of at least four years of education above high school (120 semester hours or 180 quarter hours) leading to a bachelor&#39;s degree . You must include transcripts.
-OR-
Successful completion of a combination of education and experience as described above. To combine education and experience, first take Only education in excess of the first 60 semester hours of a course of study leading to a bachelor&#39;s degree is creditable toward meeting the specialized experience requirements. Two full academic years of study, or 60 semester hours, beyond the second year is equivalent to 1 year of specialized experience. For example, I have 6 months of the specialized experience described in A above (50% of the experience requirement), and 3 years of college study for an accredited institution (50% of the qualifying education) which included at least 12 semester hours of related coursework as specified in B above (50% of the related coursework required). NOTE: you must submit a copy of your transcripts. Copies must include your name, school name, credit hours, major(s), and grade-point average or class ranking.
. Then take the number of months of full time experience and divide by 12 months. Add the percentages together. The total must equal at least 100 percent to qualify. You must include transcripts. Volunteer Experience: Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. You must include months, years and hours per week worked to receive credit for your work and/or volunteer experience. One year of specialized experience is equivalent to 12 months at 40 hours per week. Part-time hours are prorated. You will not receive any credit for experience that does not indicate exact hours per week or is listed as ""varies"".",https://www.usajobs.gov:443/GetJob/ViewDetails/486974800
2018-01-12,Department of the Interior,GS,"BLM is seeking an enthusiastic and hardworking Forester to serve on a permanent basis as the Forester for the Redding Field Office, located in Redding, California. The program in Redding is within the Public Domain (PD) side of BLM Forestry. The work will consist of everything involved in a timber sale, both in the field and in the office. This position is also an integral member of the Redding Field Office Interdisciplinary Team (IDT).The Redding Field Office manages approximately 250,000 acres of public land in north-central California. The duty station is located in Redding, CA, a city with close to 90,000 people, located approximately 2.5 hours north of Sacramento, CA. Recreational opportunities in the area are plentiful. Hiking, camping, hunting, river rafting, boating, rock hounding, OHV riding, fishing, and mountain biking are all possible within a short driving radius of Redding.Physical Demands: Work is divided between activity in an office environment and moderate to heavy physical activity in the field. The ability to safely operate four-wheel drive vehicles and ATVs is necessary. During winter conditions, operation of over-snow vehicles such as snow machines and the Thiokol are necessary. The ability to walk over steep, rough, uneven or rocky terrain at extreme elevations is required. Also hiking through extremely dense brush, logging slash and tree covered terrain, often wet or occasionally snow covered is required.Work Environment: Some work is performed in an adequately lighted, heated, and air conditioned office. However, considerable outdoor activity is required to complete project work. The outdoor activity involves working in isolated or back country areas, working at high altitudes, working alone, working in extreme weather conditions, and travel in hazardous terrain. Safety precautions are required, and the employee must wear protective equipment in the forest area.***Vacancy Announcement Amended to add Paid Relocation Expenses, extend the expiration date and share concurrent vacancy announcement number CA-Merit-2018-0028***",77019.0,48968.0,Permanent,Bureau of Land Management,Per Year,2018-01-12,CA-DEU-2018-0002,"Redding, California",2017-12-05,Forester,"Basic Education RequirementThis position has a basic education requirement. In order to meet this requirement, applicants must have (A) successfully completed a degree in forestry; or a related subject-matter field that included a total of at least 30 semester hours in any combination of biological, physical, or mathematical sciences or engineering, of which at least 24 semester hours of course work were in forestry. The curriculum must have been sufficiently diversified to include courses in each of the following areas:Management of Renewable Resources -- study of the science and art of managing renewable resources to attain desired results. Examples of creditable courses in this area include silviculture, forest management operations, timber management, wildland fire science or fire management, utilization of forest resources, forest regulation, recreational land management, watershed management, and wildlife or range habitat management.Forest Biology -- study of the classification, distribution, characteristics, and identification of forest vegetation, and the interrelationships of living organisms to the forest environment. Examples of creditable courses in this area include dendrology, forest ecology, silvics, forest genetics, wood structure and properties, forest soils, forest entomology, and forest pathology.Forest Resource Measurements and Inventory -- sampling, inventory, measurement, and analysis techniques as applied to a variety of forest resources. Examples of creditable courses include forest biometrics, forest mensuration, forest valuation, statistical analysis of forest resource data, renewable natural resources inventories and analysis, and photogrammetry or remote sensing.or (B) a combination of education and experience: courses equivalent to a major in forestry, or at least 30 semester hours in any combination of biological, physical, or mathematical sciences or engineering, of which at least 24 semester hours were in forestry. The requirements for diversification of the 24 semester hours in forestry are the same as shown in A above, plus appropriate experience or additional education.Specialized ExperienceIn order to be rated as qualified for this position, we must be able to determine that you meet the specialized experience requirement - please be sure to include this information in your resume. To be creditable, this experience must have been equivalent in difficulty and complexity to the next lower grade of the position to be filled. At the GS-09 levelIn addition to meeting the basic education requirements outlined above, applicants must have 1 year of specialized experience equivalent to at least the GS-07 level. Examples of specialized experience include assisting in the areas of managing forestlands and grazing areas, timber production, soil conservation, preservation of wildlife habitats, watershed protection, and development of recreational opportunities.At the GS-11 levelIn addition to meeting the basic education requirements outlined above, applicants must have 1 year of specialized experience equivalent to at least the GS-09 level. Examples of specialized experience may include providing support by performing the following activities: inventorying, planning, evaluating, and managing forest resources, including timber, soil, land, water, wildlife and fish habitats, minerals, forage, and outdoor recreation; protecting resources against fire, insects, disease, floods, and erosion; evaluating, managing, and protecting forest lands and properties; interpreting and communicating legislation about forest land management; applying principles of sustained yield management to forest resources, wetlands, water and soil quality, and wildlife conservation, to protect forested lands during timber harvesting operations.Substitution of Education:In lieu of specialized experience, applicants may substitute their education. Qualifying education at the GS-09 level includes 2 years of progressively higher level graduate education leading to a master's degree or master's or equivalent graduate degree. A combination of both graduate education and experience may be qualifying at either grade level. Qualifying education at the GS-11 level includes 3 years of progressively higher level graduate education leading to a Ph.D. degree or Ph.D. or equivalent doctoral degreeExperience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. You must meet all qualification requirements by the closing date of the announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/485961600
2018-06-30,Department of the Interior,GS,"Explore a new career with the BLM - where our people are our greatest natural resource. For additional information about the BLM, please visit Our website.All positions may not be filled or they may be filled at different times depending on budget, hiring needs, and requirements. These positions are temporary and are expected to last for approximately 6 months. These positions have no promotion potential, if you want to be considered for a higher grade you must apply for the higher grade.Physical Demands / Work Environment: Work may take place in extremely remote environments and may require primitive camping and living skills for upwards of two weeks in duration. The work is performed outdoors in rugged terrain; to include very steep, wet, muddy, rough, uneven or rocky surfaces; positions require physical exertions, such as, bending, crouching, stooping, stretching, reaching, or similar activities. Individuals should be capable of working alone, or with other people, during early morning hours, night, or during the day.Salary: Salary shown is taken from the Rest of the U.S. pay table, step 1. You may view the OPM salary tables, with the various locality rates, at 2017 General Schedule (GS) Locality Pay Tables.If selected from this or a similar competitive, seasonal announcement, your appointment may be creditable for consideration under PL-114-47, Land Management Workforce Flexibility Act (LMWFA)&#8203;. The Act allows certain individuals, who have or had time-limited appointments at land management agencies, to compete for any permanent position in the competitive service under &#8220;internal&#8221; merit promotion procedures. For more information, see the section under Eligibility, which starts with Question #15 (Q15. Who is eligible for appointment under these provisions?).",19.49,14.07,This is a temporary appointment. These positions have no promotion potential.,Bureau of Land Management,Per Hour,2018-06-30,BLM-TEMP-2018-0101,"Alturas, California|Bakersfield, California|Bishop, California|Cedarville, California|Redding, California|Susanville, California",2017-12-08,Range Aid/Technician,"In order to be rated as qualified for this position, we must be able to determine that you meet the qualification requirement - please be sure to include this information in your resume.GS-4: 6 months of general and 6 months of specialized work experience. Examples of specialized experience may include surveying public lands for the presence of noxious weeds; locating and treating weeds with designated herbicides; and preparing accurate records of all treatment; OR Successful completion of two years (90 quarter or 60 semester hours) of study above high school that included 12 semester hours in any combination of courses such as forestry, agriculture, crop or plant science, range management or conservation, wildlife management, watershed management, soil science, natural resources, outdoor recreation management, civil or forest engineering or wildland fire science. No more than 3 semester hours in math is creditable; OR A combination of experience and education to meet the total experience.GS-5: one year of specialized experience equivalent to GS-4 level. Examples of specialized experience may include conducting preliminary reconnaissance of range areas to select possible sites for re-seeding, fresh clearing, water spreading systems, etc.; or serving as an instrument person in laying out contour furrows, determining the contour line and staking out the line; OR Successful completion of a full four year course of study leading to a bachelor&#8217;s degree (a) with a major forestry, range management, agriculture or a subject-matter field directly related to the position or (b) that included at least 24 semester hours in any combination of the following courses: forestry, agriculture, crop or plant science, range management or conservation, wildlife management, watershed management, soil science, natural resources, outdoor recreation management, civil or forest engineering or wildland fire science. No more than 6 semester hours in math is creditable; OR A combination of experience and education to meet the total experience.GS-6: one year of specialized work experience equivalent to GS-5 level. Examples of specialized experience may include overseeing and performing maintenance work in connection with range improvements; assisting in enforcement of range rules and regulations; assisting in locating conservation and range improvement projects; and keeping cost account records with responsibility for construction supplies, materials and the maintenance of warehouses; OR Successful completion of one full year of graduate education directly related to the work of the position; OR A combination of experience and education to meet the total experience.GS-7: one year of specialized work experience equivalent to GS-6 level. Examples of specialized experience may include assisting in the management of public range resources of a district or other specified area by observing and reporting special conditions regarding them; and performing the detailed work necessary to complete specific plans for development of an area for proper range management and conservation; OR Successful completion of one full year of graduate education directly related to the work of the position; OR A combination of experience and education to meet the total experience.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.You must meet all qualification requirements by the early consideration / closing date of the announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/486317900
2017-12-28,Other Agencies and Independent Organizations,GS,"The position is located in the Voice of America News Center. The incumbent is a Supervisory Content Editor with responsibility for leading a team of professional editors and reporters in the News Center charged with developing and writing unique, original, complicated stories of global interest for a foreign audience on a variety of issues. In addition, the incumbent is responsible for reporting on current news stories from all sides with accuracy consistent with the mission and function of VOA and journalistic standards. THIS POSITION IS NOT COVERED BY A UNION AGREEMENT Note: Budgetary conditions may delay or otherwise affect filling this vacancy. However, all interested candidates should apply now. The Broadcasting Board of Governors is conveniently located within walking distance to the Green, Orange, Silver, Yellow, and Blue Metro lines. INTRODUCTION TO AGENCY: The Broadcasting Board of Governors is an exciting, multi-media, multi-cultural, global media agency that carries out all United States civilian international broadcasting. Our media networks complement and reinforce one another in a shared mission vital to U.S. national interests: to inform, engage, and connect people around the world in support of freedom and democracy. Our staff of dedicated professionals serve as an example of a free and independent media, bringing news, information, and relevant discussions to a weekly audience of over 278 million people worldwide in over 60 languages via radio, television, Internet, and social media. BBG media networks include the Voice of America and the Office of Cuba Broadcasting (Radio and TV Marti) and three grantee organizations: Radio Free Europe/Radio Liberty, the Middle East Broadcasting Networks (Alhurra TV and Radio Sawa), and Radio Free Asia.",150349.0000,112021.0000,Permanent,Broadcasting Board of Governors,Per Year,2017-12-28,DE-10087574-18-AJ,"Los Angeles, California|Washington DC, District of Columbia|New York, New York",2017-12-07,Supervisory Content Editor,"Applicants must have one year of specialized experience equivalent to the next lower grade level (GS-13), which is directly related to this line of work. Specialized experience is experience that has equipped the applicant with the knowledge, skills and abilities to successfully perform the duties of the position. Examples of such experience includes: In-depth knowledge of television, social media, web, digital broadcast presentation and journalistic writing and editing principles and practices; demonstrated experience managing projects and teams in a major multimedia news gathering organization. Leading in-depth news reports, programming, and projects that have been recognized for excellence; Proven excellent news judgment and ability to lead fair and comprehensive news coverage; Ability to motivate, direct, develop and evaluate staff to achieve the maximum productivity and creativity: efficient utilization of financial resources, including managing a large budget. Knowledge of international and national news and engaging storytelling techniques.",https://www.usajobs.gov:443/GetJob/ViewDetails/485162700
