ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",112306.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180151,"Arnold, Missouri|Saint Louis, Missouri",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180152,"Springfield, Virginia",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494300
2018-02-19,Other Agencies and Independent Organizations,IS,"The software development team of the Chandra X-ray Data System has an opening for a UI/UX IT Specialist with computer graphics and visualization experience to join our team in Cambridge, MA. The talented developer will work to develop/modernize the User Interface/User Experience of new and legacy visualization software. The employee we seek will work to understand the user's needs, advocate that vision to the software team, and design, develop, and maintain software that delivers innovation and seamlessly integrates with the existing system. We offer a challenging environment working in partnership with scientists, data system operations, and an existing software development team, to bring Chandra data products and analysis tools to the astronomical community at large.",122875.0,66317.0,Trust Fund Indefinite. This is not a federal position,Smithsonian Institution ,Per Year,2018-02-19,17-69,"Cambridge, Massachusetts",2017-09-22,IT Specialist (Applications Software),"For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below.1. Attention to Detail - Is thorough when performing work and conscientious about attending to detail.2. Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.3. Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.AND Candidates for grade 11 must possess minimum of one year of specialized experience equivalent to at least the grade 9 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as knowledge of Python, C/C++, Java and Unix based operating systems; knowledge of and the ability to configure distributed version control systems (e.g., Git, Conda, Clearcase); knowledge of and the ability to utilize modern programming practices and standards (e.g., UML, Design patterns); knowledge and ability to utilize package management and support tools (e.g., Atlassian products such as Jira, Confluence); knowledge of web and cloud enabled technologies. Candidates for grade 12 must possess a minimum of one year of specialized experience equivalent to at least the grade 11 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; knowledge and proficient ability to configure distributed version control systems; knowledge and proficient ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure. Candidates for grade 13 must possess a minimum of one year of specialized experience equivalent to at least the grade 12 in the normal line of progression for this occupation. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills, and abilities to successfully perform the duties of the position such as proficient knowledge of Python, C/C++, Java programming languages; proficient knowledge and ability to configure distributed version control systems; proficient knowledge and ability to utilize package management and support tools; ability to build large, reliable, and scalable IT infrastructure; knowledge of web and cloud enabled technologies. OREducation:All academic degrees and coursework must be from accredited or pre-accredited institutions. Undergraduate or Graduate Education: Degree in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks. Grade 11: Ph.D. or equivalent doctoral degreeor3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree.",https://www.usajobs.gov:443/GetJob/ViewDetails/480245700
2017-12-27,National Aeronautics and Space Administration,GS,"This position is located in the Technology Transfer Office, Office of Technology Incubation and Innovation, NASA Glenn Research Center, Cleveland OH. The Office of Technology Incubation and Innovation serves as the principal adviser to GRC leadership on matters concerning Center-wide technology capabilities. Technology Transfer Office implements a full array of technology transfer activities to facilitate the domestic utilization of NASA-developed technologies by the public and private sectors of the U.S. economy. In this role, you will serve as the Software Release Manager for the Center, supporting the Office of Technology Incubation and innovation (TII) and the Technology Transfer Office (TTO) responsible for the management of the GRC Software Release program, leading the Agency Software Release Working Group, and also serves as the alternate to the GRC Export Control Administrator.To receive consideration, you must submit a resume and answer NASA-specific questions. The NASA questions appear after you submit your resume and are transferred to the NASA web site. If you successfully apply, USAJOBS will show your application status as 'Received'. If your status is 'Application Status Not Available', you have not successfully applied. Do not rely on a USAJOBS email to confirm successful application. Only an email from NASA confirms a successful application.* As similar vacancies become available, additional selections may be made from this announcement.* This position is covered by the bargaining unit.",137161.0,89285.0,Permanent,John Glenn Research Center at Lewis Field,Per Year,2017-12-27,GR18D0016,"Cleveland, Ohio",2017-12-11,Software Release Manager,"Applicant must have one year of specialized experience equivalent to the next lower grade, which has equipped the applicant with the particular competencies needed to successfully perform the duties of the position described above.To qualify for the GS-14 grade level, specialized experience is defined as:Demonstrated experience facilitating technology transfer and export control activities for an installation; and providing expert advice to management on contracts, grants, or agreements in the area of compliance with intellectual property management, new technology and export control; and experience serving as a project manager in support of IT projects from inception to deployment, including developing project plans, tracking project schedules, and planning, administering, and monitoring expenditures to ensure cost-effective support of programs, projects, and policies.To qualify for the GS-13 grade level, specialized experience is defined as: Demonstrated experience supporting technology transfer and export control activities; and experience utilizing qualitative and quantitative analytical methods to interpret and review new and establish program rules and regulation to foster compliance; and experience working collaboratively with multidisciplinary teams to understand business and application requirements for potential changes or enhancements.",https://www.usajobs.gov:443/GetJob/ViewDetails/486409100
2018-01-22,Other Agencies and Independent Organizations,NF,"The Appalachian Regional Commission (ARC) is a regional economic development agency that represents a unique partnership between the Federal and State governments. ARC&#39;s mission is to be a strategic partner and advocate for sustainable community and economic development in Appalachia. This position is responsible for maintaining the business grant management system (ARCnet) of the agency. The primary and critical work of this position is to work collaboratively with the System Administrator on the design and development ARCNET then lead the preparation and implementation of code enhancements to the ARCnet. The position is involved in all work that involves the design, documentation, development, modification, testing, installation, implementation, and support of new or existing applications software. The position reports to the IT Program Manager and works collaboratively with the System Administrator. ARC is located in the vibrant Dupont Circle area, offers a competitive compensation/benefits package, and provides a dynamic career opportunity to lead and develop our database strategy.",123234.0000,94796.0000,Permanent,Appalachian Regional Commission,Per Year,2018-01-22,DE-10105158-18-CB,"Washington DC, District of Columbia",2017-12-21,Programmer/Software Engineer,"Knowledge of and skill in applying applications software development principles and methods sufficient to participate in the design, development, testing, and implementation of new or modified applications software.
Knowledge and experience working in an Agile Environment Technologies C# - Expert-level implementation skills with C# and the .NET platform. SCM - Strong experience working with an SCM tool like Team Foundation Server, Subversion or Git. ASP.NET - Strong implementation skills with ASP.NET including experience with building custom controls and developing with the ASP.NET MVC framework. Database - Strong experience with Microsoft LINQ or ADO.NET. Must be highly proficient in SQL preferably across multiple databases. Expert in SQL Sever Integration Services (SSIS) Web - Strong experience building modern web applications using frameworks like jQuery, jQuery UI, and Bootstrap. General - Comfortable in more than one programming language with a strong understanding of fundamental web/internet technologies. Customer Service - Works with clients and customers to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations.
Verbal Communication - Expresses information to individuals or groups effectively, taking into account the audience and nature of the information; makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations to complex and multi-faceted problems.
Ability to understand and translate ARC&#39;s business needs into technology solutions.
Ability to work independently, with minimal guidance.
Skill in evaluating one&#39;s own technical work.
Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
Skill in prioritizing tasks to meet work demands.
Ability to work in an unstructured environment.
Skill in dealing with various personalities.
Ability to work under pressure.
Ability to obtain a Public Trust background investigation.",https://www.usajobs.gov:443/GetJob/ViewDetails/487299700
2018-01-08,Department of Defense,GS,"Join Team DCMA -- Challenge yourself! The Defense Contract Management Agency serves as the independent eyes and ears of the Department of Defense (DoD) and its partners, delivering actionable acquisition insight from the factory floor to the front line around the world. We are an independent combat support agency within the DoD. We are the Department&#39;s contract manager, responsible for ensuring Federal acquisition programs, supplies, and services are delivered on time, within cost and meet performance requirements. About the Position: Defense Contract Management Agency uses the Expedited Hiring Authority to recruit and appoint qualified individuals directly into shortage category or critical need acquisition positions. Who May Apply: Only applicants who meet one of the employment authority categories below are eligible to apply for this job. You will be asked to identify which category or categories you meet, and to provide documents which prove you meet the category or categories you selected. All U.S. Citizens and Nationals with allegiance to the United States Interagency Career Transition Assistance Plan (ICTAP) Eligible",103337.0000,79488.0000,Permanent,Defense Contract Management Agency,Per Year,2018-01-08,SWH817P6XXXXXX6627EA,"Portsmouth, Rhode Island",2017-12-19,IT Specialist (Application Software),"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Experience required: To qualify based on your work experience, your resume must describe at least one year of experience which prepared you to do the work in this job. To qualify, applicants must possess one year of specialized experience equivalent to the next lower grade/level (GS-11). Specialized experience is defined as: experience with software acquisition on complex programs; experience analyzing and reporting performance data associated with radar and electronic systems; experience with peer review techniques & tools; experience with coding standards and software testing; experience with frameworks for managing software development; experience applying Software Quality Engineering practices; experience with software metrics such as execution time and memory budgets for programs; experience reviewing, testing and auditing.
AND
Information Technology (IT) related experience demonstrating each of the following four competencies: 1) Attention to detail: Thorough when performing work and conscientious about attending to detail; 2) Customer Service: Experience working with clients and customers assessing their needs, providing information or assistance, resolving their problems, satisfying their expectations, knows about available products and services, committed to providing quality products and services; 3) Oral Communication: Experience expressing information to individuals or groups, taking into account the audience and nature of the information, and making oral presentations; 4) Problem Solving: Experience identifying problems and determining the accuracy and relevance of information using judgment to generate and evaluate alternatives, and making recommendations. Education cannot be substituted for experience. You will be evaluated on the basis of your level of competency in the following areas:
Logical Systems DesignSoftware Testing and Evaluation Applicants must meet basic eligibility requirements such as minimum qualifications, and other regulatory requirements by the closing date of the announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/486944200
2018-01-02,Other Agencies and Independent Organizations,GS,"In this position, you will serve as an IT Specialist in Test &amp; Release Management Division (IQ) of Information Services (I). Whether you are new to the Federal Government or an experienced professional seeking a career change, you can make history at the National Archives. Our dedicated staff works across a variety of career fields to safeguard the records of the Federal Government - more than 10 billion of them.
Visit our Employee Gallery at www.archives.gov/careers to see the kinds of dynamic projects our staff are undertaking. If you want a career where you can see the difference your work makes, then join the National Archives! For more information, visit: http://archives.gov/dc-metro/college-park/",71467.0000,54972.0000,Permanent,National Archives and Records Administration,Per Year,2018-01-02,JD10097392JHD,"College Park, Maryland",2017-12-18,IT SPECIALIST (SOFTWARE TESTER),"GS-09 - Candidates must have had one (1) year of specialized experience equivalent to at least the next lower grade level. Specialized experience is experience that has equipped the applicant with the particular knowledge, skills, and abilities (KSA&#39;s) to perform successfully the duties of the position as described above, and that is typically in or related to the position to be filled. Examples of specialized experience for this grade level include: IT-related experience equivalent to the GS-7 level that included planning, designing, developing, acquiring, documenting, testing, implementing, integrating, and/or maintaining software applications or IT systems. Substitution of Education for Experience: Education may be substituted for experience. GS-9: Master&#39;s degree or equivalent graduate degree or two full years of progressively higher level graduate education leading to a degree from an accredited educational institution in a related field of study such as computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management. Combination of Experience and Education: A combination of experience and graduate education may be used to meet the total requirements for this position. Please refer to the Office of Personnel Management&#39;s, Operating Manual: Qualifications Standards for General Schedule Positions for further information http://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/2200/information-technology-it-management-series-2210-alternative-a/ Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486840600
2018-10-12,Department of Commerce,GG,"This vacancy is for Multiple IT Specialist, (APPSW), GG-0343-13 positions in the Decennial Directorate, Bureau of the Census, located at the U.S. Census Bureau Headquarters in Suitland, Maryland. The Census Bureau is accessible from the Metro Rail Green Line - Suitland Station. Positions may also be filled in Greenbelt, MD and Washington Navy Yard, DC.This vacancy is advertised under 2 different announcements. Please read the 'Who May Apply' section carefully to determine your eligibility. If you are not eligible under this announcement, please see ADDC-2017-0083, IT Specialist, (APPSW), GG-2210-13, CENSUS-DOC-TS.This Job Opportunity Announcement may be used to fill other IT Specialist (APPSW), GG-2210-13, FPL-13 positions within the Census Bureau in the same geographical location with the same qualifications and specialized experience.This is a Term Appointment, initial appointment is not to exceed (NTE) 2 years with the possibility of extension. A trial period my be requiredThis position is Eligible for telework; additional criteria will be required (e.g., supervisory approval).This is a NON-BARGAINING unit position.Relocation expenses will not be paid.This is an open continuous announcement. The initial cutoff date for referral is October 27, 2017. After this date additional referral lists will be created as vacancies are available. This announcement covers multiple positions with the Decennial Directorates of the U.S. Census Bureau through October 18, 2018.",123234.0,94796.0,"Full Time, Time Limited, Term Appointment 2 years with the possibility of extension",U.S. Census Bureau,Per Year,2018-10-12,ADDC-2017-0088,"Washington Navy Yard, District of Columbia|Greenbelt, Maryland|Suitland, Maryland",2017-10-13,"IT Specialist (Application Software), GG-2210-13, Census-DE-TS","Basic Requirements:Experience must be IT related; the experience may be demonstrated by paid or unpaid experience and/or completion of specific, intensive training (for example, IT certification), as appropriateGS-5 through GS-15 (or equivalent): For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below.COMPETENCIES:1. Attention to Detail - Meticulous; thoroughly reviews and proofreads various IT related data/information; dedicates focus to accomplish tasks that are complete, precise, and accurate to a given IT situation. 2. Customer Service - Works with clients and customers (that is, any individuals who use or receive IT services or IT products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess IT needs, provide expert technical information or assistance, resolve fairly complex or non-routine problems, or satisfy expectations; knowledge of available products and services; committed to providing quality IT products and services. 3. Communication - Expresses technical information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing presentations; listens to others, recognizes potential miscommunication, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies IT related problems using a variety of materials or sources; gathers and applies technical information to determine accuracy and relevance to moderately complex problems; uses sound judgment to generate and evaluate alternatives; makes decisions or recommendations that influence IT policies or programs and applies new developments to previously unresolved problems.Specialized Experience: For the GG-13, you must have one year of experience at a level of difficulty and responsibility equivalent to the GS-12 grade level in the Federal service. Experience for this position includes: analyzing, planning, and designing systems architecture; designing user interfaces; integrating hardware and software components; determining output media/formats; evaluating new applications software technologies; analyzing and refining system requirements; translating system requirements into application prototypes; developing, customizing, or acquiring application software programs; writing, debugging and maintaining code; testing, debugging, and maintaining software programs and applications; writing and maintaining program documentation; and monitoring and tracking progress of software projects.Education cannot be substituted for experience at this grade level.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/481932600
2017-12-28,Department of Commerce,ZP,"This position is located within National Oceanic and Atmospheric Administration (NOAA), National Ocean Service (NOS), National Geodetic Survey (NGS), Silver Spring, MD.This position will be filled under the DOC Alternative Personnel System (CAPS). This system replaced the Federal GS pay plan and structure. Under CAPS, positions are classified by career, pay plan, and pay band.The ZP-03 is equivalent to the GS-11/12.The ZP-04 is equivalent to the GS-13/14.The full performance level of this position is ZP-04.This position is also announced under vacancy number NOS-NGS-2018-0007, which is open to status candidates. You must apply to both announcements if you want to be considered for both.* A one year probationary period may be required.* Payment of relocation expenses is not authorized.* This position is not in the bargaining unitNOTE:This Job Opportunity Announcement may be used to fill other IT Specialist (System Analysis/Application Software), ZP-2210-03/04 positions throughout NOAA. The position must be alike (e.g.: within the same geographic locations, same grade/band and requires the same qualifications and specialized experience as indicated in this vacancy announcement).",145629.0,66510.0,Permanent,National Oceanic and Atmospheric Administration,Per Year,2017-12-28,NOS-NGS-2018-0008,"Silver Spring, Maryland",2017-12-14,"IT Specialist (System Analysis/ Application Software), ZP-2210-03/04 (DE/CR)","Qualification requirements in the vacancy announcements are based on the U.S. Office of Personnel Management (OPM) Qualification Standards Handbook, which contains federal qualification standards. This handbook is available on the Office of Personnel Management's website located at: http://www.opm.gov/qualifications.Basic Requirements: There is no positive education requirement at this grade level for this position. However, applicants must possess one year of specialized experience, or a substitution of education for experience if applicable, in order to be found minimally qualified. For all positions individuals must have IT-related experience demonstrating each of the four competencies listed below.Attention to Detail - Is thorough when performing work and conscientious about attending to detail.Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.ANDSPECIALIZED EXPERIENCE: Applicants must possess one year of specialized experience equivalent in difficulty and responsibility to the next lower grade level in the Federal Service. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills and abilities to successfully perform the duties of the position. This experience need not have been in the federal government.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations e.g., professional; philanthropic, religious; spiritual; community, student, social). Volunteer work helps build critical competencies; knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.To qualify at the ZP-03:SPECIALIZED EXPERIENCE: One full year (52 weeks) of specialized experience equivalent to the ZP-02 OR GS-09 in the Federal service. Specialized experience MUST include all of the following:Applying development methods to design, test, debug, software applications to meet program requirements.Developing system specifications and participate in the design, development, modification, testing, installation, implementation, and support of new or existing applications software in a scientific environment.Providing technical advice, guidance, and recommendations to management.-OR-SUBSTITUTION OF EDUCATION: Ph.D. or equivalent doctoral degree-OR-COMBINATION OF EDUCATION AND EXPERIENCE: 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree in computer science, engineering, information science, information systems management, mathematics, operations research, statistics, or technology management or Degree that provided a minimum of 24 semester hours in one or more of the fields identified above and required the development or adaptation of applications, systems or networks.)To qualify at the ZP-04:SPECIALIZED EXPERIENCE: One full year (52 weeks) of specialized experience equivalent to the ZP-03 OR GS-12 in the Federal service. Specialized experience MUST include all of the following:Providing technical leadership on group projects.Performing a range of analysis and design tasks to contribute to the development and compliance of software application and system structure.Integrating the work of others to ensure the continuity of ongoing systems initiatives.Managing all project planning including developing plans and schedules, estimating resources requirements, defining milestones and deliverables, and contingency plans.",https://www.usajobs.gov:443/GetJob/ViewDetails/486660900
2018-10-19,Department of Commerce,GG,"This vacancy is for multiple IT Specialist (Applications Software) positions in the Associate Director for Decennial Census Program (ADDC) located at the U.S. Census Bureau Headquarters in Suitland, Maryland. Positions may also be filled in Greenbelt, MD and Washington Navy Yard, DC.The Census Bureau is accessible from the Metro Rail Green Line &#8211; Suitland Station.This Job Opportunity Announcement may be used to fill other IT Specialist (Applications Software), GG-2210-7/9/11/12, (FPL, GG-12) positions within the Census Bureau in the same geographical location with the same qualifications and specialized experience.This vacancy is advertised under 2 different announcements. Read the 'Who May Apply' section carefully to determine your eligibility. If you are not eligible under this announcement, please see Announcement Number ADDC-2017-0079, IT Specialist (Applications Software), GG-2210-7/9/11/12, Census-DOC-DJD. This position will be filled as a Term Appointment NTE 2 years, may be extended at management&#8217;s discretion.A trial period may be required. This position is ELIGIBLE for telework; additional criteria will be required (e.g., supervisory approval).This is a BARGAINING unit position.Relocation expenses may not be paid.This is an open continuous announcement. The initial cutoff date for referral is November 3, 2017. After this date additional referral lists will be created as vacancies are available. This announcement covers multiple positions within the various Directorates of the U.S. Census Bureau through October 19, 2018.",103639.0,47735.0,"Full Time, Time Limited NTE 2 years.",U.S. Census Bureau,Per Year,2018-10-19,ADDC-2017-0080,"Washington Navy Yard, District of Columbia|Greenbelt, Maryland|Suitland, Maryland",2017-10-20,"IT Specialist (Applications Software), GG-2210-7/9/11/12, Census-DE-DJD","Minimum Education Requirement:You must have and your resume must detail how you meet the specialized experience and IT-related experience demonstrating each of the four competencies described below.COMPETENCIES:1. Attention to Detail - Meticulous; thoroughly reviews and proofreads various IT related data/information; dedicates focus to accomplish tasks that are complete, precise, and accurate to a given IT situation.2. Customer Service - Works with clients and customers (that is, any individuals who use or receive IT services or IT products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess IT needs, provide expert technical information or assistance, resolve fairly complex or non-routine problems, or satisfy expectations; knowledge of available products and services; committed to providing quality IT products and services.3. Oral Communication - Expresses technical information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, recognizes potential miscommunication, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies IT related problems using a variety of materials or sources; gathers and applies technical information to determine accuracy and relevance to moderately complex problems; uses sound judgment to generate and evaluate alternatives; makes decisions or recommendations that influence IT policies or programs and applies new developments to previously unresolved problems.Specialized Experience: For GG-07, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal services. Experience designing, developing, and/or maintaining applications, experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment, experience with various programming and database platforms, experience writing and/or maintaining system documentation for a large scale application, experience debugging and /or troubleshooting problems related to computer systems. Experience communicating technical information in person and in writing to a variety of audiences, experience customizing and developing/or acquiring software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script. OR Education: 1 full year of graduate level education or superior academic achievement.For GG-09, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-07 grade level in the Federal services. Experience designing, developing, and/or maintaining applications, experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment, experience with various programming and database platforms, experience writing and/or maintaining system documentation for a large scale application, experience debugging and /or troubleshooting problems related to computer systems. Experience communicating technical information in person and in writing to a variety of audiences, experience customizing and developing/or acquire software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script.OR Education: Master's degree or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree.For GG-11, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-09 grade level in the Federal services. Experience designing, developing, and/or maintaining applications, experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment, experience with various programming and database platforms, experience writing and/or maintaining system documentation for a large scale application, experience debugging and /or troubleshooting problems related to computer systems. Experience communicating technical information in person and in writing to a variety of audiences, experience customizing and developing/or acquire software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script.OREducation: Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree. For GG-12, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-11 grade level in the Federal services. Extensive experience designing, developing, and/or maintaining applications. Extensive experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment. Extensive experience with various programming and database platforms. Extensive experience writing and/or maintaining system documentation for a large-scale application. Extensive experience debugging and /or troubleshooting problems related to computer systems. Extensive experience communicating technical information in person and in writing to a variety of audiences. Extensive experience customizing and developing/or acquire software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script. Extensive experience developing prototypes or pilot programs. Extensive experience eliciting and documenting system requirements.Education can not be substituted for experience at this grade level.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/482409200
