ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-05,Department of the Army,WG,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position: This position is located in the Logistics Readiness Center (LRC) at the U.S. Army Soldier Systems Center, Natick, MA. The mission of the LRC is to provide general supply support to the tenants that comprise the Natick Soldier Systems Center (NSSC). We are conveniently located on the shores of Lake Cochituate, in Natick, MA, (a suburb of Boston, near Routes 9, 90, 95 and 495). Parking is free and access to site facilities is available to include an on-site federal credit union, recreational facilities (swimming pool, tennis and basketball courts), barbershop, dining facility, and post-exchange store. Additional information on the town of Natick, MA can be found at: http://natickma.virtualtownhall.net/Public_Documents/index NOTE: This is a term appointment NTE 13 Months and it may be extended up to total of 6 years. Contingent to specific conditions there may be an opportunity to be noncompetitively converted to a career-conditional or career appointment. Who May Apply: US Citizens",24.7500,21.2200,Term NTE 13 Months,U.S. Army Sustainment Command,Per Hour,2018-01-05,NEDB174431279543D,"Natick, Massachusetts",2017-12-22,Materials Handler (Motor Vehicle Operator),"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision. To meet the basic legibility, you must receive at least two points on the screen-out element indicated above and must have an average of two points on all the job elements listed below. Your application will be further evaluated to determine if you meet the best qualified cut-off for referral to the selecting official Minimum Qualifications (Screen Out Element): Your resume must reflect experience which shows your Ability to do the work of an Materials Handler (Motor Vehicle Operator) without more than normal supervision. Failure to meet this Screen out Element will result in an ineligible rating. Ability To Do The Work Of The position Without More Than Normal SupervisionAbility to Interpret Instructions, Specification, etc. (other than blueprints)Ability to Perform Work with Dexterity and SafetyKnowledge of MaterialsTechnical Practices (theoretical, precise, artistic) PHYSICAL EFFORT: Work involves the actual physical receipt, inspection, custody, and maintenance, while in storage, of personal property, as well as the shipping property to various locations. The work requires standing for prolonged periods of time and to bend, kneel, climb, etc. Regular and recurring physical exertion such as lifting items weighing over 50 pounds is required when loading/unloading property for transport to storage and/or disposal facilities. WORKING CONDITIONS: Work is performed in a warehouse type setting that is well-lighted and ventilated and in settings that involve moderate risks and require special safety precautions. Employee is exposed to all types of weather conditions such as rain, snow, heat, cold, dusty areas, etc. A risk of falls when working in open dock areas exists. Steel toed shoes and hard hats are required. When handling hazardous or potentially hazardous material protective clothing may be required.",https://www.usajobs.gov:443/GetJob/ViewDetails/487032400
2018-01-02,Department of the Army,WG,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
PLEASE NOTE: This is a Term appointment not to exceed 4 years, and appointment may be extended up to a maximum of 6 years. Contingent to specific conditions there may be an opportunity to be non-competitively converted to a career-conditional or career appointment. This position is located in the Logistics Readiness Center (LRC) at the U.S. Army Soldier Systems Center, Natick, MA. The mission of the LRC is to provide general supply support to the tenants that comprise the Natick Soldier Systems Center (NSSC). We are conveniently located on the shores of Lake Cochituate, in Natick, MA, (a suburb of Boston, near Routes 9, 90, 95 and 495). Parking is free and access to site facilities is available to include an on-site federal credit union, recreational facilities (swimming pool, tennis and basketball courts), barbershop, dining facility, and post-exchange store. Additional information on the town of Natick, MA can be found at: http://natickma.virtualtownhall.net/Public_Documents/index Who May Apply: US Citizens",23.5700,20.1200,13 Months,U.S. Army Sustainment Command,Per Hour,2018-01-02,NEDB174777468545D,"Natick, Massachusetts",2017-12-22,Materials Handler,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision. To meet the basic eligibility, you must receive at least two points on the screen-out element indicated above and must have an average of two points on all the job elements listed below. Your application will be further evaluated to determine if you meet the best qualified cut-off for referral to the selecting official. Minimum Qualifications (Screen Out Element): Ability to do the work of an Materials Handler~ without more than normal supervision. - Failure to meet this Screen out Element will result in an ineligible rating. Ability To Do The Work Of The position Without More Than Normal SupervisionAbility to Interpret Instructions, Specification, etc. (other than blueprints)Ability to Perform Work with Dexterity and SafetyKnowledge of MaterialsTechnical Practices (theoretical, precise, artistic)Work Practices (includes keeping things neat, clean, and in order) PHYSICAL EFFORT Work involves the actual physical receipt, inspection, custody, and maintenance, while in storage, of personal property, as well as the shipping property to various locations. The work requires standing for prolonged periods of time and to bend, kneel, climb, etc. Regular and recurring physical exertion such as lifting items weighing up to 50 pounds is required when loading/unloading property for transport to storage and/or disposal facilities. WORKING CONDITIONS Work is performed in a warehouse type setting that is well-lighted and ventilated and in settings that involve moderate risks and require special safety precautions. Employee is exposed to all types of weather conditions such as rain, snow, heat, cold, dusty areas, etc. A risk of falls when working in open dock areas exists. Steel toed shoes and hard hats are required. When handling hazardous or potentially hazardous material protective clothing may be required.",https://www.usajobs.gov:443/GetJob/ViewDetails/487073400
2017-12-31,Department of the Army,NA,"This position is located at Fort Campbell Physical Fitness Centers The mission of the Fort Campbell Physical Fitness Centers (Clarksville Base, Sabo, Olive, Lozada, Shaw, Gertsch, and Frantellenico PFC&#39;s) is to maintain Soldier readiness and productivity by promoting Soldier and Family fitness, unit esprite de corps, a valued sense of community and an enviable quality of life as intended by DOD Directive and FMWR Policy. The Area of Consideration for this vacancy announcement is Fort Campbell, KY and the surrounding counties. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.)",9.9300,8.5200,Permanent,Army Installation Management Command,Per Hour,2017-12-31,SWNAFDL1710026470,"Fort Campbell, Kentucky|Fort Campbell, Tennessee",2017-07-13,"Custodial Worker, NA-02","1. Ability to follow instructions and read signs.
2. Ability to stand and walk on hard and carpeted surfaces.
3. Ability to push and pull items on carts weighing up to 20 to 40 pounds, and occasionally items weighing over 50 pounds. ** PLEASE NOTE: Your resume must reflect the qualifications stated in the announcement and questionnaire to be rated eligible.** Highly Preferred candidates will have experience; One (1) year experience working in a Commercial Custodial setting. **Applicants that meet the Highly Preferred criteria will be referred to management for consideration first. All others will be referred if management does not make a selection from the Highly Preferred list**",https://www.usajobs.gov:443/GetJob/ViewDetails/474383400
2017-12-31,Department of the Army,NF,"This vacancy is being used to fill vacancies within the Community Recreation Division. The mission of the Fort Campbell Physical Fitness Centers (Clarksville Base, Sabo, Olive, Lozada, Shaw, Gertsch, and Fratellenico PFC&#39;s) is to maintain Soldier readiness and productivity by promoting Soldier and Family fitness, unit esprite de corps, a valued sense of community and an enviable quality of life as intended by DOD Directive and MWR Policy. The Area of Consideration for this vacancy announcement is Fort Campbell, KY and surrounding counties. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.)",10.5000,10.0000,Permanent,Army Installation Management Command,Per Hour,2017-12-31,SWNAFDL1710053759SR,"Fort Campbell, Kentucky|Fort Campbell, Tennessee",2017-09-22,LEAD RECREATION ASSISTANT,"Work experience, which involves dealing with the general public. **Highly Preferred**
1. 2-4 year degree in a field relevant to business or physical fitness.
2. Possesses 6 months experience working in a physical fitness center.
3. Has 6 months experience leading 4 or more employees in a customer service setting.
4. Is proficient in Microsoft Word, Excel, and Power Point. **Applicants meeting all of the Highly Preferred criteria will be referred to management first.**",https://www.usajobs.gov:443/GetJob/ViewDetails/480218500
2017-12-31,Department of the Army,NF,"The mission of the Fort Campbell Physical Fitness Centers (Clarksville Base, Sabo, Olive, Lozada, Shaw, Gertsch, and Fratellenico PFC&#39;s) is to maintain Soldier readiness and productivity by promoting Soldier and Family fitness, unit esprite de corps, a valued sense of community and an enviable quality of life as intended by DOD Directive and MWR Policy. The Area of Consideration for this vacancy announcement is Fort Campbell, KY and surrounding counties. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.)",10.5000,10.0000,Permanent,Army Installation Management Command,Per Hour,2017-12-31,SWNAFDL1710056267SR,"Fort Campbell, Kentucky|Fort Campbell, Tennessee",2017-09-28,"LEAD RECREATION ASSISTANT, NF-02","Work experience, which involved dealing with general public.",https://www.usajobs.gov:443/GetJob/ViewDetails/480657200
2017-12-31,Department of the Army,NF,"MWR Community Recreation Division provides a source of balance that ensures an environment in which Service Members and Families can thrive; a structure that supports unit readiness in an era of persistent conflict; and a foundation for building the future. The mission of the Fort Campbell Physical Fitness Centers (Clarksville Base, Sabo, Olive, Lozada, Shaw, Gertsch, and Frantellenico PFC&#39;s) is to maintain Soldier readiness and productivity by promoting Soldier and Family fitness, unit esprite de corps, a valued sense of community and an enviable quality of life as intended by DOD Directive and FMWR Policy. The Area of Consideration for this vacancy announcement is Fort Campbell, KY and the surrounding counties. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.",10.0000,9.0200,Multiple Appointment Types,Army Installation Management Command,Per Hour,2017-12-31,SWNAFDL1710038722,"Fort Campbell, Kentucky|Fort Campbell, Tennessee",2017-08-11,Recreation Assistant (Facilities Operator),Demonstrated ability to performs the duties described above. Must have and retain a valid drivers license. PLEASE NOTE: Your resume must reflect the qualifications stated in the announcement and questionnaire to be rated eligible.,https://www.usajobs.gov:443/GetJob/ViewDetails/477080600
2018-01-03,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
U.S. Army Yuma Proving Ground is located near the Arizona-California border, adjacent to the Colorado River, approximately 24 miles north of the city of Yuma (pop 87,000), Arizona. Situated in the southwest portion of the state, the proving ground is in the heart of the great Sonoran desert. U.S. Army Yuma Proving Ground conducts tests on medium and long range artillery, aircraft target acquisition equipment and armament, armored and wheeled vehicles, a variety of munitions, and personnel and supply parachute systems and is the Army&#39;s center for desert natural environment testing as well as the management of cold weather and tropic testing. U.S. Army Yuma Proving Ground at 1300 square miles proudly holds the distinction of being one of the largest military installations in the world. It is here that America&#39;s ground combat equipment proves it has the right stuff to win our nation&#39;s battles. Who May Apply: US Citizens",93821.0000,72168.0000,Permanent,U.S. Army Test and Evaluation Command,Per Year,2018-01-03,WTYU173905646036D,"Yuma Proving Ground, Arizona",2017-12-19,Test Safety Specialist,"In order to qualify, you must meet the education requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. One year of specialized experience which includes ensuring the integration of range safety criteria in testing procedures and provide technical input to schedules test and range activities. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-11 or above). You will be evaluated on the basis of your level of competency in the following areas:
Compliance InspectionRisk ManagementSafety EngineeringSystems Testing and Evaluation",https://www.usajobs.gov:443/GetJob/ViewDetails/487082800
2018-07-31,Department of the Army,NF,"This position is located with Community Recreation Division ~ Outdoor Pools. Selection will occur prior to the start of the 2018 Spring/Summer Season; however, no firm schedules will be issued until management determines the seasons official opening date for the pools. The area of consideration for this vacancy announcement is for U.S. Citizens and Non-Citizens within the Local Commuting Area of Natick, Massachusetts.
(Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) The Natick Soldier Systems Center (SSC) is located on the shores of Lake Cochituate, in Natick, MA about 25 miles west of Boston, MA. Natick is a suburb of Boston near MA routes 9, 30, and 135, and Interstate 90, 95, and 495. Natick SSC is a military research complex and installation charged by the Department of Defense with the research and development (including fielding and sustainment) of food, clothing, shelters, airdrop systems, and other servicemember support items for the U.S. military. The installation includes facilities from all the military services, not just the Army, and is so configured to allow cross-service cooperation and collaboration both within the facility and with the many academic, industrial and governmental institutions in the Greater Boston Area. Parking is free and access to site facilities is available to include an on-site Federal Credit Union, recreation facilities, barbershop, dining facility, and post-exchange store. Natick&#39;s Family and Morale, Welfare and Recreation (FMWR) Division is a comprehensive network of quality support and leisure services that enhances the lives of Soldiers, Civilians, Families, military retirees and other eligible participants. The FMWR&#39;s vision is to be the driving force for programs and services that provide the foundation for the Army&#39;s home by increasing Soldier and Family resiliency, restoring balance, enhancing recruitment, readiness and retention for Soldiers and Families.",27.2300,13.1900,Multiple Appointment Types,Army Installation Management Command,Per Hour,2018-07-31,NENAFBN1710039633SR,"Natick, Massachusetts",2017-08-18,Recreation Assistant (Lifeguard/Pool Operator) NF-02,"Qualified candidates will possess all of the following: American Red Cross ""Lifeguard"" certification or nationally recognized equivalent i.e. Ellis & Associates Lifeguard Certification, AND American Red Cross ""Cardio-Pulmonary Resuscitation for the Professional Rescuer"" (CPR-Pro) certification or nationally recognized equivalent i.e. Ellis & Associates (CPR)Certification. American Red Cross ""Automated External Defibrillator"" (AED) certification or nationally recognized equivalent i.e. Ellis & Associates AED certification. CERTIFICATIONS MUST BE UPLOADED AT THE TIME OF APPLICATION PLEASE NOTE: Your resume & application package must reflect the qualifications stated in the announcement and questionnaire to be rated eligible.",https://www.usajobs.gov:443/GetJob/ViewDetails/477450500
2017-12-26,Department of the Army,GS,"PUERTO RICO NATIONAL GUARD
ARMY TECHNICIAN VACANCY ANNOUNCEMENT COLA: 3.66%
Duty Location: JFHQ-PR, Inspector General Office, Fort Buchanan, PR IMPORTANT INFORMATION:
This position require military membership in the Puerto Rico Army National Guard (PRARNG). If you are not a military member of the PRARNG (i.e. Airman, civilian, active duty Soldier, prior service, guard member from another state, reservist, IRR, State Guard, etc.), you must contact the Recruiting and Retention (R&amp;R) Office at (787) 289-1400 extension 2015 or 2008, and request the PRARNG Military Basic Requirements (MBR) Certification. If the MBR certification is not submitted, or you do not meet the requirements to be a member of the PRARNG, your application will not be screened. Certification and instructions to request it, are available at http://www.pr.ngb.army.mil/hro/ AREA OF CONSIDERATION:
Area 1= Permanent technicians Enlisted members currently employed in the Puerto Rico Army National Guard. Area 2= Enlisted members of the Puerto Rico Army National Guard and personnel that meet all requirements to become a Soldier in the Puerto Rico Army National Guard. (This position requires Army National Guard membership). First round consideration will be given to Area 1 Candidates. (Area 2 Candidates will be screened only in the event that there are no qualified or recommended Area 1 Candidates). Military grade allowed for this position will be E7 and above. Acceptance of any military technician position may cause the termination of entitlements and eligibility for all military bonuses and student loan repayments. For further information you must contact the appropriate military Education Office.",64697.0000,49765.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-26,PR-10093420-AR-18-25,"Puerta De Tierra, Puerto Rico",2017-12-06,ASSISTANT INSPECTOR GENERAL (D1011P01),"You will lose consideration for the position if your application does not include all the information/documents requested on the vacancy announcement. The USAJOBS Resume must include a clear and detailed narrative description, in your own words, of how you met the required GENERAL and SPECIALIZED experience. Experiences copied from a position description, vacancy announcement or other reference material constitutes plagiarism and will disqualify you from the position. National Guard military (part-time) service is considered as full-time experience when evaluated against the qualification requirements. The applicant is credited with actual number of months the member has been in the National Guard provided such service is related to the position to be filled. GENERAL EXPERIENCE: Experience in administrative, professional, investigative, technical or other responsible work which demonstrates analytical ability and a practical and theoretical knowledge of the functions with legal provisions, regulations, and administrative procedures and to apply them to specific situations. SPECIALIZED EXPERIENCE: Applicant must possess more than TWENTY FOUR (24) months of specialized experience performing or supervising duties such as conducting assistance, inquiries, or inspections into special functional areas as directed by regulatory guidance; conducting informal and formal interviews of complainants; coordinating with appropriate personnel to gather facts and supporting documentation/evidence; receiving complaints, allegations, or requests for assistance; conducting preliminary analysis to determine evidence and facts; applying and interpreting regulations; preparing statistics and written reports. NOTE: Incumbent will attend and successfully complete the Inspector General Course within six (6) months of assignment.",https://www.usajobs.gov:443/GetJob/ViewDetails/485861500
2018-01-12,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position: PLEASE NOTE: This is a Term appointment not to exceed 1 Yr &amp; 1 Day, and appointment may be extended up to a maximum of 6 years. Contingent to specific conditions there may be an opportunity to be non-competitively converted to a career-conditional or career appointment. The US Army Natick Soldier Research, Development and Engineering Center (NSRDEC) is a Customer-Driven, Customer-Focused organization, and is internationally known as a preeminent provider of research, development, engineering and integration services in the areas of soldier and squad protection and systems integration, military rations and field feeding equipment, military parachuting and airdrop systems, and expeditionary basing. Through our research in areas such as materials sciences, biochemistry, human performance and human sciences; technology development and integration; and systems engineering, product development and support, the NSRDEC plays a vital role in maximizing the effectiveness of America&#39;s military. Help shape our future to become the Leader in Empowering the World&#39;s Most Capable Soldiers. We are conveniently located on the shores of Lake Cochituate, in Natick, MA, (a suburb of Boston, near Routes 9, 90, 95 and 495). Parking is free and access to site facilities is available to include an on-site federal credit union, recreational facilities (swimming pool, tennis and basketball courts), barbershop, dining facility, and post-exchange store. Additional information on the town of Natick, MA can be found at: http://natickma.virtualtownhall.net/Public_Documents/index Who May Apply: US Citizens",71259.0000,54812.0000,1 Yr 1 Day,"U.S. Army Research, Development and Engineering Command",Per Year,2018-01-12,NEDB174945519044D,"Natick, Massachusetts",2017-12-20,Budget Analyst,"In order to qualify, you must meet the education and/or experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Specialized Experience: One year of specialized experience which include: Assisting in the development od budget estimates for a project; utilizing financial management systems to enter financial data and create reports; applying and interpreting financial laws, rules and regulations to develop costs estimates.. This definition of specialized experience is typical of work performed at the second lower grade/level position in the federal service (GS-07). OR Education: Master&#39;s or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to such a degree in a field which demonstrates the knowledge, skills, and abilities necessary to do the work of the position, such as Business, Accounting, Financial Management, etc.(Note: You must attach a copy of your transcripts.) OR Combination of Education and Experience: A combination of education and experience may be used to qualify for this position as long as the computed percentage of the requirements is at least 100%. To compute the percentage of the requirements, divide your total months of experience by 12. Then divide the total number of completed graduate semester hours (or equivalent) beyond the first year (total graduate semester hours minus 18) by 18. Add the two percentages. You will be evaluated on the basis of your level of competency in the following areas:
Budget ExecutionConcepts, Policies, and Principles of BudgetFinancial Management SystemsOral Communication",https://www.usajobs.gov:443/GetJob/ViewDetails/486864300
