ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-05-12,Department of Defense,IA,"JOB DESCRIPTION: Geospatial Analysts create, analyze, and interpret spatial data to support U.S. military and policymaker interests. They apply knowledge of geographic information science and technology, statistics, spatial thinking, remote sensing, intelligence issues, and the social and physical sciences to characterize events, discover relationships and trends, and produce geospatial intelligence. These analysts also conduct multi-INT research, conduct descriptive and predictive analyses, populate and exploit intelligence databases, and produce and disseminate intelligence products.",78703.0,35359.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2018-05-12,20180501,"Bolling AFB, District of Columbia|Suitland, Maryland|Arnold, Missouri|Saint Louis, Missouri|Wright-Patterson AFB, Ohio|Charlottesville, Virginia|McLean, Virginia",2017-11-13,Geospatial Analyst,"MANDATORY QUALIFICATION CRITERIA: For this particular job, applicants must meet all competencies reflected under the Mandatory Qualification Criteria to include education (if required). Online resumes must demonstrate qualification by providing specific examples and associated results, in response to the announcement's mandatory criteria specified in this vacancy announcement: 1.Demonstrated experience with research and analysis preferably geospatial analysis, including use of critical thinking skills and/or data analytics designed to address international problems of national concern.
2.Strong communication and interpersonal skills, including the demonstrated ability to develop and present briefing to meet the need of various audiences.
3.Experience cultivating professional working relationships and working collaboratively to develop and leverage a network of peers and mission partners across different organizations.
4.Familiarity with technical skills, such as scripting and coding, programming, data mining and analytics, data visualization, statistical analysis, algorithm development, data science, imagery analysis, or computational thinking.
5.Working knowledge of geospatial information systems. EDUCATION REQUIREMENT: A. Education: Bachelor's degree in Cartography, Geography, Geographic Information Systems, Physical Science, Applied Mathematics, Statistics, Computer Science, or a related discipline or a Bachelor's degree in any discipline with a certificate in GIS from an accredited university. -OR- B. Combination of Education and Experience: A minimum of 24 semester (36 quarter) hours of coursework in GIS, spatial analysis, or any area listed in option A plus additional experience that demonstrates the ability to successfully perform the duties associated with this work. As a rule, every 30 semester (45 quarter) hours of college work is equivalent to one year of experience. Candidates should show that their combination of education and experience totals 4 years. -OR- C. Experience: Six years of significant applied experience in a geospatial analysis field that includes the use of current GIS tools, methods of research and analysis, application of cartographic principles, and work related to the fields listed above. PHYSICAL REQUIREMENT: Distinguish principal colors and shades/hues of principal colors; Near visual acuity of 20/20 or better with or without corrective lenses; Stereopsis ability; Far visual acuity of 20/30 or better binocular with or without corrective lenses DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1.Demonstrated ability to produce high quality written reports and or analytical products within scheduled timelines that meet customer needs.
2.Demonstrated experience with Geospatial Intelligence and/or intelligence processes, especially those in Geospatial intelligence organizations.
3.Proficiency with geospatial modeling, data management, analysis processes, imagery analysis and geospatial information systems.
4.Proven usage of statistical analysis for detailed analytics, code development and its application for automating processes.",https://www.usajobs.gov:443/GetJob/ViewDetails/484276500
2018-01-03,Department of the Interior,GS,You too can make a difference in our world. The work of the U.S. Fish and Wildlife Service is meaningful and varied. Want to know more about what it is like to work for us? Click here to watch short podcasts entitled Meet Your New Boss and Diversity is our Strength. This position is part of the Chesapeake Marshlands NWR Complex. As a Wildlife Biologist you will be responsible for assisting with monitoring and implementing habitat restoration activities; planning and conducting surveys and analyzing the resulting data to produce reports; using various geographic information systems to collect and manage spatial data.,71467.0000,44941.0000,1yr and 1day,"Interior, US Fish and Wildlife Service",Per Year,2018-01-03,R5-18-10088086-SM (D),"Cambridge, Maryland",2017-12-21,Wildlife Biologist,"Basic Qualification Requirements:
Applicants must have either successfully completed a full 4-year course of study in an accredited college or university leading to a bachelor&#39;s degree or higher degree with a major field of study in biological sciences that included: at least 9 semester hours in such wildlife subjects as mammalogy, ornithology, animal ecology, wildlife management or research courses in the field of wildlife biology; and at least 12 semester hours in zoology, comparative anatomy, physiology, genetics, ecology, cellular biology, parasitology, entomology, or research courses in such subjects (excess courses in wildlife biology may be used to meet the zoology requirements where appropriate); and at least 9 semester hours in botany or the related plant sciences
OR have a combination of education and experience, equivalent to a major in biological science (i.e. at least 30 semester hours), with at least 9 semester hours in wildlife subjects, 12 semester hours in zoology, and 9 semester hours in botany or related plant sciences. In addition to meeting the Basic Qualification Requirements, you may qualify at the GS-07 level, if you fulfill one of the following qualification requirements: A. Completion of a 4-year course of study leading to a bachelor&#39;s degree in a field of study that demonstrates the competencies required by this position with either (1) a grade point average (GPA) of 3.0 based on a 4.0 scale; (2) a 3.5 GPA based on a 4.0 scale for all required courses completed in a qualifying major field of study at either the time of application or during the last two years of your undergraduate curriculum; (3) class standing of upper third of the graduating class in the college, university, or a major subdivision of the college; or, (4) membership in a National Scholastic Honor Society certified by the Association of College Honor Societies, excluding freshman honor societies; OR
B. One full year of graduate level education in an accredited or pre-accredited college or university in one of the following related fields: ecology, biology, environmental science, or another closely related field, which provided the knowledge, skills and abilities necessary to perform the work of this position. The education must demonstrate the competencies necessary to do the work of the position; OR
C. One year of specialized experience equivalent to the GS-05 grade level in the Federal service that demonstrates your ability to operate various Geographical Information System (GIS) and/or Global Positioning System (GPS) systems to assist with collection of data; post-process data using Online Positioning User Service (OPUS); assist with carrying out fish, wildlife, and plant surveys; identify fish, wildlife, and plants; assist with data analysis and writing reports; assist with operation of small motorboats; OR
D. A combination of education and experience as listed above. You may qualify at the GS-09 level, if you fulfill one of the following qualification requirements: A. One year of specialized experience equivalent to the GS-07 grade level in the Federal service that demonstrates your ability to independently collect and process elevation data including precise elevations using a static occupation process and Global Navigation Satellite System (GNSS) GPS receiver; independently design and carry out fish, wildlife, and plant surveys; identify fish, wildlife, and plants with field guide/taxonomic keys; manage and analyze data and write reports; operate small motorboats in open bay conditions; OR
B. A master&#39;s or equivalent graduate degree in an accredited or pre-accredited college or university; or 2 full years of progressively higher level graduate education leading to such a degree; or possession of a LL.B. or J.D degree, if related. Graduate level education must demonstrate the competencies necessary to do the work of the position, examples of qualifying fields include ecology, biology, environmental science, or another closely related field, which provided the knowledge, skills and abilities necessary to perform the work of this position; OR
C. A combination of education and experience as listed above. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487139500
2017-12-27,Department of the Interior,GS,"Experience your America and build a fulfilling career by joining the National Park Service, as we continue our second century of Stewardship and Engagement. Become a part of our mission to connect with our past and create important connections to the future by building a rich and lasting legacy for the next generation of park visitors, supporters and advocates. For more information about the National Park Service, visit: https://www.nps.gov. Area of Consideration is all qualified persons. Under Executive Order 11935, only United States citizens and nationals (residents of American Samoa and Swains Island) may compete for civil service jobs. Work Location: Ash Mountain, Headquarters, Sequoia National Park This is a Full-Time TERM position. Appointment to this position will not convey permanent status in the Federal service and will be for a period not to exceed 13 months. Anticipated entry on duty: Late-January 2018 Travel, transportation, and relocation expenses will not be paid. All travel, transportation, and relocation expenses associated with reporting for duty in this position will be the sole responsibility of the selected employee. Area Information: Sequoia and Kings Canyon National Parks represent an extraordinary continuum of ecosystems (96% designated wilderness) arrayed along the greatest vertical relief (1,370 to 14,505 feet elevation) of any protected area in the lower 48 states. These parks provide a wealth of recreational opportunities via 835 miles of trails, wild and scenic rivers, alpine lakes, and caves, along with a full range of overnight lodging prospects to choose from that include 14 campgrounds. For detailed area information visit: https://www.nps.gov/seki/getinvolved/workwithus.htm.",25.3400,19.4900,13 months,National Park Service,Per Hour,2017-12-27,PW-1548-SEKI-18-10098867-DE,"Sequoia National Park, California",2017-12-20,Cartographic Technician,"To qualify for this position at the GS-07 grade level, you must possess at least one of the following minimum qualifications by close of the announcement: EXPERIENCE: At least one full year of specialized experience comparable in scope and responsibility to the GS-06 grade level in the Federal service (obtained in either the public or private sectors). This experience includes activities such as: collecting GPS data, importing data into spatial and non-spatial databases, developing maps from GIS and GPS data, and entering data using Microsoft Access or equivalent. You must include hours per week worked.
-OR-
EDUCATION: Successful completion of at least one year of graduate level education that included some of the following courses: cartography, relevant mathematical and statistical sciences, or related sciences, e.g., physical geography or geodesy. Not more than 9 of the 18 semester hours should have been in mathematics or statistics. IMPORTANT - PLEASE NOTE: If you are using education to qualify, you must submit a copy of your transcripts or a complete list of college courses taken that identifies for each course the college or university, semester or quarter hours earned, grade received, and date completed. -OR-
Successful completion of a combination of education and experience as described above. You must include transcripts. Volunteer Experience: Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. You must include months, years and hours per week worked to receive credit for your work and/or volunteer experience. One year of specialized experience is equivalent to 12 months at 40 hours per week. Part-time hours are prorated. You will not receive any credit for experience that does not indicate exact hours per week or is listed as ""varies"", ""full-time"" or ""intermittent"". In preparing your application, describe in detail the experience and training which you have had that specifically prepared you for this job and to perform the duties described for this job. Experience should be clearly described and documented in your resume. The qualifications reviewer will not assume performance of such duties by Job Titles alone.",https://www.usajobs.gov:443/GetJob/ViewDetails/486537700
2018-01-04,Department of Commerce,ZP,"This position is located in the National Marine Fisheries Service (NMFS), Pacific Islands Fisheries Science Center (PIFSC), Ecosystem Sciences Division, in Honolulu, HI. This position will be filled under the DOC Alternative Personnel System (CAPS). This system replaced the Federal GS pay plan and structure. Under CAPS, positions are classified by career, pay plan, and pay band. The ZP-03 is equivalent to the GS-11/12.The ZP-04 is equivalent to GS-13/14.The full performance of this position is ZP-04.Cost of Living Allowance (COLA) is paid for locations in Hawaii. COLA is exempt from Federal income taxes. The COLA is 11.32% and is not reflected in the locality salary shown in this vacancy announcement.This position is also announced under vacancy number NMFS-PIC-2018-0009, which is open to status candidates. You must apply to both announcements if you want to be considered for both.* A three year probationary period may be required.* Payment of relocation expenses is not authorized.* Payment of a recruitment/relocation incentive is authorized. (Recruitment incentive requires a service agreement for 12 months of employment with the agency)* This position is not in the bargaining unit.NOTE: This vacancy may be used to fill other Research Ecologist, ZP-0408-03/04 positions throughout NOAA. The position must be alike (e.g.: within the same geographic locations, same grade/band requires the same qualifications as indicated in this vacancy announcement).PHYSICAL REQUIREMENTS*Must be able to bend, stoop, and lift up to 40 pounds.*Must be able to go to sea for up to 1 month aboard NOAA research vessels and small boats.",135110.0,61706.0,Permanent,National Oceanic and Atmospheric Administration,Per Year,2018-01-04,NMFS-PIC-2018-0012,"Honolulu, Hawaii",2017-12-20,"Research Ecologist, ZP-0408-03/04 (DE/CR)","Qualification requirements in the vacancy announcements are based on the U.S. Office of Personnel Management (OPM) Qualification Standards Handbook, which contains federal qualification standards. This handbook is available on the Office of Personnel Management's website located at: http://www.opm.gov/qualifications.BASIC REQUIREMENTS: This position has a positive Education Requirement in addition to at least one year of Specialized Experience OR substitution of education for experience OR combination (if applicable) in order to be found minimally qualified. Transcripts must be submitted with your application package. You MUST meet the following requirements:EDUCATION: Degree: Biology, or a related field of science underlying ecological research that included at least 30 semester hours in basic and applied biological sciences. These hours must have included at least 9 semester hours in ecology, and 12 semester hours in physical and mathematical sciences.-AND-SPECIALIZED EXPERIENCE: Applicants must possess one year of specialized experience equivalent in difficulty and responsibility to the next lower grade level in the Federal Service. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills and abilities to successfully perform the duties of the position. This experience need not have been in the federal government. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations e.g., professional; philanthropic, religious; spiritual; community, student, social). Volunteer work helps build critical competencies; knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.To qualify for the ZP-03: SPECIALIZED EXPERIENCE: One full year (52 weeks) of specialized experience equivalent to the ZP-02 or GS-09 in the Federal service. Specialized experience MUST include all of the following: Identifying advanced technologies and new ecosystem models that advance understanding of marine ecosystems.Performing advanced statistical techniques and approaches to conduct spatial and time series multivariate analyses and developing models to understand complex relationships among physical and biological variables.Demonstrating physical and biological output from satellites, ocean models and earth systems models to project impacts from climate change and fishing.Publishing in peer reviewed journals on pelagic ecosystem structure, function and spatial and temporal dynamics in response to fishing, climate variation and change.Selective Placement FactorApplicant for this position should have experience as a member of a research project that included modeling of satellite oceanography, fishery landings and field observations that describe ocean ecosystem dynamics and were used to inform resource management or were published in a peer-reviewed journal. -OR-Substitution of Education: Master's or equivalent graduate degree -0R-Combination of education and experience: Combinations of successfully completed graduate level education and specialized experience may be used to meet total experience requirements. Only graduate level education in excess of the amount required for the next lower grade level may be combined with experience.To qualify for the ZP-04: SPECIALIZED EXPERIENCE: One full year (52 weeks) of specialized experience equivalent to the ZP-03 or GS-12 in the Federal service. Specialized experience MUST include all of the following: Providing leadership guidance and research vision for research projects and organizes and leads research teams.Identifying advanced technologies and new ecosystem models that advance understanding of marine ecosystems.Performing advanced statistical techniques and approaches to conduct spatial and time series multivariate analyses and developing models to understand complex relationships among physical and biological variables.Demonstrating physical and biological output from satellites, ocean models and earth systems models to project impacts from climate change and fishing.Publishing in peer reviewed journals on pelagic ecosystem structure, function and spatial and temporal dynamics in response to fishing, climate variation and change. Selective Placement FactorApplicant for this position should have experience as a member of a research project that included modeling of satellite oceanography, fishery landings and field observations that describe ocean ecosystem dynamics and were used to inform resource management or were published in a peer-reviewed journal. -OR-Substitution of Education: Ph.D. or equivalent doctoral degree-OR-Combination of education and experience: Combinations of successfully completed graduate level education and specialized experience may be used to meet total experience requirements. Only graduate level education in excess of the amount required for the next lower grade level may be combined with experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487180100
2018-01-04,Department of the Army,GS,"CONNECTICUT ARMY NATIONAL GUARD TECHNICIAN VACANCY ANNOUNCEMENT THIS IS A TITLE 32 DUAL STATUS TECHNICIAN POSITION DUTY LOCATION: JFHQ, Hartford, CT JOB SUMMARY: The primary purpose of the position is to perform specialized duties and to train assigned military unit members in the duties and functions associated with operational intelligence. Provides detailed intelligence analysis for mission planning and execution, training exercises, briefings and debriefings for the state Joint Senior staff, subordinate units and members. Serves as a subject matter expert for intelligence systems, order of battle maintenance, mission planning, threat analysis, and Geo-spatial Intelligence and Systems (GI&S) support. In addition, the incumbent performs complex intelligence analysis of economic, geographic, political, military topics and threats that could impact the JFHQ-ST mission success. This position requires a comprehensive working knowledge of intelligence support operations, procedures, and practices. NATIONAL GUARD MEMBERSHIP IS REQUIRED. This is an excepted position that requires membership in a compatible military assignment in the Connecticut Army National Guard. AREA(S) OF CONSIDERATION: Area 1: All currently employed full-time permanent and indefinite personnel of the Connecticut Army National Guard.
Area 2: All currently employed full-time temporary technician personnel and all current traditional members of the Connecticut Army National Guard.",86779.0000,66756.0000,Indefinite,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-04,CT-10093011-AR-17-197,"Hartford, Connecticut",2017-12-05,INTELLIGENCE OPERATIONS SPECIALIST,"GENERAL EXPERIENCE: Experience which demonstrates administrative, professional, investigative, or technical work requiring the ability to deal effectively with others, to collect, evaluate and organize pertinent facts. Experience preparing clear and concise written reports. SPECIALIZED EXPERIENCE: Your resume and any other supporting documentation you wish to provide must clearly substantiate you currently possess 36 months of specialized experience in the following: Experience developing and recommending policy, organizing and carrying out specific programs, evaluating and recommending changes in methods of intelligence operations. Experience in administrative, investigative, or technical work which required the applicant to deal effectively with others. Experience collecting, evaluating and organizing pertinent facts and to analyze and prepare clear and concise reports. KNOWLEDGE, SKILLS AND ABILITIES: Ability to formulate policies, direct and coordinate intelligence activities. Knowledge of intelligence organizations and systems. Ability to analyze and evaluate raw data in order to provide finished reports. Skill in researching and compiling intelligence information to be disseminated.",https://www.usajobs.gov:443/GetJob/ViewDetails/485866100
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",112306.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180151,"Arnold, Missouri|Saint Louis, Missouri",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: IT Software Developers analyze customer and system requirements, evaluate alternative approaches, design and develop solutions tailored to specific Agency, systems, and customer requirements, and lead the testing and integration of new and modified solutions into the system. They review and provide guidance on software developed by vendors; test software developed internally and by vendors; and quickly respond to urgent situations to develop and deliver unique solutions to customer problems. They plan and design systems architecture, write and maintain software program documentation, investigate and evaluate new software technologies, and ensure the rigorous application of information security/information assurance policies, principles, and practices to the delivery of application software services.",123234.0,66510.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180152,"Springfield, Virginia",2017-10-23,IT Software Developer,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: Pay Band 2:
1.) Programing experience in C, C++, Python, Perl, Ruby, JavaScript or Java;
2.) Software development principles, methods, and tools for designing, developing, coding, testing and deploying software; experience working in an agile environment. Pay Band 3:
1.) Solid foundation in computer science, with strong competencies in data structures, algorithms, logic/computation, and software design;
2.) Skills in AJAX, JavaScript, database design, SQL, and/or knowledge of TCP/IP and network programming;
3.) Cloud design principles, system design and engineering principles, methods, and tools for integrating components (e.g., network equipment, protocols, telephony) into a functional system or prototype;
4.) Computer/network security concepts/principles, theories, and methods for the design, development, analysis, testing, and securing of computer networks;
5.) Experience with Geographical/Spatial Information Systems, Amazon Web Services (AWS) cloud infrastructure, web applications and/or large systems software design and development, with extensive knowledge of Unix/Linux.",https://www.usajobs.gov:443/GetJob/ViewDetails/481494300
2018-10-01,Department of the Navy,GS,"The selectee for this position will serve as a Geographer (GIS) in the GeoReadiness Center, Asset Utilization Branch, Asset Management Business Line, of DEPARTMENT OF THENAVY. THIS IS AN EXPEDITED HIRING AUTHORITY ANNOUNCEMENT. The Duncan Hunter National Defense Authorization Act (NDAA) FY 2009 provides that the Secretary of Defense can designate acquisition positions as shortage positions and recruit and appoint highly qualified persons to these positions. This announcement is open to accept resumes from candidates interested in helping the Department of the Navy meet our mission requirements for the acquisition of systems, equipment and facilities.",93821.0000,60210.0000,Permanent,U.S. Navy - Agency Wide,Per Year,2018-10-01,DON80150-12OCA,"Jacksonville, Florida|Key West, Florida|Mayport, Florida|Milton, Florida|Orlando, Florida|Panama City, Florida|Pensacola, Florida|Kings Bay, Georgia|Belle Chasse, Louisiana|New Orleans, Louisiana|Gulfport, Mississippi|Meridian, Mississippi|Beaufort, South Carolina|Charleston, South Carolina|Millington, Tennessee|Corpus Christi, Texas|Corpus Christi, Texas|Fort Worth, Texas|Kingsville, Texas",2017-10-02,GEOGRAPHER(GIS),"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. Applicants must meet the following Basic Requirements of the Office of Personnel Management (OPM) Qualifications Standards Manual for the Geographer (0150) series: Applicants must possess:
- A degree in geography or related physical or social science such as geology, meteorology, economics, statistics, sociology, anthropology, political science, history, cartography, computer science, urban studies, or planning that included at least 24 semester hours in geography or related fields. OR:
- Have a combination of education and experience: courses equivalent to a major in geography, or a related field that included at least 24 semester hours in geography or related fields, as shown above, plus appropriate experience or additional education. In addition to the basic education requirement, applicants must meet the following minimum qualifications: FOR GS-11: Applicants must have at least one year of specialized experience equivalent to the GS-09 grade level in the Federal Service or private sector performing duties such as: 1) Interpreting statistical tabulations of geographical information; 2) Reconciling data within geodatabases; and 3) Maintaining models and scripts for geographical data inventory and data validity. OR:
-Have successfully completed a Ph.D. or equivalent doctoral degree; or 3 full years of progressively higher level graduate education leading to such a degree; or LL.M., if related in a field that provided the knowledge, skills, and abilities necessary to perform successfully the duties of this position. This education must have been obtained from an accredited college or university. OR:
-Have a combination of experience and education as described above which, when combined, is equivalent to 100% of the qualification requirement. FOR GS-12: Applicant must have at least one year of specialized experience equivalent to the GS-11 grade level in the Federal Service or private sector performing duties such as: 1) providing technical support, including computer systems analysis of Geographic Information Systems (GIS) processes and problems; 2) providing technical support to GIS and Space Management Systems users and editors; 3) maintaining GIS data and maps for space inside buildings (floor plans and accompanying Space Management data) and outside of building spaces (GIS data both within and outside installation boundaries); 4) providing reports for Return on Investment (ROI) and tracking/quality assurance-quality control procedures for GIS and Space Management data maintenance and publishing. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-PROF. https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0100/geography-series-0150/",https://www.usajobs.gov:443/GetJob/ViewDetails/480573700
2018-10-17,Department of the Navy,GS,"The selectee for this position will serve as a Geographer (GIS) in the GeoReadiness Center, Asset Utilization Branch, Asset Management Business Line, of DEPARTMENT OF THENAVY. Salary range shown is not all inclusive: salary will vary by geographic location. THIS IS AN EXPEDITED HIRING AUTHORITY ANNOUNCEMENT. The Duncan Hunter National Defense Authorization Act (NDAA) FY 2009 provides that the Secretary of Defense can designate acquisition positions as shortage positions and recruit and appoint highly qualified persons to these positions. This announcement is open to accept resumes from candidates interested in helping the Department of the Navy meet our mission requirements for the acquisition of systems, equipment and facilities.",64697.0000,49765.0000,Permanent,U.S. Navy - Agency Wide,Per Year,2018-10-17,DON80150-09OCA,"Jacksonville, Florida|Key West, Florida|Mayport, Florida|Milton, Florida|Orlando, Florida|Panama City, Florida|Pensacola, Florida|Kings Bay Naval Base, Georgia|Belle Chasse, Louisiana|New Orleans, Louisiana|Meridian, Mississippi|Beaufort, South Carolina|Charleston, South Carolina|Corpus Christi, Texas|Fort Worth, Texas|Kingsville, Texas",2017-10-18,GEOGRAPHER (GIS),"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. Applicants must meet the following Basic Requirements of the Office of Personnel Management (OPM) Qualifications Standards Manual: Applicants must possess:
A Degree: geography; or related physical or social science such as geology, meteorology, economics, statistics, sociology, anthropology, political science, history, cartography, computer science, urban studies, or planning that included at least 24 semester hours in geography or related fields.OR: A Combination of education and experience: courses equivalent to a major in geography, or a related field that included at least 24 semester hours in geography or related fields, as shown in A above, plus appropriate experience or additional education. In addition to the Basic Requirements for this position, your resume must also demonstrate at least one year of specialized experience at or equivalent to the GS-07 grade level or pay band in the Federal service or equivalent experience in the private or public sector performing duties such as: 1) Interpreting geographical maps, charts, and photographs to identify discrepancies; 2) Producing comprehensive Geographic Information System (GIS) products using geographical data; and 3) Collecting geographical data using Global Positioning System (GPS) equipment. Additional qualification information can be found from the following Office of Personnel Management website:
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/#url=GS-PROF.
https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/0100/geography-series-0150/",https://www.usajobs.gov:443/GetJob/ViewDetails/482149100
2018-01-02,Department of Commerce,ZP,"USAJOBS and Monster Government Solutions (MGS) will be performing updates and scheduled maintenance between Sunday, December 10, and Monday, December 18, 2017. You may experience difficultly completing your application during this time period.This position is located in the National Ocean Service (NOS), National Geodetic Survey (NGS), Geodetic Services Division (GSD) with one vacancy in Columbus, Ohio and one vacancy in Seattle, Washington.This position will be filled under the DOC Alternative Personnel System (CAPS). This system replaced the Federal GS pay plan and structure. Under CAPS, positions are classified by career, pay plan, and pay band.The ZP-4 is equivalent to the GS-13/14. Salary ranges will vary based on the location. Please visit: http://hr.commerce.gov/Practitioners/CompensationAndLeave/DEV01_006348 for specific salary information related to a specific location.This position is also announced under vacancy number NOS-NGS-2018-0003, which is open to status candidates. You must apply to both announcements if you want to be considered for both.A one year probationary period may be required.* Payment of relocation expenses is not authorized.* This position is not in the bargaining unitNOTES:This Job Opportunity Announcement may be used to fill other Geodesist, ZP-1372-4 positions throughout NOAA. The position must be alike (e.g.: within the same geographic locations, same grade/band and requires the same qualifications and specialized experience as indicated in this vacancy announcement).NOTE: The salary above reflects the 2017 pay scales. Salaries will be adjusted upon announcement of the 2018 pay tables. To see the current pay tables click here.",142352.0,88375.0,Permanent,National Oceanic and Atmospheric Administration,Per Year,2018-01-02,NOS-NGS-2018-0004,"Columbus, Ohio|Seattle, Washington",2017-12-11,"Geodesist, ZP-1372-4 (DE/CR)","Qualification requirements in the vacancy announcements are based on the U.S. Office of Personnel Management (OPM) Qualification Standards Handbook, which contains federal qualification standards. This handbook is available on the Office of Personnel Management's website located at: http://www.opm.gov/qualifications.BASIC REQUIREMENTS: This position has a positive Education Requirement in addition to at least one year of Specialized Experience in order to be found minimally qualified. Transcripts must be submitted with your application package. You MUST meet the following requirements:A. Degree: geodesy; or 30 semester hours in any combination of geodesy, mathematics, physics, astronomy, engineering science, surveying, geodetic surveying, photogrammetry, or geophysics. The course work must have included differential and integral calculus.ORB. Combination of education and experience: course work as shown above, plus appropriate experience or additional education.-AND-SPECIALIZED EXPERIENCE: Applicants must possess one year of specialized experience equivalent in difficulty and responsibility to the next lower grade level in the Federal Service. Specialized experience is experience that has equipped the applicant with the particular competencies/knowledge, skills and abilities to successfully perform the duties of the position. This experience need not have been in the federal government. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations e.g., professional; philanthropic, religious; spiritual; community, student, social). Volunteer work helps build critical competencies; knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.To qualify at the ZP-4 or GS-13 level:SPECIALIZED EXPERIENCE: In addition to meeting the Basic Requirements above, applicants must also possess one full year (52 weeks) of specialized experience equivalent to the ZP-3 or GS-12 in the Federal service. Specialized experience MUST include all of the following:Using geodetic survey instrumentation to develop and implement field geodetic surveys including Global Navigation Satellite System (GNSS) surveys, geodetic leveling surveys and high precision geometric surveys; andDesigning and conducting geodetic surveys using GNSS and classical surveying techniques to evaluate and test new geo-positioning technology systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/486244200
