ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-01-03,Other Agencies and Independent Organizations,CG,"Additional selections may be made from this vacancy announcement to fill identical vacancies that occur subsequent to this announcement.This position is located in the Division of Information Technology, Enterprise Technology Branch, Enterprise Information Management Section, of the Federal Deposit Insurance Corporation and provides support in the areas of overseeing a database operations team.",236815.0,142071.0,"Permanent, Full-Time",Federal Deposit Insurance Corporation,Per Year,2018-01-03,2017-HQD-1112,"Washington DC, District of Columbia",2017-12-20,LEAD IT SPECIALIST,"Qualifying experience may be obtained in the private or public sector. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g. Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic, religious spiritual; community; student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience. Additional qualifications information can be found here.You must have Information Technology (IT)-related experience which demonstrates proficiency in each of the following competencies:&#8226; Attention to Detail - Is thorough when performing work and conscientious about attending to detail.&#8226; Customer Service - Works with clients and customers (that is, any individuals who use or receive the services or products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations; knows about available products and services; is committed to providing quality products and services.&#8226; Oral Communication - Expresses information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.&#8226; Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations.Applicants must have one year of specialized experience equivalent to the CG/GS 14 grade level leading database operations and engineering for Oracle, SQL Server and DB2, 24 hour x 7 day database operations, directing enterprise database engineering and operational services; partnering with teams to optimize operations, develop solutions, and upgrade and maintain database infrastructure; managing database projects and service requests, allocating resources, and monitoring contractor performance and proposals and coordinating security audit responses.There is no substitution of education for the experience for this position.Applicants eligible for ICTAP (Interagency Career Transition Assistance Program) must achieve a score of 80 ""well qualified"" for this position. For more information, click here.",https://www.usajobs.gov:443/GetJob/ViewDetails/487188400
2017-12-27,Department of Defense,GS,"As the world&#39;s largest finance and accounting firm, the Defense Finance and Accounting Service (DFAS) pays all Department of Defense (DoD) military and civilian personnel, retirees and annuitants, and major DoD contractors and vendors. We take great pride in serving the men and women who serve America, and invite goal-oriented people like you to challenge yourself while providing a service to our nation. Employment with DFAS means access to generous benefits such as: health, vision, and dental insurance, retirement benefits, paid time off, and educational benefits. DFAS is using the Direct Hire Authority (DHA) for DOD Cyber Workforce Positions to recruit and appoint individuals to positions that meet the definition of ""cyber workforce"" (also known as ""cyberspace workforce"") as defined in DoDD 8140.01, ""Cyberspace Workforce Management,"" and must be anticipated to become part of the cyber excepted service. Positions in the cyber excepted service are positions necessary to carry out the responsibilities of the United States Cyber Command Vacancy Information: Position is located in: DFAS, I&amp;T Directorate, Infrastructure &amp; Production Support, Enterprise Virtual Helpdesk, Indianapolis, IN.",94465.0000,72663.0000,Permanent,Defense Finance and Accounting Service,Per Year,2017-12-27,D-DFAS-DHA-10097435-18,"Indianapolis, Indiana",2017-12-13,IT Specialist (DATAMGT),"Resumes for federal government positions need more detailed work descriptions and accomplishments than a typical private sector resume. Please be sure to clearly describe the full scope of your work experiences in your resume. Basic Requirement: Applicants must have IT-related experience demonstrating the following competencies appropriate to, or above, the level of this position. Your resume and work experience should clearly support your ability to meet these competencies and will be evaluated as part of the entire application process. Attention to Detail- experience reviewing my own information technology-related work or data and have been asked by others to review their work or data to ensure accuracy, completeness, and consistency with standards Customer Service- experience maintaining relationships with customers, assessing current information technology needs of customers, and developing or identifying information technology products and services that are tailored to meet customer needs Oral Communication- briefing mid-level management and IT staff on the status of information technology systems, projects, or daily operations, including the communication of technical information to a non-technical audience Problem Solving- identifying alternatives to address complex information technology-related issues by gathering and applying information from a variety of sources that provide a number of potential solutions In addition to the Basic Competency Requirements listed above, one year of specialized experience equivalent in level of difficulty and responsibility to that of the next lower grade (GS-11) in the federal service, which demonstrates the ability to perform the duties of the position, is required. Specialized experience is defined as: providing database administration and technical support for Microsoft SQL Server Database 2008 or higher; experience includes database installation and configuration, backup and recovery, performance tuning and user administration on Microsoft SQL Server Database 2008 or higher based on following corporate standards and requirements and/or industry best practices. Volunteer Experience: Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/486591800
2018-10-19,Department of Commerce,GG,"This vacancy is for multiple IT Specialist (Applications Software) positions in the Associate Director for Decennial Census Program (ADDC) located at the U.S. Census Bureau Headquarters in Suitland, Maryland. Positions may also be filled in Greenbelt, MD and Washington Navy Yard, DC.The Census Bureau is accessible from the Metro Rail Green Line &#8211; Suitland Station.This Job Opportunity Announcement may be used to fill other IT Specialist (Applications Software), GG-2210-7/9/11/12, (FPL, GG-12) positions within the Census Bureau in the same geographical location with the same qualifications and specialized experience.This vacancy is advertised under 2 different announcements. Read the 'Who May Apply' section carefully to determine your eligibility. If you are not eligible under this announcement, please see Announcement Number ADDC-2017-0079, IT Specialist (Applications Software), GG-2210-7/9/11/12, Census-DOC-DJD. This position will be filled as a Term Appointment NTE 2 years, may be extended at management&#8217;s discretion.A trial period may be required. This position is ELIGIBLE for telework; additional criteria will be required (e.g., supervisory approval).This is a BARGAINING unit position.Relocation expenses may not be paid.This is an open continuous announcement. The initial cutoff date for referral is November 3, 2017. After this date additional referral lists will be created as vacancies are available. This announcement covers multiple positions within the various Directorates of the U.S. Census Bureau through October 19, 2018.",103639.0,47735.0,"Full Time, Time Limited NTE 2 years.",U.S. Census Bureau,Per Year,2018-10-19,ADDC-2017-0080,"Washington Navy Yard, District of Columbia|Greenbelt, Maryland|Suitland, Maryland",2017-10-20,"IT Specialist (Applications Software), GG-2210-7/9/11/12, Census-DE-DJD","Minimum Education Requirement:You must have and your resume must detail how you meet the specialized experience and IT-related experience demonstrating each of the four competencies described below.COMPETENCIES:1. Attention to Detail - Meticulous; thoroughly reviews and proofreads various IT related data/information; dedicates focus to accomplish tasks that are complete, precise, and accurate to a given IT situation.2. Customer Service - Works with clients and customers (that is, any individuals who use or receive IT services or IT products that your work unit produces, including the general public, individuals who work in the agency, other agencies, or organizations outside the Government) to assess IT needs, provide expert technical information or assistance, resolve fairly complex or non-routine problems, or satisfy expectations; knowledge of available products and services; committed to providing quality IT products and services.3. Oral Communication - Expresses technical information (for example, ideas or facts) to individuals or groups effectively, taking into account the audience and nature of the information (for example, technical, sensitive, controversial); makes clear and convincing oral presentations; listens to others, recognizes potential miscommunication, attends to nonverbal cues, and responds appropriately.4. Problem Solving - Identifies IT related problems using a variety of materials or sources; gathers and applies technical information to determine accuracy and relevance to moderately complex problems; uses sound judgment to generate and evaluate alternatives; makes decisions or recommendations that influence IT policies or programs and applies new developments to previously unresolved problems.Specialized Experience: For GG-07, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-05 grade level in the Federal services. Experience designing, developing, and/or maintaining applications, experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment, experience with various programming and database platforms, experience writing and/or maintaining system documentation for a large scale application, experience debugging and /or troubleshooting problems related to computer systems. Experience communicating technical information in person and in writing to a variety of audiences, experience customizing and developing/or acquiring software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script. OR Education: 1 full year of graduate level education or superior academic achievement.For GG-09, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-07 grade level in the Federal services. Experience designing, developing, and/or maintaining applications, experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment, experience with various programming and database platforms, experience writing and/or maintaining system documentation for a large scale application, experience debugging and /or troubleshooting problems related to computer systems. Experience communicating technical information in person and in writing to a variety of audiences, experience customizing and developing/or acquire software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script.OR Education: Master's degree or equivalent graduate degree or 2 full years of progressively higher level graduate education leading to a master's degree or equivalent graduate degree.For GG-11, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-09 grade level in the Federal services. Experience designing, developing, and/or maintaining applications, experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment, experience with various programming and database platforms, experience writing and/or maintaining system documentation for a large scale application, experience debugging and /or troubleshooting problems related to computer systems. Experience communicating technical information in person and in writing to a variety of audiences, experience customizing and developing/or acquire software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script.OREducation: Ph.D. or equivalent doctoral degree or 3 full years of progressively higher level graduate education leading to a Ph.D. or equivalent doctoral degree. For GG-12, you must have one year of specialized experience at a level of difficulty and responsibility equivalent to the GS-11 grade level in the Federal services. Extensive experience designing, developing, and/or maintaining applications. Extensive experience evaluating existing tools and techniques against new technology, experience with SAS scripting in a UNIX/Linux environment. Extensive experience with various programming and database platforms. Extensive experience writing and/or maintaining system documentation for a large-scale application. Extensive experience debugging and /or troubleshooting problems related to computer systems. Extensive experience communicating technical information in person and in writing to a variety of audiences. Extensive experience customizing and developing/or acquire software applications such as JAVA, SAS, PL/SQL, ASP, NET, Linux, Shell Script. Extensive experience developing prototypes or pilot programs. Extensive experience eliciting and documenting system requirements.Education can not be substituted for experience at this grade level.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/482409200
2018-01-05,Department of Commerce,GS,"This vacancy is for a Supervisory Data Scientist position in the Center For Economic Studies located at the U.S. Census Bureau Headquarters in Suitland, Maryland. The Census Bureau is accessible from the Metro Rail Green Line &#8211; Suitland Station.A supervisory probationary period may be required. This position is ELIGIBLE for telework; additional criteria will be required (e.g., supervisory approval).This is a NON-BARGAINING unit position.Relocation expenses will not be paid.",145629.0,112021.0,"Full Time, Permanent",U.S. Census Bureau,Per Year,2018-01-05,CES-2018-0005,"District of Columbia, District of Columbia|Suitland, Maryland",2017-12-22,"Data Scientist, GS-1501-14, Census-DE-SM","Minimum Education Requirement:Basic Requirements:A. Degree: Mathematics, statistics, or actuarial science. The degree must be in a major field of study (at least at the baccalaureate level) that is appropriate for the position.ORB. Combination of education and experience: Courses equivalent to a major field of study as shown in paragraph A above, plus additional education or appropriate experienceANDSpecialized Experience: For the GS-14, you must have one year of experience at a level of difficulty and responsibility equivalent to the GS-13 in the Federal service. Experience for this position includes: using the software languages of R, Python, SQL, MatLab or SAS to solve business or research problems; experience with statistical computing software and Cloud systems; experience facilitating change to existing procedures while meeting regulatory and compliance requirements; experience communicating technical information to senior management and internal and external stakeholders both orally and in writing; experience motivating and guiding a team; and experience developing, mentoring and coaching staff.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/487395400
2018-01-03,Department of the Navy,NF,"Marine Corps Community Services (MCCS)is looking for the best and brightest to join our Team! MCCSis a comprehensive program that supports and enhances the quality of life for Marines, their families, and others in the Marine Corps Community.Weoffer a team oriented environment comprised of military personnel, civilian employees, contractors and volunteers who keep the organization functioning smoothly and effectively. As a service-oriented organization, we never waver in our commitment to our Corps.",100000.0,85000.0,Permanent,U.S. Marine Corps,Per Year,2018-01-03,29228,"Quantico, Virginia",2017-12-04,Data Architect NF4,"Bachelor&rsquo;s degree in Engineering, Computer Science, Information Technology or a related field appropriate to the work of position and three years of progressive experience as a Data Architect and Data Analyst with architectural knowledge of establishing and implementing BI environments and hands on expert level expertise in designing, developing and testing Business Intelligence systems or an appropriate combination of education and experience that demonstrates possession of knowledge and skill equivalent to that gained in the above, or appropriate experience that demonstrates that the applicant has acquired the knowledge, skills, and abilities equivalent to that gained in the above. Comprehensive knowledge of SQL, cardinality, levels of granularity, normalized vs. denormalized, database and tool optimization techniques and other such reporting data architecture best practices is required. Knowledge and experience in implementing a data warehouse is required. Ability to outline the architecture and understand the benefits of data warehousing. Preferred skills include:	Use of Cognos Framework Manager, Report Studio, and Query Studio;	High level proficiency and experience with ETL tools such Oracle Warehouse Builder (OWB) , Oracle Data Integrator (ODI) and Informatica;	Experience with Data Modelling tools such as ERWIN;	Experience with Master Data Management tools;	Experience with Microsoft SQL Server tools such SSIS; and	Exposure to Cloud Technologies preferred.As an authorized and privileged user of Department of Defense Information Systems must possess or receive Information Assurance awareness by completing the Security+ Certification as a condition of access within six months of employment, and thereafter must complete annual Information Assurance awareness training.",https://www.usajobs.gov:443/GetJob/ViewDetails/485768400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Engineers develop, construct, test, and maintain architectures such as databases and large-scale data processing systems. They clean, prepare, and optimize data for consumption through the design and construction of massive reservoirs for big data. They solve problems associated with database access and integration and unstructured data sets to provide clean, usable data for customers and IT counterparts. These engineers serve as integrators between data architects, data scientists, and other data consumers. They apply knowledge of scripting tools, programming languages, standards, and software packages to build the data pipelines that enable faster, better, data-informed decision-making within the Agency.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180083,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Engineer,"1) Education: Computer Science, Applied Mathematics, Management Information Systems, Engineering, Physical Sciences, or any other technology related field;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935200
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: Data Analysts apply tools and algorithms to identify trends and patterns in data. They communicate with stakeholders and conduct research to develop an understanding of relevant programs and requirements. These analysts identify and collect data from various sources, evaluate the data to ensure that they meet analytic needs, and prepare the data for analysis. They also select, apply, and assess analytic models and techniques, and review and verify the results. They prepare reports and briefings and consult with stakeholders to communicate findings.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180080,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,Data Analyst,"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480934900
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Data Science) develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval, and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms, create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180101,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Data Science),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modeling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modeling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935400
2017-12-30,Department of Defense,IA,"JOB DESCRIPTION: GEOINT Analysts (Geospatial Data Stewardship) manage the generation, approval, and population of data within NGA's geospatial databases, ensuring that they can be used to satisfy customer requirements. They have read/write access to relevant databases and make qualitative decisions about the data. They have a wide range of product/data knowledge and understand the capabilities and limitations of the relevant systems to support the extraction, analysis, and finishing of in-house, co-production, commodity, and contract data.",123234.0,60613.0,This is a permanent position.,National Geospatial-Intelligence Agency,Per Year,2017-12-30,20180111,"Saint Louis, Missouri|Springfield, Virginia",2017-10-23,GEOINT Analyst (Geospatial Data Stewardship),"DESIRABLE QUALIFICATION CRITERIA: In addition to the mandatory qualifications, experience in the following is desired: 1) Education: Cartography, Computer Science, Geology, Geography, Geomatics, GIS, Physical Science, Urban and Regional Planning, or a related discipline;
2) Experience: Software Coding: C++ Java, AND/OR Statistics & Modelling: R, Python, AND/OR Query Languages: SQL, NoSQL, AND/OR Scripting: JavaScript, Python, Cloud Services Design, Algorithm Development, Data Visualization, Big Data /Data Modelling, Machine Vision & Deep Learning, Optimization.",https://www.usajobs.gov:443/GetJob/ViewDetails/480935500
2018-01-22,Other Agencies and Independent Organizations,NF,"The Appalachian Regional Commission (ARC) is a regional economic development agency that represents a unique partnership between the Federal and State governments. ARC&#39;s mission is to be a strategic partner and advocate for sustainable community and economic development in Appalachia. This position is responsible for maintaining the business grant management system (ARCnet) of the agency. The primary and critical work of this position is to work collaboratively with the System Administrator on the design and development ARCNET then lead the preparation and implementation of code enhancements to the ARCnet. The position is involved in all work that involves the design, documentation, development, modification, testing, installation, implementation, and support of new or existing applications software. The position reports to the IT Program Manager and works collaboratively with the System Administrator. ARC is located in the vibrant Dupont Circle area, offers a competitive compensation/benefits package, and provides a dynamic career opportunity to lead and develop our database strategy.",123234.0000,94796.0000,Permanent,Appalachian Regional Commission,Per Year,2018-01-22,DE-10105158-18-CB,"Washington DC, District of Columbia",2017-12-21,Programmer/Software Engineer,"Knowledge of and skill in applying applications software development principles and methods sufficient to participate in the design, development, testing, and implementation of new or modified applications software.
Knowledge and experience working in an Agile Environment Technologies C# - Expert-level implementation skills with C# and the .NET platform. SCM - Strong experience working with an SCM tool like Team Foundation Server, Subversion or Git. ASP.NET - Strong implementation skills with ASP.NET including experience with building custom controls and developing with the ASP.NET MVC framework. Database - Strong experience with Microsoft LINQ or ADO.NET. Must be highly proficient in SQL preferably across multiple databases. Expert in SQL Sever Integration Services (SSIS) Web - Strong experience building modern web applications using frameworks like jQuery, jQuery UI, and Bootstrap. General - Comfortable in more than one programming language with a strong understanding of fundamental web/internet technologies. Customer Service - Works with clients and customers to assess their needs, provide information or assistance, resolve their problems, or satisfy their expectations.
Verbal Communication - Expresses information to individuals or groups effectively, taking into account the audience and nature of the information; makes clear and convincing oral presentations; listens to others, attends to nonverbal cues, and responds appropriately.
Problem Solving - Identifies problems; determines accuracy and relevance of information; uses sound judgment to generate and evaluate alternatives, and to make recommendations to complex and multi-faceted problems.
Ability to understand and translate ARC&#39;s business needs into technology solutions.
Ability to work independently, with minimal guidance.
Skill in evaluating one&#39;s own technical work.
Attention to Detail - Is thorough when performing work and conscientious about attending to detail.
Skill in prioritizing tasks to meet work demands.
Ability to work in an unstructured environment.
Skill in dealing with various personalities.
Ability to work under pressure.
Ability to obtain a Public Trust background investigation.",https://www.usajobs.gov:443/GetJob/ViewDetails/487299700
