ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-09-30,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? How would you like to become a part of a team providing compassionate care to Veterans? The Department of Veterans Affairs (VA) needs employees who possess the energy, compassion and commitment to serve those who served our country. Whatever the job title, every position in the VA will give you the chance to make a meaningful and personal contribution to the lives of truly special and deserving people- our Veterans. VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. Working for the VA is one of the most emotionally satisfying and professionally rewarding ways to dedicate the best within you to your Country&#39;s service. The VAMC in Memphis, TN consists of one main campus located at 1030 Jefferson Avenue, which includes a 60-bed Spinal Cord Injury Unit, and nine community based outpatient clinics CBOC). It is a tertiary care facility classified as a Clinical Referral Level I Facility and one of the most complex medical centers in the VA system. It is a teaching hospital, providing a full range of patient care services, with state-of-the-art
technology, as well as extensive education and research programs. Comprehensive primary, secondary, and tertiary health care is provided in
areas of medicine, general cardiovascular and neurological surgery, psychiatry, physical medicine and rehabilitation, spinal cord injury, neurology, oncology, dentistry, and geriatrics. Specialized outpatient services are provided through general, specialty, and subspecialty
outpatient clinics including a women&#39;s health center. Services are available to more than 206,000 Veterans living in a 53-county tri-state area
(Tennessee, Arkansas, and Mississippi). The VAMC in Memphis is part of the VA MidSouth Healthcare Network, VISN 9, which includes facilities in Lexington and Louisville, KY;
Huntington, WV; and Nashville and Mountain Home, TN.",400000.0000,101967.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-09-30,RZ-18-CSN-10091971-T38-01,"Memphis, Tennessee",2017-12-01,Vascular Surgeon,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Preferred Experience/ Qualifications: Must be a board certified Vascular Surgeon Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/485719000
2018-09-30,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? The VAMC in Memphis, TN consists of one main campus located at 1030 Jefferson Avenue, which includes a 60-bed Spinal Cord Injury Unit, and nine community based outpatient clinics (CBOC). It is a tertiary care facility classified as a Clinical Referral Level I Facility and one of the most complex medical centers in the VA system. It is a teaching hospital, providing a full range of patient care services, with state-of-the-art technology, as well as extensive education and research programs. Comprehensive primary, secondary, and tertiary health care is provided in areas of medicine, general cardiovascular and neurological surgery, psychiatry, physical medicine and rehabilitation, spinal cord injury, neurology, oncology, dentistry, and geriatrics. Specialized outpatient services are provided through general, specialty, and subspecialty outpatient clinics including a women&#39;s health center. Services are available to more than 206,000 Veterans living in a 53-county tri-state area (Tennessee, Arkansas, and Mississippi). The VAMC in Memphis is part of the VA MidSouth Healthcare Network, VISN 9, which includes facilities in Lexington and Louisville, KY; Huntington, WV; and Nashville and Mountain Home, TN.",400000.0000,101967.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-09-30,RZ-18-AFA-10095987--BU-OCA,"Memphis, Tennessee",2017-12-11,Cardiothoracic Surgeon,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Preferred Experience: Experience in valve reconstruction; minimally invasive surgery preferred Preferred Qualifications : He/she has previously performed cardiovascular or thoracic procedures, as appropriate Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard.",https://www.usajobs.gov:443/GetJob/ViewDetails/486373600
2018-01-04,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? YOU CAN MAKE A DIFFERENCE VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/. The city of Grand Junction, Colorado, is the largest community between Denver and Salt Lake City, sitting at the confluence of the Colorado and Gunnison Rivers. Just 28 miles from the Utah border the city is within reach of thousands of square miles of public lands to include Arches National Park, Black Canyon of the Gunnison, Colorado National Monument, Dinosaur National Monument, Grand Mesa National Forrest, and many more. The weather is mild throughout the year making for a myriad of outdoor recreational opportunities to include camping, hunting, hiking, mountain biking, rock climbing, golfing, rafting, fishing, skiing, and much more. The metropolitan area is home to over 100,000 people with a diverse economy to include tourism, peach orchards, wineries, agriculture, manufacturing, health care, energy development, and retail. Colorado Mesa University is located in Grand Junction, offering a wide range of degrees and educational opportunities. The Grand Junction VHCS is the home of the Disabled Veterans Winter Sports Clinic, a world-leader in adaptive winter sports for U.S. Military Veterans and active duty service members with disabilities. Grand Junction Veterans Health Care System: http://www.grandjunction.va.gov/.",400000.0000,101967.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-01-04,CBCO-10102071-18-EA52,"Grand Junction, Colorado",2017-12-18,General Surgeon,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486968300
2018-03-30,Department of Veterans Affairs,VM,"To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans.
How would you like to become a part of a team providing compassionate care to Veterans?
As a VA professional, your opportunities are endless. With many openings in the multiple functions of VA, you will have a wide range of opportunities at your fingertips. Not only is it the largest, most technologically advanced integrated health care system in the nation, but we also provide many other services to Veterans through the Benefits Administration and National Cemeteries.
NOTE: The applicant's education and experience will be reviewed by a Compensation Panel in determining the salary of the applicant selected. The recommended salary may be at any point in the range listed for this vacancy.
VA Encourages Persons with Disabilities to Apply",250000.0,115000.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-03-30,VHA-652-18-CDE-2024303,"Richmond, Virginia",2017-11-13,Bariatric Surgeon ,"EDUCATION: Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed.Approved schools are:(1)Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.(2)Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.(3)Schools (including foreign schools) accepted by the licensing body of a State, Territory, or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.
LICENSURE: Board Eligible/Board Certified and possess a current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure.
PHYSICAL REQUIREMENTS: The physical requirements of this position include lifting, prolonged standing and sitting, frequent bending, walking (distance), climbing, reaching (overhead, extensive/repetitive), repetitive motionand stooping. The mental/sensory requirements include recall, reasoning, problem-solving, hearing, speaking clearly, writing legibly, keyboarding, reading and logical thinking. The environment's pace can vary from steady to a sometimes fast pace requiring handling of multiple priorities, frequent, sometimes intense customer interactions, and the ability to adapt to frequent changes in a sometimes noisy environment. There may be the need to use personal protective equipment to prevent exposure to disease, illness and hazardous materials.
ENGLISH LANGUAGE PROFICIENCY: Must be proficient in spoken and written English as required by U.S.C. 7402(d)and 7405(f).",https://www.usajobs.gov:443/GetJob/ViewDetails/484617100
2017-12-29,Department of Veterans Affairs,VM,"To fulfill President Lincoln's promise - ""To care for him who shall have borne the battle, and for his widow, and his orphan"" - by serving and honoring the men and women who are America's Veterans.
How would you like to become a part of a team providing compassionate care to Veterans?
As a VA professional, your opportunities are endless. With many openings in the multiple functions of VA, you will have a wide range of opportunities at your fingertips. Not only is it the largest, most technologically advanced integrated health care system in the nation, but we also provide many other services to Veterans through the Benefits Administration and National Cemeteries.
NOTE: The applicant's education and experience will be reviewed by a Compensation Panel in determining the salary of the applicant selected. The recommended salary may be at any point in the range listed for this vacancy.
VA Encourages Persons with Disabilities to Apply",400000.0,101967.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-29,VHA-652-17-CDE-1987340,"Richmond, Virginia",2017-07-14,Cardiothoracic Surgeon. ,"EDUCATION: Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Secretary of Veterans Affairs for the year in which the course of study was completed.Approved schools are:(1)Schools of medicine holding regular institutional membership in the Association of American Medical Colleges for the year in which the degree was granted.(2)Schools of osteopathic medicine approved by the American Osteopathic Association for the year in which the degree was granted.(3)Schools (including foreign schools) accepted by the licensing body of a State, Territory, or Commonwealth (i.e., Puerto Rico), or in the District of Columbia as qualifying for full or unrestricted licensure.
LICENSURE: Board Eligible/Board Certified and possess a current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. The physician must maintain current registration in the State of licensure if this is a requirement for continuing active, current licensure.
PHYSICAL REQUIREMENTS: The physical requirements of this position include lifting, prolonged standing and sitting, frequent bending, walking (distance), climbing, reaching (overhead, extensive/repetitive), repetitive motionand stooping. The mental/sensory requirements include recall, reasoning, problem-solving, hearing, speaking clearly, writing legibly, keyboarding, reading and logical thinking. The environment's pace can vary from steady to a sometimes fast pace requiring handling of multiple priorities, frequent, sometimes intense customer interactions, and the ability to adapt to frequent changes in a sometimes noisy environment. There may be the need to use personal protective equipment to prevent exposure to disease, illness and hazardous materials.
ENGLISH LANGUAGE PROFICIENCY: Must be proficient in spoken and written English as required by U.S.C. 7402(d)and 7405(f).",https://www.usajobs.gov:443/GetJob/ViewDetails/474453900
2018-12-14,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? This announcement establishes an open continuous register of eligible applicants to be considered for future vacancies with the Pittsburgh VA Healthcare System. Qualified applicants will be referred if a vacancy becomes available. Individuals that apply for this position will receive consideration for the entire length of this posting (through December 14, 2018.)",400000.0000,101967.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-12-14,CBCC-10101080-18-HM,"Pittsburgh, Pennsylvania",2017-12-15,Physician-Vascular Surgeon,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.
Preferred Experience: BC/BE Vascular Surgeon highly preferred",https://www.usajobs.gov:443/GetJob/ViewDetails/486839300
2017-12-30,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans?",400000.0000,101967.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2017-12-30,CASB-10055817-17 BAC,"Miami, Florida",2017-09-29,Physician (VASCULAR SURGEON),"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Preferred Experience: 4-6 years&#39; experience as vascular surgeon Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/480849600
2018-12-14,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans? This announcement establishes an open continuous register of eligible applicants to be considered for future vacancies with the Pittsburgh VA Healthcare System. Qualified applicants will be referred if a vacancy becomes available. Individuals that apply for this position will receive consideration for the entire length of this posting (through December 14, 2018.)",400000.0000,101967.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-12-14,CBCC-10101108-18-HM,"Pittsburgh, Pennsylvania",2017-12-15,PHYSICIAN-TRANSPLANT SURGEON,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486807800
2018-01-03,Department of Veterans Affairs,VM,"OUR MISSION: To fulfill President Lincoln&#39;s promise - ""To care for him who shall have borne the battle and for his widow, and his orphan"" - by serving and honoring the men and women who are America&#39;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans?
Johnson City can best be described as a metropolitan melting pot with invigorating music, amazing outdoor activities and enchanting culture and history. As a matter of fact Forbes Magazine ranks Johnson City 14th in their latest rankings of best places to live! Local festivals include Unity in the Community Festival http://www.umojajc.org/, Blue Plum Festival, Apple Festival, and the Rhythm and Roots Reunion in nearby Bristol Tennessee/Virginia. Enjoy year round outdoor activities at our area lakes and parks and just a stone&#39;s throw away you&#39;ll find renowned attractions such as Barter Theatre, Bristol Motor Speedway and Asheville North Carolina&#39;s Biltmore House. For the Sports Enthusiast you can cheer on future baseball hall of famers with the area&#39;s rookie league baseball team - the Johnson City Cardinals! Johnson City offers an affordable cost of living, no state income tax, and excellent schools and universities! Start your Adventure in Johnson City Tennessee! A Hometown Heart with a Big City Soul! Visit us on: https://www.facebook.com/JohnsonCityCVB VA encourages persons with disabilities to apply. The health related positions in VA are covered by Title 38, and are not covered by the Schedule A excepted appointment authority. The James H. Quillen VAMC strongly encourages persons that are interested in and may represent multicultural diversity to apply. We have a long-standing Multicultural Diversity Committee led by mental health professionals devoted to educating, monitoring and furthering our awareness, practice and outcomes in regards to multiculturalism.",400000.0000,280000.0000,Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-01-03,CBDQ-10101144-18-DPB,"Johnson City, Tennessee",2017-12-15,Physician - Vascular Surgeon,"Basic Requirements: United States Citizenship: Non-citizens may only be appointed when it is not possible to recruit qualified citizens in accordance with VA Policy. Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed. Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia. Completion of residency training, or its equivalent, approved by the Secretary of Veterans Affairs in an accredited core specialty training program leading to eligibility for board certification. Proficiency in spoken and written English. Physical requirements outlined below. Preferred Experience: The applicant must be Board Certified or Board eligible in Vascular Surgery. Reference: VA Regulations, specifically VA Handbook 5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/486812400
2018-05-03,Department of Veterans Affairs,VM,"VA employs more than 14,000 physicians across its nationwide integrated health care system. Every year, many experienced physicians leave private practice to come to the VA Health Care System because we offer a variety of advantages. If you're an experienced physician, you understand the impact that business has had on health care. For VA, patient care is not a business decision. Veterans are our highest priority and we are committed to providing them with the highest quality care possible. That patient focused lets you practice medicine the way it was meant to be practiced. VA Physicians work with the entire interdisciplinary care team to deliver state-of-the-art medicine using some of the most advanced medical technologies in the Nation.You may be eligible to apply for the Education Debt Reduction Program based on available funding. Please contact Human Resources at this medical center and speak with the Education Debt Reduction Program Coordinator for additional information.NOTE: This is an open continuous announcement. Application ratings will occur every 2 weeks (or as applications are received) until the position is filled. Early submission of your application is strongly encouraged as once a selection has been made, no further candidates will be rated or referred. This announcement may be cancelled at any time.",400000.0,101967.0,Excepted Service Permanent,"Veterans Affairs, Veterans Health Administration",Per Year,2018-05-03,HP-646-17-JD-1954118-OCA,"Pittsburgh, Pennsylvania",2017-05-04,Physician (Transplant Surgeon),"Basic
Requirements: Citizenship of the United States. Noncitizens may be appointed when it is not possible to recruit qualified citizens in accordance with Department of Veterans Affairs policy.Degree of doctor of medicine or an equivalent degree resulting from a course of education in medicine or osteopathic medicine. The degree must have been obtained from one of the schools approved by the Department of Veterans Affairs for the year in which the course of study was completed.Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia.Completion of a first-year residency, or its equivalent, approved by the Department of Veterans Affairs for the year in which it was completed.Proficiency in spoken and written English.Physical requirements outlined below.Experience refers
to paid and unpaid experience, including volunteer work done through National
Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g.,
professional; philanthropic; religions; spiritual; community; student;
social). Volunteer work helps build
critical competencies, knowledge, and skills and can provide valuable training
and experience that translates directly to paid employment. You will receive credit for all qualifying
experience, including volunteer experience. Reference: VA Regulations, specifically VA Handbook
5005, Part II, Appendix G-2 Physician Qualification Standard. This can be found in the local Human
Resources Office.",https://www.usajobs.gov:443/GetJob/ViewDetails/469179600
