ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-26,Department of the Navy,GS,"The Navy and Marine Corps team offers innovative, exciting and meaningful work linking military and civilian talents to achieve our mission and safeguard our freedoms. Department of the Navy provides competitive salaries, comprehensive benefits, and extensive professional development and training. From pipefitters to accountants, scientists to engineers, doctors to nurses-the careers and opportunities to make a difference are endless. Civilian careers-where purpose and patriotism unite! The selectee for this position will serve as a SAFETY AND OCCUPATIONAL HEALTH SPECIALIST in the TACTICAL SAFETY DEPARTMENT of MARINE FORCES PACIFIC. A Cost-of-Living-Allowance (COLA) of 11.32% will be added to the stated salary. COLA is subject to change at any time. To learn more about the living and working condition at this military installation go to: http://www.militaryinstallations.dod.mil/pls/psgprod/f?p=MI:ENTRY:0 This is an obligated position. The former incumbent has return rights to this position under PL 86-585. This position is a full-time term appointment not to exceed 13 months. Term appointments may be extended up to 6 years at the discretion of management and in accordance with applicable regulations. Additionally, selectees may be non-competitively converted to permanent career-conditional or career appointments under specific conditions. This position may be terminated at any time before the established not-to-exceed date.",96153.0000,73962.0000,13 months,U.S. Marine Corps,Per Year,2017-12-26,DE-10081954-18-DLC,"Camp H.M. Smith Marine Corp Base, Hawaii",2017-12-15,SAFETY AND OCCUPATIONAL HEALTH SPECIALIST,"In order to qualify for this position, your resume must provide sufficient experience and/or education, knowledge, skills, and abilities to perform the duties of the specific position for which you are being considered. Your resume is the key means we have for evaluating your skills, knowledge, and abilities as they relate to this position. Therefore, we encourage you to be clear and specific when describing your experience. Your resume must demonstrate at least one year of specialized experience at or equivalent to the GS-11 grade level or pay band in the Federal service or equivalent experience in the private or public sector. Specialized experience must demonstrate the following: planning, developing, organizing, evaluating, and coordinating comprehensive safety and occupational health programs, policies, procedures, and technical assistance for explosive safety, range safety, radiation and laser safety, and tactical motor safety in an organization. Additional qualification information can be found from the following Office of Personnel Management website: http://www.opm.gov/qualifications/Standards/group-stds/gs-admin.asp. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment.",https://www.usajobs.gov:443/GetJob/ViewDetails/486818800
2017-12-30,Department of the Army,WG,"This National Guard position is for a SURFACE MAINTENANCE REPAIRER, Position Description Number D1193 and is part of the AL FMS 1, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! ALABAMA ARMY NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the Alabama Army National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the Alabama Army National Guard must be eligible for immediate membership and employment in the Alabama Army National Guard in the military grade listed in this announcement. This position is located in the Joint Forces HeadquartersState, Logistics Directorate (J-4), Surface Maintenance Facility. The purpose of this position is to perform limited diagnosis, routine repairs, and maintenance on combat, tactical, commercial, and special purpose vehicles and equipment. May assist higher graded mechanics in the performance of maintenance duties. EXCEPTED POSITION: Alabama Army National Guard membership required.
POSITION STATUS: FILL - NON-MERIT
LOCATION: FMS #1, FLORENCE, AL
SELECTING OFFICIAL: WO T. TERRELL",24.1400,20.6800,FILL NON-MERIT,Army National Guard Units (Title 32/Title 5),Per Hour,2017-12-30,AL-10090650-AR-17-279,"Florence, Alabama",2017-11-30,SURFACE MAINTENANCE REPAIRER,"EXPERIENCE REQUIREMENTS: Each applicant must fully substantiate (in his/her own words) that he/she meets the requirements of the Specialized Experience listed below: Otherwise, the applicant will be considered unqualified for this position. DO NOT COPY THE VACANCY ANNOUNCEMENT OR THE POSITION DESCRIPTION. GENERAL EXPERIENCE: Experience or training which demonstrates knowledge of equipment to be able to do routine jobs, simple preventative maintenance tasks, and is able to use common tools and equipment in the line of work.
SPECIALIZED EXPERIENCE: Must possess at least 12 months experience in each of the following tasks: Experience or training using common hand and power tools and a small variety of test and measurement devices to make mechanical repairs. Experience removing, adjusting, replacing, cleaning, and installing a variety of parts, components, and accessories. Experience which demonstrates a basic understanding of mechanical, electrical, and hydraulic theory applying to vehicles; and skill to replace, fit, install, and make adjustments. Experience demonstrating an understanding of the makeup and operation of the various individual systems maintained and their interrelationships. Experience reading and interpreting parts lists, manufactures&#39; repair manuals, diagrams, and electrical schematics.
KNOWLEDGE, SKILLS, AND ABILITIES:
-- Basic knowledge and understanding of the mechanical makeup, operation, and working relationships of individual systems, and their interrelationships for a variety of combat, tactical, commercial, automotive, special purpose vehicles and equipment. -- Working knowledge of various techniques for removing, adjusting, replacing, cleaning, and installing parts and components of combat, tactical, commercial, automotive, special purpose vehicles and equipment. -- Basic understanding of electrical, electronic, hydraulic, pneumatic, and other non-mechanical system theories; and skill to replace, fit, install, and adjust systems. -- Skill to use basic test equipment and ability to analyze test results to determine fault for repair or replacement of improperly functioning parts or components. Ability to use basic tools common to the occupation. -- Ability to determine when parts should be cleaned, reinstalled, or replaced with standard parts. -- Ability to read and interpret parts list, manufacturer&#39;s repair manuals, technical manuals, diagrams, engineering drawings, and schematics.",https://www.usajobs.gov:443/GetJob/ViewDetails/485518700
2018-01-20,Department of the Army,WG,"This National Guard position is for a SURFACE MAINTENANCE REPAIRER, Position Description Number D1193 and is part of the AL FMS 28, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! ALABAMA ARMY NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the Alabama Army National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the Alabama Army National Guard must be eligible for immediate membership and employment in the Alabama Army National Guard in the military grade listed in this announcement. This position is located in the Joint Forces HeadquartersState, Logistics Directorate (J-4), Surface Maintenance Facility. The purpose of this position is to perform limited diagnosis, routine repairs, and maintenance on combat, tactical, commercial, and special purpose vehicles and equipment. May assist higher graded mechanics in the performance of maintenance duties. EXCEPTED POSITION: Alabama Army National Guard membership required.
POSITION STATUS: NON-MERIT
LOCATION: FMS #28 MOBILE, AL
SELECTING OFFICIAL: CHIEF TIMOTHY L. GIBBS",26.6000,22.8000,FILL NON-MERIT,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-20,AL-10105288-AR-17-305,"Mobile, Alabama",2017-12-21,SURFACE MAINTENANCE REPAIRER,"EXPERIENCE REQUIREMENTS: Each applicant must fully substantiate (in his/her own words) that he/she meets the requirements of the Specialized Experience listed below: Otherwise, the applicant will be considered unqualified for this position. DO NOT COPY THE VACANCY ANNOUNCEMENT OR THE POSITION DESCRIPTION. GENERAL EXPERIENCE: Experience or training which demonstrates knowledge of equipment to be able to do routine jobs, simple preventative maintenance tasks, and is able to use common tools and equipment in the line of work.
SPECIALIZED EXPERIENCE: Must possess at least 12 months experience in each of the following tasks: Experience or training using common hand and power tools and a small variety of test and measurement devices to make mechanical repairs. Experience removing, adjusting, replacing, cleaning, and installing a variety of parts, components, and accessories. Experience which demonstrates a basic understanding of mechanical, electrical, and hydraulic theory applying to vehicles; and skill to replace, fit, install, and make adjustments. Experience demonstrating an understanding of the makeup and operation of the various individual systems maintained and their interrelationships. Experience reading and interpreting parts lists, manufactures&#39; repair manuals, diagrams, and electrical schematics.
KNOWLEDGE, SKILLS, AND ABILITIES:
-- Basic knowledge and understanding of the mechanical makeup, operation, and working relationships of individual systems, and their interrelationships for a variety of combat, tactical, commercial, automotive, special purpose vehicles and equipment. -- Working knowledge of various techniques for removing, adjusting, replacing, cleaning, and installing parts and components of combat, tactical, commercial, automotive, special purpose vehicles and equipment. -- Basic understanding of electrical, electronic, hydraulic, pneumatic, and other non-mechanical system theories; and skill to replace, fit, install, and adjust systems. -- Skill to use basic test equipment and ability to analyze test results to determine fault for repair or replacement of improperly functioning parts or components. Ability to use basic tools common to the occupation. -- Ability to determine when parts should be cleaned, reinstalled, or replaced with standard parts. -- Ability to read and interpret parts list, manufacturer&#39;s repair manuals, technical manuals, diagrams, engineering drawings, and schematics.",https://www.usajobs.gov:443/GetJob/ViewDetails/487295300
2018-01-03,Department of the Army,WG,"This National Guard position is for a SURFACE MAINTENANCE MECHANIC, Position Description Number D1195 and is part of the AL CSMS 1, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! ALABAMA ARMY NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the Alabama Army National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the Alabama Army National Guard must be eligible for immediate membership and employment in the Alabama Army National Guard in the military grade listed in this announcement. This position is located in the Joint Forces Headquarters-State, Logistics Directorate (J-4), Surface Maintenance Facility. The purpose of this position is to troubleshoot, repair, maintain, inspect, and/or overhaul a variety of complex combat, tactical, commercial, and special purpose vehicles and equipment having complicated mechanical and non-mechanical systems with a variety of interconnected systems. Provides technical guidance and specialized team leadership to lower grade employees. EXCEPTED POSITION: Alabama Army National Guard membership required.
POSITION STATUS: FILL- MERIT
LOCATION: MONTGOMERY, AL
SELECTING OFFICIAL: CW2 WILLIAM E. BOYKIN",25.1400,21.5600,Fill - Merit,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-03,AL-10099120-AR-17-288,"Montgomery, Alabama",2017-12-13,SURFACE MAINTENANCE MECHANIC,"EXPERIENCE REQUIREMENTS: Each applicant must fully substantiate (in his/her own words) that he/she meets the requirements of the Specialized Experience listed below: Otherwise, the applicant will be considered unqualified for this position. DO NOT COPY THE VACANCY ANNOUNCEMENT OR THE POSITION DESCRIPTION. GENERAL EXPERIENCE: Experience or training which demonstrates knowledge of equipment to be able to do routine jobs, simple preventative maintenance tasks, and is able to use common tools and equipment in the line of work. SPECIALIZED EXPERIENCE: You must have at least 18 months experience or training that has provided the candidate with sufficient knowledge to complete the work of this occupational series. Experience or training which demonstrates the candidates ability to lead other technicians engaged in the duties performed by this occupational series. KNOWLEDGE, SKILLS, AND ABILITIES:
-- Extensive knowledge of the mechanical makeup, operation, and working relationships of complex interconnecting systems, assemblies, and parts for a variety of combat, tactical, commercial, special purpose vehicles and equipment. -- Ability to diagnose, repair, overhaul, and modify interconnected complex systems on a variety of combat, tactical, commercial, special purpose vehicles and equipment. -- Extensive knowledge of state of the art electrical, electronic, complex hydraulic, pneumatic, and other major non-mechanical systems that have a functional relationship and effect on the operation of major mechanical systems. -- Extensive knowledge of hydraulic lifting, loading, turning, and positioning systems and their mechanical, hydraulic, pneumatic, electrical, and electronic controls. -- Knowledge of electronics, sufficient to utilize state of the art diagnostic equipment to identify and replace defective components, such as electronic control modules, line replacement units, chips, sensors, printed circuit boards, and other standard components. -- Ability to repair or overhaul major components such as diesel, multi-fuel or gasoline engines, turbine engines, automatic and manual transmissions, drive line assemblies, electrical and electronic systems and accessories, fuel injection systems, and emission control systems. -- Skill to use a wide variety of test and diagnostics equipment to perform fault isolation and conduct repair of combat, tactical, commercial, special purpose vehicles and equipment. Ability to operate and understand original equipment manufacturer state of the art computerized diagnostic equipment and embedded diagnostics. Knowledge and understanding of how measurements and tolerances impact on the mechanical, hydraulic, pneumatic, electronic, and electrical systems and the components of each system. -- Skill and knowledge to develop or improvise methods, alter parts, and make repairs in the absence of technical guidelines (such as modifying parts to fit and mesh into systems for which the parts were not designed); improvise modifications to equipment to correct recurring malfunctions; and design modifications to meet special test requirements or other special needs.",https://www.usajobs.gov:443/GetJob/ViewDetails/486569000
2018-01-16,Department of the Army,WG,"CONNECTICUT ARMY NATIONAL GUARD TECHNICIAN VACANCY ANNOUNCEMENT THIS IS A TITLE 32 DUAL STATUS POSITION DUTY LOCATION: Combined Surface Maintenance Shop (CSMS), Windsor Locks, CT JOB SUMMARY: The primary purpose of this position is to prepare and apply coating materials such as paints, varnishes, and rust proofing compounds on stationary and mobile equipment and on combat, tactical, and commercial vehicles. NATIONAL GUARD MEMBERSHIP IS REQUIRED. This is an excepted position that requires membership in a compatible military assignment in the Connecticut Army National Guard. AREA(S) OF CONSIDERATION: Area 1: All currently employed full-time permanent and indefinite personnel of the Connecticut Army National Guard.
Area 2: All currently employed full-time temporary technician personnel and all current traditional members of the Connecticut Army National Guard.",26.9400,22.9900,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-16,CT-10100209-AR-17-213,"Windsor Locks, Connecticut",2017-12-18,PAINTER,"GENERAL EXPERIENCE: Experience which demonstrates the candidate&#39;s knowledge of surface preparation (removal of rust, dirt, paint, etc); coating methods (brushing, rolling, and spraying); and coating materials (paints, varnishes, shellacs, etc). Must have the ability to use tools and equipment associated with the painting trade and to read and interpret directions. SPECIALIZED EXPERIENCE: Your resume and any other supporting documentation you wish to provide must clearly substantiate you currently possess 18 months of specialized experience in the following: Experience which demonstrates the candidate&#39;s knowledge of any surface preparation and coating methods and techniques. Experience building up, shaping, and leveling surfaces with metal and synthetic resins, plastics, and patching compounds; obtain finely smoothed surfaces with abrasive compounds, pumice, and rottenstone; even out dents and scars by burning-in processes; and treat surfaces with pre-coating agents. KNOWLEDGE, SKILLS AND ABILITIES: ?Knowledge of any accepted surface preparation and coating methods and techniques to apply coatings to stationary and mobile equipment, and to combat, tactical, and commercial vehicles. Skill in preparing the surface for paint by using compounds and abrasives to even out dents and scars. Skill to remove rust, paint, and loose particles from surfaces so that coating materials will adhere properly. Ability to prepare coating materials by tinting, toning, etching, blending, and mixing in various additives (i.e., retardants, hardeners, drying agents, and other additives). Knowledge of tools when mixing and testing paint for viscosity and thickness. Knowledge of coating materials so that surfaces are free from skips, runs, and drips, orange peels, fish eyes, and brush strokes. Skill to sand, wire brush, scrape, spackle, and putty surfaces; to brush on, roll on, and spray coating materials; and to apply other related methods and techniques. Ability to read and apply directions that relate to the mixture, use, and application of various kinds of coating materials, solvents, etc. Ability to read paint schemes, and manufacturers specific instructions and guidlines. Skill in using tools and equipment such as scrapers, wire brushes, putty knives, sand paper, paint brushes, rollers, and spray guns.",https://www.usajobs.gov:443/GetJob/ViewDetails/486904400
2017-12-27,Department of the Army,WG,"This National Guard position is for a SURFACE MAINTENANCE MECHANIC, Position Description Number D1194000 and is part of the AZ FMS 3, National Guard. NOTE: This position is subject to rotating or night shift work.
NOTE: Applicant must have 12 months documented vehicle maintenance experience. Max Promotion Potential WG-5801-10. Individual selected will receive a Permanent Appointment after successful completion of a one year trial period. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",30.2100,22.2800,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2017-12-27,AZ-10091787-AR-17-489,"Pinal County, Arizona",2017-12-04,SURFACE MAINTENANCE MECHANIC,"SPECIALIZED EXPERIENCE: WG-8: Must possess at least 12 months experience or training using common hand and power tools and a small variety of test and measurement devices to make mechanical repairs. Experience removing, adjusting, replacing, cleaning, and installing a variety of parts, components, and accessories. Experience which demonstrates a basic understanding of mechanical, electrical, and hydraulic theory applying to vehicles; and skill to replace, fit, install, and make adjustments. Experience demonstrating an understanding of the makeup and operation of the various individual systems maintained and their interrelationships. Experience reading and interpreting parts lists, manufactures&#39; repair manuals, diagrams, and electrical schematics. WG-10: Must possess at least 18 months of experience or training diagnosing, repairing, overhauling, and modifying more complex vehicles, equipment, and more complicated systems. Experience which has provided a thorough knowledge of diagnostic equipment. Experience applying independent judgment in determining methods and techniques required to solve unusually complex maintenance and repair problems. Experienced in testing, inspecting, and evaluating the work performed on vehicles, equipment and systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/485802400
2017-12-28,Department of the Army,WG,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION.
This National Guard position is for a Surface Maintenance Mechanic, Position Description Number D1194000 and is part of the the Joint Force Headquarters-State, Logistics Directorate (J-4), Surface Maintenance Facility, Army National Guard at MATES-Fort Stewart, GA. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",28.8900,24.7100,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2017-12-28,GA-10095809-AR-18-070,"Fort Stewart, Georgia",2017-12-07,SURFACE MAINTENANCE MECHANIC,"GENERAL EXPERIENCE: Experience or training which demonstrates knowledge of equipment to be able to do routine jobs, simple preventative maintenance tasks, and is able to use common tools and equipment in the line of work. SPECIALIZED EXPERIENCE: Must have 18 months specialized experience diagnosing, repairing, overhauling, and modifying more complex vehicles, equipment, and more complicated systems. Experience which has provided a thorough knowledge of diagnostic equipment. Experience applying independent judgment in determining methods and techniques required to solve unusually complex maintenance and repair problems. Experienced in testing, inspecting, and evaluating the work performed on vehicles, equipment and systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/486153800
2018-01-03,Department of the Army,WG,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a Surface Maintenance Mechanic, Position Description Number D1194000 and is part of the the Joint Force Headquarters-State, Logistics Directorate (J-4), Surface Maintenance Facility, Army National Guard at MATES-Fort Stewart, GA. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",28.8900,24.7100,Permanent,Army National Guard Units (Title 32/Title 5),Per Hour,2018-01-03,GA-10097336-AR-18-071,"Fort Stewart, Georgia",2017-12-13,SURFACE MAINTENANCE MECHANIC,"GENERAL EXPERIENCE: Must possess experience which demonstrates knowledge of equipment to be able to do routine jobs, simple preventative maintenance tasks, and is able to use common tools and equipment in the line of work. SPECIALIZED EXPERIENCE: Must have 18 months specialized experience diagnosing, repairing, overhauling, and modifying more complex vehicles, equipment, and more complicated systems. Experience which has provided a thorough knowledge of diagnostic equipment. Experience applying independent judgment in determining methods and techniques required to solve unusually complex maintenance and repair problems. Experienced in testing, inspecting, and evaluating the work performed on vehicles, equipment and systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/486570800
2018-02-14,Department of the Army,WG,"This is a Washington Army National Guard Title 32 Excepted Servic Bargaining Unit Technician position: SURFACE MAINTENANCE MECHANIC
Possible positions in the following locations:
CSMS, JBLM, WA
FMS 1, Seattle, WA
FSM 2, Ephrata, WA
FSM 3, Sedro Woolley, WA
FMS 4, Montesano, WA
FMS 5, Fairchild AFB, WA
MATES, Yakima, WA
UTES, JBLM, WA
Appointment Type: Permanent
Advertised as: ENLISTED **** This vacancy announcement is opening a standing inventory of eligible applicants. It will be used to fill immediate and future vacancies for G4-M positions. If qualified, you will have eligibility for up to the closing date of the announcement. Your name will be referred for employment consideration based on your rating and geographic availability. Initial lists of qualified candidates will be created 30 days after the opening date of 11/14/2017, further lists will be referred periodically for employment consideration based on the hiring needs of the organization. You must choose at lease one unit location to apply for. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! For information about joining the Army National Guard please call 1-800-TO-GO-GUARD NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the Washington Army National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard at the required military grade listed if the position is open Nationwide.",32.4700,21.2700,Permanent - Excepted Service,Army National Guard Units (Title 32/Title 5),Per Hour,2018-02-14,WA-10072936-AR-17-184,"Ephrata, Washington|Fairchild AFB, Washington|Joint Base Lewis-McChord, Washington|Montesano, Washington|Seattle, Washington|Sedro Woolley, Washington|Yakima, Washington",2017-11-14,SURFACE MAINTENANCE MECHANIC,"GENERAL EXPERIENCE: Experience or training which demonstrates knowledge of equipment to be able to do routine jobs, simple preventative maintenance tasks, and is able to use common tools and equipment in the line of work. SPECIALIZED EXPERIENCE: WG-08 must have 12 months experience or training using common hand and power tools and a small variety of test and measurement devices to make mechanical repairs. Experience removing, adjusting, replacing, cleaning, and installing a variety of parts, components, and accessories. Experience which demonstrates a basic understanding of mechanical, electrical, and hydraulic theory applying to vehicles; and skill to replace, fit, install, and make adjustments. Experience demonstrating an understanding of the makeup and operation of the various individual systems maintained and their interrelationships. Experience reading and interpreting parts lists, manufactures&#39; repair manuals, diagrams, and electrical schematics. WG-10 must have 18 months experience or training diagnosing, repairing, overhauling, and modifying more complex vehicles, equipment, and more complicated systems. Experience which has provided a thorough knowledge of diagnostic equipment. Experience applying independent judgment in determining methods and techniques required to solve unusually complex maintenance and repair problems. Experienced in testing, inspecting, and evaluating the work performed on vehicles, equipment and systems.",https://www.usajobs.gov:443/GetJob/ViewDetails/484469800
2017-12-27,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a SUPERVISORY AIRCRAFT PILOT, Position Description Number D0704000 and is part of the the Army National Guard (ARNG)
STARC Headquarters, Command Administrative Office (CAO), State Aviation and Safety Office. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",117028.0000,90023.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2017-12-27,GA-10094623-AR-18-069,"Dobbins AFB, Georgia",2017-12-06,SUPERVISORY AIRCRAFT PILOT,"GENERAL EXPERIENCE: An applicant must have a competent understanding of the occupation&#39;s basic principles and concepts. Applicants should have a minimum of one year on-the-job experience in the grade (or a comparable military rank) immediately below the next higher level. SPECIALIZED EXPERIENCE: Applicants must demonstrate the following specialized experience competencies (skills, knowledge, and abilities) to qualify for appointments to GS-2181-12 and GS-2181-13 Army National Guard Dual Status Officer positions. For Army National Guard positions, must have working experiences in civilian aviation programs; or, military service aviation programs (active duty or reserve components); or, in the Army National Guard Aviation Support facilities; or, in the Air National Guard Operations Groups. Qualification competencies are determined by three factors in combination: The aircraft operated; the nature and purpose of assignments; and, the degree of hazard. Experienced in piloting and instructing pilot skills in one or more of the following main-frame/military aircraft: Fixed-wing, rotary, or remotely piloted aircraft (RPA). Although a variety of piloting administrative tasks are performed in support of an Army National Guard aviation program, experiences include the abilities to train and instruct others in the piloting of a main-frame military aircraft. Experienced in mission tasking, intelligence reporting, and applying weather information. Experienced in supervising and/or filing of flight plans and conducting crew briefings. Experienced in aircraft preflight inspections, aircraft loading, equipment assessments, and mission manning. Experienced in operating aircraft controls and equipment. Experienced in performing or supervising the work procedures involved in navigation, in-flight refueling; search and rescue operations; or surveillance and reconnaissance. Ability to conduct or supervise the training of crew members in simple to complex mission specific tasks. Experienced in developing plans and policies, monitoring operations, and advising commanders. Experienced in flight theory, air navigation, meteorology, flying directives, aircraft operating procedures, and mission tactics. Must have at least two years experiences in instructing others in a specific air-frame/military aircraft. Competent to complete various piloting administrative tasks performed in support of Army National Guard aviation programs. Skilled to instruct others to pilot military aircraft on a regular and recurring basis. Experienced in the aviation unit quality control management programs; plus, skilled in the unit flying, explosive, and ground safety programs in accordance with Department of the Army, National Guard Bureau, and Occupational Safety and Health Administration directives. Experienced in following directives, regulations, accident reports, safety data, and local operating conditions to determine unit safety program requirements. Experienced in coordinating with appropriate agencies to ensure compliance with all applicable safety regulations and programs. Experienced in one or more missions such as, air-to-air; air-to-ground; mortar-to-arm escort; surveillance; reconnaissance; surface attack; killer-scout; target illumination; or laser targeting. Experienced in piloting manned or unmanned aircraft. Experiences may include the traditional ""stick and rudder"" type controls for piloting aircraft direction, altitude, and speed. Experienced in on-board aircraft instrumentation and aircraft mounted video cameras. Experienced in visual flight-rule type flying and aircraft instrument flying. Experienced in flying simulated ""real world"" combat and non-combat missions and terrain. Experienced in planning, scheduling, and conducting flights through Federal Aviation Administration controlled national airspace. Experienced in applying operational directives, training directives, instructions, standard operating procedures, and special instructions of National Guard Bureau, United States Army, and gaining commands. Experienced in working independently to plan and perform work assignments. Experienced in completing safe and efficient missions through the use of Operational Risk Management. Experienced in cancelling flying activities, diverting aircraft, dictating mission requirements, approving specific activities, coordinating for airport or airspace utilization with FAA, and/or, directing emergency actions involving unit support agencies. Experienced in using applicable Army aviation regulations, policies, requirements and standards, skills and practices; and, the applying instructional techniques to the training of other pilots in the Army National Guard flying facilities. Experienced in conducting particular combat tactics, missions, or specific main-frame aircraft; or, flying in mountainous terrain, performing tactical remote site evaluation, performing landings on remote sites, providing ground and flight training, and conducting night-vision operations and instruction. Experienced in standardization and evaluation programs, written ground examinations, emergency procedures, and aircrew performance standards in accordance with applicable directives and Federal Aviation Administration certification requirements. Experienced in reviewing and complying with applicable service flight publications and directives for accuracy and currency; and knowledgeable of weapons and tactics for applicable military aircraft. Experienced in maintaining detailed wartime and peacetime contingency plans and supplements for unit mobility, deployment, strange field operations/ employment, and redeployment.",https://www.usajobs.gov:443/GetJob/ViewDetails/486054900
