ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2018-11-09,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10068807-DHA-0802-JL,"Eglin AFB, Florida|Eglin AFB, Florida|Eglin AFB, Florida|Robins AFB, Georgia|Malmstrom AFB, Montana|Minot AFB, North Dakota|Holloman AFB, New Mexico|Wright-Patterson AFB, Ohio|Wright-Patterson AFB, Ohio|Tinker AFB, Oklahoma|Randolph AFB, Texas|Hill AFB, Utah|Warren AFB, Wyoming",2017-11-10,Engineering Technical - Direct Hire Authority,"QUALIFICATIONS TEMPLATE-GENERAL SCHEDULE ANNOUNCEMENTS:
EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying.",https://www.usajobs.gov:443/GetJob/ViewDetails/482557900
2018-11-09,Department of the Air Force,NJ,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",96958.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10075889-DHA-NJ0856-SP,"Edwards AFB, California|Eglin AFB, Florida|Eglin AFB, Florida|Eglin AFB, Florida|White Oak, Maryland|Hill AFB, Utah|Hill Air Force Range, Utah|Kadena Air Base Okinawa, Japan",2017-11-10,Electronics Technical - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483499800
2018-01-10,Department of Transportation,FV,"This position is located in the Southwest Region, Texas (TX) District Office (ADO). This positions reports to the Manager of the ADO and serves as the Assistant Manager overseeing and directing technical operations within the ADO.Business Component: Southwest Region, Airports Division, Texas ADO, ASW-650.",146298.0,94369.0,Permanent,Federal Aviation Administration,Per Year,2018-01-10,ASW-ARP-18-BM079-55632,"Fort Worth, Texas",2017-12-19,Supervisory Aviation Technical Systems Specialist (Assistant Manager),"Candidates must have One Year (52 weeks) of specialized experience equivalent to the next lower level (FV-I, FG/GS-13) that is typically in or related to the line of work of the position to be filled and which has equipped the applicant with the particular knowledge, skills, and abilities to successfully perform in this position. To be creditable, specialized experience must have been at least equivalent to the next lower level in the normal line of progression for the occupation in the organization.Specialized experience for this position may include, but is not limited to experience providing direct technical involvement in processes related to civil airport such as airport compliance, engineering, planning, environmental review of civil airport infrastructure development and/or civil airport capital financial processes.Qualifications must be met by the closing date of this vacancy announcementAs a part of the Federal-Wide Hiring Reform Initiative (streamlining the hiring process), the FAA is committed to eliminating the use of the Knowledge, Skills and Ability (KSA)/Leadership and Management Dimensions narratives from the initial application in the hiring process for all announcements. Therefore, as an applicant for this announcement, you are not required to provide a narrative response in the text box listed below each KSA/Managerial Selection Factor.In lieu of providing a KSA/Managerial Selection Factor narrative response in the text box listed below each Leadership and Management Dimension, in your work history, please include information that provides specific examples of how you meet the response level or answer you chose for each Managerial Selection Factor. Your work history examples should be specific and clearly reflect the highest level of ability. Your Managerial Selection Factor answers will be evaluated further to validate whether the level that you selected is appropriate based on the work history and experience you provided. Your answers may be adjusted by a Human Resource Specialist as appropriate.",https://www.usajobs.gov:443/GetJob/ViewDetails/486993000
2018-01-05,Department of Transportation,FV,"The selectee will serve as Manager for the Office of Airports (ARP), San Francisco Airports District Office (ADO) in the Western-Pacific Region. The ADO Manager will be responsible for a complex ADO that includes 5 large, medium/small hub airports. Responsible for over 100 federally funded airports throughout Northern California including 18 Part 139 certified airports.Business Component: Western Pacific Region, Airports Division, San Francisco Airports District Office (SFO-ADO).",187000.0,127009.0,Permanent,Federal Aviation Administration,Per Year,2018-01-05,AWP-ARP-18-BDA6372-55557,"Brisbane, California",2017-12-07,Supervisory Aviation Technical Systems Specialist ,"To qualify for this position you must demonstrate in your application that you possess at least one year of specialized experience equivalent to FV-J or FG/GS-14 in the Federal Service. Specialized experience is experience that has equipped you with the particular knowledge, skills, and abilities to perform successfully the duties of this position. Work experience may include but not limited to: Supervisory and/or program management experience in work involving the development of transportation infrastructure; evidence of establishing relationships with others outside the organization who are involved in the development of transportation infrastructure; a technical foundation in various aspect of the development of transportation infrastructures; including safety and compliance programs, construction related activities, capital improvement planning, etc; and demonstrated knowledge of the concepts of theories, principles, practices and techniques to manage, coordinate, review and provide expert technical transportation guidance and program oversight.Qualifications must be met by the closing date of this vacancy announcement.You may also be considered for this vacancy based on eligibility under the 30% or More Disabled Veteran Program, Veterans&#39; Recruitment Appointment, and Persons with Disabilities/Persons with Targeted Disabilities. To be considered for one of these special hiring authorities, you must identify your eligibility in your questionnaire in the Applicant-Preferred Conditions of Employment section. In addition, you must submit documentation that provides evidence of eligibility as indicated in the Required Documents section of this announcement",https://www.usajobs.gov:443/GetJob/ViewDetails/486088100
2018-11-09,Department of the Air Force,NJ,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",96958.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10075854-DHA-NJ0809-SP,"Eglin AFB, Florida|Eglin AFB, Florida|Eglin AFB, Florida",2017-11-10,Construction Control Technical - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483495400
2018-11-09,Department of the Air Force,NJ,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",96958.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10075915-DHA-NJ0895-SP,"Davis Monthan AFB, Arizona|Davis Monthan AFB, Arizona|Edwards AFB, California|Robins AFB, Georgia|Tinker AFB, Oklahoma|Randolph AFB, Texas|Hill AFB, Utah|Hill Air Force Range, Utah|Kadena Air Base Okinawa, Japan",2017-11-10,Industrial Engineering Technical - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483503900
2018-01-05,Legislative Branch,GS,"This position is located in the Technical Services Section of Prints &amp; Photographs Division, which acquires, organizes, describes, preserves, and makes available for research use a wide variety of original and historical visual materials in both physical and digital formats. The incumbent works alone or with a team to prepare collections for service. This processing work involves archival arrangement, bibliographic description, inventory control, and collections management tasks such as recognizing different visual formats, sorting and labeling, foldering and boxing, performing digital reformatting and quality review, and entering pertinent information into inventory databases and library catalogs according to standard procedures. The collections contain more than 14 million items in hundreds of collections stored in local and remote sites. They encompass the full range of subject and geographical specialties collected by the Library and are often in fragile physical condition with attendant concerns for security, preservation, and safe handling.This position is located in the Technical Services Section, Prints and Photographs Division, Collections and Services Directorate, Library Services.The position description number for this position is 128788.The salary range indicated reflects the locality pay adjustments for the Washington, D.C., Metropolitan area.The incumbent of this position will work a flextime work schedule.This is a non-supervisory, bargaining unit position.Relocation expenses will not be authorized for the person(s) selected under this vacancy announcement.",52579.0,40442.0,Permanent,Library of Congress,Per Year,2018-01-05,VAR000244,"Washington DC, District of Columbia",2017-12-13,Library Technician (Technical Services Technician),"Applicants must have had progressively responsible experience and training sufficient in scope and quality to furnish them with an acceptable level of the following knowledge, skills, and abilities to perform the duties of the position without more than normal supervision.Ability to use computerized input and search tools. **Knowledge of library processes and procedures. **Knowledge of visual materials in library collections. **Ability to plan work and meet deadlines.Ability to communicate and interact with others.Ability to communicate effectively other than in writing.",https://www.usajobs.gov:443/GetJob/ViewDetails/486532400
2018-11-09,Department of the Air Force,GS,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Personnel Center,Per Year,2018-11-09,AFMC-10068239-DHA-GS1083-ML,"Gunter AFB, Alabama|Maxwell AFB, Alabama|Peterson AFB, Colorado|Robins AFB, Georgia|Hill AFB, Utah|Hill Air Force Range, Utah",2017-11-10,Technical Writing & Editing - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying.",https://www.usajobs.gov:443/GetJob/ViewDetails/482477800
2018-11-09,Department of the Air Force,NH,"The mission of the United States Air Force is to fly, fight and win...in air, space and cyberspace. To achieve that mission, the Air Force has a vision of Global Vigilance, Reach and Power. That vision orbits around three core competencies: Developing Airmen, Technology-to-Warfighting and Integrating Operations. Core competencies and distinctive capabilities are based on a shared commitment to three core values -- integrity first, service before self, and excellence in all we do. This is a Public Notice for positions being filled under the Direct Hiring Authority (DHA) for Domestic Defense Industrial Base Facilities and Major Range and Test Facilities Base, NDAA 1125 (a) and (c). Positions may be filled as permanent, temporary or term with a full-time or part-time work schedule. Pay will vary by grade level and geographic location. Under this recruitment procedure applications will be accepted for each location/ installation identified in this Public Notice and selections are made for vacancies as they occur. There may or may not be actual/projected vacancies at the time you submit your application. Please read this Public Notice in its entirety prior to submitting your application for consideration. You are applying to a resume database, your resume and any documents submitted will be retained for six months and may be used at any time during this period. When a position is requested to be filled under the Direct Hire Authority, a list of applicants may be provided to management for review and possible selection. You will not receive any notifications and your resume will not be reviewed for qualifications until a position is requested to be filled. This Public Notice may be used to fill positions in other equivalent pay systems. This public notice may be used to fill one or more vacancies at any time without notification. Duties and responsibilities vary and may increase according to the grade level. This public notice may also be used to fill target grades (e.g. WG-08 Target WG-10).",134776.0000,18526.0000,Multiple Appointment Types,Air Force Materiel Command,Per Year,2018-11-09,AFMC-10077982-DHA-NH1083-ML,"Peterson AFB, Colorado",2017-11-10,Technical Writer and Editor - Direct Hire Authority,"EXPERIENCE: Applicants will be rated in accordance with the OPM Qualification Standards; for additional information refer to the General Schedule (GS) qualifications link above. Position requirements vary dependent upon the specific series and grade, you must meet any minimum experience or training requirements per OPM qualifications standards and show through experience and/or training that you possess the quality level of knowledge, skill and ability necessary to perform the duties of the position at the level for which applying. PART-TIME OR UNPAID EXPERIENCE: Credit will be given for appropriate unpaid and or part-time work. You must clearly identify the duties and responsibilities in each position held and the total number of hours per week. VOLUNTEER WORK EXPERIENCE: Refers to paid and unpaid experience, including volunteer work done through National Service Programs (i.e., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student and social). Volunteer work helps build critical competencies, knowledge and skills that can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/483822100
2017-12-29,Department of Energy,NQ,"Special Note: This vacancy is also being advertised through Merit Promotion under announcement number 18-0048-GOV which you must apply for separately if you also wish to be considered under Merit Promotion procedures. The successful candidate in this position will serve as an Information Security Specialist in the JAIEG, and organization overseen jointly by NNSA&#8217;s Deputy Administrator for Defense Programs (NA-10) and DOD&#8217;s Assistant Secretary of Defense for Nuclear, Chemical, and Biological Defense Programs (ASD/NCB), responsible for the lawful transfer of United States (U.S.) atomic information (Restricted Data (RD)/Formerly Restricted Data (FRD)), to foreign governments and/or regional defense organizations. Overall responsibilities are to apply knowledge of applicable statutes for the protection, control, and accountability of classified information as well to make determinations as the substantive content of scientific and technical materials related to nuclear weapons programs and atomic physics.Conditions of Employment:-Must pass a pre-employment drug test.-Favorable suitability determination. -Must be able to obtain/maintain a Q Security Clearance. Other Requirements:-Subject to Random Drug Test.-Financial disclosure may be required.-One year probationary period may be required.",145629.0,94796.0,Permanent,National Nuclear Security Administration,Per Year,2017-12-29,18-0048-DEU,"Washington DC, District of Columbia",2017-12-19,Information Security Specialist (Senior Technical Reviewer),"SPECIALIZED EXPERIENCE REQUIREMENTS NQ-03:A qualified candidate's online application and resume must demonstrate at least one year of specialized experience equivalent to the next lower NNSA pay band or GS grade level in the Federal service i.e., NQ-02 or GS-12. Specialized experience for this position is defined as: conducting classified document reviews, issuing derivative classification and independent technical determinations, controlling classified nuclear weapons data, and in administering U.S. policy involving international cooperation for nuclear defense-related activities. This could include experience such as:Developing written technical security policy, standards and criteria;Directing highly technical information exchange with foreign governments or regional defense organizations;Interpreting and applying legal statutes relating to the classification, protection, accountability and transmission of atomic information.ADDITIONAL QUALIFICATIONS REQUIREMENTSYour application and resume should demonstrate that you possess the following knowledge, skills and abilities (KSAs). Do not provide a separate narrative written statement. Rather, you must describe in your application how your past work experience demonstrates that you possess the KSAs identified below. Cite specific examples of employment or experience contained in your resume and describe how this experience has prepared you to successfully perform the duties of this position. DO NOT write ""see resume"" in your application!Knowledge and skill in application of advanced principles, concepts, theories, legal requirements and practices of technical management of information security.Knowledge of the US nuclear weapons program organization, objectives, activities and key events and relationships with other organizations, technical knowledge or nuclear weapon design, and knowledge of Federal regulations and DOE policy and directives that affect security policy and programs.Ability to plan, organize, and present oral briefings on various issues to various government agencies, and the ability to develop written technical security policy, standards and criteria.Knowledge of laws, regulations and policies governing international defense cooperation.""Experience"" refers to paid and unpaid experience. Examples of qualifying unpaid experience may include: volunteer work done through National Service programs (such as Peace Corps and AmeriCorps); as well as work for other community-based philanthropic and social organizations. Volunteer work helps build critical competencies, knowledge, and skills; and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.You must meet all qualifications and eligibility requirements by the closing date of this announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/487084400
