ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-29,Department of Transportation,GS,"The Surface Transportation Board (STB) is a small independent agency with broad regulatory authority over railroads and more limited regulatory responsibilities over certain water carriers, non-energy pipelines, trucking companies and intercity bus companies. STB receives its statutory authority from the STB Reauthorization Act of 2015. The job is for Attorney-Adviser in the STB&#39;s Office of Proceedings. It is expected that multiple selections will be made from this announcement. This job announcement will close at 11:59 pm Eastern Time on the closing date listed above.",161900.0000,66510.0000,Permanent,Surface Transportation Board,Per Year,2017-12-29,STB-OP-2017-001,"Washington DC, District of Columbia",2017-12-11,Attorney-Adviser (Transportation),"Specialized experience for this position is demonstrated experience analyzing and presenting interpretations of statutes, regulations, decisional law, and opinions, and presenting legal or policy issues for decision. The candidate should have excellent research and writing skills, incisive legal analytical ability, strong oral advocacy and presentation skills, and good judgment and interpersonal skills. The ideal candidate would have significant legal experience and extensive knowledge of the laws or experience in transportation. To be eligible for the GS-11, candidates must have successfully completed a full course of study in a school of law accredited by the American Bar Association (ABA) and have the first professional law degree (LLB or JD). In addition, candidates must have at least one year of professional legal experience equivalent to the GS-09. To be eligible for the GS-12, candidates must have successfully completed a full course of study in a school of law accredited by the American Bar Association (ABA) and have the first professional law degree (LLB or JD). In addition, candidates must have one year of professional legal experience equivalent to the GS-11. To be eligible for the GS-13, candidates must have successfully completed a full course of study in a school of law accredited by the American Bar Association (ABA) and have the first professional law degree (LLB or JD). In addition, candidates must have two years of professional legal experience or one year of experience equivalent to the GS-12. To be eligible for the GS-14, candidates must have successfully completed a full course of study in a school of law accredited by the American Bar Association (ABA) and have the first professional law degree (LLB or JD). In addition, candidates must have three years of professional legal experience or one year of experience equivalent to the GS-13. To be eligible for the GS-15, candidates must have successfully completed a full course of study in a school of law accredited by the American Bar Association (ABA) and have the first professional law degree (LLB or JD). In addition, candidates must have four years of professional legal experience or one year of experience equivalent to the GS-14. DESIRED EXPERIENCE: Applicants who have a background in transportation (particularly rail transportation), economics, administrative law, or experience in rendering legal services and furnishing legal advice/counsel on difficult and complex legal and policy issues are strongly preferred. This experience must be included in your resume. Proof of bar membership will be required before entering on duty.",https://www.usajobs.gov:443/GetJob/ViewDetails/486354100
2018-01-01,Department of Transportation,GS,"PLEASE NOTE: THIS VACANCY IS LIMITED TO THE FIRST 100 APPLICATIONS RECEIVED AND WILL CLOSE AT MIDNIGHT ON THE CLOSING DATE OR AT MIDNIGHT ON THE DAY WE RECEIVE THE 100TH APPLICATION, WHICHEVER COMES FIRST.This position is in the Travel Monitoring and Surveys Division, Office of Highway Policy Information. The Division is responsible for the collection, interpretation, evaluation, analysis, publication, and dissemination of data and information concerning travel and traffic characteristics.You will serve as FHWA&#8217;s technical expert in both collecting and analyzing national vehicle travel and personal travel data and deciphering travel patterns and trends geospatially and temporarily in order to meet policy development and implementation needs. You will also be responsible for multivariant statistical analysis and modeling covering travel demand, travel need, passenger and freight origin destination, highway network, congestion, level of service, travel behavior data, vehicle, fuel consumption, licensed driver data, and safety data. The ideal candidate for this position is a senior level Transportation Specialist who is experienced in both traffic and travel behavior data collection and processing and is proficient and familiar with data analysis software such as the Statistical Analysis System (SAS), Tableau, TransCAD, EXCEL, and other business intelligent software.PLEASE NOTE: This vacancy may be used to fill similar positions within 60 days for these locations.",145629.0,94796.0,Permanent,Federal Highway Administration,Per Year,2018-01-01,FHWA.HPL-2018-0002,"Washington DC, District of Columbia",2017-12-22,Transportation Specialist - GS - 2101 -  13/14 (Open to U.S. Citizens),"To meet the minimum qualifications for this position, you must meet either the specialized experience qualifications for the grade at which you are requesting consideration.To qualify for the GS-13, you must have at least one year of specialized experience equal or equivalent to the following: Experience in conducting independent highway transportation data relationship and effects evaluation and analysis using business intelligent (BI) software.To qualify for the GS-14 (in addition to the GS-13), you must have at least one year of specialized experience equal or equivalent to the following: Experience in both vehicle and personal travel data collection and processing methods and approaches. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.For additional information about applying to Federal positions, please click on the following link: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-policies/#url=e4Applicants must meet all qualification requirements by the closing date of this announcement",https://www.usajobs.gov:443/GetJob/ViewDetails/487436400
2018-01-02,Department of Transportation,GS,"This position is located in the Region V (Chicago) Office and may report to either the Director of the Office of Financial Management and Program Oversight, Director of the Office of Program Management and Project Oversight or of the Office of Planning and Program Development.You will serve as a Transportation Program Specialist in the Region 5 Office of the Federal Transit Administration (FTA). The Regional Office is responsible for administering regional activities relating to the planning, development and management of projects as well as oversight and program management activities related to these projects. The transit programs of Region 5 are characterized by the highest degree of complexity and sensitivity due to the number of persons served, the type and number of ongoing projects, the involvement of large sums of money, the coordination of different transit needs, the involvement of multiple governmental jurisdictions and the level of particularly complex, novel and politically sensitive issues. Geographic areas of responsibilities include the States of Illinois, Indiana, Michigan, Minnesota, Ohio and Wisconsin.The ideal candidate has practical knowledge and experience developing and managing program areas and individual projects concerning public and multimodal transportation systems and services. The candidate must have demonstrated leadership in team environments, excellent written and oral communication skills, and the ability to satisfactorily resolve challenging issues with competing priorities. They should have experience in documenting and tracking activities associated with safety programs, preparing briefing materials and presentations and conducting briefings for senior leaders.This vacancy may be used to fill similar positions within 60 days for these locations.",103435.0,54864.0,Permanent,Federal Transit Administration,Per Year,2018-01-02,FTA.R5-2018-0006,"Chicago, Illinois",2017-12-22,Transportation Program Specialist - GS -  2101 - 09/11/12 (Open to All U.S. Citizens),"To meet the minimum qualifications for this position, you must meet either the education or experience qualifications for the grade at which you are requesting consideration.For the GS-9,To qualify for a GS-9, based on experience, you must have at least one full year of specialized experience equivalent to the work performed at the next lower grade level for this occupation. The specialized experience must include experience which has equipped the applicant with:Experience with word processing, spreadsheets and data base managementExperience assisting with the grant administration and program oversight process. To qualify for a GS-9, based on education, the education must demonstrate the knowledge, skills, and abilities necessary to do the work.You must have completed master's or equivalent graduate degree or 2 full years of progressively higher level graduate education directly related to the work in accounting, business administration, business or commercial law, commerce, economics, engineering, finance, industrial management, statistics, traffic management, transportation, motor mechanics, or other fields related to the position.You can also qualify based on a combination of specialized experience and graduate level education that will give you the equivalent level of knowledge and expertise. This must be fully supported by your resume and transcripts, provided with your application.For the GS-11,To qualify for a GS-11, based on experience, you must have at least one full year of specialized experience equivalent to the work performed at the next lower grade level for this occupation. The specialized experience must include experience which has equipped the applicant with:Experience with the grant administration and program oversight process.Experience using budgeting, accounting and financing principles. To qualify for a GS-11, based on education, the education must demonstrate the knowledge, skills, and abilities necessary to do the work. For this position, you must have 3 years of progressively higher level graduate education leading to a Ph.D. degree or Ph.D. or equivalent doctoral degree directly related to the work in accounting, business administration, business or commercial law, commerce, economics, engineering, finance, industrial management, statistics, traffic management, transportation, motor mechanics, or other fields related to the position. You can also qualify based on a combination of specialized experience and graduate level education that will give you the equivalent level of knowledge and expertise. This must be fully supported by your resume and transcripts, provided with your application. For the GS-12,To qualify for a GS-12, based on experience, you must have at least one full year of specialized experience equivalent to the work performed at the next lower grade level for this occupation. The specialized experience must include experience which has equipped the applicant with:Experience with the grant administration and program oversight process.Experience using budgeting, accounting and financing principles.Experience with public transportation industry and its functions. You cannot substitute education for experience at the GS-12 grade level.Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.Applications can be accepted from students who expect to complete qualifying education within 60 days from the date of application. For additional information: https://www.opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-policies/#url=e4Applicants must meet all qualification requirements by the closing date of this announcement.",https://www.usajobs.gov:443/GetJob/ViewDetails/487294000
2018-01-03,Department of the Army,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. This National Guard position is for a TRANSPORTATION ASSISTANT, Position Description Number D0899000 and is part of the MI USPFO, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",52893.0000,40684.0000,Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-03,MI-10099569-AR-18-62,"Lansing, Michigan",2017-12-19,TRANSPORTATION ASSISTANT,"Verbiage displayed on your resume or application must contain your own words. You may refer to position descriptions, i.e. the general and specialized experience located within the vacancy announcement, to assist with describing work experiences; however, resumes or applications received in verbatim will not be considered. In your resume you will need to address the general and specialized experience listed below. Please use as much detail as needed, giving dates (months and years) of the experience, position title and how the experience was gained. This information is needed to determine if you are qualified for the position. GENERAL EXPERIENCE: Your Resume must list some experience in each of these areas: Experience, education, or training interpreting, explaining, and/or applying basic rules, regulations, policies, and procedures of a transportation program. Experience using computer and automation systems. SPECIALIZED EXPERIENCE: Your Resume must show at least [ 12 ] months in each of the following areas: Must have at least 12 months experience, education, or training obtaining and interpreting information. Experience applying directives and regulations governing transportation of personnel, cargo or freight. Experience verifying legal entitlements or official authorizations for travel, securing from carriers guides and timetables, information regarding schedules, fares, and availability of space accommodations.",https://www.usajobs.gov:443/GetJob/ViewDetails/486814400
2017-12-26,Department of Homeland Security,SV,"Securing Travel, Protecting People - At the Transportation Security Administration, you will serve in a high-stakes environment to safeguard the American way of life. In cities across the country, you would secure airports, seaports, railroads, highways, and/or public transit systems, thus protecting America's transportation infrastructure and ensuring freedom of movement for people and commerce. For additional information about our agency please: Click HereAny offers of employment made pursuant to this announcement will be consistent with all applicable authorities, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.",89068.0,57481.0,Permanent,Transportation Security Administration,Per Year,2017-12-26,GPT-17-394224,"Gulfport, Mississippi",2017-12-18,Transportation Security Specialist - Explosives,"Specialized Experience Requirement: For the SV-H Band: Applicants must possess at least one year of specialized experience (equivalent in difficulty and complexity to the SV-G Pay Band or GS-11 in the Federal service or equivalent experience in the private sector) that includes performing duties such as:Assisting with bomb program management responsibilities such as participating as a team member on a bomb squad to include ensuring program requirements were followed, making recommendations on procedures or helping implement processes under the direction of a program manager.Responding to alarms involving possible explosives, IED components, or actual IEDs. Assessing the interrelationship between initiators, power supplies, switches, and chemicals to determine if the device is an improvised explosive, commercial explosive, or homemade explosive.Basic Qualification Requirement: You must be a graduate from an accredited IED/bomb disposal course coupled with field experience as a military or civilian EOD technician or Hazardous Devices Technician. The accredited bomb disposal schools are Naval School Explosive Ordnance Disposal (the joint service military EOD school) or the Hazardous Devices School (civilian). Graduation certificate must be attached to the application or certification in electronic applications with class number and date along with all assignments to squad and military EOD units.Quality Ranking Factor: Specialized experience acquired within the last five years immediately preceding application has been identified as a Quality Ranking Factor for this position. This means that applicants who have specialized experience within the last five years will receive additional credit for this experience as part of the candidate evaluation process.National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.Note: Credit for experience is given based on a 40-hour workweek. Part-time experience is credited on a part-time ratio, i.e., working 20 hours per week for two months equals one month of experience. No additional credit is given for overtime.",https://www.usajobs.gov:443/GetJob/ViewDetails/486893800
2018-01-02,Department of Veterans Affairs,GS,"OUR MISSION: To fulfill President Lincoln&#146;s promise &#150; &#147;To care for him who shall have borne the battle, and for his widow, and his orphan&#148; &#150; by serving and honoring the men and women who are America&#146;s Veterans. How would you like to become a part of a team providing compassionate care to Veterans?
As a VA professional, your opportunities are endless. With many openings in the multiple functions of VA, you will have a wide range of opportunities and leadership positions at your fingertips. Not only is it the largest, most technologically advanced integrated health care system in the Nation, but we also provide many other services to Veterans through the Benefits Administration and National Cemeteries. VA professionals feel good about their careers and their ability to balance work and home life. VA offers generous paid time off and a variety of predictable and flexible scheduling opportunities. For more information on the Department of Veterans Affairs, go to http://www.vacareers.va.gov/
Special Employment Consideration: VA encourages persons with disabilities to apply, including those eligible for hiring under 5 CFR 213.3102(u), Schedule A, Appointment of persons with disabilities (i.e., intellectual diabilities, severe physical disabilities, or psychiatric disabilities), and/or Disabled veterans with a compensable service-connected disability of 30% or more.",40706.0,31315.0,Agency Employees Only,"Veterans Affairs, Veterans Health Administration",Per Year,2018-01-02,NC-671-18-2027210-MM,"Kerrville, Texas",2017-12-14,Transportation Assistant,"To qualify for this position, applicants must meet all requirements by the closing date of this announcement: Tuesday, January 02, 2018 GS-5 Level: Applicant must have one or more years of specialized experience related to this position. This experience must have been equivalent to at least the GS-4 grade. Specialized Experience Requirement:You must have at least 1 year of Specialized Experience at the GS-4 grade level, or equivalent level, performing astransfer coordinator; beneficiary travel clerk and patient fund clerk functions; preparing transfer arrangements of patients with other VA facilities and private hospitals in the area that are able to provide necessary services to patients which are not available at this medical center; preparing reimbursement authorizations for several beneficiary categories; receiving authorization for cash or check releases, obligates documents assigning appropriate symbolic codes for Fiscal Services; establishing veteran&#146;s eligibility for health care (including income assessments) from the VA; identifying the appropriate specialty to accept the patient and coordinate communications between VA physician and physician in other VA facilities, federal, state or private health care facilities; providing administrative support to the professional staff in health care delivery in a diversified ambulatory care setting, utilizing working knowledge of all medical center programs and services.OR Substitute Education for Experience: Applicants may substitute education for the required experience (transcripts required). Four years of undergraduate-level education is qualifying for the GS-5 level. The education must have been obtained in an accredited business or technical school, junior college, college or university for which high school graduation or the equivalent is the normal prerequisite. OR Combination of Education and Experience: Applicants may also combine education and experience to qualify at the GS-5. To calculate, first identify the percentage of required education you have earned (when substituting, you cannot use the first 60 semester hours that your earned). Then identify the percentage of required experience you possess. Add the two percentages. The total percentage must equal at least 100 percent to qualify at the GS-05 level. For example, an applicant who has 9 semester hours of graduate level education (i.e. 50% of graduate education required) and 6 months of creditable specialized experience (i.e. 50% of the required experience) would equal 100% of the required experience for this position. A transcript must be submitted with your application if you are basing all or part of your qualifications on education. Physical Requirements: The work is mostly sedentary with some walking, standing, and bending.
You will be rated on the following Knowledge, Skills, Abilities and Other characteristics (KSAOs) based on your application for this position. &#183; Knowledge of eligibility requirements for transportation at government expense to beneficiaries and their attendants for the purpose of examination, treatment or care. &#183; Knowledge of travel rules and regulations in M-1, Chapter 25, Beneficiary Travel, Code of Federal Regulations, Chapter 17 and MP-1, Part 2 regarding legal entitlement to travel reimbursement and ability to interpret and apply guidelines set forth in policies and directives. &#183; Knowledge of medical terminology and internal organization and content of Computerized Patient Record System(CPRS, Vista and Microsoft Internet Explorer) to retrieve information necessary to determine patient's medical and legal eligibility for travel and mileage calculations from internet. &#183; Ability to independently prioritized tasks, multi-task assignments and respond to inquiries and demands in a courteous and professional manner. If you are referred for consideration, you may be asked to submit additional job related information, which may include, but not limited to; responses to the knowledge, skills and abilities; completion of a work sample, and/or contact for an interview.
IN DESCRIBING YOUR EXPERIENCE, PLEASE BE CLEAR AND SPECIFIC. WE WILL NOT MAKE ASSUMPTIONS REGARDING YOUR EXPERIENCE. If your resume/application does not support your questionnaire answers, we will not allow credit for your response(s).",https://www.usajobs.gov:443/GetJob/ViewDetails/486685900
2017-12-29,Department of Homeland Security,SV,"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Salary Information: The salary range listed above includes locality pay of 15.06%. The current starting hourly rate for this position is $15.37.Hiring: TSA may apply a gender-specific (male or female) hiring preference to fill TSO positions in order to meet security mission and same gender pat-down job-related requirements. At airport locations where it is necessary to apply the hiring preference, candidates of the needed gender will be provided preference in the scheduling of the computer based aptitude test, airport assessments, processing and selection.DHS components work collectively to prevent terrorism, secure borders, enforce and administer immigration laws, safeguard cyberspace and ensure resilience to disasters.Securing Travel, Protecting People-At the TSA, you will serve in a high-stakes environment to safeguard the American way of life. Across the nation, you will be on the front line of the DHS&#8217;s TSA team as they secure airports, seaports, railroads, highways, and public transit systems, thus protecting our transportation infrastructure and ensuring freedom of movement for people and commerce. Realistic Job Preview: The Realistic Job Preview gives you an honest, objective and vivid portrait of what it means to work as a Transportation Security Officer (TSO) and provides employee testimonies about both the good and the challenging aspects of being a TSO. To view the video, please Click Here.",21.96,15.37,Permanent,Transportation Security Administration,Per Hour,2017-12-29,FAR-F09-P001,"Fargo, North Dakota",2017-12-01,Transportation Security Officer (TSO),"Applicants must meet these qualifications in order to be further evaluated in the TSO hiring process:Have a high school diploma, General Educational Development (GED), High School Equivalency Test (HiSET), or Test Assessing Secondary Completion (TASC) credential OR at least one year of full-time work experience in the security industry, aviation screening, or as an X-ray technicianBe proficient in the English language (i.e., able to read, write, speak, and comprehend)National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/390086900
2018-01-30,Department of Homeland Security,SV,"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Salary Information: The salary range listed above includes locality pay of 24.65%. The current starting hourly rate for this position is $16.65.Hiring: TSA may apply a gender-specific (male or female) hiring preference to fill TSO positions in order to meet security mission and same gender pat-down job-related requirements. At airport locations where it is necessary to apply the hiring preference, candidates of the needed gender will be provided preference in the scheduling of the computer based aptitude test, airport assessments, processing and selection. DHS components work collectively to prevent terrorism, secure borders, enforce and administer immigration laws, safeguard cyberspace and ensure resilience to disasters.Securing Travel, Protecting People-At the TSA, you will serve in a high-stakes environment to safeguard the American way of life. Across the nation, you will be on the front line of the DHS&#8217;s TSA team as they secure airports, seaports, railroads, highways, and public transit systems, thus protecting our transportation infrastructure and ensuring freedom of movement for people and commerce. Realistic Job Preview: The Realistic Job Preview gives you an honest, objective and vivid portrait of what it means to work as a Transportation Security Officer (TSO) and provides employee testimonies about both the good and the challenging aspects of being a TSO. To view the video, please Click Here.",23.79,16.65,Permanent,Transportation Security Administration,Per Hour,2018-01-30,DEN-F09-P001,"Denver, Colorado",2017-09-01,Transportation Security Officer (TSO),"Applicants must meet these qualifications in order to be further evaluated in the TSO hiring process:Have a high school diploma, General Educational Development (GED), High School Equivalency Test (HiSET), or Test Assessing Secondary Completion (TASC) credential OR at least one year of full-time work experience in the security industry, aviation screening, or as an X-ray technicianBe proficient in the English language (i.e., able to read, write, speak, and comprehend)National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/404038500
2017-12-29,Department of Homeland Security,SV,"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Salary Information: The salary range listed above includes locality pay of 15.06% and a retention incentive of 25% of basic pay that is unique to this duty location. In order to recruit and retain highly qualified employees at this location, TSA has approved the payment of a bi-weekly retention incentive. The current starting hourly rate for this position is $19.21. The continuation of the incentive portion of this hourly rate is contingent upon annual approval and funding. Hiring: TSA may apply a gender-specific (male or female) hiring preference to fill TSO positions in order to meet security mission and same gender pat-down job-related requirements. At airport locations where it is necessary to apply the hiring preference, candidates of the needed gender will be provided preference in the scheduling of the computer based aptitude test, airport assessments, processing and selection.DHS components work collectively to prevent terrorism, secure borders, enforce and administer immigration laws, safeguard cyberspace and ensure resilience to disasters.Securing Travel, Protecting People-At the TSA, you will serve in a high-stakes environment to safeguard the American way of life. Across the nation, you will be on the front line of the DHS&#8217;s TSA team as they secure airports, seaports, railroads, highways, and public transit systems, thus protecting our transportation infrastructure and ensuring freedom of movement for people and commerce. Realistic Job Preview: The Realistic Job Preview gives you an honest, objective and vivid portrait of what it means to work as a Transportation Security Officer (TSO) and provides employee testimonies about both the good and the challenging aspects of being a TSO. To view the video, please Click Here.",25.8,19.21,Permanent,Transportation Security Administration,Per Hour,2017-12-29,GFK-F09-P001,"Grand Forks, North Dakota",2017-12-01,Transportation Security Officer (TSO),"Applicants must meet these qualifications in order to be further evaluated in the TSO hiring process:Have a high school diploma, General Educational Development (GED), High School Equivalency Test (HiSET), or Test Assessing Secondary Completion (TASC) credential OR at least one year of full-time work experience in the security industry, aviation screening, or as an X-ray technicianBe proficient in the English language (i.e., able to read, write, speak, and comprehend)National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/410234900
2018-01-31,Department of Homeland Security,SV,"Any offers of employment made pursuant to this announcement will be consistent with all applicable authorities concerning, including Presidential Memoranda, Executive Orders, interpretive U.S. Office of Management and Budget (OMB) and U.S. Office of Personnel Management (OPM) guidance, and Office of Management and Budget plans and policies concerning hiring. These authorities are subject to change.Salary Information: The salary range listed above includes locality pay of 15.06%. The current starting hourly rate for this position is $15.37.Hiring: TSA may apply a gender-specific (male or female) hiring preference to fill TSO positions in order to meet security mission and same gender pat-down job-related requirements. At airport locations where it is necessary to apply the hiring preference, candidates of the needed gender will be provided preference in the scheduling of the computer based aptitude test, airport assessments, processing and selection. DHS components work collectively to prevent terrorism, secure borders, enforce and administer immigration laws, safeguard cyberspace and ensure resilience to disasters.Securing Travel, Protecting People-At the TSA, you will serve in a high-stakes environment to safeguard the American way of life. Across the nation, you will be on the front line of the DHS&#8217;s TSA team as they secure airports, seaports, railroads, highways, and public transit systems, thus protecting our transportation infrastructure and ensuring freedom of movement for people and commerce. Realistic Job Preview: The Realistic Job Preview gives you an honest, objective and vivid portrait of what it means to work as a Transportation Security Officer (TSO) and provides employee testimonies about both the good and the challenging aspects of being a TSO. To view the video, please Click Here.",21.96,15.37,Permanent,Transportation Security Administration,Per Hour,2018-01-31,SLC-F09-P001,"Salt Lake City, Utah",2017-09-05,Transportation Security Officer (TSO),"Applicants must meet these qualifications in order to be further evaluated in the TSO hiring process:Have a high school diploma, General Educational Development (GED), High School Equivalency Test (HiSET), or Test Assessing Secondary Completion (TASC) credential OR at least one year of full-time work experience in the security industry, aviation screening, or as an X-ray technicianBe proficient in the English language (i.e., able to read, write, speak, and comprehend)National Service Experience (i.e., volunteer experience): Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.",https://www.usajobs.gov:443/GetJob/ViewDetails/430942500
