ApplicationCloseDate,DepartmentName,JobGrade,JobSummary,MaxPay,MinPay,OfferingType,OrganizationName,PayType,PositionEndDate,PositionID,PositionLocation,PositionStartDate,PositionTitle,QualificationSummary,URI
2017-12-27,Department of the Army,WG,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position: The Watervliet Arsenal is an Army-owned and -operated manufacturing center located in New York. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today it is relied upon by U.S. and foreign militaries to produce the most advanced, high-powered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the DoD that has a weapons research facility (Ben&#233;t Laboratories) collocated with a manufacturing facility (Arsenal). This position will be assigned to the second shift. Shift assignments are subject to change per the needs of management. Who May Apply: US Citizens",21.4200,18.3700,Permanent,Army Tank-Automotive and Armament Command (TACOM),Per Hour,2017-12-27,NEAJ174915626122D,"Watervliet, New York",2017-12-18,Crane Operator,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision.To meet the basic eligibility, you must receive at least two points on the screen-out element indicated above and must have an average of two points on all the job elements listed below. Your application will be further evaluated to determine if you meet the best qualified cut-off for referral to the selecting official. Minimum Qualifications (Screen Out Element): Your resume must reflect experience which shows your ability to do the work of a Crane Operator~ without more than normal supervision to include: (1) operate small jib cranes, pendant operated bridge cranes, and/or low bay cab operated cranes; (2) select and install weight handling gear such as cables, ropes, slings, and chains used to lift, move, and position a variety equipment, machinery, and/or items; and (3) use of hand signals to guide others in the movement of loads/equipment. - Failure to meet this Screen out Element will result in an ineligible rating. You will be evaluated on the basis of your level of competency in the following areas: Ability To Do The Work Of The Position Without More Than Normal Supervision (Screen-out Element)Ability to Drive Safely (Motor Vehicles) and Ability to Operate Safely (Non-Motor Vehicle)Ability To Interpret Instructions, Specifications, etc. (related to mobile equipment operation)Operation of Motor VehiclesReliability And DependabilityWork Practices (includes keeping things neat, clean, and in order) PHYSICAL EFFORT: Reaches, bends, pushes, pulls and depresses the various hand and foot controls requiring continuous reaching, bending and moving of hands, arms, feet and legs. Works in a standing position and must keep their balance during starting and stopping motions of the crane. Frequently lifts and carries objects weighing up to 44 lbs. Mechanical lifting devices/other employees are available to assist with lifts of 45 lbs and over. Lifts items such as cables, chains, and dollies. WORKING CONDITIONS: Works indoors in a partially enclosed crane cab or outdoors in all types of weather. Ventilation is adequate; but heat may be uncomfortable while working indoors and near the ceiling. Is exposed to the possibility of cuts, burns, bruises and broken bones from falls while climbing to and from the control cab or while climbing and attaching rigging to the load; and handling wire and fiber ropes; serious injury from swinging loads, breaking slings and falling objects. Possibility of falling from heights of 30 feet or more. Incumbent is exposed to possible unpleasant noise, dust, dirt or fumes from the work area. Various protective devices such as hard hats, safety shoes, and gloves are used to minimize these conditions.",https://www.usajobs.gov:443/GetJob/ViewDetails/486774100
2017-12-27,Department of the Army,WG,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position: The Watervliet Arsenal is an Army-owned and -operated manufacturing center located in New York. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today it is relied upon by U.S. and foreign militaries to produce the most advanced, high powered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the DoD that has a weapons research facility(Ben&eacute;t Laboratories) collocated with a manufacturing facility (Arsenal). This is a TERM appointment that may be extended for a total of 6 years. Contingent to specific conditions, there may be an opportunity to be noncompetitively converted to a permanent career-conditional or career appointment. TERM employees are eligible for many of the same benefits as permanent employees including: paid holidays, annual and sick leave, health, dental, vision and life insurance, and participation in the Federal Employees Retirement System (FERS) retirement plan, which includes the Thrift Savings Plan, a 401k style investment plan with up to 5% employer matching. Who May Apply: US Citizens",23.2300,19.9100,2 Years,Army Tank-Automotive and Armament Command (TACOM),Per Hour,2017-12-27,NEAJ174961206525D,"Watervliet, New York",2017-12-18,Materials Handler,"Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. There is no specific length of training or experience required. However, you must be able to demonstrate, through experience shown in your written application materials that you possess the sufficient knowledge, skills, and abilities to successfully perform the work of this position without more than normal supervision.To meet the basic eligibility, you must receive at least two points on the screen-out element indicated above and must have an average of two points on all the job elements listed below. Your application will be further evaluated to determine if you meet the best qualified cut-off for referral to the selecting official. Minimum Qualifications (Screen Out Element): Your resume must reflect experience which shows your ability to do the work of a Materials Handler without more than normal supervision to include: (1) performing warehouse work which involves receiving, storing, and shipping a variety of bin and/or bulk supplies, material, and/or equipment, and (2) checking shipping documents to verify incoming and outgoing shipments. - Failure to meet this Screen Out Element will result in an ineligible rating. You will be evaluated on the basis of your level of competency in the following areas: Ability To Do The Work Of The position Without More Than Normal SupervisionAbility to Interpret Instructions, Specification, etc. (other than blueprints)Dexterity and SafetyKnowledge of MaterialsTechnical Practices (theoretical, precise, artistic)Work Practices (includes keeping things neat, clean and in order) PHYSICAL EFFORT: Stands, stoops, bends, and works in tiring and uncomfortable positions. May be required to work at a rapid pace for prolonged periods. Frequently lifts and carries material weighing up to 45 pounds unassisted and heavier with assistance of coworker or lifting devices. Moderate physical effort is used in operating forklift hand and foot controls while driving, turning, starting and stopping the forklift truck and raising, lowering, and tilting loads being moved. WORKING CONDITIONS: Works inside and outside subject to heat, cold, damp, drafty, or poorly lighted areas. May work on open docks or storage yards, work may be dirty, dusty, and greasy. Frequently exposed to the possibility of cuts, scrapes, and bruises: falls from ladders: or injury from mechanical conveyor systems, material handling, or forklift equipment.",https://www.usajobs.gov:443/GetJob/ViewDetails/486774500
2017-12-28,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
The Watervliet Arsenal is an Army-owned and -operated manufacturing center located in New York. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today it is relied upon by U.S. and foreign militaries to produce the most advanced, high-powered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the DoD that has a weapons research facility (Ben&eacute;t Laboratories) collocated with a manufacturing facility (Arsenal). NOTE: Appointments made from this announcement may be extended for a total of 6 years. Contingent to specific conditions, there may be an opportunity to be noncompetitively converted to a permanent career-conditional or career appointment. Who May Apply: US Citizens",42995.0000,33069.0000,2 Years,Army Tank-Automotive and Armament Command (TACOM),Per Year,2017-12-28,NEAJ174790673917D,"Watervliet, New York",2017-12-19,Management Assistant,"In order to qualify, you must meet the education and/or specialized experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. Specialized Experience: To qualify based on your experience, your resume must describe one year of specialized experience. Specialized experience is defined as experience which includes: (1) Performing a full range of standard clerical and administrative duties such as reviewing and composing correspondence/documents, scheduling appointments, making travel arrangements, obtaining supplies & services, files maintenance, and/or preparing documents & forms for personnel administration; and (2) Experience using automated systems such as Microsoft Excel, Microsoft Word, and/or Microsoft Power Point.. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-04). You will be evaluated on the basis of your level of competency in the following areas:
Computer SkillsInformation ManagementManages and Organizes InformationWriting",https://www.usajobs.gov:443/GetJob/ViewDetails/486790000
2018-01-02,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position: The Watervliet Arsenal is an Army-owned and -operated manufacturing center located in New York. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today it is relied upon by U.S. and foreign militaries to produce the most advanced, highpowered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the DoD that has a weapons research facility (Ben&eacute;t Laboratories) collocated with a manufacturing facility (Arsenal). This is a TERM appointment and it may be extended for up to a total of 6 years. Contingent to specific conditions, there may be an opportunity to be noncompetitively converted to a permanent career-conditional or career appointment. TERM employees are eligible for many of the same benefits as permanent employees including: paid holidays, annual and sick leave, health, dental, vision and life insurance, and participation in the Federal Employees Retirement System (FERS) retirement plan, which includes the Thrift Savings Plan, a 401k-style investment plan with up to 5% employer matching. Who May Apply: US Citizens",53256.0000,40963.0000,2 years,Army Tank-Automotive and Armament Command (TACOM),Per Year,2018-01-02,NEAJ174916205660D,"Watervliet, New York",2017-12-21,Production Controller (Ordnance),"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. To qualify based on your experience, your resume must describe at least one year of specialized experience which prepared you to do the work in this job. Specialized experience is defined as: (1) collecting, compiling, correlating, and maintaining production data from shop records, personnel, and computer sources; (2) determining the status of work in progress; and (3) utilizing automated systems to track and monitor work.. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-05) You will be evaluated on the basis of your level of competency in the following areas:
Computer SkillsManages and Organizes InformationOperations SupportProblem Solving",https://www.usajobs.gov:443/GetJob/ViewDetails/487025600
2018-01-02,Department of the Army,GS,"Civilian employees serve a vital role in supporting the Army mission. They provide the skills that are not readily available in the military, but crucial to support military operations. The Army integrates the talents and skills of its military and civilian members to form a Total Army. About the Position:
The Watervliet Arsenal is an Army-owned and -operated manufacturing center located in New York. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today it is relied upon by U.S. and foreign militaries to produce the most advanced, highpowered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the DoD that has a weapons research facility (Ben&eacute;t Laboratories) collocated with a manufacturing facility (Arsenal). This is a TERM appointment and it may be extended for up to a total of 6 years. Contingent to specific conditions, there may be an opportunity to be noncompetitively converted to a permanent career-conditional or career appointment. TERM employees are eligible for many of the same benefits as permanent employees including: paid holidays, annual and sick leave, health, dental, vision and life insurance, and participation in the Federal Employees Retirement System (FERS) retirement plan, which includes the Thrift Savings Plan, a 401k-style investment plan with up to 5% employer matching. Who May Apply: US Citizens",78807.0000,60623.0000,2 Years,Army Tank-Automotive and Armament Command (TACOM),Per Year,2018-01-02,NEAJ175045804984D,"Watervliet, New York",2017-12-22,Engineering Technician,"In order to qualify, you must meet the experience requirements described below. Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community; student; social). You will receive credit for all qualifying experience, including volunteer experience. Your resume must clearly describe your relevant experience; if qualifying based on education, your transcripts will be required as part of your application. Additional information about transcripts is in this document. To qualify based on your experience, your resume must describe at least one year of specialized experience which prepared you to do the work in this job. Specialized Experience is defined as: (1) Applying range of engineering principles, techniques, and methods in connection with production and manufacturing processes; (2) Applying Computer Aided Manufacturing/Computer Numerically Controlled (CAM/CNC) methods and processes to design and modify manufacturing/production items; and (3) Creating and/or modifying computer-aided design (CAD) models and/or drawings using various systems such as SmartCAM, MasterCAM, AutoCAD Inventor, or Esprit CAM software systems. This definition of specialized experience is typical of work performed at the next lower grade/level position in the federal service (GS-09). You will be evaluated on the basis of your level of competency in the following areas:
DesignEngineering and TechnologyManufacturingOral Communication",https://www.usajobs.gov:443/GetJob/ViewDetails/487225600
2018-01-03,Department of the Army,NA,"Initial Cut-Off Date: Wednesday, October 11, 2016 (Applications must be received by 11:59 PM EST)
Applications received by the Initial Cut-Off Date will be reviewed and possibly referred to the Selecting Official PRIOR to the Closing Date of this Vacancy Announcement. The area of consideration for this vacancy announcement is for U.S. Citizens and Non-Citizens within a 30-mile commuting radius of Watervliet, NY. (Military Spouse Preference (MSP) and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) This position is located at The Watervliet Arsenal, located in Watervliet, New York. It is an Army-owned and operated manufacturing center and is located about 160 miles north of New York City, NY on the western bank of the Hudson River. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today is relied upon by U.S. and foreign militaries to produce the most advanced, high-powered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the Department of Defense that has a weapons research facility (Benet Laboratories) collocated with a manufacturing facility (Arsenal). Watervliet&#39;s Family and Morale, Welfare and Recreation (FMWR) Division is a comprehensive network of quality support and leisure services that enhances the lives of Soldiers, Civilians, Families, military retirees and other eligible participants. The FMWR&#39;s vision is to be the driving force for programs and services that provide the foundation for the Army&#39;s home by increasing Soldier and Family resiliency, restoring balance, enhancing recruitment, readiness and retention for Soldiers and Families.",12.1500,10.4200,Multiple Appointment Types,Army Tank-Automotive and Armament Command (TACOM),Per Hour,2018-01-03,NENAFBN1710059141SR,"Watervliet, New York",2017-10-04,Food and Beverage Attendant (Snack Bar) NA-02,"Qualified candidates will possess all of the following: Meet state/local age (18) requirements for the serving of alcoholic beverages (Projected appointment date: 11/16/2017), AND Ability to work without more than normal supervision, AND Ability to keep your work area clean, neat, and in order, AND Experience applying basic food preparation and handling techniques, AND Ability to read and follow written and verbal instructions, AND Must be familiar with basic sanitization principles, AND Ability to use and maintain kitchen tools and equipment, AND Physical ability to stand, stoop, bend, pull, push and reach for long periods of time, AND Physical ability to regularly lift and move items weighing up to 40 pounds and occasionally lift and carry up to 45 pounds. PLEASE NOTE: Your resume & application package must reflect the qualifications stated in the announcement and questionnaire to be rated eligible.",https://www.usajobs.gov:443/GetJob/ViewDetails/481203100
2018-01-31,Department of the Army,NF,"Initial Cut-Off Date: Thursday, October 25, 2017 (Applications must be received by 11:59 PM EST)
Applications received by the Initial Cut-Off Date will be reviewed and possibly referred to the Selecting Official PRIOR to the Closing Date of this Vacancy Announcement. The area of consideration for this vacancy announcement is for U.S. Citizens and Non-Citizens within a 30-mile commuting radius of Watervliet, NY. (Military Spouse Preference (MSP) moving into the area within 30 days from the closing date of this announcement and Involuntarily Separated Military Preference (ISMP) Preference eligible candidates are included in the area of consideration.) The Watervliet Arsenal is located in Watervliet, New York. It is an Army-owned and operated manufacturing center and is located about 160 miles north of New York City, NY on the western bank of the Hudson River. It is the oldest, continuously active arsenal in the United States having begun operations in 1813. Today is relied upon by U.S. and foreign militaries to produce the most advanced, high-powered weaponry for cannon, howitzer, and mortar systems. The Arsenal is the only location in the Department of Defense that has a weapons research facility (Benet Laboratories) collocated with a manufacturing facility (Arsenal). Watervliet&#39;s Family and Morale, Welfare and Recreation (FMWR) Division is a comprehensive network of quality support and leisure services that enhances the lives of Soldiers, Civilians, Families, military retirees and other eligible participants. The FMWR&#39;s vision is to be the driving force for programs and services that provide the foundation for the Army&#39;s home by increasing Soldier and Family resiliency, restoring balance, enhancing recruitment, readiness and retention for Soldiers and Families.",16.4800,12.0000,Intermittent,Army Tank-Automotive and Armament Command (TACOM),Per Hour,2018-01-31,NENAFBN1710066567SR,"Watervliet, New York",2017-10-19,Supply Clerk (Vending Machine) NF-02,"MINIMUM QUALIFICATIONS: Work experience ordering and maintaining facility or office vending machine supplies, AND Work experience completing stock usage reports for vending or coin operated (game) machines, AND Work experience operating a motor vehicle to deliver goods between stock room and vending/coin operated (game) machine locations PLEASE NOTE: Your resume & application package must reflect the qualifications stated in the announcement and questionnaire to be rated eligible. Your drivers license must be provided prior to entrance on duty.",https://www.usajobs.gov:443/GetJob/ViewDetails/482339800
2018-01-03,Department of the Air Force,GS,"This National Guard position is for a Supervisory Police Officer, Position Description Number D2264000 and is part of the AZ 161st Air Refueling Wing, Air National Guard. NOTE: This position is subject to rotating or night shift work. NOTE: Individual selected will receive a Permanent Appointment after successful completion of a one year trial period. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",60357.0000,46431.0000,Permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-03,AZ-10100232-AF-18-022,"Phoenix, Arizona",2017-12-19,Supervisory Police Officer,"SPECIALIZED EXPERIENCE: Must possess at least 18 months of experience in performing practical Security Force activities in direct support of the military weapon systems and physical security; law and order; and area security operations. The work experiences are in law enforcement, maintaining law and order, preserving the peace, and protecting life and civil rights within the jurisdiction of military installations. Has general experiences in protecting federal property from hazards such as sabotage, espionage, trespass, theft, fire, and accident or willful damage and destruction. Experiences in securing crime and incident scenes; apprehending and detaining suspects; searches persons and property; and collects, seizes, and preserves evidence. Experienced in conducting interviews of witnesses and suspects and obtains statements and testifies in official judicial proceedings. Has work experiences in responding to disaster and relief operations and participates in contingencies. Develops plans, policies, procedures, and detailed instructions to implement Security Force programs. Is competent and experienced in maintaining accountability and ensuring security for weapons, ammunition, and explosives utilized in the course of instruction in accordance with applicable Air Force Instructions. Experienced in implementing ground weapons training programs. Experienced in the control and safeguarding of arms, ammunition, and equipment; and, instructs ground weapons qualification training. The tasks provides guidance on weapons placement to security forces and ground defense force commanders. Has experiences in inspecting ground weapons, replacing unserviceable parts, and analyzing malfunctions by inspections and serviceability testing. Has experiences in firing weapons for accuracy and serviceability. Understands how to control and operate firing ranges and associated facilities to include supervising construction and rehabilitation. Experienced in presenting courses on training material and instruction covering proper use of handguns, rifles, machine guns and other base defense/ground combat skills equipment, in accordance with approved lesson plans and course control documents. Experienced in weaponry, laws, directives, programs, policies, and procedures governing Security Forces activities; installation security; weapon system and resource security; anti-terrorism; law enforcement and investigations; military working dogs; air base defense; training; pass and registration; civilian work force; and combat arms.",https://www.usajobs.gov:443/GetJob/ViewDetails/487063000
2018-01-19,Department of the Army,GS,"This SUPERVISORY AIRCRAFT PILOT position, is located at an Army National Guard (ARNG) Aviation Support Facility (AASF), Operations Group at flying units in the ANG and is part of the CA AASF Los Alamitos, National Guard. The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement. MILITARY MEMBERS WITH BONUSES: Upon acceptance of a military technician position military members who are currently receiving a military Reenlistment/Extension Bonus (REB) or GI Bill-SR Kicker may lose incentive eligibility and may be subject to termination or suspension of incentive (includes indefinite and temporary technicians on assignment for more than 180 days in any continuous 12-month period).",148550.0000,114268.0000,Expected Permanent,Army National Guard Units (Title 32/Title 5),Per Year,2018-01-19,CA-10073596-AR-17-692,"Los Alamitos, California",2017-11-20,SUPERVISORY AIRCRAFT PILOT,"General Experience: Must have one year on-the-job experience in the GS-13 (or a comparable military rank) grade level, possess an undergraduate degree from an accredited college/university and have Federal Aviation Administration certifications awarded from accredited civilian aviation programs OR an aviation certifications from accredited military aviation schools. SUPERVISORY AIRCRAFT PILOT, GS-2181-14: Must have at least three years working experiences in civilian aviation programs; or, military service aviation programs (active duty or reserve components); or, in the Army National Guard Aviation Support facilities; or, Air National Guard Operations Groups.
Experienced in piloting and instructing pilot skills in one or more of the following main-frame/military aircraft: Fixed-wing, rotary, or remotely piloted aircraft (RPA). Experienced in reading and applying mission tasks, intelligence reports, and weather information. Experienced in supervising and conducting mission planning, mission preparations, filing flight plans, and conducting crew briefings. Experienced in aircraft preflight inspections, aircraft loading, equipment assessments, and mission manning. Experienced in operating aircraft controls and equipment. Experienced in performing and supervising the work procedures involved in navigation, in-flight refueling; search and rescue operations; and, surveillance and reconnaissance missions. Experienced in conducting and supervising crew member training on simple to complex mission specific tasks. Experienced in developing plans and policies, monitoring operations, and briefing commanders. Experienced in flight theory, air navigation, meteorology, flying directives, aircraft operating procedures, and mission tactics. Experienced in planning and preparing for missions; and, experienced in piloting and instructing others in piloting specific air-frame/military aircraft. Experienced in various piloting administrative tasks performed in support of Army or Air National Guard aviation programs
.
Experienced in aviation unit quality control management programs. Experienced in the unit flying, explosive, and ground safety programs in accordance with Department of the Air Force, National Guard Bureau, and Occupational Safety and Health Administration directives. Experienced in applying directives, regulations, accident reports, safety data, and local operating conditions to determine unit safety program requirements. Experienced in flying operations and coordinating with appropriate agencies to ensure compliance with all applicable safety regulations and programs. Experienced in one or more missions such as, air-to-air; air- to-ground; mortar-to-arm escort; surveillance; reconnaissance; surface attack; killer-scout; target illumination; or laser targeting. Experienced in traditional ""stick and rudder"" type controls for piloting aircraft direction, altitude, and speed. Experienced in using aircraft instrumentation and aircraft mounted video cameras. Experienced in visual flight-rule type flying and aircraft instrument flying. Experienced in flying simulated ""real world"" combat and non-combat missions and terrain. Experienced in planning, scheduling, and conducting training flights through Federal Aviation Administration controlled national airspace. Experienced in applying operational directives, training directives, instructions, standard operating procedures, and special instructions of National Guard Bureau, United States Army or United States Air Force, and gaining commands. Experienced in working independently to plan and perform work assignments. Experienced in completing safe and efficient mission accomplishments through the use of Operational Risk Management. Experienced in performing aviation duties such as, cancelling flying activities; diverting aircraft; dictating mission requirements; approving specific activities; coordinating for airport or airspace utilization with FAA; and directing emergency actions that involved unit support agencies. Experienced in using applicable Army or Air Force aviation regulations, policies, requirements and standards, skills and practices; and, the application of instructional techniques to the training of other pilots in the Army National Guard flying facilities or Air National Guard wings. Experienced in conducting particular combat or non-combat training missions and flying specific main-frame aircraft in combat tactics, flying in mountainous terrain, performing tactical remote site evaluations, performing landings on remote sites, providing ground and flight training, and conducting night-vision operations or instructions. Experienced in standardization and evaluation programs, written ground examinations, emergency procedures, and aircrew performance standards in accordance with applicable directives and Federal Aviation Administration certification requirements. Experienced in reviewing and complying with applicable service flight publications and directives for accuracy and currency. Experienced on weaponry and combat or non-combat tactics for applicable military aircraft. Experienced with wartime and peacetime contingency plans and supplements used for unit mobilizations, deployments, strange field operations, or troop missions and redeployments. Experienced in piloting and instructing in accordance with applicable Army or Air Force aviation regulations, policies, requirements, standards, skills and practices. Experienced in performing instructional techniques to train other pilots assigned to the Army National Guard flying units or assigned to the Air National Guard flying units. Experienced in conducting upgrade training for aircrew members from the Army National Guard, Air National Guard, or from other active components. Experienced in providing proficiency training for qualified aircrew personnel.
Knowledge of full-cycle theory, skill in conducting formal classroom instruction, and skill in actual flight practice are required. Experienced in performing training activities, as related to a particular mission and specific main-frame aircraft to include combat and non-combat tactics. Experienced in flying mountainous terrains, performing tactical remote site evaluations, performing landings on remote sites, providing ground and flight training, or conducting night-vision operations and instruction. Experienced in complying with standardization and evaluation programs, written ground examinations, emergency procedures, and evaluations. Experienced in aircrew performance standards, in accordance with applicable directives and Federal Aviation Administration certifications, is required. Experienced with weaponry and tactics for applicable military aircraft. Experienced in completing aircrew proficiency and competency evaluations. Experienced in other military components&#39; intelligence programs and services and/or National Guard intelligence programs. Experienced in comprehending intelligence reports concerning current threats and counter-measures. Experienced in establishing detailed scenarios to provide realistic and effective aircrew training. Experienced in commanding and executing unit comprehensive annual training plans to ensure accomplishment of all required aircrew training. Experienced in executing flight schedules and flying hour programs; and, analyzing post-mission debriefings to ensure accomplishment of assigned training events. Experienced in coordinating annual, monthly, and/or daily operational requirements with unit commanders, Federal Aviation Administration, and other supporting agencies. Experienced in maintaining detailed wartime or peacetime contingency plans and supplements for unit deployment, strange field operations/employment, and redeployment. Your qualifications will be evaluated on the following competencies:
Ability To Lead Or SuperviseJudgement and Decision MakingOperation and ControlSafety and Security",https://www.usajobs.gov:443/GetJob/ViewDetails/484861800
2018-01-23,Department of the Air Force,GS,"THIS IS A NATIONAL GUARD TITLE 32 EXCEPTED SERVICE POSITION. Area of Consideration
AREA I: All dual status permanent excepted technicians in the Montana Air National Guard.
AREA II: All qualified members of the Montana Air National Guard to include temporary and indefinite employees, and any individual willing and eligible to join. Any Tenure 1 or 2 (permanent status) employee will forfeit their status and any inherent rights as a permanent employee upon acceptance of this position. Selecting Official: SMSgt Crowder This National Guard position is for a Police Officer, Position Description Number D2156000, and is part of the Montana Air National Guard. (A copy of the Position Description (PD) can be obtained from HRO upon applicant&#39;s request.) The National Guard is the oldest component of the Armed Forces of the United States. Since the earliest American colonial days, citizens have joined together for collective defense. We have a proud tradition of coming to the aid of our friends and neighbors in times of serious emergencies. Join our National Guard team and serve your nation, your states and your community! NATIONAL GUARD MEMBERSHIP IS REQUIRED: This is an excepted service position that requires membership in a compatible military assignment in the National Guard. Selectee will be required to wear the military uniform. Acceptance of an excepted service position constitutes concurrence with these requirements as a condition of employment. Applicants who are not currently a member of the National Guard must be eligible for immediate membership and employment in the National Guard in the military grade listed in this announcement.",58570.0000,45056.0000,Indefinite without potential to convert to permanent,Air National Guard Units (Title 32/Title 5),Per Year,2018-01-23,MT-10105964-AF-18-018,"Great Falls, Montana",2017-12-23,Police Officer,"GENERAL EXPERIENCE: Must possess an understanding of the basic principles and concepts of military security forces functions, laws, policies, regulations, rules, procedures, and methods. Also, have general experience performing functions such as weapon systems and resource security, air base defense, law enforcement; and, if applicable for the position, experience in handling military working dog functions or combat arms functions. SPECIALIZED EXPERIENCE: Must possess experiences in performing practical Security Force activities in direct support of the military weapon systems and physical security; law and order; and area security operations. The work experiences are in law enforcement, maintaining law and order, preserving the peace, and protecting life and civil rights within the jurisdiction of military installations. Has general experiences in protecting federal property from hazards such as sabotage, espionage, trespass, theft, fire, and accident or willful damage and destruction. Experiences in securing crime and incident scenes; apprehending and detaining suspects; searches persons and property; and collects, seizes, and preserves evidence. Experienced in conducting interviews of witnesses and suspects and obtains statements and testifies in official judicial proceedings. Has work experiences in responding to disaster and relief operations and participates in contingencies. Develops plans, policies, procedures, and detailed instructions to implement Security Force programs. Is competent and experienced in maintaining accountability and ensuring security for weapons, ammunition, and explosives utilized in the course of instruction in accordance with applicable Air Force Instructions. Experienced in implementing ground weapons training programs. Experienced in the control and safeguarding of arms, ammunition, and equipment; and, instructs ground weapons qualification training. The tasks provides guidance on weapons placement to security forces and ground defense force commanders. Has experiences in inspecting ground weapons, replacing unserviceable parts, and analyzing malfunctions by inspections and serviceability testing. Has experiences in firing weapons for accuracy and serviceability. Understands how to control and operate firing ranges and associated facilities to include supervising construction and rehabilitation. Experienced in presenting courses on training material and instruction covering proper use of handguns, rifles, machine guns and other base defense/ground combat skills equipment, in accordance with approved lesson plans and course control documents. Experienced in weaponry, laws, directives, programs, policies, and procedures governing Security Forces activities; installation security; weapon system and resource security; anti-terrorism; law enforcement and investigations; military working dogs; air base defense; training; pass and registration; civilian work force; and combat arms.",https://www.usajobs.gov:443/GetJob/ViewDetails/487396000
